Province,county,china_bx_data_grade_id,grade,A_SRatio
Henan,Xinmi,76,0.0,6.796335196
Henan,Yanshi,77,0.0,5.874020922000001
Henan,Yichuan,78,0.0,4.0
Henan,Yiyang,79,0.0,5.4
Henan,Yuzhou,80,0.0,5.0
Henan,Other,81,0.6,4.0
Henan,Henan,82,0.0,0.0
Hubei,Yicheng,83,0.0,5.25
Hubei,Hubei,84,0.0,5.25
Hunan,Chenxi,85,0.0,5.0
Hunan,Hunan,86,0.0,5.0
Inner Mongolia,Qingshuihe,87,0.55,5.0
Jiangxi,Jiangxi,88,0.45,3.0
Liaoning,Liaoning,89,0.45,3.0
Shandong,Tai'an,90,0.0,4.0
Shandong,Zhangqiu,91,0.0,4.0
Shandong,Zouwu,92,0.55,2.4
Shandong,Zibo,93,0.0,4.039071862
Shandong,Shandong,94,0.0,0.0
Shaanxi,Chencheng,95,0.0,5.0
Shaanxi,Pucheng,96,0.0,5.0
Shaanxi,Fugu,97,0.0,5.0
Shaanxi,Hancheng,98,0.0,5.0
Shaanxi,Tongchuan,99,0.0,5.0
Shaanxi,Xixiang,100,0.0,5.0
Shaanxi,Zhenba,101,0.0,5.0
Shaanxi,Shaanxi,102,0.55,5.0
Shanxi,Baode,103,0.0,8.633615685
Shanxi,Fangshan,104,0.6803,8.72
Shanxi,Fenxi,105,0.0,4.297074112
Shanxi,Fenyang,106,0.0,6.132953466
Shanxi,Gujiao,107,0.55,5.0
Shanxi,Gu,108,0.0,4.8
Shanxi,Hequ,109,0.55,5.0
Shanxi,Heshun,110,0.0,4.8
Shanxi,Huairen,111,0.0,3.78
Shanxi,Huozhou,112,0.0,3.15
Shanxi,Jiaokou,113,0.0,5.546165406
Shanxi,Jiexiu,114,0.0,5.4537212539999995
Shanxi,Jingle,115,0.55,5.0
Shanxi,Jincheng,116,0.0,6.8
Shanxi,Lin,117,0.0,6.731056564
Shanxi,Linfen,118,0.6,4.8
Shanxi,Lingshi,119,0.0,4.359845958
Shanxi,Liulin,120,0.0,6.77849563
Shanxi,Lvliang,121,0.0,5.0
Shanxi,Loufan,122,0.0,7.48
Shanxi,Yingze,123,0.55,5.0
Shanxi,Yu,124,0.0,4.065729431
Shanxi,Ningwu,125,0.0,5.036151015
Shanxi,Pinglu,126,0.0,4.868164381000001
Shanxi,Qinyuan,127,0.0,4.142143723
Shanxi,Shenchi,128,0.0,6.7788048729999995
Shanxi,Shuozhou,129,0.0,6.48
Shanxi,Wutai,130,0.0,4.66057162
Shanxi,Wuxiang,131,0.0,5.0
Shanxi,Xia,132,0.0,4.023525902
Shanxi,Xiangyuan,133,0.0,5.0
Shanxi,Xiaoyi,134,0.0,5.34492074
Shanxi,Xing,135,0.0,8.284987247
Shanxi,Xiyang,136,0.0,4.23
Shanxi,Yuanping,137,0.0,4.5544094180000005
Shanxi,Yangquan,138,0.0,4.566993801000001
Shanxi,Yuanqu,139,0.6,4.8
Shanxi,Zhongyang,140,0.0,6.047244752999999
Shanxi,Zuoquan,141,0.5,5.0
Shanxi,Shanxi,142,0.6243247989999999,5.3864585179999995
Sichuan,Guangyuan,143,0.55,5.0
Sichuan,Lushan,144,0.0,5.0
Sichuan,Miyi,145,0.0,5.0
Sichuan,Tianquan,146,0.0,3.47
Sichuan,Sichuan,147,0.55,5.0
Xinjiang,Xinjiang,148,0.45,3.0
Yunnan,Annin,149,0.0,5.882661187
Yunnan,Chengong,150,0.0,5.58
Yunnan,Fumin,151,0.0,5.3246048969999995
Yunnan,Guangnan,152,0.0,7.29
Yunnan,Gudu,153,0.0,3.9
Yunnan,Heqing,154,0.0,5.22
Yunnan,Hongta,155,0.0,4.5
Yunnan,Jinnin,156,0.0,3.09
Yunnan,Ludian,157,0.5242,3.09
Yunnan,Malipo,158,0.0,6.366068796
Yunnan,Songming,159,0.0,4.95
Yunnan,Wenshan,160,0.0,6.755964649
Yunnan,Xichou,161,0.0,7.5719677260000005
Yunnan,Xishan,162,0.0,6.399333977
Yunnan,Yanshan,163,0.0,5.91
Yunnan,Yunnan,164,0.0,0.0
China Total,China_Total,165,0.32298675,0.0
