country_id,mine_id,year_id,panamax
country_17,Mine_75,Y_22,10.22852601
country_17,Mine_75,Y_23,10.22852601
country_17,Mine_75,Y_24,10.22852601
country_17,Mine_75,Y_25,10.22852601
country_17,Mine_75,Y_26,10.22852601
country_17,Mine_76,Y_10,5.784907567
country_17,Mine_76,Y_11,5.784907567
country_17,Mine_76,Y_12,5.283266605
country_17,Mine_76,Y_13,8.219232296
country_17,Mine_76,Y_14,9.910162791
country_17,Mine_76,Y_15,8.969701636
country_17,Mine_76,Y_16,10.23761451
country_17,Mine_76,Y_17,9.966642199
country_17,Mine_76,Y_18,9.84761488
country_17,Mine_76,Y_19,10.22852601
country_17,Mine_76,Y_20,10.22852601
country_17,Mine_76,Y_21,10.22852601
country_17,Mine_76,Y_22,10.22852601
country_17,Mine_76,Y_23,10.22852601
country_17,Mine_76,Y_24,10.22852601
country_17,Mine_76,Y_25,10.22852601
country_17,Mine_76,Y_26,10.22852601
country_17,Mine_77,Y_10,9.193758234
country_17,Mine_77,Y_11,9.193758234
country_17,Mine_77,Y_12,8.400824124
country_17,Mine_77,Y_13,13.28463165
country_17,Mine_77,Y_14,16.12823806
country_17,Mine_77,Y_15,14.73040889
country_17,Mine_77,Y_16,16.9255575
country_17,Mine_77,Y_17,16.42438628
country_17,Mine_77,Y_18,16.18502952
country_17,Mine_77,Y_19,16.83550698
country_17,Mine_77,Y_20,16.83550698
country_17,Mine_77,Y_21,16.83550698
country_17,Mine_77,Y_22,16.83550698
country_17,Mine_77,Y_23,16.83550698
country_17,Mine_77,Y_24,16.83550698
country_17,Mine_77,Y_25,16.83550698
country_17,Mine_77,Y_26,16.83550698
country_12,Mine_78,Y_10,23.10748657
country_12,Mine_78,Y_11,12.0547677
country_12,Mine_78,Y_12,10.95320138
country_12,Mine_78,Y_13,17.65265146
country_12,Mine_78,Y_14,21.63236439
country_12,Mine_78,Y_15,19.44532938
country_12,Mine_78,Y_16,22.45593575
country_12,Mine_78,Y_17,21.76439118
country_12,Mine_78,Y_18,21.4666203
country_12,Mine_78,Y_19,22.24402021
country_12,Mine_78,Y_20,22.24402021
country_12,Mine_78,Y_21,22.24402021
country_12,Mine_78,Y_22,22.24402021
country_12,Mine_78,Y_23,22.24402021
country_12,Mine_78,Y_24,22.24402021
country_12,Mine_78,Y_25,22.24402021
country_12,Mine_78,Y_26,22.24402021
country_12,Mine_79,Y_10,23.10748657
country_12,Mine_79,Y_11,12.0547677
country_12,Mine_79,Y_12,10.95320138
country_12,Mine_79,Y_13,17.65265146
country_12,Mine_79,Y_14,21.63236439
country_12,Mine_79,Y_15,19.44532938
country_12,Mine_79,Y_16,22.45593575
country_12,Mine_79,Y_17,21.76439118
country_12,Mine_79,Y_18,21.4666203
country_12,Mine_79,Y_19,22.24402021
country_12,Mine_79,Y_20,22.24402021
country_12,Mine_79,Y_21,22.24402021
country_12,Mine_79,Y_22,22.24402021
country_12,Mine_79,Y_23,22.24402021
country_12,Mine_79,Y_24,22.24402021
country_12,Mine_79,Y_25,22.24402021
country_12,Mine_79,Y_26,22.24402021
country_4,Mine_52,Y_10,23.14985815
country_4,Mine_52,Y_11,23.14985815
country_4,Mine_52,Y_12,19.95750327
country_4,Mine_52,Y_13,27.38103048
country_4,Mine_52,Y_14,34.0822023
country_4,Mine_52,Y_15,31.4921008
country_4,Mine_52,Y_16,35.15286449
country_4,Mine_52,Y_17,34.09630498
country_4,Mine_52,Y_18,33.58771522
country_4,Mine_52,Y_19,34.67825543
country_4,Mine_52,Y_20,34.67825543
country_4,Mine_52,Y_21,34.67825543
country_4,Mine_52,Y_22,34.67825543
country_4,Mine_52,Y_23,34.67825543
country_4,Mine_52,Y_24,34.67825543
country_4,Mine_52,Y_25,34.67825543
country_4,Mine_52,Y_26,34.67825543
country_4,Mine_81,Y_10,20.76297724
country_4,Mine_81,Y_11,20.76297724
country_4,Mine_81,Y_12,19.17502351
country_4,Mine_81,Y_13,28.09872831
country_4,Mine_81,Y_14,33.47158354
country_4,Mine_81,Y_15,30.90946998
country_4,Mine_81,Y_16,35.0765489
country_4,Mine_81,Y_17,34.00846272
country_4,Mine_81,Y_18,33.53518979
country_4,Mine_81,Y_19,34.62923521
country_4,Mine_81,Y_20,34.62923521
country_4,Mine_81,Y_21,34.62923521
country_4,Mine_81,Y_22,34.62923521
country_4,Mine_81,Y_23,34.62923521
country_4,Mine_81,Y_24,34.62923521
country_4,Mine_81,Y_25,34.62923521
country_4,Mine_81,Y_26,34.62923521
country_4,Mine_82,Y_10,20.5332741
country_4,Mine_82,Y_11,20.5332741
country_4,Mine_82,Y_12,18.96750596
country_4,Mine_82,Y_13,27.78199715
country_4,Mine_82,Y_14,33.07865103
country_4,Mine_82,Y_15,30.52590441
country_4,Mine_82,Y_16,34.63020269
country_4,Mine_82,Y_17,33.60700522
country_4,Mine_82,Y_18,33.14090528
country_4,Mine_82,Y_19,34.2208912
country_4,Mine_82,Y_20,34.2208912
country_4,Mine_82,Y_21,34.2208912
country_4,Mine_82,Y_22,34.2208912
country_4,Mine_82,Y_23,34.2208912
country_4,Mine_82,Y_24,34.2208912
country_4,Mine_82,Y_25,34.2208912
country_4,Mine_82,Y_26,34.2208912
country_4,Mine_83,Y_10,27.62925976
country_4,Mine_83,Y_11,20.44576814
country_4,Mine_83,Y_12,18.88845166
country_4,Mine_83,Y_13,27.66133767
country_4,Mine_83,Y_14,32.92896245
country_4,Mine_83,Y_15,30.37978419
country_4,Mine_83,Y_16,34.46016604
country_4,Mine_83,Y_17,33.45406902
country_4,Mine_83,Y_18,32.99070166
country_4,Mine_83,Y_19,34.06533158
country_4,Mine_83,Y_20,34.06533158
country_4,Mine_83,Y_21,34.06533158
country_4,Mine_83,Y_22,34.06533158
country_4,Mine_83,Y_23,34.06533158
country_4,Mine_83,Y_24,34.06533158
country_4,Mine_83,Y_25,34.06533158
country_4,Mine_83,Y_26,34.06533158
country_4,Mine_53,Y_10,20.9317131
country_4,Mine_53,Y_11,20.9317131
country_4,Mine_53,Y_12,19.32448556
country_4,Mine_53,Y_13,28.32685015
country_4,Mine_53,Y_14,33.75458851
country_4,Mine_53,Y_15,31.18572851
country_4,Mine_53,Y_16,35.39802444
country_4,Mine_53,Y_17,34.29760771
country_4,Mine_53,Y_18,33.81916852
country_4,Mine_53,Y_19,34.92334012
country_4,Mine_53,Y_20,34.92334012
