mine_id,country_id,year_id,cost_spec,Field
Mine_94,country_46,Y_10,0.015,LT React. Silica
Mine_94,country_46,Y_10,0.02,Total Silica
Mine_94,country_46,Y_10,0.02,Monhydrate
Mine_94,country_46,Y_10,0.1,Moisture
Mine_94,country_46,Y_10,LT,Bauxite style
Mine_94,country_46,Y_10,Moderate,Total Organic Carbon
Mine_94,country_46,Y_10,Capesize,Vessel size
Mine_94,country_46,Y_10,15,Capital cost of mine (inc. all infrasturure for export)
Mine_94,country_46,Y_10,20,Life of mine
Mine_94,country_46,Y_10,1,constructiuon period for mine & infrastructure
Mine_94,country_46,Y_10,0.04,IRR
Mine_95,country_46,Y_10,0,Other penalties - extra processing costs
Mine_95,country_46,Y_10,0.405,LT Avail AA
Mine_95,country_46,Y_10,0.44,Total Alumina
Mine_95,country_46,Y_10,0.015,LT React. Silica
Mine_95,country_46,Y_10,0.02,Total Silica
Mine_95,country_46,Y_10,0.02,Monhydrate
Mine_95,country_46,Y_10,0.1,Moisture
Mine_95,country_46,Y_10,LT,Bauxite style
Mine_95,country_46,Y_10,Moderate,Total Organic Carbon
Mine_95,country_46,Y_10,Capesize,Vessel size
Mine_95,country_46,Y_10,15,Capital cost of mine (inc. all infrasturure for export)
Mine_95,country_46,Y_10,20,Life of mine
Mine_95,country_46,Y_10,1,constructiuon period for mine & infrastructure
Mine_95,country_46,Y_10,0.04,IRR
Mine_107,country_46,Y_10,0,Other penalties - extra processing costs
Mine_107,country_46,Y_10,0.425,LT Avail AA
Mine_107,country_46,Y_10,0.46,Total Alumina
Mine_107,country_46,Y_10,0.015,LT React. Silica
Mine_107,country_46,Y_10,0.02,Total Silica
Mine_107,country_46,Y_10,0.02,Monhydrate
Mine_107,country_46,Y_10,0.1,Moisture
Mine_107,country_46,Y_10,LT,Bauxite style
Mine_107,country_46,Y_10,Moderate,Total Organic Carbon
Mine_107,country_46,Y_10,Capesize,Vessel size
Mine_107,country_46,Y_10,15,Capital cost of mine (inc. all infrasturure for export)
Mine_107,country_46,Y_10,20,Life of mine
Mine_107,country_46,Y_10,1,constructiuon period for mine & infrastructure
Mine_107,country_46,Y_10,0.04,IRR
Mine_110,country_46,Y_10,0,Other penalties - extra processing costs
Mine_110,country_46,Y_10,0.415,LT Avail AA
Mine_110,country_46,Y_10,0.45,Total Alumina
Mine_110,country_46,Y_10,0.015,LT React. Silica
Mine_110,country_46,Y_10,0.04,Total Silica
Mine_110,country_46,Y_10,0.02,Monhydrate
Mine_110,country_46,Y_10,0.1,Moisture
Mine_110,country_46,Y_10,LT,Bauxite style
Mine_110,country_46,Y_10,Moderate,Total Organic Carbon
Mine_110,country_46,Y_10,Capesize,Vessel size
Mine_110,country_46,Y_10,15,Capital cost of mine (inc. all infrasturure for export)
Mine_110,country_46,Y_10,20,Life of mine
Mine_110,country_46,Y_10,1,constructiuon period for mine & infrastructure
Mine_110,country_46,Y_10,0.15,IRR
Mine_60,country_46,Y_10,0,Other penalties - extra processing costs
Mine_60,country_46,Y_10,0.392,LT Avail AA
Mine_60,country_46,Y_10,0.434,Total Alumina
Mine_60,country_46,Y_10,0.012,LT React. Silica
Mine_60,country_46,Y_10,0.015,Total Silica
Mine_60,country_46,Y_10,0.03,Monhydrate
Mine_60,country_46,Y_10,0.1,Moisture
Mine_60,country_46,Y_10,LT,Bauxite style
Mine_60,country_46,Y_10,Moderate,Total Organic Carbon
Mine_60,country_46,Y_10,Capesize,Vessel size
Mine_60,country_46,Y_10,33,Capital cost of mine (inc. all infrasturure for export)
Mine_60,country_46,Y_10,25,Life of mine
Mine_60,country_46,Y_10,1,constructiuon period for mine & infrastructure
Mine_60,country_46,Y_10,0.04,IRR
Mine_109,country_46,Y_10,0,Other penalties - extra processing costs
Mine_109,country_46,Y_10,0.405,LT Avail AA
Mine_109,country_46,Y_10,0.44,Total Alumina
Mine_109,country_46,Y_10,0.015,LT React. Silica
Mine_109,country_46,Y_10,0.02,Total Silica
Mine_109,country_46,Y_10,0.02,Monhydrate
Mine_109,country_46,Y_10,0.1,Moisture
Mine_109,country_46,Y_10,LT,Bauxite style
Mine_109,country_46,Y_10,Moderate,Total Organic Carbon
Mine_109,country_46,Y_10,Capesize,Vessel size
Mine_109,country_46,Y_10,20,Capital cost of mine (inc. all infrasturure for export)
Mine_109,country_46,Y_10,15,Life of mine
Mine_109,country_46,Y_10,1,constructiuon period for mine & infrastructure
Mine_109,country_46,Y_10,0.04,IRR
Mine_153,country_46,Y_10,0,Other penalties - extra processing costs
Mine_153,country_46,Y_10,0.392,LT Avail AA
Mine_153,country_46,Y_10,0.434,Total Alumina
Mine_153,country_46,Y_10,0.012,LT React. Silica
Mine_153,country_46,Y_10,0.015,Total Silica
Mine_153,country_46,Y_10,0.03,Monhydrate
Mine_153,country_46,Y_10,0.1,Moisture
Mine_153,country_46,Y_10,LT,Bauxite style
Mine_153,country_46,Y_10,Moderate,Total Organic Carbon
Mine_153,country_46,Y_10,Capesize,Vessel size
Mine_153,country_46,Y_10,33,Capital cost of mine (inc. all infrasturure for export)
Mine_153,country_46,Y_10,25,Life of mine
Mine_153,country_46,Y_10,2,constructiuon period for mine & infrastructure
Mine_153,country_46,Y_10,0.04,IRR
Mine_69,country_17,Y_10,0,Other penalties - extra processing costs
Mine_69,country_17,Y_10,0.405369747,LT Avail AA
Mine_69,country_17,Y_10,0.5134,Total Alumina
Mine_69,country_17,Y_10,0.051264363,LT React. Silica
Mine_69,country_17,Y_10,0.0951,Total Silica
Mine_69,country_17,Y_10,0.051923287,Monhydrate
Mine_69,country_17,Y_10,0.1,Moisture
Mine_69,country_17,Y_10,LT,Bauxite style
Mine_69,country_17,Y_10,High,Total Organic Carbon
Mine_69,country_17,Y_10,Panamax,Vessel size
Mine_69,country_17,Y_10,10.275,Capital cost of mine (inc. all infrasturure for export)
Mine_69,country_17,Y_10,21,Life of mine
Mine_69,country_17,Y_10,1,constructiuon period for mine & infrastructure
Mine_69,country_17,Y_10,0.08,IRR
Mine_71,country_17,Y_10,0,Other penalties - extra processing costs
Mine_71,country_17,Y_10,0.400721578,LT Avail AA
Mine_71,country_17,Y_10,0.517278422,Total Alumina
Mine_71,country_17,Y_10,0.065974478,LT React. Silica
Mine_71,country_17,Y_10,0.109974478,Total Silica
Mine_71,country_17,Y_10,0.050582367,Monhydrate
Mine_71,country_17,Y_10,0.1,Moisture
Mine_71,country_17,Y_10,LT,Bauxite style
Mine_71,country_17,Y_10,High,Total Organic Carbon
Mine_71,country_17,Y_10,Panamax,Vessel size
Mine_71,country_17,Y_10,10.275,Capital cost of mine (inc. all infrasturure for export)
Mine_71,country_17,Y_10,21,Life of mine
Mine_71,country_17,Y_10,1,constructiuon period for mine & infrastructure
Mine_71,country_17,Y_10,0.08,IRR
Mine_70,country_17,Y_10,0,Other penalties - extra processing costs
Mine_70,country_17,Y_10,0.407264915,LT Avail AA
Mine_70,country_17,Y_10,0.49,Total Alumina
Mine_70,country_17,Y_10,0.053436582,LT React. Silica
Mine_70,country_17,Y_10,0.147,Total Silica
Mine_70,country_17,Y_10,0.02353969,Monhydrate
Mine_70,country_17,Y_10,0.1,Moisture
Mine_70,country_17,Y_10,LT,Bauxite style
Mine_70,country_17,Y_10,High,Total Organic Carbon
Mine_70,country_17,Y_10,Panamax,Vessel size
Mine_70,country_17,Y_10,10.275,Capital cost of mine (inc. all infrasturure for export)
Mine_70,country_17,Y_10,21,Life of mine
Mine_70,country_17,Y_10,1,constructiuon period for mine & infrastructure
Mine_70,country_17,Y_10,0.08,IRR
Mine_134,country_37,Y_10,1,Other penalties - extra processing costs
Mine_134,country_37,Y_10,0.375,LT Avail AA
Mine_134,country_37,Y_10,0.4175,Total Alumina
Mine_134,country_37,Y_10,0.0325,LT React. Silica
Mine_134,country_37,Y_10,0.056666667,Total Silica
Mine_134,country_37,Y_10,0.01,Monhydrate
Mine_134,country_37,Y_10,0.17,Moisture
Mine_134,country_37,Y_10,LT,Bauxite style
Mine_134,country_37,Y_10,Low,Total Organic Carbon
Mine_134,country_37,Y_10,Panamax,Vessel size
Mine_134,country_37,Y_10,0,Capital cost of mine (inc. all infrasturure for export)
Mine_134,country_37,Y_10,10,Life of mine
Mine_134,country_37,Y_10,1,constructiuon period for mine & infrastructure
Mine_134,country_37,Y_10,0.15,IRR
Mine_77,country_17,Y_10,0,Other penalties - extra processing costs
Mine_77,country_17,Y_10,0.365,LT Avail AA
Mine_77,country_17,Y_10,0.425,Total Alumina
Mine_77,country_17,Y_10,0.029,LT React. Silica
Mine_77,country_17,Y_10,0.033,Total Silica
Mine_77,country_17,Y_10,0.031,Monhydrate
Mine_77,country_17,Y_10,0.1,Moisture
Mine_77,country_17,Y_10,LT,Bauxite style
Mine_77,country_17,Y_10,High,Total Organic Carbon
Mine_77,country_17,Y_10,Panamax,Vessel size
Mine_77,country_17,Y_10,15,Capital cost of mine (inc. all infrasturure for export)
Mine_77,country_17,Y_10,7,Life of mine
Mine_77,country_17,Y_10,2,constructiuon period for mine & infrastructure
Mine_77,country_17,Y_10,0.08,IRR
Mine_117,country_24,Y_10,1,Other penalties - extra processing costs
Mine_117,country_24,Y_10,0.405,LT Avail AA
Mine_117,country_24,Y_10,0.48,Total Alumina
Mine_117,country_24,Y_10,0.0525,LT React. Silica
Mine_117,country_24,Y_10,0.07,Total Silica
Mine_117,country_24,Y_10,0.0225,Monhydrate
Mine_117,country_24,Y_10,0.07,Moisture
Mine_117,country_24,Y_10,LT,Bauxite style
Mine_117,country_24,Y_10,Moderate,Total Organic Carbon
Mine_117,country_24,Y_10,Panamax,Vessel size
Mine_117,country_24,Y_10,5,Capital cost of mine (inc. all infrasturure for export)
Mine_117,country_24,Y_10,20,Life of mine
Mine_117,country_24,Y_10,1,constructiuon period for mine & infrastructure
Mine_117,country_24,Y_10,0.08,IRR
Mine_118,country_24,Y_10,1,Other penalties - extra processing costs
Mine_118,country_24,Y_10,0.405,LT Avail AA
Mine_118,country_24,Y_10,0.48,Total Alumina
Mine_118,country_24,Y_10,0.0525,LT React. Silica
Mine_118,country_24,Y_10,0.07,Total Silica
Mine_118,country_24,Y_10,0.0225,Monhydrate
Mine_118,country_24,Y_10,0.07,Moisture
Mine_118,country_24,Y_10,LT,Bauxite style
Mine_118,country_24,Y_10,Moderate,Total Organic Carbon
Mine_118,country_24,Y_10,Panamax,Vessel size
Mine_118,country_24,Y_10,5,Capital cost of mine (inc. all infrasturure for export)
Mine_118,country_24,Y_10,20,Life of mine
Mine_118,country_24,Y_10,1,constructiuon period for mine & infrastructure
Mine_118,country_24,Y_10,0.08,IRR
Mine_126,country_26,Y_10,0,Other penalties - extra processing costs
Mine_126,country_26,Y_10,0.44,LT Avail AA
Mine_126,country_26,Y_10,0.49,Total Alumina
Mine_126,country_26,Y_10,0.04,LT React. Silica
Mine_126,country_26,Y_10,0.125,Total Silica
Mine_126,country_26,Y_10,0.01,Monhydrate
Mine_126,country_26,Y_10,0.14,Moisture
Mine_126,country_26,Y_10,LT,Bauxite style
Mine_126,country_26,Y_10,Low,Total Organic Carbon
Mine_126,country_26,Y_10,Panamax,Vessel size
Mine_126,country_26,Y_10,6.094827451,Capital cost of mine (inc. all infrasturure for export)
Mine_126,country_26,Y_10,5,Life of mine
Mine_126,country_26,Y_10,1,constructiuon period for mine & infrastructure
Mine_126,country_26,Y_10,0.15,IRR
Mine_125,country_26,Y_10,0,Other penalties - extra processing costs
Mine_125,country_26,Y_10,0.4,LT Avail AA
Mine_125,country_26,Y_10,0.49,Total Alumina
Mine_125,country_26,Y_10,0.065,LT React. Silica
Mine_125,country_26,Y_10,0.13,Total Silica
Mine_125,country_26,Y_10,0.025,Monhydrate
Mine_125,country_26,Y_10,0.13,Moisture
Mine_125,country_26,Y_10,LT,Bauxite style
Mine_125,country_26,Y_10,Low,Total Organic Carbon
Mine_125,country_26,Y_10,Panamax,Vessel size
Mine_125,country_26,Y_10,8,Capital cost of mine (inc. all infrasturure for export)
Mine_125,country_26,Y_10,5,Life of mine
Mine_125,country_26,Y_10,2,constructiuon period for mine & infrastructure
Mine_125,country_26,Y_10,0.15,IRR
Mine_88,country_45,Y_10,0,Other penalties - extra processing costs
Mine_88,country_45,Y_10,0.365,LT Avail AA
Mine_88,country_45,Y_10,0.4,Total Alumina
Mine_88,country_45,Y_10,0.035,LT React. Silica
Mine_88,country_45,Y_10,0.04,Total Silica
Mine_88,country_45,Y_10,0,Monhydrate
Mine_88,country_45,Y_10,0.17,Moisture
Mine_88,country_45,Y_10,LT,Bauxite style
Mine_88,country_45,Y_10,Moderate,Total Organic Carbon
Mine_88,country_45,Y_10,Panamax,Vessel size
Mine_88,country_45,Y_10,30,Capital cost of mine (inc. all infrasturure for export)
Mine_88,country_45,Y_10,30,Life of mine
Mine_88,country_45,Y_10,2,constructiuon period for mine & infrastructure
Mine_88,country_45,Y_10,0.08,IRR
Mine_87,country_44,Y_10,0,Other penalties - extra processing costs
Mine_87,country_44,Y_10,0.35,LT Avail AA
Mine_87,country_44,Y_10,0.465,Total Alumina
Mine_87,country_44,Y_10,0.04,LT React. Silica
Mine_87,country_44,Y_10,0.05,Total Silica
Mine_87,country_44,Y_10,0.075,Monhydrate
Mine_87,country_44,Y_10,0.16,Moisture
Mine_87,country_44,Y_10,HT-D,Bauxite style
Mine_87,country_44,Y_10,Low,Total Organic Carbon
Mine_87,country_44,Y_10,Capesize,Vessel size
Mine_87,country_44,Y_10,10,Capital cost of mine (inc. all infrasturure for export)
Mine_87,country_44,Y_10,5,Life of mine
Mine_87,country_44,Y_10,1,constructiuon period for mine & infrastructure
Mine_87,country_44,Y_10,0.12,IRR
Mine_129,country_51,Y_10,0,Other penalties - extra processing costs
Mine_129,country_51,Y_10,0.43,LT Avail AA
Mine_129,country_51,Y_10,0.49,Total Alumina
Mine_129,country_51,Y_10,0.01,LT React. Silica
Mine_129,country_51,Y_10,0.015,Total Silica
Mine_129,country_51,Y_10,0.05,Monhydrate
Mine_129,country_51,Y_10,0.17,Moisture
Mine_129,country_51,Y_10,HT-D,Bauxite style
Mine_129,country_51,Y_10,Low,Total Organic Carbon
Mine_129,country_51,Y_10,Panamax,Vessel size
Mine_129,country_51,Y_10,20,Capital cost of mine (inc. all infrasturure for export)
Mine_129,country_51,Y_10,25,Life of mine
Mine_129,country_51,Y_10,2,constructiuon period for mine & infrastructure
Mine_129,country_51,Y_10,0.1,IRR
Mine_89,country_43,Y_10,0,Other penalties - extra processing costs
Mine_89,country_43,Y_10,0.495,LT Avail AA
Mine_89,country_43,Y_10,0.515,Total Alumina
Mine_89,country_43,Y_10,0.02,LT React. Silica
Mine_89,country_43,Y_10,0.02,Total Silica
Mine_89,country_43,Y_10,0,Monhydrate
Mine_89,country_43,Y_10,0.11,Moisture
Mine_89,country_43,Y_10,LT,Bauxite style
Mine_89,country_43,Y_10,Moderate,Total Organic Carbon
Mine_89,country_43,Y_10,Panamax,Vessel size
Mine_89,country_43,Y_10,20,Capital cost of mine (inc. all infrasturure for export)
Mine_89,country_43,Y_10,25,Life of mine
Mine_89,country_43,Y_10,2,constructiuon period for mine & infrastructure
Mine_89,country_43,Y_10,0.1,IRR
Mine_146,country_55,Y_10,2,Other penalties - extra processing costs
Mine_146,country_55,Y_10,0.47,LT Avail AA
Mine_146,country_55,Y_10,0.48,Total Alumina
Mine_146,country_55,Y_10,0.01,LT React. Silica
Mine_146,country_55,Y_10,0.011,Total Silica
Mine_146,country_55,Y_10,0,Monhydrate
Mine_146,country_55,Y_10,0.15,Moisture
Mine_146,country_55,Y_10,HT-D,Bauxite style
Mine_146,country_55,Y_10,High,Total Organic Carbon
Mine_146,country_55,Y_10,Panamax,Vessel size
Mine_146,country_55,Y_10,20,Capital cost of mine (inc. all infrasturure for export)
Mine_146,country_55,Y_10,20,Life of mine
Mine_146,country_55,Y_10,2,constructiuon period for mine & infrastructure
Mine_146,country_55,Y_10,0.12,IRR
Mine_72,country_17,Y_10,0,Other penalties - extra processing costs
Mine_72,country_17,Y_10,0.39,LT Avail AA
Mine_72,country_17,Y_10,0.5,Total Alumina
Mine_72,country_17,Y_10,0.09,LT React. Silica
Mine_72,country_17,Y_10,0.115,Total Silica
Mine_72,country_17,Y_10,0.02,Monhydrate
Mine_72,country_17,Y_10,0.13,Moisture
Mine_72,country_17,Y_10,LT,Bauxite style
Mine_72,country_17,Y_10,High,Total Organic Carbon
Mine_72,country_17,Y_10,Panamax,Vessel size
Mine_72,country_17,Y_10,10,Capital cost of mine (inc. all infrasturure for export)
Mine_72,country_17,Y_10,5,Life of mine
Mine_72,country_17,Y_10,1,constructiuon period for mine & infrastructure
Mine_72,country_17,Y_10,0.08,IRR
Mine_74,country_17,Y_10,0,Other penalties - extra processing costs
Mine_74,country_17,Y_10,0.38,LT Avail AA
Mine_74,country_17,Y_10,0.53,Total Alumina
Mine_74,country_17,Y_10,0.075,LT React. Silica
Mine_74,country_17,Y_10,0.11,Total Silica
Mine_74,country_17,Y_10,0.075,Monhydrate
Mine_74,country_17,Y_10,0.13,Moisture
Mine_74,country_17,Y_10,HT-D,Bauxite style
Mine_74,country_17,Y_10,High,Total Organic Carbon
Mine_74,country_17,Y_10,Panamax,Vessel size
Mine_74,country_17,Y_10,45,Capital cost of mine (inc. all infrasturure for export)
Mine_74,country_17,Y_10,25,Life of mine
Mine_74,country_17,Y_10,4,constructiuon period for mine & infrastructure
Mine_74,country_17,Y_10,0.08,IRR
Mine_135,country_37,Y_10,0,Other penalties - extra processing costs
Mine_135,country_37,Y_10,0.35,LT Avail AA
Mine_135,country_37,Y_10,0.395,Total Alumina
Mine_135,country_37,Y_10,0.04,LT React. Silica
