country_id,year_id,fxratestomines
country_52,Y_18,0.93853857
country_52,Y_19,0.93853857
country_52,Y_20,0.93853857
country_52,Y_21,0.93853857
country_52,Y_22,0.93853857
country_52,Y_23,0.93853857
country_52,Y_24,0.93853857
country_52,Y_25,0.93853857
country_52,Y_26,0.93853857
country_52,Y_27,0.93853857
country_36,Y_10,1
country_36,Y_11,1
country_36,Y_12,0.9
country_36,Y_13,0.9
country_36,Y_14,0.9
country_36,Y_15,0.9
country_36,Y_16,0.9
country_36,Y_17,0.9
country_36,Y_18,0.9
country_36,Y_19,0.9
country_36,Y_20,0.9
country_36,Y_21,0.9
country_36,Y_22,0.9
country_36,Y_23,0.9
country_36,Y_24,0.9
country_36,Y_25,0.9
country_36,Y_26,0.9
country_36,Y_27,0.9
country_37,Y_10,1
country_37,Y_11,0.920882169
country_37,Y_12,0.832377379
country_37,Y_13,0.852160561
country_37,Y_14,0.890798897
country_37,Y_15,0.937376617
country_37,Y_16,0.937376617
country_37,Y_17,0.937376617
country_37,Y_18,0.937376617
country_37,Y_19,0.937376617
country_37,Y_20,0.937376617
country_37,Y_21,0.937376617
country_37,Y_22,0.937376617
country_37,Y_23,0.937376617
country_37,Y_24,0.937376617
country_37,Y_25,0.937376617
country_37,Y_26,0.937376617
country_37,Y_27,0.937376617
country_29,Y_10,1
country_29,Y_11,1
country_29,Y_12,0.918374171
country_29,Y_13,0.918374171
country_29,Y_14,0.918374171
country_29,Y_15,0.918374171
country_29,Y_16,0.918374171
country_29,Y_17,0.918374171
country_29,Y_18,0.918374171
country_29,Y_19,0.918374171
country_29,Y_20,0.918374171
country_29,Y_21,0.918374171
country_29,Y_22,0.918374171
country_29,Y_23,0.918374171
country_29,Y_24,0.918374171
country_29,Y_25,0.918374171
country_29,Y_26,0.918374171
country_29,Y_27,0.918374171
country_53,Y_10,1
country_53,Y_11,1
country_53,Y_12,0.918834417
country_53,Y_13,0.918834417
country_53,Y_14,0.918834417
country_53,Y_15,0.918834417
country_53,Y_16,0.918834417
country_53,Y_17,0.918834417
country_53,Y_18,0.918834417
country_53,Y_19,0.918834417
country_53,Y_20,0.918834417
country_53,Y_21,0.918834417
country_53,Y_22,0.918834417
country_53,Y_23,0.918834417
country_53,Y_24,0.918834417
country_53,Y_25,0.918834417
country_53,Y_26,0.918834417
country_53,Y_27,0.918834417
country_18,Y_10,1
country_18,Y_11,1
country_18,Y_12,0.652114618
country_18,Y_13,0.652114618
country_18,Y_14,0.652114618
country_18,Y_15,0.652114618
country_18,Y_16,0.652114618
country_18,Y_17,0.652114618
country_18,Y_18,0.652114618
country_18,Y_19,0.652114618
country_18,Y_20,0.652114618
country_18,Y_21,0.652114618
country_18,Y_22,0.652114618
country_18,Y_23,0.652114618
country_18,Y_24,0.652114618
country_18,Y_25,0.652114618
country_18,Y_26,0.652114618
country_18,Y_27,0.652114618
country_33,Y_10,1
country_33,Y_11,1
country_33,Y_12,1
country_33,Y_13,1
country_33,Y_14,1
country_33,Y_15,1
country_33,Y_16,1
country_33,Y_17,1
country_33,Y_18,1
country_33,Y_19,1
country_33,Y_20,1
country_33,Y_21,1
country_33,Y_22,1
country_33,Y_23,1
country_33,Y_24,1
country_33,Y_25,1
country_33,Y_26,1
country_33,Y_27,1
country_54,Y_10,1
country_54,Y_11,1
country_54,Y_12,0.994252874
country_54,Y_13,0.994252874
country_54,Y_14,0.994252874
country_54,Y_15,0.994252874
country_54,Y_16,0.994252874
country_54,Y_17,0.994252874
country_54,Y_18,0.994252874
country_54,Y_19,0.994252874
country_54,Y_20,0.994252874
country_54,Y_21,0.994252874
country_54,Y_22,0.994252874
country_54,Y_23,0.994252874
country_54,Y_24,0.994252874
country_54,Y_25,0.994252874
country_54,Y_26,0.994252874
country_54,Y_27,0.994252874
country_55,Y_10,1
country_55,Y_11,1
country_55,Y_12,0.966455696
country_55,Y_13,0.966455696
country_55,Y_14,0.966455696
country_55,Y_15,0.966455696
country_55,Y_16,0.966455696
country_55,Y_17,0.966455696
country_55,Y_18,0.966455696
country_55,Y_19,0.966455696
country_55,Y_20,0.966455696
country_55,Y_21,0.966455696
country_55,Y_22,0.966455696
country_55,Y_23,0.966455696
country_55,Y_24,0.966455696
country_55,Y_25,0.966455696
country_55,Y_26,0.966455696
country_55,Y_27,0.966455696
country_6,Y_10,1
country_6,Y_11,1
country_6,Y_12,0.918374171
country_6,Y_13,0.918374171
country_6,Y_14,0.918374171
country_6,Y_15,0.918374171
country_6,Y_16,0.918374171
country_6,Y_17,0.918374171
country_6,Y_18,0.918374171
country_6,Y_19,0.918374171
country_6,Y_20,0.918374171
country_6,Y_21,0.918374171
country_6,Y_22,0.918374171
country_6,Y_23,0.918374171
country_6,Y_24,0.918374171
country_6,Y_25,0.918374171
country_6,Y_26,0.918374171
country_6,Y_27,0.918374171
country_56,Y_10,1
country_56,Y_11,1
country_56,Y_12,1.000764526
country_56,Y_13,1.000764526
country_56,Y_14,1.000764526
country_56,Y_15,1.000764526
country_56,Y_16,1.000764526
country_56,Y_17,1.000764526
country_56,Y_18,1.000764526
country_56,Y_19,1.000764526
country_56,Y_20,1.000764526
country_56,Y_21,1.000764526
country_56,Y_22,1.000764526
country_56,Y_23,1.000764526
country_56,Y_24,1.000764526
country_56,Y_25,1.000764526
country_56,Y_26,1.000764526
country_56,Y_27,1.000764526
country_23,Y_10,1
country_23,Y_11,1
country_23,Y_12,0.902945415
country_23,Y_13,0.902945415
country_23,Y_14,0.902945415
country_23,Y_15,0.902945415
country_23,Y_16,0.902945415
country_23,Y_17,0.902945415
country_23,Y_18,0.902945415
country_23,Y_19,0.902945415
country_23,Y_20,0.902945415
country_23,Y_21,0.902945415
country_23,Y_22,0.902945415
country_23,Y_23,0.902945415
country_23,Y_24,0.902945415
country_23,Y_25,0.902945415
country_23,Y_26,0.902945415
country_23,Y_27,0.902945415
country_20,Y_10,1
country_20,Y_11,1
country_20,Y_12,0.999999489
country_20,Y_13,0.999999489
country_20,Y_14,0.999999489
country_20,Y_15,0.999999489
country_20,Y_16,0.999999489
country_20,Y_17,0.999999489
country_20,Y_18,0.999999489
country_20,Y_19,0.999999489
country_20,Y_20,0.999999489
country_20,Y_21,0.999999489
country_20,Y_22,0.999999489
country_20,Y_23,0.999999489
country_20,Y_24,0.999999489
