country_id,year_id,fxrates
country_56,Y_11,3.27
country_56,Y_12,3.27
country_56,Y_13,3.27
country_56,Y_14,3.27
country_56,Y_15,3.27
country_56,Y_16,3.27
country_56,Y_17,3.27
country_56,Y_18,3.27
country_56,Y_19,3.27
country_56,Y_20,3.27
country_56,Y_21,3.27
country_56,Y_22,3.27
country_56,Y_23,3.27
country_56,Y_24,3.27
country_56,Y_25,3.27
country_56,Y_26,3.27
country_56,Y_27,3.27
country_23,Y_10,2.187008
country_23,Y_11,2.713777
country_23,Y_12,2.713777
country_23,Y_13,2.713777
country_23,Y_14,2.713777
country_23,Y_15,2.713777
country_23,Y_16,2.713777
country_23,Y_17,2.713777
country_23,Y_18,2.713777
country_23,Y_19,2.713777
country_23,Y_20,2.713777
country_23,Y_21,2.713777
country_23,Y_22,2.713777
country_23,Y_23,2.713777
country_23,Y_24,2.713777
country_23,Y_25,2.713777
country_23,Y_26,2.713777
country_23,Y_27,2.713777
country_20,Y_10,3.672497219
country_20,Y_11,3.672500972
country_20,Y_12,3.672500972
country_20,Y_13,3.672500972
country_20,Y_14,3.672500972
country_20,Y_15,3.672500972
country_20,Y_16,3.672500972
country_20,Y_17,3.672500972
country_20,Y_18,3.672500972
country_20,Y_19,3.672500972
country_20,Y_20,3.672500972
country_20,Y_21,3.672500972
country_20,Y_22,3.672500972
country_20,Y_23,3.672500972
country_20,Y_24,3.672500972
country_20,Y_25,3.672500972
country_20,Y_26,3.672500972
country_20,Y_27,3.672500972
country_56,Y_10,12
country_56,Y_11,22.5
country_56,Y_12,22.5
country_56,Y_13,22.5
country_56,Y_14,22.5
country_56,Y_15,22.5
country_56,Y_16,22.5
country_56,Y_17,22.5
country_56,Y_18,22.5
country_56,Y_19,22.5
country_56,Y_20,22.5
country_56,Y_21,22.5
country_56,Y_22,22.5
country_56,Y_23,22.5
country_56,Y_24,22.5
country_56,Y_25,22.5
country_56,Y_26,22.5
country_56,Y_27,22.5
country_19,Y_10,1
country_19,Y_11,1
country_19,Y_12,1
country_19,Y_13,1
country_19,Y_14,1
country_19,Y_15,1
country_19,Y_16,1
country_19,Y_17,1
country_19,Y_18,1
country_19,Y_19,1
country_19,Y_20,1
country_19,Y_21,1
country_19,Y_22,1
country_19,Y_23,1
country_19,Y_24,1
country_19,Y_25,1
country_19,Y_26,1
country_19,Y_27,1
country_5,Y_10,6.2842
country_5,Y_11,6.2842
country_5,Y_12,6.2842
country_5,Y_13,6.2842
country_5,Y_14,6.2842
country_5,Y_15,6.2842
country_5,Y_16,6.2842
country_5,Y_17,6.2842
country_5,Y_18,6.2842
country_5,Y_19,6.2842
country_5,Y_20,6.2842
country_5,Y_21,6.2842
country_5,Y_22,6.2842
country_5,Y_23,6.2842
country_5,Y_24,6.2842
country_5,Y_25,6.2842
country_5,Y_26,6.2842
country_5,Y_27,6.2842
country_57,Y_10,21210.69707
country_57,Y_11,21895.17697
country_57,Y_12,22470.24524
country_57,Y_13,22928.78365
country_57,Y_14,23337.17873
country_57,Y_15,23692.54608
country_57,Y_16,23692.54608
country_57,Y_17,23692.54608
country_57,Y_18,23692.54608
country_57,Y_19,23692.54608
country_57,Y_20,23692.54608
country_57,Y_21,23692.54608
country_57,Y_22,23692.54608
country_57,Y_23,23692.54608
country_57,Y_24,23692.54608
country_57,Y_25,23692.54608
country_57,Y_26,23692.54608
country_57,Y_27,23692.54608
country_58,Y_10,1052.14683
country_58,Y_11,1129.166667
country_58,Y_12,1129.166667
country_58,Y_13,1129.166667
country_58,Y_14,1129.166667
country_58,Y_15,1129.166667
country_58,Y_16,1129.166667
country_58,Y_17,1129.166667
country_58,Y_18,1129.166667
country_58,Y_19,1129.166667
country_58,Y_20,1129.166667
country_58,Y_21,1129.166667
country_58,Y_22,1129.166667
country_58,Y_23,1129.166667
country_58,Y_24,1129.166667
country_58,Y_25,1129.166667
country_58,Y_26,1129.166667
country_58,Y_27,1129.166667
