"frieght,data,id",week,"indonesia,panamax","indonesia,capesize","australia,panamax","india,supramax","india,panamax","india,capesize","malaysia,superamax","malaysia,panamax","guinea,capesize","brazil,capesize",weekbeforecbx
74,41236.0,8.22075889,7.813485555,10.57949284,0,0,0,0,0,0,0,0
75,41243.0,8.380577417,7.504017542,10.76445947,0,0,0,0,0,0,0,0
76,41250.0,7.858573448,6.70228416,10.12251482,0,0,0,0,0,0,0,0
77,41257.0,7.38867436,5.88196522,9.535406496,0,0,0,0,0,0,0,0
78,41264.0,6.929590672,5.738671035,8.985317576,0,0,0,0,0,0,0,0
79,41271.0,6.763575908,5.519543993,8.790849094,0,0,0,0,0,0,0,0
80,41278.0,6.537478142,5.408122979,8.508194845,0,0,0,0,0,0,0,0
81,41285.0,6.677021253,5.673786055,8.703302336,0,0,0,0,0,0,0,0
82,41292.0,6.841946793,5.663631835,8.902915939,0,0,0,0,0,0,0,0
83,41299.0,6.711336961,5.799174403,8.742128447,0,0,0,0,0,0,0,0
84,41306.0,6.732876714,5.685759208,8.78125029,0,0,0,0,0,0,0,0
85,41313.0,6.941520267,5.732293159,9.062996482,0,0,0,0,0,0,0,0
86,41320.0,7.706510451,5.726257818,10.00108341,0,0,0,0,0,0,0,0
87,41327.0,8.200558974,5.631171044,10.60780465,0,0,0,0,0,0,0,0
88,41334.0,8.602538407,5.317358882,11.07584373,0,0,0,0,0,0,0,0
89,41341.0,8.999188949,5.255725889,11.55530221,0,0,0,0,0,0,0,0
90,41348.0,9.051924859,5.448575967,11.62039846,0,0,0,0,0,0,0,0
91,41355.0,9.049658911,5.423393708,11.60733612,0,0,0,0,0,0,0,0
92,41362.0,9.117973664,5.35372549,11.68463083,0,0,0,0,0,0,0,0
93,41369.0,9.007071335,5.330579772,11.56210664,0,0,0,0,0,0,0,0
94,41376.0,8.74849131,5.203589655,11.22551604,0,0,0,0,0,0,0,0
95,41383.0,8.664819538,5.336217169,11.10558796,0,0,0,0,0,0,0,0
96,41390.0,8.463250376,5.463539907,10.88489267,0,0,0,0,0,0,0,0
97,41397.0,8.164021806,5.672621045,10.50346622,0,0,0,0,0,0,0,0
98,41404.0,8.008727842,5.901183466,10.32672826,0,0,0,0,0,0,0,0
99,41411.0,7.87144716,5.749307133,10.15609609,0,0,0,0,0,0,0,0
100,41418.0,7.320751368,5.668062465,9.487360379,0,0,0,0,0,0,0,0
101,41425.0,7.152597187,5.694393847,9.289558926,0,0,0,0,0,0,0,0
102,41432.0,6.894955313,5.765761143,8.972435035,0,0,0,0,0,0,0,0
103,41439.0,7.075978182,5.921169479,9.210813887,0,0,0,0,0,0,0,0
104,41446.0,7.506365816,6.526433356,9.750722286,0,0,0,0,0,0,0,0
105,41453.0,7.349386585,6.862373352,9.549407798,0,0,0,0,0,0,0,0
106,41460.0,7.469617301,7.015477101,9.689867756,0,0,0,0,0,0,0,0
107,41467.0,7.52624814,6.777033902,9.770191479,0,0,0,0,0,0,0,0
108,41474.0,7.919857752,6.849170046,10.25391463,0,0,0,0,0,0,0,0
109,41481.0,7.89263554,6.742394732,10.22116365,0,0,0,0,0,0,0,0
110,41488.0,7.629480902,6.75296544,9.900202242,0,0,0,0,0,0,0,0
111,41495.0,7.442908883,7.171322098,9.680674961,0,0,0,0,0,0,0,0
112,41502.0,7.496374305,7.208528825,9.738662452,0,0,0,0,0,0,0,0
113,41509.0,7.712702762,7.866113095,10.0086442,0,0,0,0,0,0,0,0
114,41516.0,7.898802132,8.217899496,10.24740316,0,0,0,0,0,0,0,0
115,41523.0,8.072232062,8.456575656,10.45896802,0,0,0,0,0,0,0,0
116,41530.0,9.379582351,10.37658372,12.03299092,0,0,0,0,0,0,0,0
117,41537.0,10.13855958,10.93532161,12.95526628,0,0,0,0,0,0,0,0
118,41544.0,10.13735685,10.93405277,12.94811035,0,0,0,0,0,0,0,0
119,41551.0,10.13735685,10.93405277,12.94811035,0,0,0,0,0,0,0,0
120,41558.0,11.19513346,11.79455343,14.25544974,0,0,0,0,0,0,0,0
121,41565.0,11.51667696,11.16260601,14.64670333,0,0,0,0,0,0,0,0
122,41572.0,10.77,9.09,13.72,0,0,0,0,0,0,0,0
123,41579.0,9.93,7.25,12.71,0,0,0,0,0,0,0,0
124,41586.0,9.55,7.98,12.24,0,0,0,0,0,0,0,0
125,41593.0,9.48,8.2,11.87,0,0,0,0,0,0,0,0
126,41600.0,9.17,8.21,11.49,0,0,0,0,0,0,0,0
127,41607.0,9.55,8.84,11.97,0,0,0,0,0,0,0,0
128,41614.0,10.29,11.56,12.88,0,0,0,0,0,0,0,0
129,41621.0,10.78,13.27,13.48,0,0,0,0,0,0,0,0
130,41628.0,10.34,11.18,12.96,0,0,0,0,0,0,0,0
131,41635.0,10.02,11.28,12.57,0,0,0,0,0,0,0,0
132,41642.0,9.91,10.04,12.44,0,0,0,0,0,0,0,0
133,41649.0,9.51,7.33,11.94,0,0,0,0,0,0,0,0
134,41656.0,9.18,6.2,11.53,0,0,0,0,0,0,0,0
135,41663.0,9.12,6.69,11.47,0,0,0,0,0,0,0,0
136,41670.0,8.75,6.03,11.04,0,0,0,0,0,0,0,0
137,41677.0,8.74,6.05,11.01,0,0,0,0,0,0,0,0
138,41684.0,9.23,6.35,11.6,0,0,0,0,0,0,0,0
139,41691.0,9.97,7.14,12.5,0,0,0,0,0,0,0,0
140,41698.0,9.97,7.66,12.5,0,0,0,0,0,0,0,0
141,41705.0,9.63,8.84,12.08,0,0,0,0,0,0,0,0
142,41712.0,9.63,9.21,12.07,0,0,0,0,0,0,0,0
143,41719.0,9.68,9.5,12.13,0,0,0,0,0,0,0,0
144,41726.0,9.56,9.38,11.98,0,0,0,0,0,0,0,0
145,41733.0,8.97,8.59,11.25,0,0,0,0,0,0,0,0
146,41740.0,8.49,7.58,10.65,0,0,0,0,0,0,0,0
147,41747.0,8.28,6.77,10.4,0,0,0,0,0,0,0,0
148,41754.0,8.24,6.75,10.35,0,0,0,0,0,0,0,0
149,41761.0,8.26,6.61,10.2,0,0,0,0,0,0,0,0
150,41768.0,8.1,6.92,9.99,0,0,0,0,0,0,0,0
151,41775.0,8.21,6.77,10.13,0,0,0,0,0,0,0,0
152,41782.0,8.34,6.74,10.29,0,0,0,0,0,0,0,0
153,41789.0,8.1,6.92,10.02,0,0,0,0,0,0,0,0
154,41796.0,7.73,7.02,9.58,0,0,0,0,0,0,0,0
155,41803.0,7.34,7.32,9.11,0,0,0,0,0,0,0,0
156,41810.0,6.99,7.11,8.71,0,0,0,0,0,0,0,0
157,41817.0,6.72,7.07,8.4,0,0,0,0,0,0,0,0
158,41824.0,6.89,7.31,8.58,0,0,0,0,0,0,0,0
159,41831.0,7.51,6.9,9.31,0,0,0,0,0,0,0,0
160,41838.0,7.2,6.41,8.94,0,0,0,0,0,0,0,0
161,41845.0,6.84,6.43,8.52,0,0,0,0,0,0,0,0
162,41852.0,6.66,6.53,8.3,0,0,0,0,0,0,0,0
163,41859.0,6.49,6.06,8.1,0,0,0,0,0,0,0,0
164,41866.0,6.57,6.97,8.19,0,0,0,0,0,0,0,0
165,41873.0,6.55,6.96,8.17,0,0,0,0,0,0,0,0
166,41880.0,7.06,7.18,8.76,0,0,0,0,0,0,0,0
167,41887.0,7.45,8.12,9.22,0,0,0,0,0,0,0,0
168,41894.0,8.01,8.21,9.88,0,0,0,0,0,0,0,0
169,41901.0,7.96,7.54,9.83,0,0,0,0,0,0,0,0
170,41908.0,7.75,6.82,9.59,0,0,0,0,0,0,0,0
171,41915.0,7.69,6.77,9.51,0,0,0,0,0,0,0,0
172,41922.0,7.72,6.57,9.52,0,0,0,0,0,0,0,0
173,41929.0,7.61,6,9.33,0,0,0,0,0,0,0,0
174,41936.0,8.11,6.96,9.91,0,0,0,0,0,0,0,0
175,41943.0,8.73,8.79,10.65,0,0,0,0,0,0,0,0
176,41950.0,8.97,9.08,10.93,0,0,0,0,0,0,0,0
177,41957.0,7.85,7.55,9.78,0,0,0,0,0,0,0,0
178,41964.0,7.3,7.15,9.11,0,0,0,0,0,0,0,0
179,41971.0,7.12,6.68,8.9,0,0,0,0,0,0,0,0
180,41978.0,6.58,5.47,8.22,0,0,0,0,0,0,0,0
181,41985.0,6.94,4,7.43,0,0,0,0,0,0,0,0
182,41992.0,5.29,3.25,6.62,0,0,0,0,0,0,0,0
183,41999.0,5.09,3.23,6.38,0,0,0,0,0,0,0,0
184,42006.0,5.03,3.19,6.29,0,0,0,10.6,6.18,0,0,0
185,42013.0,4.52,2.96,5.65,0,0,0,10.02,5.54,0,0,0
186,42020.0,4.47,2.9,5.57,0,0,0,9.21,5.49,0,0,0
187,42027.0,4.18,3.13,5.24,0,0,0,8.73,5.11,0,0,0
188,42034.0,4.04,3.04,5.09,12.96,7.5,5.33,8.3,4.91,0,0,0
189,42041.0,3.83,3.07,4.9,12.11,7.17,5.43,7.67,4.59,0,0,0
190,42048.0,4.09,3.31,5.23,11.64,7.69,5.89,7.32,4.9,0,0,0
191,42055.0,0,0,0,0,0,0,0,0,0,0,0
192,42062.0,4.47,3.22,5.68,11.23,8.42,5.73,7.05,5.41,0,0,0
193,42069.0,4.46,3.21,5.66,11.19,8.38,5.71,7.03,5.39,0,0,0
194,42076.0,4.83,3.13,6.09,11.88,9.08,5.55,7.5,5.91,0,0,0
195,42083.0,4.7,2.95,5.92,12.21,8.81,5.19,7.75,5.76,0,0,0
196,42090.0,4.65,3.06,5.85,12.87,8.72,5.4,8.16,5.68,0,0,0
197,42097.0,4.46,3.11,5.64,13.04,8.35,5.51,8.28,5.43,0,0,0
198,42104.0,4.35,3.12,5.52,12.9,8.15,5.52,8.17,5.27,0,0,0
199,42111.0,4.44,3.13,5.64,12.66,8.34,5.55,7.99,5.38,0,0,0
200,42118.0,4.55,3.22,5.78,12.83,8.56,5.72,8.09,5.52,0,0,0
201,42125.0,4.6,3.27,5.84,12.9,8.67,5.82,8.12,5.58,0,0,0
202,42132.0,4.63,3.38,5.9,13.17,8.74,6.06,8.25,5.58,0,0,0
203,42139.0,4.68,3.74,5.95,13.16,8.84,6.71,8.25,5.65,0,0,0
204,42146.0,4.83,3.68,6.12,13.16,9.12,6.6,8.28,5.87,0,0,0
205,42153.0,4.74,3.63,6.03,13.62,8.94,6.49,8.56,5.74,0,0,0
206,42160.0,4.64,3.7,5.91,13.86,8.75,6.63,8.73,5.62,0,0,0
207,42167.0,4.74,3.63,6.03,13.94,8.94,6.5,8.78,5.75,0,0,0
208,42174.0,5.05,3.87,6.38,14.26,9.53,6.93,8.99,6.17,0,0,0
209,42181.0,5.12,4.34,6.46,14.27,9.67,7.79,9.02,6.29,0,0,0
210,42188.0,5.1,4.12,6.43,13.94,9.62,7.37,8.83,6.27,0,0,0
211,42195.0,5.15,4.02,6.47,13.42,9.68,7.16,8.53,6.36,0,0,0
212,42202.0,5.44,4.31,6.82,13.52,10.24,7.7,8.6,6.76,0,0,0
213,42209.0,5.67,4.66,7.09,13.89,10.67,8.34,8.85,7.07,0,0,0
214,42216.0,5.2,5.01,6.52,13.63,9.75,8.96,8.71,6.46,0,0,0
215,42223.0,4.72,5.87,5.93,13.09,8.82,10.53,8.39,5.84,0,0,0
216,42230.0,4.70895316,5.346839739,5.900559253,12.75759356,8.79247724,9.565218729,8.180511347,5.830599948,0,0,0
217,42237.0,4.587511713,5.262624983,5.734742832,12.42883648,8.5413856,9.393444763,8.001219851,5.691929964,0,0,0
218,42244.0,4.280461102,3.389126381,5.167554938,11.82179924,8.452675155,6.272043367,6.905190335,5.25502517,0,0,0
219,42251.0,4.37988075,3.662045558,5.330223167,12.3124565,8.69954568,6.860975965,7.130760001,5.343293856,0,0,0
220,42258.0,4.179005243,3.805203243,5.07937773,11.77469811,8.259877736,7.140568302,6.835031422,5.08552586,0,0,0
221,42265.0,4.102432517,3.836922895,4.974243339,11.1905252,8.086109547,7.194913716,6.512518321,4.996138978,0,0,0
222,42272.0,4.351237911,4.425060299,5.275524898,11.04156389,8.619620463,8.397427968,6.418515564,5.325107622,0,0,0
223,42279.0,4.218478878,4.499736076,5.115481852,10.81765994,8.334861614,8.547210996,6.291521424,5.149250431,0,0,0
224,42286.0,4.356414672,4.270830241,5.296503811,11.02682751,8.642143799,8.093944742,6.389308997,5.316252212,0,0,0
225,42293.0,4.414699012,3.983240658,5.359926,11.00099571,8.76066419,7.503099958,6.380974974,5.398384756,0,0,0
226,42300.0,4.095239683,3.868629036,4.970495182,10.84794178,8.074675573,7.263220747,6.304690255,4.979809825,0,0,0
227,42307.0,3.964055211,3.684268198,4.815553027,10.81505417,7.796798738,6.888591093,6.284119981,4.802810215,0,0,0
228,42314.0,3.750247113,3.424641294,4.567662806,10.76205463,7.345001616,6.361935642,6.244786875,4.507941207,0,0,0
229,42321.0,3.601062146,3.446490357,4.387570059,10.57669584,7.028500758,6.40714124,6.140461741,4.312686216,0,0,0
230,42328.0,3.17249814,3.080282082,3.859647895,10.00457496,6.104617555,5.65,5.830399157,3.755812977,0,0,0
231,42335.0,3.202690084,3.187294699,3.89688664,9.959325465,6.171358289,5.86960902,5.801310082,3.795095774,0,0,0
232,42342.0,3.174249094,3.445228636,3.853725537,9.899061674,6.104163092,6.388910062,5.778705865,3.766698385,0,0,0
233,42349.0,2.967663387,3.030067631,3.585686739,9.643189533,5.647836051,5.527273352,5.659687862,3.512322855,0,0,0
234,42356.0,2.866016321,2.616629205,3.455019142,9.358437986,5.428720458,4.682629718,5.506653396,3.38900187,0,0,0
235,42363.0,2.835073029,2.110720896,3.403135549,9.040483033,5.351488885,3.641535393,5.341590246,3.36298788,0,0,0
236,42370.0,2.832699362,2.108216744,3.400414178,9.037804729,5.348857569,3.638759427,5.339174192,3.360614213,0,0,0
237,42377.0,2.825759549,2.121979946,3.400304905,8.698483749,5.347073783,3.67932487,5.130146353,3.347816283,0,0,0
238,42384.0,2.631350379,1.888369506,3.151671567,7.635080916,4.922348035,3.193109349,4.534095345,3.106907648,0,0,0
239,42391.0,2.514991203,1.843191239,3.009052993,7.020528063,4.671531532,3.098021208,4.181411815,2.954896725,0,0,0
240,42398.0,2.441782248,1.978187003,2.937391072,6.659281774,4.531566744,3.387856268,3.947303498,2.840569053,0,0,0
241,42405.0,2.43,1.98,2.93,6.4,4.51,3.39,3.79,2.83,0,0,0
242,42412.0,2.43,1.98,2.92,6.14,4.5,3.4,3.64,2.81,0,0,0
243,42419.0,2.65,2,3.18,6.02,4.96,3.42,3.58,3.12,0,0,0
244,42426.0,2.68,1.95,3.2,7.09,5.01,3.21,4.22,3.17,0,0,0
245,42433.0,2.823126592,1.954466661,3.383931089,7.80834068,5.330604978,3.327967346,4.628544583,3.357013482,0,0,0
246,42440.0,3.263315693,2.060613453,3.926710186,8.530048402,6.279360461,3.556042938,5.022415158,3.925575005,0,0,0
247,42447.0,3.422296941,2.066273566,4.116467979,8.757603398,6.615563495,3.565852227,5.154155891,4.136464536,0,0,0
248,42454.0,3.267402656,2.116804101,3.933949549,9.070992371,6.288292485,3.670597325,5.334124418,3.926716744,6.041124094,0,0
249,42461.0,3.267885296,2.117313274,3.934380419,9.071536953,6.288827514,3.671161766,5.334615677,3.927199385,6.041670896,24.7447301,0
250,42468.0,3.274839767,2.408811301,3.935753167,8.947021565,6.297297641,4.25927979,5.27119329,3.942604227,6.98744477,15.599317,0
251,42475.0,3.451828972,2.665820083,4.163048634,9.218377945,6.686884743,4.795144516,5.406512504,4.163029328,7.92629541,17.12632678,0
252,42482.0,3.548350237,3.034484807,4.277625573,9.220725221,6.8926014,5.546643374,5.407540974,4.292614026,9.166209047,19.00707524,0
253,42489.0,3.695259975,3.232215109,4.466217286,9.360883723,7.217447689,5.961053992,5.47089037,4.477497494,9.89419531,20.19173066,0
254,42496.0,3.650169912,2.95096953,4.421792249,9.486711286,7.128327776,5.394334952,5.532419659,4.40796558,8.988401689,18.87248093,0
255,42503.0,3.599390762,2.655928908,4.366852697,9.441012062,7.026715867,4.799247972,5.499261005,4.336884035,8.023061213,17.43525034,0
256,42510.0,3.699720062,2.946276879,4.516122362,9.655851246,7.264859423,5.415120183,5.600480794,4.468524605,9.082629043,19.12456896,0
257,42517.0,3.689540308,2.839452084,4.485228799,9.905263888,7.230510181,5.184311054,5.755868745,4.450350976,8.693631604,18.51221925,0
258,42524.0,3.575226103,3.063975741,4.35016584,10.12571897,6.990342464,5.644297027,5.882886068,4.297237937,9.456241327,19.67330293,0
259,42531.0,3.575226103,3.063975741,4.35016584,10.12571897,6.990342464,5.644297027,5.882886068,4.297237937,9.456241327,19.67482665,0
260,42538.0,3.415669152,3.417991586,4.164597662,10.07403938,6.656728738,6.37075327,5.844980767,4.078016969,10.67102952,21.54695839,0
261,42545.0,3.581845801,3.226163859,4.372445946,10.70065667,7.020086804,5.989499582,6.19568268,4.291072818,10.07727068,20.7109618,0
262,42552.0,3.889042295,3.267968515,4.742856973,11.21084846,7.68239751,6.083669745,6.486152675,4.701891645,10.24813775,20.99379582,0
263,42559.0,4.127006504,3.418887301,5.029345215,11.50119899,8.194403657,6.397023429,6.650260878,5.019688955,10.77672895,21.81400485,0
264,42566.0,4.239742231,3.295079008,5.158522529,11.73447559,8.432411712,6.143516475,6.792207775,5.176675973,10.34366791,21.12767074,0
265,42573.0,4.454649198,3.171413092,5.412049891,12.08025132,8.887475203,5.890180041,6.997252547,5.467665073,9.916482825,20.46327738,0
266,42580.0,4.147184816,2.839669847,5.030680576,11.84316726,8.218961021,5.200362813,6.880807328,5.069663989,8.727852357,18.56696541,0
267,42587.0,3.782078956,2.66228719,4.583910711,11.4821708,7.430622929,4.827676515,6.686108447,4.589135396,8.074233227,17.50753761,0
268,42594.0,3.776192946,2.866791443,4.58416216,11.26941987,7.425497155,5.251103274,6.551477056,4.574354193,8.797808914,18.65043101,0
269,42601.0,4.017453771,3.261674748,4.898353266,11.82773112,7.959948185,6.075476313,6.839925958,4.870342758,10.24617046,21.01381223,0
270,42608.0,4.03783675,3.240990432,4.928245282,12.39048071,8.009595355,6.039250734,7.160493481,4.893354883,10.20493155,20.9835781,0
271,42615.0,3.949092494,3.366202366,4.824585635,12.55453624,7.825293891,6.298572848,7.253352633,4.774099961,10.63785841,21.6477175,0
272,42622.0,3.989460549,3.856142936,4.874448561,12.4238424,7.913131199,7.298615722,7.173938956,4.826004546,12.29302208,14.20759615,0
273,42629.0,4.02989268,4.542895361,4.914852371,11.90778378,7.984209821,8.733123753,6.882064307,4.899835408,14.72586086,25.47470628,0
274,42636.0,4.23,4.4,5.14,11.97,8.39,8.44,6.92,5.17,14.26,28.54351562,0
275,42643.0,4.2,4.18,5.14,12.03,8.35,8.01,6.94,5.12,13.65,27.79030098,0
276,42650.0,4.38,4.32,5.36,12.1,8.73,8.3,6.96,5.35,14.2,26.95116391,0
277,42657.0,4.42,4.22,5.4,12.21,8.8,8.1,7.03,5.4,13.93,27.86041117,0
278,42664.0,4.724221893,3.449242158,5.764551327,12.20762604,9.451002563,6.52203145,7.027451999,5.825864339,11.42398725,26.24009307,0
279,42671.0,4.509724866,3.566816917,5.495899282,11.68078625,8.975167553,6.745068362,6.743031322,5.546686486,11.72270641,23.67450874,0
280,42678.0,4.49,3.87,5.47,11.22,8.94,7.35,6.48,5.53,12.69,24.03807757,0
281,42685.0,4.701692797,4.470308468,5.707980453,10.95617223,9.383004959,8.591212765,6.327379193,5.834001446,14.67572467,25.4663316,0
282,42692.0,4.967983175,4.752513378,6.052946857,11.65460136,9.973471344,9.185538083,6.699296551,6.171331531,15.73152569,28.42883366,0
283,42699.0,4.956885205,4.769342522,6.037501013,11.65460136,9.956852216,9.233241109,6.699296551,6.158907148,15.82773677,30.36739705,0
284,42706.0,4.98,4.35,6.07,11.8,10.02,8.37,6.78,6.19,13.61958908,28.34313301,0
285,42713.0,5.186337566,4.027292333,6.352506672,12.20508316,10.4866583,7.761169888,6.973396125,6.427356965,12.03,27.346587,0
286,42720.0,4.99,3.53,6.14,12.22,10.08,6.75,6.97,6.13,12.04077719,25.0569446,0
287,42727.0,4.537510998,3.49725561,5.626508911,12.08420908,9.134084497,6.693799291,6.89025808,5.49037001,11.94680018,25.88111856,0
288,42734.0,4.624600417,3.558411092,5.748173951,12.29042944,9.335555219,6.834370995,6.991762609,5.59002119,12.2413195,25.48308825,0
289,42741.0,4.48,4.25,5.6,11.94,9.05,8.26,6.78,5.38,14.57,29.05141042,0
290,42748.0,4.58466164,3.964724795,5.700565666,11.23486294,9.247696636,7.659453221,6.383209674,5.532461087,13.56876474,27.47496471,0
291,42755.0,4.610404303,4.027638925,5.726905774,10.86138329,9.295231188,7.781477557,6.17067352,5.568628489,13.75704359,27.74648492,0
292,42762.0,4.610404303,4.027638925,5.726905774,10.86138329,9.295231188,7.781477557,6.17067352,5.568628489,13.75704359,27.74713846,0
293,42769.0,4.53,3.44,5.61,10.45,9.1,6.56,5.95,5.47,11.72,24.55582245,0
294,42776.0,4.68,3.24,5.8,10.75,9.44,6.17,6.12,5.69,11.12,23.7161815,0
295,42783.0,4.854712793,3.049590017,5.996112353,11.62751629,9.800811167,5.778435761,6.622185149,5.925790955,10.49702203,22.79063352,0
296,42790.0,5.017280159,3.727980591,6.184232543,13.35526053,10.14518948,7.1633102,7.619265847,6.154357067,12.73725846,26.17053557,0
297,42797.0,5.35,3.87,6.57,14.19,10.85,7.47,8.1,6.62,13.25,26.9928161,0
298,42804.0,5.567666469,4.275221304,6.800967854,14.51161782,11.29759946,8.272667834,8.297836539,6.953492859,14.48414866,28.71771607,0
299,42811.0,5.499093036,4.676241197,6.685775597,14.55218604,11.12353115,9.064347848,8.350864731,6.896923343,15.6466323,30.25875933,0
