,snapshot_id,model_id,output_set,output_id,output_label,output_row,output_value,override_value,actual_value
77,22,18,Sorted Input Data,12,Series 4,3,0.0,,
78,22,18,Sorted Input Data,13,Series 5,3,0.0,,
79,22,18,Sorted Input Data,14,Series 6,3,0.0,,
80,22,18,Sorted Input Data,15,Series 7,3,0.0,,
81,22,18,Sorted Input Data,16,Series 8,3,0.0,,
82,22,18,Sorted Input Data,17,Series 9,3,0.0,,
83,22,18,Sorted Input Data,18,Series 10,3,0.0,,
84,22,18,Sorted Input Data,19,Total Cost,3,34.06173177,,
85,22,18,Sorted Input Data,20,Rank Cost Proxy,3,34.061731793,,
86,22,18,Sorted Input Data,21,Associated Text,3,Weipa/Amrun Generic 4.2mln t $34.1,,
87,22,18,Sorted Input Data,22,Cumulative Prodn / Capacity,3,16.599999999999998,,
88,22,18,Sorted Input Data,1,level_0,4,4,,
89,22,18,Sorted Input Data,2,index,4,7,,
90,22,18,Sorted Input Data,3,cc_other_data_id,4,8,,
91,22,18,Sorted Input Data,4,Label regardless,4,-,,
92,22,18,Sorted Input Data,5,Linear order,4,8.0,,
93,22,18,Sorted Input Data,6,Rank,4,5,,
94,22,18,Sorted Input Data,7,Name,4,Dian Dian,,
95,22,18,Sorted Input Data,8,Prodn / Capacity,4,3.0,,
96,22,18,Sorted Input Data,9,Series 1,4,34.36529686,,
97,22,18,Sorted Input Data,10,Series 2,4,0.0,,
98,22,18,Sorted Input Data,11,Series 3,4,0.0,,
99,22,18,Sorted Input Data,12,Series 4,4,0.0,,
100,22,18,Sorted Input Data,13,Series 5,4,0.0,,
101,22,18,Sorted Input Data,14,Series 6,4,0.0,,
102,22,18,Sorted Input Data,15,Series 7,4,0.0,,
103,22,18,Sorted Input Data,16,Series 8,4,0.0,,
104,22,18,Sorted Input Data,17,Series 9,4,0.0,,
105,22,18,Sorted Input Data,18,Series 10,4,0.0,,
106,22,18,Sorted Input Data,19,Total Cost,4,34.36529686,,
107,22,18,Sorted Input Data,20,Rank Cost Proxy,4,34.365296884,,
108,22,18,Sorted Input Data,21,Associated Text,4,Dian Dian 3.0mln t $34.4,,
109,22,18,Sorted Input Data,22,Cumulative Prodn / Capacity,4,19.599999999999998,,
110,22,18,Sorted Input Data,1,level_0,5,5,,
111,22,18,Sorted Input Data,2,index,5,8,,
112,22,18,Sorted Input Data,3,cc_other_data_id,5,9,,
113,22,18,Sorted Input Data,4,Label regardless,5,-,,
114,22,18,Sorted Input Data,5,Linear order,5,9.0,,
115,22,18,Sorted Input Data,6,Rank,5,6,,
116,22,18,Sorted Input Data,7,Name,5,West Kalimantan,,
117,22,18,Sorted Input Data,8,Prodn / Capacity,5,9.0,,
118,22,18,Sorted Input Data,9,Series 1,5,35.05316578,,
119,22,18,Sorted Input Data,10,Series 2,5,0.0,,
120,22,18,Sorted Input Data,11,Series 3,5,0.0,,
121,22,18,Sorted Input Data,12,Series 4,5,0.0,,
122,22,18,Sorted Input Data,13,Series 5,5,0.0,,
123,22,18,Sorted Input Data,14,Series 6,5,0.0,,
124,22,18,Sorted Input Data,15,Series 7,5,0.0,,
125,22,18,Sorted Input Data,16,Series 8,5,0.0,,
126,22,18,Sorted Input Data,17,Series 9,5,0.0,,
127,22,18,Sorted Input Data,18,Series 10,5,0.0,,
128,22,18,Sorted Input Data,19,Total Cost,5,35.05316578,,
129,22,18,Sorted Input Data,20,Rank Cost Proxy,5,35.053165805,,
130,22,18,Sorted Input Data,21,Associated Text,5,West Kalimantan 9.0mln t $35.1,,
131,22,18,Sorted Input Data,22,Cumulative Prodn / Capacity,5,28.599999999999998,,
132,22,18,Sorted Input Data,1,level_0,6,6,,
133,22,18,Sorted Input Data,2,index,6,9,,
134,22,18,Sorted Input Data,3,cc_other_data_id,6,10,,
135,22,18,Sorted Input Data,4,Label regardless,6,-,,
136,22,18,Sorted Input Data,5,Linear order,6,10.0,,
137,22,18,Sorted Input Data,6,Rank,6,7,,
138,22,18,Sorted Input Data,7,Name,6,Huntly,,
139,22,18,Sorted Input Data,8,Prodn / Capacity,6,7.0,,
140,22,18,Sorted Input Data,9,Series 1,6,36.80947881,,
141,22,18,Sorted Input Data,10,Series 2,6,0.0,,
142,22,18,Sorted Input Data,11,Series 3,6,0.0,,
143,22,18,Sorted Input Data,12,Series 4,6,0.0,,
144,22,18,Sorted Input Data,13,Series 5,6,0.0,,
145,22,18,Sorted Input Data,14,Series 6,6,0.0,,
146,22,18,Sorted Input Data,15,Series 7,6,0.0,,
147,22,18,Sorted Input Data,16,Series 8,6,0.0,,
148,22,18,Sorted Input Data,17,Series 9,6,0.0,,
149,22,18,Sorted Input Data,18,Series 10,6,0.0,,
150,22,18,Sorted Input Data,19,Total Cost,6,36.80947881,,
151,22,18,Sorted Input Data,20,Rank Cost Proxy,6,36.809478836000004,,
152,22,18,Sorted Input Data,21,Associated Text,6,Huntly 7.0mln t $36.8,,
153,22,18,Sorted Input Data,22,Cumulative Prodn / Capacity,6,35.599999999999994,,
154,22,18,Sorted Input Data,1,level_0,7,7,,
155,22,18,Sorted Input Data,2,index,7,13,,
156,22,18,Sorted Input Data,3,cc_other_data_id,7,14,,
157,22,18,Sorted Input Data,4,Label regardless,7,-,,
158,22,18,Sorted Input Data,5,Linear order,7,14.0,,
159,22,18,Sorted Input Data,6,Rank,7,8,,
160,22,18,Sorted Input Data,7,Name,7,Other,,
161,22,18,Sorted Input Data,8,Prodn / Capacity,7,0.5,,
162,22,18,Sorted Input Data,9,Series 1,7,40.0,,
163,22,18,Sorted Input Data,10,Series 2,7,0.0,,
164,22,18,Sorted Input Data,11,Series 3,7,0.0,,
165,22,18,Sorted Input Data,12,Series 4,7,0.0,,
166,22,18,Sorted Input Data,13,Series 5,7,0.0,,
167,22,18,Sorted Input Data,14,Series 6,7,0.0,,
168,22,18,Sorted Input Data,15,Series 7,7,0.0,,
169,22,18,Sorted Input Data,16,Series 8,7,0.0,,
170,22,18,Sorted Input Data,17,Series 9,7,0.0,,
171,22,18,Sorted Input Data,18,Series 10,7,0.0,,
172,22,18,Sorted Input Data,19,Total Cost,7,40.0,,
173,22,18,Sorted Input Data,20,Rank Cost Proxy,7,40.00000003,,
174,22,18,Sorted Input Data,21,Associated Text,7,0,,
175,22,18,Sorted Input Data,22,Cumulative Prodn / Capacity,7,36.099999999999994,,
176,22,18,Sorted Input Data,1,level_0,8,8,,
177,22,18,Sorted Input Data,2,index,8,14,,
178,22,18,Sorted Input Data,3,cc_other_data_id,8,15,,
179,22,18,Sorted Input Data,4,Label regardless,8,-,,
180,22,18,Sorted Input Data,5,Linear order,8,15.0,,
181,22,18,Sorted Input Data,6,Rank,8,9,,
182,22,18,Sorted Input Data,7,Name,8,GAC,,
183,22,18,Sorted Input Data,8,Prodn / Capacity,8,5.56,,
184,22,18,Sorted Input Data,9,Series 1,8,40.15104228,,
185,22,18,Sorted Input Data,10,Series 2,8,0.0,,
186,22,18,Sorted Input Data,11,Series 3,8,0.0,,
187,22,18,Sorted Input Data,12,Series 4,8,0.0,,
188,22,18,Sorted Input Data,13,Series 5,8,0.0,,
189,22,18,Sorted Input Data,14,Series 6,8,0.0,,
190,22,18,Sorted Input Data,15,Series 7,8,0.0,,
191,22,18,Sorted Input Data,16,Series 8,8,0.0,,
192,22,18,Sorted Input Data,17,Series 9,8,0.0,,
193,22,18,Sorted Input Data,18,Series 10,8,0.0,,
194,22,18,Sorted Input Data,19,Total Cost,8,40.15104228,,
195,22,18,Sorted Input Data,20,Rank Cost Proxy,8,40.151042311,,
196,22,18,Sorted Input Data,21,Associated Text,8,GAC 5.6mln t $40.2,,
197,22,18,Sorted Input Data,22,Cumulative Prodn / Capacity,8,41.66,,
198,22,18,Sorted Input Data,1,level_0,9,9,,
199,22,18,Sorted Input Data,2,index,9,15,,
200,22,18,Sorted Input Data,3,cc_other_data_id,9,16,,
201,22,18,Sorted Input Data,4,Label regardless,9,-,,
202,22,18,Sorted Input Data,5,Linear order,9,16.0,,
203,22,18,Sorted Input Data,6,Rank,9,10,,
204,22,18,Sorted Input Data,7,Name,9,Alufer (Bel Air),,
205,22,18,Sorted Input Data,8,Prodn / Capacity,9,9.0,,
206,22,18,Sorted Input Data,9,Series 1,9,40.66062485,,
207,22,18,Sorted Input Data,10,Series 2,9,0.0,,
208,22,18,Sorted Input Data,11,Series 3,9,0.0,,
209,22,18,Sorted Input Data,12,Series 4,9,0.0,,
210,22,18,Sorted Input Data,13,Series 5,9,0.0,,
211,22,18,Sorted Input Data,14,Series 6,9,0.0,,
212,22,18,Sorted Input Data,15,Series 7,9,0.0,,
213,22,18,Sorted Input Data,16,Series 8,9,0.0,,
214,22,18,Sorted Input Data,17,Series 9,9,0.0,,
215,22,18,Sorted Input Data,18,Series 10,9,0.0,,
216,22,18,Sorted Input Data,19,Total Cost,9,40.66062485,,
217,22,18,Sorted Input Data,20,Rank Cost Proxy,9,40.660624882,,
218,22,18,Sorted Input Data,21,Associated Text,9,Alufer (Bel Air) 9.0mln t $40.7,,
219,22,18,Sorted Input Data,22,Cumulative Prodn / Capacity,9,50.66,,
220,22,18,Sorted Input Data,1,level_0,10,10,,
221,22,18,Sorted Input Data,2,index,10,16,,
222,22,18,Sorted Input Data,3,cc_other_data_id,10,17,,
223,22,18,Sorted Input Data,4,Label regardless,10,-,,
224,22,18,Sorted Input Data,5,Linear order,10,17.0,,
225,22,18,Sorted Input Data,6,Rank,10,11,,
226,22,18,Sorted Input Data,7,Name,10,Henan-Chine,,
227,22,18,Sorted Input Data,8,Prodn / Capacity,10,10.0,,
228,22,18,Sorted Input Data,9,Series 1,10,41.67233966,,
229,22,18,Sorted Input Data,10,Series 2,10,0.0,,
230,22,18,Sorted Input Data,11,Series 3,10,0.0,,
231,22,18,Sorted Input Data,12,Series 4,10,0.0,,
232,22,18,Sorted Input Data,13,Series 5,10,0.0,,
233,22,18,Sorted Input Data,14,Series 6,10,0.0,,
234,22,18,Sorted Input Data,15,Series 7,10,0.0,,
235,22,18,Sorted Input Data,16,Series 8,10,0.0,,
236,22,18,Sorted Input Data,17,Series 9,10,0.0,,
237,22,18,Sorted Input Data,18,Series 10,10,0.0,,
238,22,18,Sorted Input Data,19,Total Cost,10,41.67233966,,
239,22,18,Sorted Input Data,20,Rank Cost Proxy,10,41.672339693,,
240,22,18,Sorted Input Data,21,Associated Text,10,Henan-Chine 10.0mln t $41.7,,
241,22,18,Sorted Input Data,22,Cumulative Prodn / Capacity,10,60.66,,
242,22,18,Sorted Input Data,1,level_0,11,11,,
243,22,18,Sorted Input Data,2,index,11,20,,
244,22,18,Sorted Input Data,3,cc_other_data_id,11,21,,
245,22,18,Sorted Input Data,4,Label regardless,11,-,,
246,22,18,Sorted Input Data,5,Linear order,11,21.0,,
247,22,18,Sorted Input Data,6,Rank,11,12,,
248,22,18,Sorted Input Data,7,Name,11,CBG,,
249,22,18,Sorted Input Data,8,Prodn / Capacity,11,8.65,,
250,22,18,Sorted Input Data,9,Series 1,11,43.10650493,,
251,22,18,Sorted Input Data,10,Series 2,11,0.0,,
252,22,18,Sorted Input Data,11,Series 3,11,0.0,,
253,22,18,Sorted Input Data,12,Series 4,11,0.0,,
254,22,18,Sorted Input Data,13,Series 5,11,0.0,,
255,22,18,Sorted Input Data,14,Series 6,11,0.0,,
256,22,18,Sorted Input Data,15,Series 7,11,0.0,,
257,22,18,Sorted Input Data,16,Series 8,11,0.0,,
258,22,18,Sorted Input Data,17,Series 9,11,0.0,,
259,22,18,Sorted Input Data,18,Series 10,11,0.0,,
260,22,18,Sorted Input Data,19,Total Cost,11,43.10650493,,
261,22,18,Sorted Input Data,20,Rank Cost Proxy,11,43.106504967,,
262,22,18,Sorted Input Data,21,Associated Text,11,CBG 8.6mln t $43.1,,
263,22,18,Sorted Input Data,22,Cumulative Prodn / Capacity,11,69.31,,
264,22,18,Sorted Input Data,1,level_0,12,12,,
265,22,18,Sorted Input Data,2,index,12,21,,
266,22,18,Sorted Input Data,3,cc_other_data_id,12,22,,
267,22,18,Sorted Input Data,4,Label regardless,12,-,,
268,22,18,Sorted Input Data,5,Linear order,12,22.0,,
269,22,18,Sorted Input Data,6,Rank,12,13,,
270,22,18,Sorted Input Data,7,Name,12,Metro Blend,,
271,22,18,Sorted Input Data,8,Prodn / Capacity,12,6.0,,
272,22,18,Sorted Input Data,9,Series 1,12,43.18924573,,
273,22,18,Sorted Input Data,10,Series 2,12,0.0,,
274,22,18,Sorted Input Data,11,Series 3,12,0.0,,
275,22,18,Sorted Input Data,12,Series 4,12,0.0,,
276,22,18,Sorted Input Data,13,Series 5,12,0.0,,
277,22,18,Sorted Input Data,14,Series 6,12,0.0,,
278,22,18,Sorted Input Data,15,Series 7,12,0.0,,
279,22,18,Sorted Input Data,16,Series 8,12,0.0,,
280,22,18,Sorted Input Data,17,Series 9,12,0.0,,
281,22,18,Sorted Input Data,18,Series 10,12,0.0,,
282,22,18,Sorted Input Data,19,Total Cost,12,43.18924573,,
283,22,18,Sorted Input Data,20,Rank Cost Proxy,12,43.189245768000006,,
284,22,18,Sorted Input Data,21,Associated Text,12,Metro Blend 6.0mln t $43.2,,
285,22,18,Sorted Input Data,22,Cumulative Prodn / Capacity,12,75.31,,
286,22,18,Sorted Input Data,1,level_0,13,13,,
287,22,18,Sorted Input Data,2,index,13,22,,
288,22,18,Sorted Input Data,3,cc_other_data_id,13,23,,
289,22,18,Sorted Input Data,4,Label regardless,13,-,,
290,22,18,Sorted Input Data,5,Linear order,13,23.0,,
291,22,18,Sorted Input Data,6,Rank,13,14,,
292,22,18,Sorted Input Data,7,Name,13,AMC,,
293,22,18,Sorted Input Data,8,Prodn / Capacity,13,9.0,,
294,22,18,Sorted Input Data,9,Series 1,13,43.26388006,,
295,22,18,Sorted Input Data,10,Series 2,13,0.0,,
296,22,18,Sorted Input Data,11,Series 3,13,0.0,,
297,22,18,Sorted Input Data,12,Series 4,13,0.0,,
298,22,18,Sorted Input Data,13,Series 5,13,0.0,,
299,22,18,Sorted Input Data,14,Series 6,13,0.0,,
300,22,18,Sorted Input Data,15,Series 7,13,0.0,,
301,22,18,Sorted Input Data,16,Series 8,13,0.0,,
302,22,18,Sorted Input Data,17,Series 9,13,0.0,,
303,22,18,Sorted Input Data,18,Series 10,13,0.0,,
304,22,18,Sorted Input Data,19,Total Cost,13,43.26388006,,
305,22,18,Sorted Input Data,20,Rank Cost Proxy,13,43.263880099,,
306,22,18,Sorted Input Data,21,Associated Text,13,AMC 9.0mln t $43.3,,
307,22,18,Sorted Input Data,22,Cumulative Prodn / Capacity,13,84.31,,
308,22,18,Sorted Input Data,1,level_0,14,14,,
309,22,18,Sorted Input Data,2,index,14,23,,
310,22,18,Sorted Input Data,3,cc_other_data_id,14,24,,
311,22,18,Sorted Input Data,4,Label regardless,14,-,,
312,22,18,Sorted Input Data,5,Linear order,14,24.0,,
313,22,18,Sorted Input Data,6,Rank,14,15,,
314,22,18,Sorted Input Data,7,Name,14,Dynamic,,
315,22,18,Sorted Input Data,8,Prodn / Capacity,14,5.5984389939999994,,
316,22,18,Sorted Input Data,9,Series 1,14,44.61228172,,
317,22,18,Sorted Input Data,10,Series 2,14,0.0,,
318,22,18,Sorted Input Data,11,Series 3,14,0.0,,
319,22,18,Sorted Input Data,12,Series 4,14,0.0,,
320,22,18,Sorted Input Data,13,Series 5,14,0.0,,
321,22,18,Sorted Input Data,14,Series 6,14,0.0,,
322,22,18,Sorted Input Data,15,Series 7,14,0.0,,
323,22,18,Sorted Input Data,16,Series 8,14,0.0,,
324,22,18,Sorted Input Data,17,Series 9,14,0.0,,
325,22,18,Sorted Input Data,18,Series 10,14,0.0,,
326,22,18,Sorted Input Data,19,Total Cost,14,44.61228172,,
327,22,18,Sorted Input Data,20,Rank Cost Proxy,14,44.61228176,,
328,22,18,Sorted Input Data,21,Associated Text,14,Dynamic 5.6mln t $44.6,,
329,22,18,Sorted Input Data,22,Cumulative Prodn / Capacity,14,89.90843899400001,,
330,22,18,Sorted Input Data,1,level_0,15,15,,
331,22,18,Sorted Input Data,2,index,15,26,,
332,22,18,Sorted Input Data,3,cc_other_data_id,15,27,,
333,22,18,Sorted Input Data,4,Label regardless,15,-,,
334,22,18,Sorted Input Data,5,Linear order,15,27.0,,
335,22,18,Sorted Input Data,6,Rank,15,16,,
336,22,18,Sorted Input Data,7,Name,15,SMB Malapouya-Boké §,,
337,22,18,Sorted Input Data,8,Prodn / Capacity,15,7.0,,
338,22,18,Sorted Input Data,9,Series 1,15,0.0,,
339,22,18,Sorted Input Data,10,Series 2,15,46.19089083,,
340,22,18,Sorted Input Data,11,Series 3,15,0.0,,
341,22,18,Sorted Input Data,12,Series 4,15,0.0,,
342,22,18,Sorted Input Data,13,Series 5,15,0.0,,
343,22,18,Sorted Input Data,14,Series 6,15,0.0,,
344,22,18,Sorted Input Data,15,Series 7,15,0.0,,
345,22,18,Sorted Input Data,16,Series 8,15,0.0,,
346,22,18,Sorted Input Data,17,Series 9,15,0.0,,
347,22,18,Sorted Input Data,18,Series 10,15,0.0,,
348,22,18,Sorted Input Data,19,Total Cost,15,46.19089083,,
349,22,18,Sorted Input Data,20,Rank Cost Proxy,15,46.190890873,,
350,22,18,Sorted Input Data,21,Associated Text,15,SMB Malapouya-Boké § 7.0mln t $46.2,,
351,22,18,Sorted Input Data,22,Cumulative Prodn / Capacity,15,96.90843899400001,,
352,22,18,Sorted Input Data,1,level_0,16,16,,
353,22,18,Sorted Input Data,2,index,16,29,,
354,22,18,Sorted Input Data,3,cc_other_data_id,16,30,,
355,22,18,Sorted Input Data,4,Label regardless,16,-,,
356,22,18,Sorted Input Data,5,Linear order,16,30.0,,
357,22,18,Sorted Input Data,6,Rank,16,17,,
358,22,18,Sorted Input Data,7,Name,16,GDM §,,
359,22,18,Sorted Input Data,8,Prodn / Capacity,16,2.960090316,,
360,22,18,Sorted Input Data,9,Series 1,16,0.0,,
361,22,18,Sorted Input Data,10,Series 2,16,46.73237702,,
362,22,18,Sorted Input Data,11,Series 3,16,0.0,,
363,22,18,Sorted Input Data,12,Series 4,16,0.0,,
364,22,18,Sorted Input Data,13,Series 5,16,0.0,,
365,22,18,Sorted Input Data,14,Series 6,16,0.0,,
366,22,18,Sorted Input Data,15,Series 7,16,0.0,,
367,22,18,Sorted Input Data,16,Series 8,16,0.0,,
368,22,18,Sorted Input Data,17,Series 9,16,0.0,,
369,22,18,Sorted Input Data,18,Series 10,16,0.0,,
370,22,18,Sorted Input Data,19,Total Cost,16,46.73237702,,
371,22,18,Sorted Input Data,20,Rank Cost Proxy,16,46.732377066,,
372,22,18,Sorted Input Data,21,Associated Text,16,0,,
373,22,18,Sorted Input Data,22,Cumulative Prodn / Capacity,16,99.86852931000001,,
374,22,18,Sorted Input Data,1,level_0,17,17,,
375,22,18,Sorted Input Data,2,index,17,31,,
376,22,18,Sorted Input Data,3,cc_other_data_id,17,32,,
377,22,18,Sorted Input Data,4,Label regardless,17,-,,
378,22,18,Sorted Input Data,5,Linear order,17,32.0,,
379,22,18,Sorted Input Data,6,Rank,17,18,,
380,22,18,Sorted Input Data,7,Name,17,SMB Santou-Houda §,,
381,22,18,Sorted Input Data,8,Prodn / Capacity,17,26.4,,
382,22,18,Sorted Input Data,9,Series 1,17,0.0,,
383,22,18,Sorted Input Data,10,Series 2,17,47.50551135,,
384,22,18,Sorted Input Data,11,Series 3,17,0.0,,
385,22,18,Sorted Input Data,12,Series 4,17,0.0,,
386,22,18,Sorted Input Data,13,Series 5,17,0.0,,
387,22,18,Sorted Input Data,14,Series 6,17,0.0,,
388,22,18,Sorted Input Data,15,Series 7,17,0.0,,
389,22,18,Sorted Input Data,16,Series 8,17,0.0,,
390,22,18,Sorted Input Data,17,Series 9,17,0.0,,
391,22,18,Sorted Input Data,18,Series 10,17,0.0,,
392,22,18,Sorted Input Data,19,Total Cost,17,47.50551135,,
393,22,18,Sorted Input Data,20,Rank Cost Proxy,17,47.505511397999996,,
394,22,18,Sorted Input Data,21,Associated Text,17,SMB Santou-Houda § 26.4mln t $47.5,,
395,22,18,Sorted Input Data,22,Cumulative Prodn / Capacity,17,126.26852931000002,,
396,22,18,Sorted Input Data,1,level_0,18,18,,
397,22,18,Sorted Input Data,2,index,18,33,,
398,22,18,Sorted Input Data,3,cc_other_data_id,18,34,,
399,22,18,Sorted Input Data,4,Label regardless,18,-,,
400,22,18,Sorted Input Data,5,Linear order,18,34.0,,
401,22,18,Sorted Input Data,6,Rank,18,19,,
402,22,18,Sorted Input Data,7,Name,18,Chalco Boffa §,,
403,22,18,Sorted Input Data,8,Prodn / Capacity,18,10.8,,
404,22,18,Sorted Input Data,9,Series 1,18,0.0,,
405,22,18,Sorted Input Data,10,Series 2,18,48.16825339,,
406,22,18,Sorted Input Data,11,Series 3,18,0.0,,
407,22,18,Sorted Input Data,12,Series 4,18,0.0,,
408,22,18,Sorted Input Data,13,Series 5,18,0.0,,
409,22,18,Sorted Input Data,14,Series 6,18,0.0,,
410,22,18,Sorted Input Data,15,Series 7,18,0.0,,
411,22,18,Sorted Input Data,16,Series 8,18,0.0,,
412,22,18,Sorted Input Data,17,Series 9,18,0.0,,
413,22,18,Sorted Input Data,18,Series 10,18,0.0,,
414,22,18,Sorted Input Data,19,Total Cost,18,48.16825339,,
415,22,18,Sorted Input Data,20,Rank Cost Proxy,18,48.168253439999994,,
416,22,18,Sorted Input Data,21,Associated Text,18,Chalco Boffa § 10.8mln t $48.2,,
417,22,18,Sorted Input Data,22,Cumulative Prodn / Capacity,18,137.06852931000003,,
418,22,18,Sorted Input Data,1,level_0,19,19,,
419,22,18,Sorted Input Data,2,index,19,45,,
420,22,18,Sorted Input Data,3,cc_other_data_id,19,46,,
421,22,18,Sorted Input Data,4,Label regardless,19,1,,
422,22,18,Sorted Input Data,5,Linear order,19,46.0,,
423,22,18,Sorted Input Data,6,Rank,19,20,,
424,22,18,Sorted Input Data,7,Name,19,SMB Dabiss S §,,
425,22,18,Sorted Input Data,8,Prodn / Capacity,19,1.1206429470000001,,
426,22,18,Sorted Input Data,9,Series 1,19,0.0,,
427,22,18,Sorted Input Data,10,Series 2,19,52.31608248,,
428,22,18,Sorted Input Data,11,Series 3,19,0.0,,
429,22,18,Sorted Input Data,12,Series 4,19,0.0,,
430,22,18,Sorted Input Data,13,Series 5,19,0.0,,
431,22,18,Sorted Input Data,14,Series 6,19,0.0,,
432,22,18,Sorted Input Data,15,Series 7,19,0.0,,
433,22,18,Sorted Input Data,16,Series 8,19,0.0,,
434,22,18,Sorted Input Data,17,Series 9,19,0.0,,
435,22,18,Sorted Input Data,18,Series 10,19,0.0,,
436,22,18,Sorted Input Data,19,Total Cost,19,52.31608248,,
437,22,18,Sorted Input Data,20,Rank Cost Proxy,19,52.316082542,,
438,22,18,Sorted Input Data,21,Associated Text,19,0,,
439,22,18,Sorted Input Data,22,Cumulative Prodn / Capacity,19,138.18917225700002,,
