,province,expence,2007,2008,2009,2010,2011,2012,2013,2014,2015,2018
45,Not Available,dissel,4963.333333,5883.996416,6185.519713,7157.897849,8155.826613,8418.954765,8357.119624,7965.417627,6404.191213,8087.827381
46,Not Available,electicity,0.45098,0.45098,0.47177,0.47278,0.363,0.363,0.363,0.363,0.363,0.363
47,Not Available,labor,32174.0,40857.0,42919.0,47805.0,63085.0,76486.0,79421.0,85241.0,89503.05,105881.0
48,Not Available,water,,,,,,,,,3.221238938,2.18
49,Qinghai,dissel,5078.333333,5999.345878,6310.519713,7282.897849,8280.826613,8543.954765,8487.775538,8090.417627,6529.191213,8212.827381
50,Qinghai,electicity,0.43151,0.43151,0.44409,0.47754,0.580750655,0.622720111,0.62254,0.62254,0.62254,0.61
51,Qinghai,labor,31168.0,37649.0,41029.0,46887.0,52619.0,55425.0,51158.0,51239.0,53800.95,56661.0
52,Qinghai,water,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,7.0050714769999995,9.1
53,Russia,dissel,5278.333333,6199.870072,6525.519713,7497.897849,8495.826613,8758.954765,8649.044355,8305.417627,6744.191213,8427.827381
54,Russia,electicity,0.48743,0.48743,0.47353,0.49312,0.517222778,0.535699398,0.580566667,0.580566667,0.580566667,0.580566667
55,Russia,labor,21752.0,28632.0,31954.0,37984.0,37703.0,46812.0,51485.0,59959.0,62956.95,76135.0
56,Russia,water,,,,,,,,,3.955071477,5.79
57,Shaanxi,dissel,5068.333333,5989.345878,6300.519713,7272.897849,8270.826613,8533.954765,8424.044355,8080.417627,6673.560715,8202.827381
58,Shaanxi,electicity,0.43472,0.43472,0.45599,0.4888,0.508128571,0.5431,0.5431,0.5431,0.5431,0.5431
59,Shaanxi,labor,28990.0,33305.0,36289.0,42417.0,52368.0,57556.0,69904.0,69920.0,73416.0,78103.0
60,Shaanxi,water,,,,,,,,,5.132743363,3.45
61,Shandong,dissel,5068.333333,5989.345878,6300.519713,7272.897849,8270.826613,8533.954765,8445.254032,8080.417627,6519.191213,8202.827381
62,Shandong,electicity,0.4926,0.4926,0.53997,0.55713,0.657559643,0.689656042,0.6896125,0.6896125,0.6896125,0.64535
63,Shandong,labor,30805.0,36133.0,40564.0,46560.0,53767.0,57906.0,62390.0,63722.0,66908.1,72651.0
64,Shandong,water,,,,,,,,,3.955071477,4.4
65,Shanxi,dissel,5113.333333,6034.345878,6345.519713,7317.897849,8315.826613,8578.954765,8469.044355,8125.417627,6564.191213,8247.827381
66,Shanxi,electicity,0.42152,0.42152,0.42444,0.45231,0.463242857,0.517191667,0.4994,0.4994,0.4994,0.49
67,Shanxi,labor,30893.0,37851.0,42197.0,52252.0,64539.0,71541.0,68633.0,65904.0,69199.2,65334.0
68,Shanxi,water,2.3,2.3,3.4,3.4,3.4,3.4,3.4,3.4,4.9,5.0
69,USA,water,,,,,,,,,4.867256637,5.5
70,Yunnan,dissel,5238.333333,6159.695341,6480.519713,7452.897849,8450.826613,8713.954765,8604.044355,8260.417627,6699.191213,8382.827381
71,Yunnan,electicity,0.39213,0.39213,0.38348,0.40675,0.45875,0.476819444,0.476888889,0.476888889,0.476888889,0.46
72,Yunnan,labor,18755.0,23629.0,23725.0,27175.0,33926.0,38526.0,41997.0,42322.0,44438.1,50066.0
73,Yunnan,water,4.2,4.2,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
