,Date,RMB_per_US,AU_per_US,MONTH,RMB_per_US1,AU_per_US1
120,2013-10-25,6.10522973979511,0.9659,10 2013,6.112002874076737,0.9524666666666667
121,2013-11-01,6.11426335355116,0.9537000000000002,11 2013,6.114104585382689,0.9370118
122,2013-11-08,6.12568684263723,0.94708,11 2013,6.114104585382689,0.9370118
123,2013-11-15,6.11744266426863,0.9349,11 2013,6.114104585382689,0.9370118
124,2013-11-22,6.11504852291003,0.93619,11 2013,6.114104585382689,0.9370118
125,2013-11-29,6.0980815435464,0.913189,11 2013,6.114104585382689,0.9370118
126,2013-12-06,6.09273137147383,0.9093540000000001,12 2013,6.08437687187907,0.9004202499999999
127,2013-12-13,6.07747565970998,0.907569,12 2013,6.08437687187907,0.9004202499999999
128,2013-12-20,6.08316908776796,0.892791,12 2013,6.08437687187907,0.9004202499999999
129,2013-12-27,6.08413136856451,0.8919669999999998,12 2013,6.08437687187907,0.9004202499999999
130,2014-01-03,6.06998694952806,0.890032,1 2014,6.0735013038717485,0.8862338000000001
131,2014-01-10,6.07326790399378,0.893202,1 2014,6.0735013038717485,0.8862338000000001
132,2014-01-17,6.0764047128595,0.8949899999999998,1 2014,6.0735013038717485,0.8862338000000001
133,2014-01-24,6.06612071580224,0.87953,1 2014,6.0735013038717485,0.8862338000000001
134,2014-01-31,6.08172623717516,0.873415,1 2014,6.0735013038717485,0.8862338000000001
135,2014-02-07,6.06766661812533,0.883298,2 2014,6.0751435690276026,0.89559575
136,2014-02-14,6.0622594040799,0.8980439999999998,2 2014,6.0751435690276026,0.89559575
137,2014-02-21,6.06877131655925,0.902546,2 2014,6.0751435690276026,0.89559575
138,2014-02-28,6.10187693734593,0.898495,2 2014,6.0751435690276026,0.89559575
139,2014-03-07,6.1423929534468,0.896213,3 2014,6.164892866663145,0.90532275
140,2014-03-14,6.135157520169329,0.903788,3 2014,6.164892866663145,0.90532275
141,2014-03-21,6.16933593268021,0.906947,3 2014,6.164892866663145,0.90532275
142,2014-03-28,6.21268506035624,0.914343,3 2014,6.164892866663145,0.90532275
143,2014-04-04,6.2115273524607,0.924436,4 2014,6.217082709429487,0.9316230000000001
144,2014-04-11,6.2082880645662,0.932188,4 2014,6.217082709429487,0.9316230000000001
145,2014-04-18,6.21616077478228,0.938019,4 2014,6.217082709429487,0.9316230000000001
146,2014-04-25,6.232354645908769,0.931849,4 2014,6.217082709429487,0.9316230000000001
147,2014-05-02,6.25512138063039,0.926766,5 2014,6.241648422276075,0.9339724
148,2014-05-09,6.24660340939614,0.9526540000000001,5 2014,6.241648422276075,0.9339724
149,2014-05-16,6.229753301769249,0.936124,5 2014,6.241648422276075,0.9339724
150,2014-05-23,6.235891295942929,0.930185,5 2014,6.241648422276075,0.9339724
151,2014-05-30,6.24087272364167,0.924133,5 2014,6.241648422276075,0.9339724
152,2014-06-06,6.251133017859489,0.928835,6 2014,6.236476907295209,0.93558375
153,2014-06-13,6.24410712390182,0.936002,6 2014,6.236476907295209,0.93558375
154,2014-06-20,6.2221558525598,0.938101,6 2014,6.236476907295209,0.93558375
155,2014-06-27,6.228511634859729,0.939397,6 2014,6.236476907295209,0.93558375
156,2014-07-04,6.20959879782167,0.94255,7 2014,6.196032917366343,0.9397022500000001
157,2014-07-11,6.20301218271593,0.937938,7 2014,6.196032917366343,0.9397022500000001
158,2014-07-18,6.20432068892777,0.9380870000000001,7 2014,6.196032917366343,0.9397022500000001
159,2014-07-25,6.1672,0.940234,7 2014,6.196032917366343,0.9397022500000001
160,2014-08-01,6.18410067715902,0.937318,8 2014,6.162680497161364,0.9320919999999999
161,2014-08-08,6.17604189826824,0.93124,8 2014,6.162680497161364,0.9320919999999999
162,2014-08-15,6.1576354679803,0.928355,8 2014,6.162680497161364,0.9320919999999999
163,2014-08-22,6.14628149969269,0.93157,8 2014,6.162680497161364,0.9320919999999999
164,2014-08-29,6.14934294270657,0.931977,8 2014,6.162680497161364,0.9320919999999999
165,2014-09-05,6.14288346950058,0.933277,9 2014,6.140206061604287,0.9127559999999999
166,2014-09-12,6.13741676128518,0.925179,9 2014,6.140206061604287,0.9127559999999999
167,2014-09-19,6.140393967676969,0.9043540000000002,9 2014,6.140206061604287,0.9127559999999999
168,2014-09-26,6.14013004795442,0.8882139999999998,9 2014,6.140206061604287,0.9127559999999999
169,2014-10-03,6.13741676128518,0.8747479999999997,10 2014,6.128057021604966,0.8765583999999998
170,2014-10-10,6.13835860290958,0.874872,10 2014,6.128057021604966,0.8765583999999998
171,2014-10-17,6.12703800601675,0.873603,10 2014,6.128057021604966,0.8765583999999998
172,2014-10-24,6.12208665201447,0.877016,10 2014,6.128057021604966,0.8765583999999998
173,2014-10-31,6.11538508579885,0.882553,10 2014,6.128057021604966,0.8765583999999998
174,2014-11-07,6.11396429444852,0.87131,11 2014,6.123903110250558,0.8671154999999999
