Date,Vesssel class,Applicable Time Charter Index,Vessel Time Charter Rates,model_id
2019-10-25 00:00:00.000,Capesize,Capesize_General,23388.0,model_8
2019-10-25 00:00:00.000,Panamax,Panamax_General,11884.0,model_8
2019-10-25 00:00:00.000,Supramax,Supramax_General,12100.0,model_8
2019-10-25 00:00:00.000,Handysize,Handysize_General,12100.0,model_8
2019-10-25 00:00:00.000,Panamax,P3A_03,11884.0,model_8
2019-11-01 00:00:00.000,Capesize,Capesize_General,22496.0,model_8
2019-11-01 00:00:00.000,Panamax,Panamax_General,10908.0,model_8
2019-11-01 00:00:00.000,Supramax,Supramax_General,11521.0,model_8
2019-11-01 00:00:00.000,Handysize,Handysize_General,11521.0,model_8
2019-11-01 00:00:00.000,Panamax,P3A_03,10908.0,model_8
2019-11-08 00:00:00.000,Capesize,Capesize_General,20558.0,model_8
2019-11-08 00:00:00.000,Panamax,Panamax_General,9582.0,model_8
2019-11-08 00:00:00.000,Supramax,Supramax_General,9314.0,model_8
2019-11-08 00:00:00.000,Handysize,Handysize_General,9314.0,model_8
2019-11-08 00:00:00.000,Panamax,P3A_03,9582.0,model_8
2019-11-15 00:00:00.000,Capesize,Capesize_General,23171.0,model_8
2019-11-15 00:00:00.000,Panamax,Panamax_General,7793.0,model_8
2019-11-15 00:00:00.000,Supramax,Supramax_General,7943.0,model_8
2019-11-15 00:00:00.000,Handysize,Handysize_General,7943.0,model_8
2019-11-15 00:00:00.000,Panamax,P3A_03,7793.0,model_8
2019-11-22 00:00:00.000,Capesize,Capesize_General,22717.0,model_8
2019-11-22 00:00:00.000,Panamax,Panamax_General,8186.0,model_8
2019-11-22 00:00:00.000,Supramax,Supramax_General,7879.0,model_8
2019-11-22 00:00:00.000,Handysize,Handysize_General,7879.0,model_8
2019-11-22 00:00:00.000,Panamax,P3A_03,8186.0,model_8
2019-11-29 00:00:00.000,Capesize,Capesize_General,27225.0,model_8
2019-11-29 00:00:00.000,Panamax,Panamax_General,8920.0,model_8
2019-11-29 00:00:00.000,Supramax,Supramax_General,8264.0,model_8
2019-11-29 00:00:00.000,Handysize,Handysize_General,8264.0,model_8
2019-11-29 00:00:00.000,Panamax,P3A_03,8920.0,model_8
2019-12-06 00:00:00.000,Capesize,Capesize_General,29775.0,model_8
2019-12-06 00:00:00.000,Panamax,Panamax_General,9635.0,model_8
2019-12-06 00:00:00.000,Supramax,Supramax_General,8264.0,model_8
2019-12-06 00:00:00.000,Handysize,Handysize_General,8264.0,model_8
2019-12-06 00:00:00.000,Panamax,P3A_03,9635.0,model_8
2019-12-13 00:00:00.000,Capesize,Capesize_General,20679.0,model_8
