Mine,Date,Total Alumina,LT Avail. Alumina,Total Silica,LT R.Silica,Quartz / HT Silica,Mono-hydrate / HT Alumina,Moisture,Processing,Processing Penalties to be applied,DWT,Specific Index,General Index,Exporting Port,Handysize,Supramax loading rates,Panamax loading rates,NeoPanamax loading rate,Suezmax loading rate,Capesize loading rates,VLOC loading rates,Spare,model_id
Indonesian LT,2015-01-01 00:00:00.000,0.48,0.44,0.08,0.035,0.045,0.005,0.15,LT,0.33,,Indonesian LT,CBIX LT,,,,,,,,,,model_9
MRN,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,180000.0,CBIX LT,CBIX LT,Pt_Lisas,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,,model_9
Juruti,2015-01-01 00:00:00.000,0.52,0.475,0.045,0.041,0.004,0.00400000000000004,0.12,LT,,180000.0,CBIX LT,CBIX LT,Pt_Lisas,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,,model_9
Rondon do Para,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,180000.0,CBIX LT,CBIX LT,Pt_Lisas,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,,model_9
Paragominas,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,180000.0,CBIX LT,CBIX LT,Pt_Lisas,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,,model_9
Weipa,2015-01-01 00:00:00.000,0.53,0.3625,0.08999999999999998,0.0675,0.0225,0.1,0.13,HT-D,0.67,,Australia HT,CBIX HT,Weipa wharf,80000.0,80000.0,80000.0,80000.0,80000.0,40000.0,40000.0,,model_9
Gove,2015-01-01 00:00:00.000,0.495,0.425,0.05,0.042,0.008,0.028,0.095,LT,0.67,,CBIX LT,CBIX LT,Gove wharf,80000.0,80000.0,80000.0,80000.0,80000.0,40000.0,40000.0,,model_9
Boddington,2015-01-01 00:00:00.000,0.35,0.33,0.2,0.011,0.18899999999999997,0.008999999999999958,0.08,LT,1.0,,CBIX LT,CBIX LT,Boddington wharf,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,,model_9
Huntly,2015-01-01 00:00:00.000,0.35,0.33,0.2,0.011,0.18899999999999997,0.008999999999999958,0.08,LT,1.0,,CBIX LT,CBIX LT,Huntly wharf,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,,model_9
Willowdale,2015-01-01 00:00:00.000,0.35,0.33,0.2,0.011,0.18899999999999997,0.008999999999999958,0.08,LT,1.0,,CBIX LT,CBIX LT,Willowdale wharf,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,,model_9
Metro BH1,2015-01-01 00:00:00.000,0.513,0.405,0.095,0.051,0.044,0.057,0.1,LT,0.67,,CBIX LT,CBIX LT,Metro BH1 wharf,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,,model_9
