,,Bx origin Prov,Bx Origin Cty,Refiney No.,Refiney Name,Refiney Prov,Allocation,Self Supply,Factored up allocation
,133,Shanxi,Heshun,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,134,Shanxi,Huairen,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,135,Shanxi,Huozhou,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,136,Shanxi,Jiaokou,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,137,Shanxi,Jiexiu,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,138,Shanxi,Jingle,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,139,Shanxi,Jincheng,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,140,Shanxi,Lin,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,141,Shanxi,Lingshi,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,142,Shanxi,Liulin,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,143,Shanxi,Lvliang,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,144,Shanxi,Loufan,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,145,Shanxi,Yingze,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,146,Shanxi,Yu,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,147,Shanxi,Ningwu,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,148,Shanxi,Pinglu,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,149,Shanxi,Qinyuan,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,150,Shanxi,Shenchi,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,151,Shanxi,Shuozhou,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,152,Shanxi,Wutai,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,153,Shanxi,Wuxiang,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,154,Shanxi,Xia,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,155,Shanxi,Xiangyuan,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,156,Shanxi,Xiaoyi,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,157,Shanxi,Xing,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,158,Shanxi,Xiyang,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,159,Shanxi,Yuanping,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,160,Shanxi,Yangquan,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,161,Shanxi,Yuanqu,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,162,Shanxi,Zhongyang,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,163,Shanxi,Zuoquan,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,164,Shanxi,0,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,165,Sichuan,Guangyuan,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,166,Sichuan,Lushan,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,167,Sichuan,Miyi,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,168,Sichuan,Tianquan,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,169,Sichuan,0,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,170,Xinjiang,0,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,171,Yunnan,Annin,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,172,Yunnan,Chengong,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,173,Yunnan,Fumin,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,174,Yunnan,Guangnan,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,175,Yunnan,Gudu,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,176,Yunnan,Heqing,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,177,Yunnan,Hongta,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,178,Yunnan,Jinnin,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,179,Yunnan,Ludian,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
