,initialisation,bar,x,line 1,line 2,line 3,line 4,line 5,line 6,line 7,line 8,line 9,line 10,labels for cc
52,bar 11,11.0,50.66,41.67233966,41.67233966,41.67233966,41.67233966,41.67233966,41.67233966,41.67233966,41.67233966,41.67233966,41.67233966,
53,bar 11 naming,11.0,55.66,41.67233966,41.67233966,41.67233966,41.67233966,41.67233966,41.67233966,41.67233966,41.67233966,41.67233966,41.67233966,Amrun 22.8mln t $41.8
54,bar 11,11.0,60.66,41.67233966,41.67233966,41.67233966,41.67233966,41.67233966,41.67233966,41.67233966,41.67233966,41.67233966,41.67233966,
55,bar 11 end,11.0,60.66,0.0,41.67233966,41.67233966,41.67233966,41.67233966,41.67233966,41.67233966,41.67233966,41.67233966,41.67233966,
56,bar 12 start,12.0,60.66,0.0,41.782499,41.782499,41.782499,41.782499,41.782499,41.782499,41.782499,41.782499,41.782499,
57,bar 12,12.0,60.66,41.782499,41.782499,41.782499,41.782499,41.782499,41.782499,41.782499,41.782499,41.782499,41.782499,
58,bar 12 naming,12.0,72.06,41.782499,41.782499,41.782499,41.782499,41.782499,41.782499,41.782499,41.782499,41.782499,41.782499,CBG 8.6mln t $43.1
59,bar 12,12.0,83.46,41.782499,41.782499,41.782499,41.782499,41.782499,41.782499,41.782499,41.782499,41.782499,41.782499,
60,bar 12 end,12.0,83.46,0.0,41.782499,41.782499,41.782499,41.782499,41.782499,41.782499,41.782499,41.782499,41.782499,
61,bar 13 start,13.0,83.46,0.0,43.10650493,43.10650493,43.10650493,43.10650493,43.10650493,43.10650493,43.10650493,43.10650493,43.10650493,
62,bar 13,13.0,83.46,43.10650493,43.10650493,43.10650493,43.10650493,43.10650493,43.10650493,43.10650493,43.10650493,43.10650493,43.10650493,
63,bar 13 naming,13.0,87.785,43.10650493,43.10650493,43.10650493,43.10650493,43.10650493,43.10650493,43.10650493,43.10650493,43.10650493,43.10650493,Metro Blend 6.0mln t $43.2
64,bar 13,13.0,92.11,43.10650493,43.10650493,43.10650493,43.10650493,43.10650493,43.10650493,43.10650493,43.10650493,43.10650493,43.10650493,
65,bar 13 end,13.0,92.11,0.0,43.10650493,43.10650493,43.10650493,43.10650493,43.10650493,43.10650493,43.10650493,43.10650493,43.10650493,
