,initialisation,bar,x,area 1,area 2,area 3,area 4,area 5,area 6,area 7,area 8,area 9,area 10
137,bar 28 an,28,1000.0,0.0,41.67233966,0,0,0,0,0,0,0,0
138,bar 28 naming,28,1000.0,0.0,41.67233966,0,0,0,0,0,0,0,0
139,bar 28 bn,28,1000.0,0.0,41.67233966,0,0,0,0,0,0,0,0
140,bar 28 end,28,1000.0,0,0,0,0,0,0,0,0,0,0
141,bar 29 start,29,1000.0,0,0,0,0,0,0,0,0,0,0
142,bar 29 an,29,1000.0,41.782499,0.0,0,0,0,0,0,0,0,0
143,bar 29 naming,29,1000.0,41.782499,0.0,0,0,0,0,0,0,0,0
144,bar 29 bn,29,1000.0,41.782499,0.0,0,0,0,0,0,0,0,0
145,bar 29 end,29,1000.0,0,0,0,0,0,0,0,0,0,0
146,bar 30 start,30,1000.0,0,0,0,0,0,0,0,0,0,0
147,bar 30 an,30,1000.0,45.82582872,0.0,0,0,0,0,0,0,0,0
148,bar 30 naming,30,1000.0,45.82582872,0.0,0,0,0,0,0,0,0,0
149,bar 30 bn,30,1000.0,45.82582872,0.0,0,0,0,0,0,0,0,0
150,bar 30 end,30,1000.0,0,0,0,0,0,0,0,0,0,0
151,bar 31 start,31,1000.0,0,0,0,0,0,0,0,0,0,0
152,bar 31 an,31,1000.0,46.19089083,0.0,0,0,0,0,0,0,0,0
153,bar 31 naming,31,1000.0,46.19089083,0.0,0,0,0,0,0,0,0,0
154,bar 31 bn,31,1000.0,46.19089083,0.0,0,0,0,0,0,0,0,0
155,bar 31 end,31,1000.0,0,0,0,0,0,0,0,0,0,0
156,bar 32 start,32,1000.0,0,0,0,0,0,0,0,0,0,0
157,bar 32 an,32,1000.0,46.59111881,0.0,0,0,0,0,0,0,0,0
158,bar 32 naming,32,1000.0,46.59111881,0.0,0,0,0,0,0,0,0,0
159,bar 32 bn,32,1000.0,46.59111881,0.0,0,0,0,0,0,0,0,0
160,bar 32 end,32,1000.0,0,0,0,0,0,0,0,0,0,0
161,bar 33 start,33,1000.0,0,0,0,0,0,0,0,0,0,0
162,bar 33 an,33,1000.0,46.73237702,0.0,0,0,0,0,0,0,0,0
163,bar 33 naming,33,1000.0,46.73237702,0.0,0,0,0,0,0,0,0,0
