,index,Label regardless,Linear order,Rank,Name,Prodn / Capacity,Series 1,Series 2,Series 3,Series 4,Series 5,Series 6,Series 7,Series 8,Series 9,Series 10,Total Cost,Rank Cost Proxy,Associated Text,Cumulative Prodn / Capacity
16,26,,27,46.190890873,SMB Malapouya-Boké §,7.0,0.0,46.19089083,0,0,0,0,0,0,0,0,46.19089083,46.190890873,SMB Malapouya-Boké § 7.0mln t $46.2,119.708438994
17,29,,30,46.732377066,GDM §,2.960090316,0.0,46.73237702,0,0,0,0,0,0,0,0,46.73237702,46.732377066,0,122.66852931000001
18,31,,32,47.505511397999996,SMB Santou-Houda §,26.4,0.0,47.50551135,0,0,0,0,0,0,0,0,47.50551135,47.505511397999996,SMB Santou-Houda § 26.4mln t $47.5,149.06852931
19,33,,34,48.168253439999994,Chalco Boffa §,10.8,0.0,48.16825339,0,0,0,0,0,0,0,0,48.16825339,48.168253439999994,Chalco Boffa § 10.8mln t $48.2,159.86852931
20,45,1.0,46,52.316082542,SMB Dabiss S §,1.1206429470000001,0.0,52.31608248,0,0,0,0,0,0,0,0,52.31608248,52.316082542,SMB Dabiss S § 1.1mln t $52.3,160.989172257
21,0,,1,101.70834808,Weiqiao Self Supply,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,101.70834808,0.0,160.989172257
22,1,,2,102.70834808,Eurasian 3rd Prty 50km,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,102.70834808,0.0,160.989172257
23,2,,3,103.70834808,Spare G2,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,103.70834808,0.0,160.989172257
24,10,,11,111.70834808,Metro LT,0.0,38.09874868,0.0,0,0,0,0,0,0,0,0,38.09874868,111.70834808,0,160.989172257
25,11,,12,112.70834808,Metro BH1,0.0,38.78096731,0.0,0,0,0,0,0,0,0,0,38.78096731,112.70834808,0,160.989172257
26,12,,13,113.70834808,Metro BH1 Xinfa §,0.0,38.78096731,0.0,0,0,0,0,0,0,0,0,38.78096731,113.70834808,0,160.989172257
27,17,,18,118.70834808,Henan-Chine §,0.0,0.0,41.67233966,0,0,0,0,0,0,0,0,41.67233966,118.70834808,0,160.989172257
28,18,,19,119.70834808,Amrun,0.0,41.782499,0.0,0,0,0,0,0,0,0,0,41.782499,119.70834808,0,160.989172257
29,24,,25,125.70834808,AGB2A,0.0,45.82582872,0.0,0,0,0,0,0,0,0,0,45.82582872,125.70834808,0,160.989172257
30,25,,26,126.70834808,SMB Malapouya-Boké,0.0,46.19089083,0.0,0,0,0,0,0,0,0,0,46.19089083,126.70834808,0,160.989172257
31,27,,28,128.70834808,Juruti,0.0,46.59111881,0.0,0,0,0,0,0,0,0,0,46.59111881,128.70834808,0,160.989172257
32,28,,29,129.70834808,GDM,0.0,46.73237702,0.0,0,0,0,0,0,0,0,0,46.73237702,129.70834808,0,160.989172257
33,30,,31,131.70834808,SMB Santou-Houda,0.0,47.50551135,0.0,0,0,0,0,0,0,0,0,47.50551135,131.70834808,0,160.989172257
34,32,,33,133.70834808,MRN,0.0,47.78133815,0.0,0,0,0,0,0,0,0,0,47.78133815,133.70834808,0,160.989172257
35,34,,35,135.70834808,Aurum Xinfa-Fiji §,0.0,0.0,48.37500407,0,0,0,0,0,0,0,0,48.37500407,135.70834808,0,160.989172257
36,35,,36,136.70834808,Awaso §,0.0,0.0,49.49918761,0,0,0,0,0,0,0,0,49.49918761,136.70834808,0,160.989172257
37,36,,37,137.70834808,Gujarat & Maharashtra,0.0,49.66662188,0.0,0,0,0,0,0,0,0,0,49.66662188,137.70834808,0,160.989172257
38,37,,38,138.70834808,AMR,0.0,50.00286218,0.0,0,0,0,0,0,0,0,0,50.00286218,138.70834808,0,160.989172257
39,38,,39,139.70834808,AMR §,0.0,0.0,50.00286218,0,0,0,0,0,0,0,0,50.00286218,139.70834808,0,160.989172257
40,39,,40,140.70834808,SMB Kaboye,0.0,51.38632167,0.0,0,0,0,0,0,0,0,0,51.38632167,140.70834808,0,160.989172257
41,40,,41,141.70834808,SMB Kaboye §,0.0,0.0,51.38632167,0,0,0,0,0,0,0,0,51.38632167,141.70834808,0,160.989172257
42,41,,42,142.70834808,Kuantan & Johor,0.0,51.59333104,0.0,0,0,0,0,0,0,0,0,51.59333104,142.70834808,0,160.989172257
43,42,,43,143.70834808,Rundi,0.0,51.90709735,0.0,0,0,0,0,0,0,0,0,51.90709735,143.70834808,0,160.989172257
44,43,,44,144.70834808,Discovery Bay,0.0,52.02479945,0.0,0,0,0,0,0,0,0,0,52.02479945,144.70834808,0,160.989172257
45,44,,45,145.70834808,SMB Dabiss S,0.0,52.31608248,0.0,0,0,0,0,0,0,0,0,52.31608248,145.70834808,0,160.989172257
46,46,,47,147.70834808,Dabiss N,0.0,52.55354986,0.0,0,0,0,0,0,0,0,0,52.55354986,147.70834808,0,160.989172257
47,47,,48,148.70834808,Ashapura Guinea,0.0,54.98061112,0.0,0,0,0,0,0,0,0,0,54.98061112,148.70834808,0,160.989172257
48,48,,49,149.70834808,Ashapura Guinea §,0.0,0.0,54.98061112,0,0,0,0,0,0,0,0,54.98061112,149.70834808,0,160.989172257
49,49,,50,150.70834808,Aurukun,0.0,57.06558465,0.0,0,0,0,0,0,0,0,0,57.06558465,150.70834808,0,160.989172257
50,50,,51,151.70834808,Metallica,0.0,62.26113509,0.0,0,0,0,0,0,0,0,0,62.26113509,151.70834808,0,160.989172257
51,51,,52,152.70834808,Dom. Rep.,0.0,66.9091472,0.0,0,0,0,0,0,0,0,0,66.9091472,152.70834808,0,160.989172257
52,52,,53,153.70834808,Mirai,0.0,74.25698773,0.0,0,0,0,0,0,0,0,0,74.25698773,153.70834808,0,160.989172257
53,53,,54,154.70834808,Rondon do Para,0.0,84.70834808,0.0,0,0,0,0,0,0,0,0,84.70834808,154.70834808,0,160.989172257
