Available Alumina Check,Reactive Silica Check,Contract Date
,铝矿砂,"加工方法:水洗方式去除泥土杂质,未作任何化学或热处理类的深加工|橘红色颗粒矿石|三氧化二铝46.5%三氧化二铁21.5%总二氧化硅4.5%其他11%水分含量16.5%|原产国:马来西亚,关丹矿区|"
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：41.5-42.5%,SIO2:6-7%,水≤10%,其他约40.5%|印度/古吉拉特邦|"
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/甘马挽|"
,铝矿砂,开采破碎水洗|粉末与颗粒的混合物红褐色|AL2O3
,铝矿砂,加工方法：天然原矿|外观：天然砖红色颗粒|成分含量
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他约40%|马来西亚/关丹|"
,铝矿砂,开采破碎水洗|粉末与颗粒的混合物红褐色|AL2O3
,铝矿砂,天然粉红色粉末;;AL2O3：54.62%，SIO2：10.37%
,铝矿砂,"'天然开采|红褐色颗粒|AL2O3：46-47%,SIO2:4.5-5.5%,水≤18%,其他:29.5%|"
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/关丹|"
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：41.5-42.5%,SIO2:6-7%,水≤10%,其他约40.5%|印度/古吉拉特邦|"
,铝矿砂,"'天然开采|红褐色颗粒|AL2O3：46-47%,SIO2:4.5-5.5%,水≤18%,其他:29.5%|"
,铝矿砂,天然粉红色粉末;;AL2O3：53.82%、SIO2：9.94%
,铝矿砂,开采破碎水洗|粉末与颗粒的混合物红褐色|Al2O3:55.45% Si02:10.43% TiO2:2.19% 水份:12.4%|开采AUSTRALIA WEIPA铝矿山|
,铝矾土,加工方法：天然原矿|外观：天然砖红色颗粒|成分含量
,铝矿砂,"天然开采|颗粒|AL2O3≥43%,SIO2≤7%,水≤10%,其他:40%|印度/古吉拉特邦|"
,铝矿砂,开采破碎水洗|粉末与颗粒的混合物红褐色|Al2O3:54.6% Si02:10.5% TiO2:2.09% 水份:11.7%|开采AUSTRALIA WEIPA铝矿山|
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：54.53%,SIO2:9.18%,水:11.9%,其他24.39%|"
,铝矿砂,"开采破碎水洗|粉末与颗粒的混合物红褐色|AL2O3:42.11%,SIO2:4.09%,TIO2:4.78%,水分:17.3%|MALAYSIA|"
,铝矿砂,开采破碎水洗|粉末与颗粒的混合物红褐色|Al2O3:42.23% Si02:5.29% 水分:20.07%|开采KUANTAN MALAYSIA铝矿山|
,铝矿砂,"天然开采|颗粒|AL2O3：39-39.5%,SIO2：4.5-5%，水:16.8%,其他:38.7%|马来西亚/关丹|"
,铝矿砂,天然粉红色粉末;;AL2O3：53.11%、SIO2：11.12%
,铝矿砂,"加工方法:水洗方式去除泥土杂质,未作任何化学或热处理类的深加工|橘红色颗粒矿石|三氧化二铝46.88%三氧化二铁18.75%二氧化硅4.39%其他14.49%水分含量15.49%|别:三水式铝土矿"
,铝矿砂,"加工方法:水洗方式去除泥土杂质,未作任何化学或热处理类的深加工|橘红色颗粒矿石|三氧化二铝46.5%三氧化二铁21.5%二氧化硅4.5%其他10.5%水分含量17%铝土矿"
,铝矿砂,"加工方法:水洗方式去除泥土杂质,未作任何化学或热处理类的深加工|橘红色颗粒矿石|三氧化二铝46.5%三氧化二铁21.5%二氧化硅4.5%其他10.5%水分含量17%铝土矿"
,铝矿砂及其精矿,"天然开采|红褐色颗粒|AL2O3：54.53%,SIO2:9.18%,水:11.9%,其他24.39%|"
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/关丹|"
,铝矿砂,开采破碎水洗|粉末与颗粒的混合物红褐色|Al2O3:42.78% Si02:4.31% 水份:18.06%|开采KUANTAN MALAYSIA铝矿山|
,铝矿砂,"天然开采|颗粒|AL2O3≥43%,SIO2≤7%,水≤10%,其他:40%|印度/古吉拉特邦|"
,铝矿砂,"加工方法:天然原矿|外观:天然砖红颗粒|成分:AL2O3:49.84%,RSiO2:4.53%,水分:5.34%|来源:PORTO TROMBETAS-BRAZIL|"
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他约40%|马来西亚/关丹|"
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/关丹|"
