Date,COUNTRY,REGION,CUSTOMER,MONTH KEY,REGION KEY,CUSTOMER KEY,CIF PRICE,CFR PRICE,VIU CFR PRICE,IMPORT TONNAGE,CIF LANDED TON*PRICE,CFR LANDED TON*PRICE,VIU CFR TON*PRICE
2018-04-25 00:00:00,Guinea,SMB,Weiqiao,4 2018,SMB,Weiqiao,58.1,57.92622133599203,54.353072566263506,161363.0,9375190.3,9347148.853439683,8770574.848509979
2018-04-25 00:00:00,Indonesia,W-Kalimantan,Xinfa,4 2018,Indonesia,Xinfa,56.2,56.031904287138595,45.106976634956204,47577.0,2673827.4,2665829.910269193,2146054.627361311
2018-04-26 00:00:00,Australia,Gove,Nanshan,4 2018,AUS LT,Nanshan,47.3,47.15852442671984,43.8115308802129,83442.0,3946806.5999999996,3935001.595214357,3655721.759706725
2018-04-26 00:00:00,Australia,Gove,Xinfa,4 2018,AUS LT,Xinfa,55.9,55.73280159521436,52.391834343778,81329.0,4546291.1,4532693.0209371885,4260975.495345121
2018-04-26 00:00:00,Australia,Weipa,Nanshan,4 2018,AUS HT,Nanshan,57.4,57.2283150548355,75.71660451742851,58797.0,3374947.8,3364853.240279163,4451909.195811244
2018-04-26 00:00:00,Australia,Weipa,Weiqiao,4 2018,AUS HT,Weiqiao,45.4,45.264207377866406,59.8249861170103,67094.0,3046067.6,3036956.7298105685,4013897.618534689
2018-04-26 00:00:00,Guinea,SMB,Weiqiao,4 2018,SMB,Weiqiao,56.6,56.430707876370896,52.66013223052071,184821.0,10460868.6,10429579.860418746,9732698.298977068
2018-04-26 00:00:00,Guinea,SMB,Weiqiao,4 2018,SMB,Weiqiao,56.4,56.23130608175474,52.47227237988729,160796.0,9068894.4,9041769.092721835,8437331.509596357
2018-04-27 00:00:00,Australia,Weipa,Weiqiao,4 2018,AUS HT,Weiqiao,45.0,44.865403788634104,62.6555610524272,61656.0,2774520.0,2766221.3359920243,3863091.2722484516
2018-04-27 00:00:00,Guinea,SMB,Weiqiao,4 2018,SMB,Weiqiao,56.8,56.63010967098704,52.9519502460347,158238.0,8987918.4,8961035.294117646,8379010.703032038
2018-04-28 00:00:00,Australia,Kwinana,Xinfa,4 2018,WA,Xinfa,47.2,47.058823529411775,49.282602132837106,43079.0,2033328.8,2027247.0588235299,2123045.21728049
2018-04-28 00:00:00,Australia,Weipa,Xinfa,4 2018,AUS HT,Xinfa,54.7,54.53639082751746,71.66821729054098,67593.0,3697337.1,3686278.2652043877,4844269.8113195365
2018-05-02 00:00:00,Guinea,SMB,Weiqiao,5 2018,SMB,Weiqiao,56.7,56.53040877367897,53.2012617245921,157571.0,8934275.700000001,8907553.040877368,8382976.011205702
2018-05-02 00:00:00,Indonesia,W-Kalimantan,Chalco,5 2018,Indonesia,Chalco,47.0,46.85942173479562,37.5319404677157,44508.0,2091876.0,2085619.1425722833,1670471.6063370903
2018-05-02 00:00:00,Indonesia,W-Kalimantan,Xinfa,5 2018,Indonesia,Xinfa,58.1,57.92622133599203,45.0026155307009,48443.0,2814538.3000000003,2806119.940179462,2180061.7041537436
2018-05-03 00:00:00,Australia,Weipa,Chalco,5 2018,AUS HT,Chalco,37.7,37.58723828514457,55.2631258138271,66839.0,2519830.3000000003,2512293.419740778,3693732.0662703896
2018-05-03 00:00:00,Australia,Weipa,Weiqiao,5 2018,AUS HT,Weiqiao,45.0,44.865403788634104,59.5591588545165,66629.0,2998305.0,2989336.989032902,3968367.1953175794
2018-05-03 00:00:00,Australia,Weipa,Weiqiao,5 2018,AUS HT,Weiqiao,42.0,41.87437686939183,59.1256017462465,60590.0,2544780.0,2537168.494516451,3582420.2098050755
