lookup key,country,monthly average cif price by country
7 2018Ghana,Ghana,68.1
7 2018Guinea,Guinea,58.4057443846328
7 2018Indonesia,Indonesia,49.62552788480165
7 2018Solomon Islands,Solomon Islands,48.448632580261595
7 2018Australia,Australia,47.84965835701988
7 2018Australia,Australia,47.84965835701988
7 2018Australia,Australia,47.84965835701988
7 2018Guinea,Guinea,58.4057443846328
7 2018Indonesia,Indonesia,49.62552788480165
7 2018Australia,Australia,47.84965835701988
7 2018Australia,Australia,47.84965835701988
7 2018Australia,Australia,47.84965835701988
7 2018Australia,Australia,47.84965835701988
7 2018Australia,Australia,47.84965835701988
7 2018India,India,39.363238403039624
7 2018Australia,Australia,47.84965835701988
7 2018Australia,Australia,47.84965835701988
7 2018Australia,Australia,47.84965835701988
7 2018Ghana,Ghana,68.1
7 2018Guinea,Guinea,58.4057443846328
7 2018Guinea,Guinea,58.4057443846328
7 2018Guinea,Guinea,58.4057443846328
7 2018Guinea,Guinea,58.4057443846328
7 2018Vietnam,Vietnam,45.10914066989375
7 2018Australia,Australia,47.84965835701988
7 2018Australia,Australia,47.84965835701988
7 2018Australia,Australia,47.84965835701988
7 2018Australia,Australia,47.84965835701988
7 2018Australia,Australia,47.84965835701988
7 2018Australia,Australia,47.84965835701988
7 2018Brazil,Brazil,64.8
7 2018Australia,Australia,47.84965835701988
7 2018Guinea,Guinea,58.4057443846328
7 2018Guinea,Guinea,58.4057443846328
7 2018Australia,Australia,47.84965835701988
7 2018Australia,Australia,47.84965835701988
7 2018Australia,Australia,47.84965835701988
7 2018India,India,39.363238403039624
7 2018Malaysia,Malaysia,56.6
7 2018Solomon Islands,Solomon Islands,48.448632580261595
7 2018Australia,Australia,47.84965835701988
7 2018Guinea,Guinea,58.4057443846328
7 2018Indonesia,Indonesia,49.62552788480165
7 2018Indonesia,Indonesia,49.62552788480165
7 2018Australia,Australia,47.84965835701988
7 2018Australia,Australia,47.84965835701988
7 2018Montenegro,Montenegro,86.2
7 2018Australia,Australia,47.84965835701988
7 2018Australia,Australia,47.84965835701988
7 2018Guinea,Guinea,58.4057443846328
7 2018Guinea,Guinea,58.4057443846328
7 2018Indonesia,Indonesia,49.62552788480165
7 2018Jamaica,Jamaica,66.0
7 2018Guinea,Guinea,58.4057443846328
7 2018Guinea,Guinea,58.4057443846328
7 2018Australia,Australia,47.84965835701988
7 2018Australia,Australia,47.84965835701988
7 2018Australia,Australia,47.84965835701988
7 2018Australia,Australia,47.84965835701988
7 2018Guinea,Guinea,58.4057443846328
7 2018Guinea,Guinea,58.4057443846328
7 2018Indonesia,Indonesia,49.62552788480165
8 2018Australia,Australia,46.83501183335184
8 2018Australia,Australia,46.83501183335184
8 2018Australia,Australia,46.83501183335184
8 2018Australia,Australia,46.83501183335184
8 2018Australia,Australia,46.83501183335184
8 2018Australia,Australia,46.83501183335184
8 2018Australia,Australia,46.83501183335184
8 2018Indonesia,Indonesia,47.801618896179704
8 2018Indonesia,Indonesia,47.801618896179704
8 2018Malaysia,Malaysia,48.776057336966666
8 2018Australia,Australia,46.83501183335184
8 2018Guinea,Guinea,59.01777441174695
8 2018Solomon Islands,Solomon Islands,48.61691138580728
8 2018Australia,Australia,46.83501183335184
8 2018Jamaica,Jamaica,64.80581885869745
8 2018Australia,Australia,46.83501183335184
8 2018Australia,Australia,46.83501183335184
8 2018Guinea,Guinea,59.01777441174695
8 2018Guinea,Guinea,59.01777441174695
8 2018Guinea,Guinea,59.01777441174695
8 2018Solomon Islands,Solomon Islands,48.61691138580728
8 2018Australia,Australia,46.83501183335184
8 2018Australia,Australia,46.83501183335184
8 2018Australia,Australia,46.83501183335184
8 2018Australia,Australia,46.83501183335184
8 2018Guinea,Guinea,59.01777441174695
8 2018Guinea,Guinea,59.01777441174695
8 2018Guinea,Guinea,59.01777441174695
8 2018Indonesia,Indonesia,47.801618896179704
8 2018Indonesia,Indonesia,47.801618896179704
8 2018Australia,Australia,46.83501183335184
8 2018Australia,Australia,46.83501183335184
8 2018Australia,Australia,46.83501183335184
8 2018Guinea,Guinea,59.01777441174695
8 2018Indonesia,Indonesia,47.801618896179704
8 2018Jamaica,Jamaica,64.80581885869745
8 2018Greece,Greece,78.79999999999998
8 2018Guinea,Guinea,59.01777441174695
8 2018Guinea,Guinea,59.01777441174695
8 2018Indonesia,Indonesia,47.801618896179704
8 2018Australia,Australia,46.83501183335184
8 2018Australia,Australia,46.83501183335184
8 2018Guinea,Guinea,59.01777441174695
8 2018Australia,Australia,46.83501183335184
8 2018Australia,Australia,46.83501183335184
8 2018Australia,Australia,46.83501183335184
8 2018Australia,Australia,46.83501183335184
8 2018Australia,Australia,46.83501183335184
8 2018Australia,Australia,46.83501183335184
8 2018Australia,Australia,46.83501183335184
8 2018Australia,Australia,46.83501183335184
8 2018Guinea,Guinea,59.01777441174695
