country,mine,FOB Cash Cost,Full Cost CFR,Sust. Cap,Cap Chrg,Other Chgs,Freight,BAR LT,BAR HT-D,BAR HT-B,T.AA,LT A.AA,Mon AA,T.SiO2,LT R.SiO2,Organic C,Bx Style,Moisture as Shipped,"Processing Penalties (extra crushing, high goethite, high phos, etc) (US$/dmt bx)",Specific Capital (applicable to project as modelled - US$/dmt bx output),Project Life (yr),Construction Period (yr),Minimum IRR to proceed (%),Build Quality,Infrastucture Covered by Capital,Percentage of Specific Capital used to Calculate Annual Sustaining Capital Charge,Vessel Class,Capital US$/dmt
" Queensland""",Aurukun,,,1.7973214285714283,-0.0,0.0,,3.003003003003003,2.6645350386357576,2.4420024420024418,0.54,0.37,0.1,0.1,0.07,High,HT-B,0.13,0,45,25,4,0.08,2. Intermediate,3. Mine+Roads/Rail+Port,0.039940476190476186,Capesize,45
New,Metro LT,,,0.3225,-0.0,0.0,,2.7282269358044533,3.5936191698021,2.8505983873940868,0.49,0.407264915,0.02353969,0.147,0.053436582,High,LT,0.123,0,10.275,21,1,0.08,2. Intermediate,3. Mine+Roads/Rail+Port,0.039940476190476186,Capesize,10.275
Expansion,MRN,,,0.9041666666666667,-0.0,0.0,,2.2675736961451247,2.333286667599981,2.2560631697687534,0.55,0.49,0.005,0.06,0.055,Low,LT,0.07,0,50,25,3,0.08,1. Gold plated,3. Mine+Roads/Rail+Port,0.018083333333333333,Capesize,50
Expansion,Juruti,,,0.9041666666666667,-0.0,0.0,,2.4102193299590264,2.4438823515035986,2.392058366224136,0.51,0.461,0.003,0.045,0.046,Low,LT,0.13,0,50,25,3,0.08,1. Gold plated,3. Mine+Roads/Rail+Port,0.018083333333333333,Capesize,50
" State of Minas Gerais""",Mirai,,,1.1,-0.0,0.0,,2.5839793281653747,2.9117167481947357,2.6143790849673207,0.48,0.43,0.02,0.08,0.03,Low,LT,0.13,0,15,25,4,0.08,2. Intermediate,1. Mine only,0.07333333333333333,Panamax,15
New,Metro BH1,,,0.3225,-0.0,0.0,,2.740981830375988,2.802813913056152,2.5240030376260454,0.5134,0.405369747,0.051923287,0.0951,0.051264363,High,LT,0.123,0,10.275,21,1,0.08,2. Intermediate,3. Mine+Roads/Rail+Port,0.039940476190476186,Capesize,10.275
" western Cape York Peninsula""",Amrun,,,1.44174310639839,-0.0,0.0,,3.0483158055174515,2.588192665061987,2.4089129780186687,0.54,0.3645,0.108,0.09,0.0675,High,HT-B,0.13,0,83,24,3,0.08,1. Gold plated,3. Mine+Roads/Rail+Port,0.018083333333333333,Panamax,83
" Para State""",Rondon do Para,,,2.1633333333333336,-0.0,0.0,,2.596053997923157,2.7199782401740786,2.611306959133046,0.47,0.428,0.003,0.05,0.039,Low,LT,0.13,0,29.5,40,4,0.08,2. Intermediate,1. Mine only,0.07333333333333333,Capesize,29.5
Expansion,Huntly,,,1.085,-0.0,0.0,,3.3670033670033668,10.683760683760685,4.544421722335834,0.35,0.33,0.009,0.2,0.011,V_High,LT,0.08,0,60,30,3,0.08,1. Gold plated,3. Mine+Roads/Rail+Port,0.018083333333333333,Panamax,60
" Dak Nong Province""",Vietnam Others,,,1.875,-0.0,0.0,,33.67003367003367,2.403181812720041,2.283887175973507,0.53,0.033,0.465,0.055,0.032,Low,HT-D,0.05,0,20,30,4,0.08,3. Cheap n Nasty,3. Mine+Roads/Rail+Port,0.09375,Panamax,20
New,SMB Malapouya,,,1.40625,-0.0,0.0,,2.743484224965706,2.674798052747018,2.629848783694938,0.44,0.405,0.02,0.02,0.015,Moderate,LT,0.1,0,15,20,1,0.04,3. Cheap n Nasty,3. Mine+Roads/Rail+Port,0.09375,Capesize,15
New,Rundi,,,1.875,-0.0,0.0,,2.743484224965706,2.674798052747018,2.629848783694938,0.44,0.405,0.02,0.02,0.015,Moderate,LT,0.1,0,20,15,1,0.04,3. Cheap n Nasty,3. Mine+Roads/Rail+Port,0.09375,Capesize,20
New,Metro Blend,,,0.3225,-0.0,0.0,,2.8048024844599344,2.9535236715890494,2.6198412783492047,0.514137805,0.396145938,0.050582367,0.112145794,0.067902009,High,LT,0.123,0,10.275,21,1,0.08,2. Intermediate,3. Mine+Roads/Rail+Port,0.039940476190476186,Capesize,10.275
Existing Opn.,Seydisehir,,,3.0000000000000004,-0.0,0.0,,22.22222222222222,2.3277465916065965,2.1343453996253943,0.558636364,0.05,0.498636364,0.0661,0.01,Low,HT-D,0.0175,0,20,20,4,0.1,3. Cheap n Nasty,2. Mine+Roads/Rail,0.15000000000000002,Panamax,20
New,Dian Dian,,,1.4378571428571427,-0.0,0.0,,2.4366471734892783,2.3562954323213043,2.336721579623788,0.49,0.456,0.02,0.015,0.014,Moderate,LT,0.07,0,36,25,4,0.08,2. Intermediate,3. Mine+Roads/Rail+Port,0.039940476190476186,Capesize,36
New,Dynamic,,,0.98958333375,-0.0,0.0,,2.9239766081871346,2.8100938571348286,2.7434842249657065,0.42,0.38,0.03,0.02,0.01,Moderate,LT,0.1,0,10.55555556,15,1,0.15,3. Cheap n Nasty,3. Mine+Roads/Rail+Port,0.09375,Capesize,10.55555556
New,GDM,,,1.875,-0.0,0.0,,2.6709401709401708,2.5917545919411977,2.5338907893069806,0.457,0.416,0.027,0.023,0.014,Moderate,LT,0.1,0,20,25,2,0.08,3. Cheap n Nasty,3. Mine+Roads/Rail+Port,0.09375,Capesize,20
New,Ashapura Guinea,,,1.40625,-0.0,0.0,,2.677376171352075,2.611920806561145,2.5690430314707773,0.45,0.415,0.02,0.02,0.015,Moderate,LT,0.1,0,15,20,1,0.08,3. Cheap n Nasty,3. Mine+Roads/Rail+Port,0.09375,Capesize,15
New,SMB Kaboye,,,1.40625,-0.0,0.0,,2.886002886002886,2.8100938571348286,2.7605244996549345,0.42,0.385,0.02,0.02,0.015,Moderate,LT,0.1,0,15,20,1,0.04,3. Cheap n Nasty,3. Mine+Roads/Rail+Port,0.09375,Capesize,15
New,SMB Dabiss S,,,1.40625,-0.0,0.0,,2.743484224965706,2.674798052747018,2.629848783694938,0.44,0.405,0.02,0.02,0.015,Moderate,LT,0.1,0,15,20,1,0.04,3. Cheap n Nasty,3. Mine+Roads/Rail+Port,0.09375,Capesize,15
New,AGB2A,,,1.40625,-0.0,0.0,,2.389486260454002,2.367844669389688,2.314814814814815,0.5,0.465,0.02,0.025,0.015,Moderate,LT,0.1,0,15,20,1,0.15,3. Cheap n Nasty,3. Mine+Roads/Rail+Port,0.09375,Capesize,15
Existing Opn.,Mokanji,,,3.0000000000000004,-0.0,0.0,,2.4746349913387773,2.4315813789498004,2.3767082590612003,0.5,0.449,0.021,0.035,0.03,Moderate,LT,0.111,0,20,20,4,0.12,3. Cheap n Nasty,2. Mine+Roads/Rail,0.15000000000000002,Panamax,20
Existing Opn.,CBK Kindia,,,4.170833333333334,-0.0,0.0,,3.1746031746031744,3.03947672368725,2.9355643622486425,0.4,0.35,0.035,0.028,0.015,Moderate,LT,0.1,0,65,40,4,0.08,2. Intermediate,2. Mine+Roads/Rail,0.06416666666666668,Panamax,65
New,SPIC,,,1.3180357142857142,-0.0,0.0,,2.834467120181406,2.6738325378681536,2.642356982428326,0.434,0.392,0.03,0.015,0.012,Moderate,LT,0.1,0,33,25,2,0.04,2. Intermediate,3. Mine+Roads/Rail+Port,0.039940476190476186,Capesize,33
