index,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
33,"Gujarat & Maharashtra,[$/dmt 44.5,[1.88 mln dmt]","Gujarat & Maharashtra,[$/dmt 44.5,[2.86 mln dmt]", ,"SMB Kaboye,[$/dmt 43.3,[3.06 mln dmt]", ,"MRN,[$/dmt 46.0,[0.31 mln dmt]", , , ,"Rundi,[$/dmt 49.1,[0.36 mln dmt]","Rundi,[$/dmt 49.1,[3.37 mln dmt]","Rundi,[$/dmt 49.1,[1.36 mln dmt]","Rundi,[$/dmt 49.1,[0.64 mln dmt]","Rundi,[$/dmt 49.1,[2.05 mln dmt]","Rundi,[$/dmt 49.1,[3.74 mln dmt]","Rundi,[$/dmt 49.1,[3.74 mln dmt]","Rundi,[$/dmt 49.1,[3.74 mln dmt]","Rundi,[$/dmt 49.1,[3.74 mln dmt]", , , , , , , , , 
34, , , ,"Aurum Xinfa-Fiji,[$/dmt 43.4,[0.04 mln dmt]", , , , , , ,"Mokanji,[$/dmt 49.7,[0.41 mln dmt]", , , ,"Mokanji,[$/dmt 49.7,[0.41 mln dmt]","Mokanji,[$/dmt 49.7,[0.41 mln dmt]","Mokanji,[$/dmt 49.7,[0.41 mln dmt]","Mokanji,[$/dmt 49.7,[0.41 mln dmt]", , , , , , , , , 
35, , , , ,"MRN,[$/dmt 49.6,[0.21 mln dmt]", , , , , , , , , , , , , , , , , , , , , , 
36, , , ,"SMB Dabiss S,[$/dmt 44.3,[2.19 mln dmt]","Gujarat & Maharashtra,[$/dmt 49.6,[0.24 mln dmt]","Gujarat & Maharashtra,[$/dmt 47.0,[0.15 mln dmt]", , , , , , , , , , , , , , , , , , , , , 
37, , ,"Gujarat & Maharashtra,[$/dmt 39.3,[1.66 mln dmt]", ,"SMB Dabiss S,[$/dmt 49.8,[2.37 mln dmt]","SMB Dabiss S,[$/dmt 47.6,[3.36 mln dmt]", , , , ,"Discovery Bay,[$/dmt 50.7,[0.87 mln dmt]", , , ,"Discovery Bay,[$/dmt 50.7,[0.29 mln dmt]","Discovery Bay,[$/dmt 50.7,[0.87 mln dmt]","Discovery Bay,[$/dmt 50.7,[1.07 mln dmt]","Discovery Bay,[$/dmt 50.7,[1.07 mln dmt]","Discovery Bay,[$/dmt 50.7,[2.5 mln dmt]","Discovery Bay,[$/dmt 50.7,[2.5 mln dmt]","Discovery Bay,[$/dmt 50.7,[2.5 mln dmt]","Discovery Bay,[$/dmt 50.7,[2.5 mln dmt]","Discovery Bay,[$/dmt 50.7,[2.5 mln dmt]","Discovery Bay,[$/dmt 50.7,[2.5 mln dmt]","Discovery Bay,[$/dmt 50.7,[2.5 mln dmt]","Discovery Bay,[$/dmt 50.7,[2.5 mln dmt]","Discovery Bay,[$/dmt 50.7,[2.5 mln dmt]"
38, , , ,"Gujarat & Maharashtra,[$/dmt 45.8,[0.78 mln dmt]", , , , , , ,"SMB Dabiss S,[$/dmt 50.9,[0.68 mln dmt]", , , , ,"SMB Dabiss S,[$/dmt 50.9,[0.37 mln dmt]","SMB Dabiss S,[$/dmt 50.9,[1.84 mln dmt]","SMB Dabiss S,[$/dmt 50.9,[2.37 mln dmt]", , , , , , , , , 
39, , , , , , , , , , , , , , , , , , , , , , , , , , , 
40, , , , ,"Discovery Bay,[$/dmt 53.4,[0.24 mln dmt]", , , , , , , , , , , , , , , , , , , , , , 
41, , ,"Dom. Rep.,[$/dmt 49.8,[0.1 mln dmt]", , , , , , , , , , , , , , , ,"Aurukun,[$/dmt 56.1,[10.0 mln dmt]","Aurukun,[$/dmt 56.1,[13.67 mln dmt]","Aurukun,[$/dmt 56.1,[15.0 mln dmt]","Aurukun,[$/dmt 56.1,[17.0 mln dmt]","Aurukun,[$/dmt 56.1,[20.0 mln dmt]","Aurukun,[$/dmt 56.1,[20.0 mln dmt]","Aurukun,[$/dmt 56.1,[20.0 mln dmt]","Aurukun,[$/dmt 56.1,[20.0 mln dmt]","Aurukun,[$/dmt 56.1,[20.0 mln dmt]"
42,"Dom. Rep.,[$/dmt 58.0,[0.51 mln dmt]","Dom. Rep.,[$/dmt 58.0,[0.42 mln dmt]","Mirai,[$/dmt 50.9,[0.02 mln dmt]", , , , , , , , , , , , , , , , , , , , , , , , 
43, , , , , , , , , , , , , , , , , , ,"Dom. Rep.,[$/dmt 63.1,[2.0 mln dmt]", ,"Dom. Rep.,[$/dmt 63.1,[2.0 mln dmt]","Dom. Rep.,[$/dmt 63.1,[2.0 mln dmt]","Dom. Rep.,[$/dmt 63.1,[2.0 mln dmt]","Dom. Rep.,[$/dmt 63.1,[2.0 mln dmt]","Dom. Rep.,[$/dmt 63.1,[2.0 mln dmt]","Dom. Rep.,[$/dmt 63.1,[2.0 mln dmt]","Dom. Rep.,[$/dmt 63.1,[2.0 mln dmt]"
44, , , , , , , , , , , , , , , , , , ,"Mirai,[$/dmt 72.6,[4.0 mln dmt]", ,"Mirai,[$/dmt 72.6,[2.27 mln dmt]","Mirai,[$/dmt 72.6,[5.0 mln dmt]","Mirai,[$/dmt 72.6,[5.0 mln dmt]","Mirai,[$/dmt 72.6,[5.0 mln dmt]","Mirai,[$/dmt 72.6,[5.0 mln dmt]","Mirai,[$/dmt 72.6,[5.0 mln dmt]","Mirai,[$/dmt 72.6,[5.0 mln dmt]"
45, , , , , , , , , , , , , , , , , , , , , , , , , , , 
