Exporter.Importer Combination,Exporter,Importer,Ranking total,Total,last Char() as code,First Char() as code,Rank
Brazil_United Arab Emirates,Brazil,United Arab Emirates,9.768033792028071e-10,0.0,66,115,335.0
Brazil_United Kingdom,Brazil,United Kingdom,5.1000958621561024e-05,5.1e-05,66,109,190.0
Brazil_United States,Brazil,United States,0.2479008599768034,0.247900859,66,115,15.0
Brazil_Uruguay,Brazil,Uruguay,0.0007381009949851974,0.0007381,66,121,118.0
Canada_Australia,Canada,Australia,5.6999917870769524e-05,5.6999e-05,67,97,186.0
Canada_Brazil,Canada,Brazil,9.507065904194511e-10,0.0,67,108,343.0
Canada_Chile,Canada,Chile,2.1864298110680313e-06,2.1855e-06,67,101,281.0
Canada_Poland,Canada,Poland,1.0099268259934045e-06,1.009e-06,67,100,291.0
Canada_United States,Canada,United States,0.01330125097160211,0.013301249999999997,67,115,48.0
Chile_Canada,Chile,Canada,9.178707695239288e-10,0.0,67,97,353.0
"Australia_Korea, South",Australia,"Korea, South",0.1292399176149852,0.12923991666666668,65,104,20.0
China_Australia,China,Australia,0.0009635040012041029,0.0009635030833333334,67,97,112.0
China_Bangladesh,China,Bangladesh,9.387662919119886e-10,0.0,67,104,345.0
China_Brazil,China,Brazil,0.0004161059507065905,0.00041610500000000006,67,108,128.0
China_Canada,China,Canada,0.0005900009178707695,0.00059,67,97,121.0
China_Croatia,China,Croatia,0.00333600091787077,0.0033360000000000004,67,97,74.0
China_France,China,France,0.02136559092981107,0.02136559,67,101,42.0
China_Germany,China,Germany,0.0067303343228458925,0.006730333333333332,67,121,63.0
China_Greece,China,Greece,0.00020475092981106805,0.00020475000000000002,67,101,148.0
China_India,China,India,0.014831992584537435,0.014831991666666666,67,97,45.0
China_Indonesia,China,Indonesia,6.617751204102858e-06,6.616833333333334e-06,67,97,254.0
Australia_Netherlands,Australia,Netherlands,2.000982164684564e-06,2e-06,65,115,283.0
China_Iran,China,Iran,0.0005625009566767397,0.0005625000000000001,67,110,125.0
China_Italy,China,Italy,9.89512560568705e-10,0.0,67,121,334.0
China_Japan,China,Japan,2.2075956676739673e-05,2.2075e-05,67,110,219.0
"China_Korea, South",China,"Korea, South",0.001260000938766292,0.00126,67,104,104.0
China_Malaysia,China,Malaysia,0.0017107440845374364,0.0017107431666666668,67,97,93.0
China_Poland,China,Poland,9.268259934045258e-10,0.0,67,100,348.0
China_Romania,China,Romania,2.4000917870769523e-05,2.4e-05,67,97,215.0
China_Russia,China,Russia,0.0016840074178707696,0.0016840065,67,97,94.0
China_Spain,China,Spain,0.0019662509566767397,0.00196625,67,110,88.0
China_Taiwan,China,Taiwan,9.566767396731824e-10,0.0,67,110,340.0
Australia_New Zealand,Australia,New Zealand,1.1676026775050768e-06,1.1666666666666666e-06,65,100,290.0
China_Thailand,China,Thailand,9.268259934045258e-10,0.0,67,100,348.0
China_Turkey,China,Turkey,0.006649405489512561,0.006649404500000001,67,121,64.0
China_Ukraine,China,Ukraine,0.0005910977631444013,0.0005910968333333333,67,101,120.0
China_United States,China,United States,0.010915690971602112,0.010915689999999999,67,115,51.0
China_Vietnam,China,Vietnam,1.6910953691665047e-05,1.6910000000000002e-05,67,109,228.0
Czech Republic_Germany,Czech Republic,Germany,9.89512560568705e-10,0.0,67,121,334.0
Czech Republic_Russia,Czech Republic,Russia,3.687417870769524e-06,3.6864999999999998e-06,67,97,271.0
Denmark_Australia,Denmark,Australia,1.050802793150317e-07,1.0416666666666668e-07,68,97,308.0
Denmark_Germany,Denmark,Germany,4.5009842008836595e-06,4.5e-06,68,121,265.0
Estonia_France,Estonia,France,1.6758773882057302e-07,1.6666666666666665e-07,69,101,306.0
Australia_Papua New Guinea,Australia,Papua New Guinea,1.6759344673584615e-07,1.6666666666666665e-07,65,97,305.0
France_Belgium,France,Belgium,0.0018890009397471022,0.001889,70,109,90.0
France_Canada,France,Canada,9.054613878608159e-10,0.0,70,97,354.0
France_Czech Republic,France,Czech Republic,1.0917577842340241e-05,1.0916666666666667e-05,70,99,245.0
France_Germany,France,Germany,0.003355750974032817,0.0033557500000000002,70,121,73.0
France_Italy,France,Italy,0.0026745009740328164,0.0026745,70,121,77.0
France_Luxembourg,France,Luxembourg,8.758425593757835e-05,8.758333333333334e-05,70,103,171.0
France_Netherlands,France,Netherlands,0.0012042509568899592,0.00120425,70,115,105.0
France_Poland,France,Poland,0.001438667580699483,0.0014386666666666667,70,100,101.0
France_Spain,France,Spain,0.0008265426092709116,0.0008265416666666666,70,110,116.0
France_Switzerland,France,Switzerland,0.00211508424736615,0.0021150833333333334,70,100,85.0
