data_engine_id,ref,smelter_id,ch_smelter_id,smelter_short_name_id,group_id,continent_id,country_id,technology_id,province_id,ownership_id,average_cell_life_day,Headcount_(workshop),Latitude,Longitude,Cells_Below_300,Cells_300,Cells_350,Cells_400,Cells_420,Cells_500,Cells_600,Operating_cells_Below_300,Operating_cells_300,Operating_cells_350,Operating_cells_400,Operating_cells_420,Operating_cells_500,Operating_cells_600,creation_date,updation_date
22,22,smelter_22,ch_smelter_22,smelter_short_name_22,group_9,continent_1,country_1,tech_10,province_2,ownership_2,2000,321,40.1,111.21,0,0,297,0,0,0,0,0,0,297,0,0,0,0,,
23,23,smelter_23,ch_smelter_23,smelter_short_name_23,group_1,continent_1,country_1,tech_10,province_1,ownership_1,2000,96,23.21,106.34,0,0,0,0,0,0,240,0,0,0,0,0,0,80,,
24,24,smelter_24,ch_smelter_24,smelter_short_name_24,group_10,continent_1,country_1,tech_10,province_9,ownership_1,2000,188,29.8,107.46,181,0,0,0,0,0,0,181,0,0,0,0,0,0,,
25,25,smelter_25,ch_smelter_25,smelter_short_name_25,group_11,continent_1,country_1,tech_10,province_2,ownership_3,2000,973,40.35,109.46,0,604,0,308,0,0,0,0,604,0,308,0,0,0,,
26,26,smelter_26,ch_smelter_26,smelter_short_name_26,group_11,continent_1,country_1,tech_10,province_11,ownership_3,2000,806,44.41,89.07,0,0,0,0,0,672,0,0,0,0,0,0,672,0,,
27,27,smelter_27,ch_smelter_27,smelter_short_name_27,group_12,continent_1,country_1,tech_10,province_6,ownership_3,1500,0,34.51,113.16,148,0,0,0,0,0,0,0,0,0,0,0,0,0,,
28,28,smelter_28,ch_smelter_28,smelter_short_name_28,group_13,continent_1,country_1,tech_10,province_12,ownership_1,1500,115,26.38,118.11,111,0,0,0,0,0,0,111,0,0,0,0,0,0,,
29,29,smelter_29,ch_smelter_29,smelter_short_name_29,group_14,continent_1,country_1,tech_10,province_4,ownership_3,2000,141,35.14,103.5,0,136,0,0,0,0,0,0,136,0,0,0,0,0,,
30,30,smelter_30,ch_smelter_30,smelter_short_name_30,group_1,continent_1,country_1,tech_10,province_1,ownership_1,2000,96,24.41,105.44,0,0,0,0,0,0,240,0,0,0,0,0,0,80,,
31,31,smelter_31,ch_smelter_31,smelter_short_name_31,group_3,continent_1,country_1,tech_10,province_1,ownership_2,2000,360,23.2,107.29,0,0,0,0,0,300,0,0,0,0,0,0,300,0,,
32,32,smelter_32,ch_smelter_32,smelter_short_name_32,group_1,continent_1,country_1,tech_10,province_1,ownership_1,2000,203,23.49,106.48,0,0,0,0,178,0,0,0,0,0,0,178,0,0,,
33,33,smelter_33,ch_smelter_33,smelter_short_name_33,group_15,continent_1,country_1,tech_10,province_3,ownership_3,1500,171,32.24,105.45,0,164,0,0,0,0,0,0,164,0,0,0,0,0,,
34,34,smelter_34,ch_smelter_34,smelter_short_name_34,group_8,continent_1,country_1,tech_10,province_13,ownership_3,1000,213,26.18,105.56,205,0,0,0,0,0,0,205,0,0,0,0,0,0,,
35,35,smelter_35,ch_smelter_35,smelter_short_name_35,group_3,continent_1,country_1,tech_10,province_13,ownership_2,2000,360,26.46,106.07,0,0,0,0,0,300,0,0,0,0,0,0,300,0,,
36,36,smelter_36,ch_smelter_36,smelter_short_name_36,group_8,continent_1,country_1,tech_10,province_13,ownership_3,2000,225,26.56,105.04,216,0,0,0,0,0,0,216,0,0,0,0,0,0,,
37,37,smelter_37,ch_smelter_37,smelter_short_name_37,group_16,continent_1,country_1,tech_10,province_14,ownership_1,1400,279,32.33,111.31,268,0,0,0,0,0,0,268,0,0,0,0,0,0,,
38,38,smelter_38,ch_smelter_38,smelter_short_name_38,group_17,continent_1,country_1,tech_10,province_6,ownership_3,2000,341,34.74,112.08,0,222,102,0,0,0,0,0,222,102,0,0,0,0,,
39,39,smelter_39,ch_smelter_39,smelter_short_name_38,group_17,continent_1,country_1,tech_10,province_6,ownership_3,2000,332,34.75,112.07,0,0,102,198,0,0,0,0,0,102,198,0,0,0,,
40,40,smelter_40,ch_smelter_40,smelter_short_name_39,group_18,continent_1,country_1,tech_10,province_6,ownership_1,2000,322,34.41,112.56,0,310,0,0,0,0,0,0,310,0,0,0,0,0,,
41,41,smelter_41,ch_smelter_41,smelter_short_name_40,group_19,continent_1,country_1,tech_10,province_6,ownership_1,2000,242,34.47,113.4,0,0,0,216,0,0,0,0,0,0,216,0,0,0,,
42,42,smelter_42,ch_smelter_42,smelter_short_name_41,group_3,continent_1,country_1,tech_10,province_8,ownership_2,2000,184,26.16,100.1,0,0,0,0,0,306,0,0,0,0,0,0,0,153,,
43,43,smelter_43,ch_smelter_43,smelter_short_name_42,group_20,continent_1,country_1,tech_10,province_5,ownership_2,2000,629,36.3,101.32,0,0,286,286,0,0,0,0,0,286,286,0,0,0,,
44,44,smelter_44,ch_smelter_44,smelter_short_name_21,group_21,continent_1,country_1,tech_10,province_2,ownership_3,2000,396,45.26,119.26,0,0,0,0,0,330,0,0,0,0,0,0,330,0,,
45,45,smelter_45,ch_smelter_45,smelter_short_name_43,group_3,continent_1,country_1,tech_10,province_2,ownership_2,2000,509,40.33,110.9,0,0,0,88,0,342,0,0,0,0,88,0,342,0,,
46,46,smelter_46,ch_smelter_46,smelter_short_name_44,group_22,continent_1,country_1,tech_10,province_2,ownership_3,2000,824,45.24,119.35,0,0,0,736,0,148,0,0,0,0,736,0,0,0,,
47,47,smelter_47,ch_smelter_47,smelter_short_name_45,group_23,continent_1,country_1,tech_10,province_6,ownership_1,2000,580,35.14,113.22,558,0,0,0,0,0,0,558,0,0,0,0,0,0,,
48,48,smelter_48,ch_smelter_48,smelter_short_name_46,group_24,continent_1,country_1,tech_10,province_4,ownership_1,2000,1210,39.49,98.16,0,0,0,0,0,"""1","008""",0,0,0,0,0,0,"""1,008"",0",,
49,49,smelter_49,ch_smelter_49,smelter_short_name_47,group_25,continent_1,country_1,tech_10,province_5,ownership_3,1400,0,36.1,101.86,160,0,0,0,0,0,0,0,0,0,0,0,0,0,,
50,50,smelter_50,ch_smelter_50,smelter_short_name_48,group_26,continent_1,country_1,tech_10,province_16,ownership_1,1500,0,35.37,116.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
51,51,smelter_51,ch_smelter_51,smelter_short_name_49,group_2,continent_1,country_1,tech_10,province_1,ownership_1,2000,523,23.31,108.56,0,0,280,0,0,184,0,0,0,280,0,0,184,0,,
52,52,smelter_52,ch_smelter_52,smelter_short_name_50,group_27,continent_1,country_1,tech_10,province_16,ownership_3,2000,0,36.62,116.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
53,53,smelter_53,ch_smelter_53,smelter_short_name_51,group_19,continent_1,country_1,tech_10,province_6,ownership_1,2000,0,36.6,113.52,0,0,0,234,0,0,0,0,0,0,0,0,0,0,,
54,54,smelter_54,ch_smelter_54,smelter_short_name_52,group_24,continent_1,country_1,tech_10,province_4,ownership_1,2000,426,34.58,104.38,164,0,0,228,0,0,0,164,0,0,228,0,0,0,,
55,55,smelter_55,ch_smelter_55,smelter_short_name_39,group_18,continent_1,country_1,tech_10,province_6,ownership_1,2000,241,34.42,112.51,0,232,0,0,0,0,0,0,232,0,0,0,0,0,,
56,56,smelter_56,ch_smelter_56,smelter_short_name_53,group_28,continent_1,country_1,tech_10,province_220,ownership_1,1500,0,38.14,114.34,170,0,0,0,0,0,0,0,0,0,0,0,0,0,,
57,57,smelter_57,ch_smelter_57,smelter_short_name_54,group_29,continent_1,country_1,tech_10,province_2,ownership_1,2000,360,40.16,110.4,0,0,0,0,0,300,0,0,0,0,0,0,300,0,,
58,58,smelter_58,ch_smelter_58,smelter_short_name_55,group_30,continent_1,country_1,tech_10,province_5,ownership_1,2000,312,36.3,101.34,300,0,0,0,0,0,0,300,0,0,0,0,0,0,,
59,59,smelter_59,ch_smelter_59,smelter_short_name_56,group_30,continent_1,country_1,tech_10,province_5,ownership_1,2000,302,36.3,101.34,0,0,560,0,0,0,0,0,0,280,0,0,0,0,,
60,60,smelter_60,ch_smelter_60,smelter_short_name_57,group_31,continent_1,country_1,tech_10,province_5,ownership_1,2000,550,36.18,102.54,236,0,0,272,0,0,0,236,0,0,272,0,0,0,,
61,61,smelter_61,ch_smelter_61,smelter_short_name_58,group_32,continent_1,country_1,tech_10,province_5,ownership_3,1500,166,36.7,102.14,160,0,0,0,0,0,0,160,0,0,0,0,0,0,,
62,62,smelter_62,ch_smelter_62,smelter_short_name_59,group_30,continent_1,country_1,tech_10,province_5,ownership_1,1500,0,36.46,101.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
63,63,smelter_63,ch_smelter_63,smelter_short_name_60,group_30,continent_1,country_1,tech_10,province_5,ownership_1,2000,491,36.53,101.42,472,0,0,0,0,0,0,472,0,0,0,0,0,0,,
64,64,smelter_64,ch_smelter_64,smelter_short_name_61,group_33,continent_1,country_1,tech_10,province_5,ownership_3,2000,0,36.56,101.51,0,0,0,312,0,0,0,0,0,0,0,0,0,0,,
65,65,smelter_65,ch_smelter_65,smelter_short_name_62,group_20,continent_1,country_1,tech_10,province_17,ownership_2,2000,602,37.53,105.56,280,0,288,0,0,0,0,280,0,288,0,0,0,0,,
66,66,smelter_66,ch_smelter_66,smelter_short_name_63,group_20,continent_1,country_1,tech_10,province_17,ownership_2,2000,634,38.12,106.31,0,0,288,288,0,0,0,0,0,288,288,0,0,0,,
67,67,smelter_67,ch_smelter_67,smelter_short_name_64,group_34,continent_1,country_1,tech_10,province_18,ownership_1,2000,216,34.58,108.59,0,0,0,0,0,240,0,0,0,0,0,0,180,0,,
68,68,smelter_68,ch_smelter_68,smelter_short_name_65,group_34,continent_1,country_1,tech_10,province_18,ownership_1,2000,645,38.24,109.46,0,0,0,576,0,0,0,0,0,0,576,0,0,0,,
69,69,smelter_69,ch_smelter_69,smelter_short_name_66,group_3,continent_1,country_1,tech_10,province_16,ownership_3,2000,0,34.97,118.32,332,0,0,0,0,0,0,0,0,0,0,0,0,0,,
70,70,smelter_70,ch_smelter_70,smelter_short_name_67,group_35,continent_1,country_1,tech_10,province_16,ownership_3,2000,664,37.43,120.28,0,412,0,210,0,0,0,0,412,0,210,0,0,0,,
71,71,smelter_71,ch_smelter_71,smelter_short_name_67,group_35,continent_1,country_1,tech_10,province_16,ownership_3,2000,312,37.44,120.27,300,0,0,0,0,0,0,300,0,0,0,0,0,0,,
72,72,smelter_72,ch_smelter_72,smelter_short_name_68,group_3,continent_1,country_1,tech_10,province_7,ownership_2,2000,0,34.51,110.31,0,276,0,0,0,0,0,0,0,0,0,0,0,0,,
73,73,smelter_73,ch_smelter_73,smelter_short_name_69,group_36,continent_1,country_1,tech_10,province_7,ownership_1,2000,162,37.76,113.58,156,156,0,0,0,0,0,0,156,0,0,0,0,0,,
74,74,smelter_74,ch_smelter_74,smelter_short_name_70,group_37,continent_1,country_1,tech_10,province_6,ownership_1,1500,0,34.73,111.07,0,0,0,220,0,0,0,0,0,0,0,0,0,0,,
75,75,smelter_75,ch_smelter_75,smelter_short_name_71,group_38,continent_1,country_1,tech_10,province_6,ownership_1,2000,0,33.55,116.33,0,0,230,210,0,0,0,0,0,0,0,0,0,0,,
76,76,smelter_76,ch_smelter_76,smelter_short_name_72,group_39,continent_1,country_1,tech_10,province_7,ownership_1,1400,0,39.3,112.49,80,0,0,0,0,0,0,0,0,0,0,0,0,0,,
77,77,smelter_77,ch_smelter_77,smelter_short_name_73,group_15,continent_1,country_1,tech_10,province_3,ownership_2,1500,349,29.59,103.44,0,336,0,0,0,0,0,0,336,0,0,0,0,0,,
78,78,smelter_78,ch_smelter_78,smelter_short_name_74,group_19,continent_1,country_1,tech_10,province_3,ownership_1,2000,87,32.4,105.78,0,0,0,234,0,0,0,0,0,0,78,0,0,0,,
79,79,smelter_79,ch_smelter_79,smelter_short_name_75,group_20,continent_1,country_1,tech_10,province_2,ownership_2,2000,0,44.73,118.41,0,0,0,0,0,308,0,0,0,0,0,0,0,0,,
80,80,smelter_80,ch_smelter_80,smelter_short_name_76,group_20,continent_1,country_1,tech_10,province_2,ownership_2,2000,0,43.37,122.19,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
81,81,smelter_81,ch_smelter_81,smelter_short_name_76,group_20,continent_1,country_1,tech_10,province_2,ownership_2,2000,534,45.27,119.39,0,256,248,0,0,0,0,0,256,248,0,0,0,0,,
82,82,smelter_82,ch_smelter_82,smelter_short_name_77,group_20,continent_1,country_1,tech_10,province_2,ownership_2,2000,367,45.22,119.31,0,0,0,328,0,0,0,0,0,0,328,0,0,0,,
83,83,smelter_83,ch_smelter_83,smelter_short_name_78,group_20,continent_1,country_1,tech_10,province_2,ownership_2,1500,0,43.63,122.34,170,0,0,0,0,0,0,0,0,0,0,0,0,0,,
84,84,smelter_84,ch_smelter_84,smelter_short_name_79,group_40,continent_1,country_1,tech_10,province_7,ownership_1,2000,0,38.4,112.41,152,0,0,0,0,0,0,0,0,0,0,0,0,0,,
85,85,smelter_85,ch_smelter_85,smelter_short_name_80,group_41,continent_1,country_1,tech_10,province_18,ownership_1,1400,0,34.98,108.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
86,86,smelter_86,ch_smelter_86,smelter_short_name_81,group_42,continent_1,country_1,tech_10,province_16,ownership_3,2000,1086,36.55,117.44,0,0,0,969,0,0,0,0,0,0,969,0,0,0,,
87,87,smelter_87,ch_smelter_87,smelter_short_name_82,group_42,continent_1,country_1,tech_10,province_16,ownership_3,2000,870,36.54,117.48,0,0,0,777,0,0,0,0,0,0,777,0,0,0,,
88,88,smelter_88,ch_smelter_88,smelter_short_name_83,group_42,continent_1,country_1,tech_10,province_16,ownership_3,2000,189,37.22,117.54,0,0,0,169,0,0,0,0,0,0,169,0,0,0,,
89,89,smelter_89,ch_smelter_89,smelter_short_name_84,group_42,continent_1,country_1,tech_10,province_16,ownership_3,2000,605,37.22,117.54,0,0,0,0,0,0,504,0,0,0,0,0,0,504,,
90,90,smelter_90,ch_smelter_90,smelter_short_name_85,group_42,continent_1,country_1,tech_10,province_16,ownership_3,2000,518,38.1,117.57,0,0,0,0,0,0,432,0,0,0,0,0,0,432,,
91,91,smelter_91,ch_smelter_91,smelter_short_name_86,group_42,continent_1,country_1,tech_10,province_16,ownership_3,2000,533,36.53,117.48,0,0,0,0,0,444,0,0,0,0,0,0,444,0,,
92,92,smelter_92,ch_smelter_92,smelter_short_name_87,group_42,continent_1,country_1,tech_10,province_16,ownership_3,2000,533,36.53,117.48,0,0,0,0,0,444,0,0,0,0,0,0,444,0,,
93,93,smelter_93,ch_smelter_93,smelter_short_name_88,group_42,continent_1,country_1,tech_10,province_16,ownership_3,2000,517,37.21,117.47,0,0,0,462,0,0,0,0,0,0,462,0,0,0,,
94,94,smelter_94,ch_smelter_94,smelter_short_name_89,group_42,continent_1,country_1,tech_10,province_16,ownership_3,2000,258,37.1,117.27,0,0,0,231,0,0,0,0,0,0,231,0,0,0,,
95,95,smelter_95,ch_smelter_95,smelter_short_name_90,group_42,continent_1,country_1,tech_10,province_16,ownership_3,2000,241,37.1,117.29,0,0,0,215,0,0,0,0,0,0,215,0,0,0,,
96,96,smelter_96,ch_smelter_96,smelter_short_name_91,group_42,continent_1,country_1,tech_10,province_16,ownership_3,2000,181,36.54,117.46,0,0,0,162,0,0,0,0,0,0,162,0,0,0,,
97,97,smelter_97,ch_smelter_97,smelter_short_name_92,group_43,continent_1,country_1,tech_10,province_1,ownership_1,1500,138,24.46,105.22,133,0,0,0,0,0,0,133,0,0,0,0,0,0,,
98,98,smelter_98,ch_smelter_98,smelter_short_name_50,group_27,continent_1,country_1,tech_10,province_16,ownership_3,2000,1820,36.61,116.23,"""1","750""",0,0,0,0,0,0,"""1","750""",0,0,0,"0,0,0",,
99,99,smelter_99,ch_smelter_99,smelter_short_name_66,group_27,continent_1,country_1,tech_10,province_16,ownership_3,2000,570,36.6,116.23,0,548,0,0,0,0,0,0,548,0,0,0,0,0,,
100,100,smelter_100,ch_smelter_100,smelter_short_name_93,group_27,continent_1,country_1,tech_10,province_1,ownership_3,2000,462,23.16,106.22,444,0,0,0,0,0,0,444,0,0,0,0,0,0,,
101,101,smelter_101,ch_smelter_101,smelter_short_name_66,group_27,continent_1,country_1,tech_10,province_16,ownership_3,2000,285,36.62,116.26,0,274,0,0,0,0,0,0,274,0,0,0,0,0,,
102,102,smelter_102,ch_smelter_102,smelter_short_name_94,group_44,continent_1,country_1,tech_10,province_11,ownership_3,2000,538,44.17,86.24,0,0,0,0,0,448,0,0,0,0,0,0,448,0,,
103,103,smelter_103,ch_smelter_103,smelter_short_name_95,group_27,continent_1,country_1,tech_10,province_11,ownership_3,2000,1636,44.16,87.41,0,0,0,672,0,736,0,0,0,0,672,0,736,0,,
104,104,smelter_104,ch_smelter_104,smelter_short_name_96,group_45,continent_1,country_1,tech_10,province_11,ownership_3,2000,782,44.52,89.02,0,0,0,0,0,652,0,0,0,0,0,0,652,0,,
105,105,smelter_105,ch_smelter_105,smelter_short_name_97,group_38,continent_1,country_1,tech_10,province_11,ownership_1,2000,775,44.53,89.02,0,0,0,336,0,332,0,0,0,0,336,0,332,0,,
106,106,smelter_106,ch_smelter_106,smelter_short_name_98,group_46,continent_1,country_1,tech_10,province_11,ownership_1,2000,191,44.1,88.37,80,0,0,96,0,0,0,80,0,0,96,0,0,0,,
107,107,smelter_107,ch_smelter_107,smelter_short_name_99,group_8,continent_1,country_1,tech_10,province_11,ownership_3,2000,1211,44.25,88.4,0,0,0,0,"""1","062""",0,0,0,0,0,0,"""1","062"",0,0",,
108,108,smelter_108,ch_smelter_108,smelter_short_name_100,group_47,continent_1,country_1,tech_10,province_11,ownership_2,2000,184,44.8,87.46,0,0,0,164,0,0,0,0,0,0,164,0,0,0,,
109,109,smelter_109,ch_smelter_109,smelter_short_name_101,group_48,continent_1,country_1,tech_10,province_13,ownership_3,2000,106,25.48,105.42,0,0,0,0,0,176,0,0,0,0,0,0,88,0,,
110,110,smelter_110,ch_smelter_110,smelter_short_name_39,group_18,continent_1,country_1,tech_10,province_6,ownership_1,2000,241,34.43,112.5,0,232,0,0,0,0,0,0,232,0,0,0,0,0,,
111,111,smelter_111,ch_smelter_111,smelter_short_name_102,group_49,continent_1,country_1,tech_10,province_8,ownership_3,2000,0,27.76,97.7,56,0,0,0,0,0,0,0,0,0,0,0,0,0,,
112,112,smelter_112,ch_smelter_112,smelter_short_name_103,group_50,continent_1,country_1,tech_10,province_222,ownership_3,2000,768,40.34,122.16,0,0,0,0,0,640,0,0,0,0,0,0,640,0,,
113,113,smelter_113,ch_smelter_113,smelter_short_name_104,group_51,continent_1,country_1,tech_10,province_6,ownership_1,2000,0,34.39,113.14,124,0,0,0,0,0,0,0,0,0,0,0,0,0,,
114,114,smelter_114,ch_smelter_114,smelter_short_name_105,group_45,continent_1,country_1,tech_10,province_8,ownership_3,2000,0,26.56,100.22,0,0,0,0,0,250,0,0,0,0,0,0,0,0,,
115,115,smelter_115,ch_smelter_115,smelter_short_name_106,group_38,continent_1,country_1,tech_10,province_8,ownership_1,2000,0,23.68,105.59,0,0,0,0,0,330,0,0,0,0,0,0,0,0,,
116,116,smelter_116,ch_smelter_116,smelter_short_name_107,group_52,continent_1,country_1,tech_10,province_14,ownership_3,1400,104,30.11,112.36,100,0,0,0,0,0,0,100,0,0,0,0,0,0,,
117,117,smelter_117,ch_smelter_117,smelter_short_name_108,group_53,continent_1,country_1,tech_10,province_13,ownership_3,1500,0,27.61,106.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
118,118,smelter_118,ch_smelter_118,smelter_short_name_109,group_22,continent_1,country_1,tech_10,province_17,ownership_3,2000,211,37.56,105.65,0,0,0,282,0,0,0,0,0,0,188,0,0,0,,
119,119,smelter_119,ch_smelter_119,smelter_short_name_110,group_54,continent_1,country_1,tech_10,province_16,ownership_3,1500,0,36.52,117.47,224,0,0,0,0,0,0,0,0,0,0,0,0,0,,
120,120,smelter_120,ch_smelter_120,smelter_short_name_111,group_3,continent_1,country_1,tech_10,province_13,ownership_2,2000,527,27.31,106.5,208,0,288,0,0,0,0,208,0,288,0,0,0,0,,
121,121,smelter_121,ch_smelter_121,smelter_short_name_112,group_55,continent_1,country_1,tech_10,province_13,ownership_3,1500,0,28.1,106.8,180,0,0,0,0,0,0,0,0,0,0,0,0,0,,
