,bauxite,owner,ownership,technology,category,province,refinery,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
42,Domestic,Other,Shanghai Huafei Investment Co.Ltd,H-B,Guizhou,Guizhou,Huafei,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
43,Domestic,Other,Tianyuan Chemical,H-B,Shanxi,Shanxi,Dongxu Tianyuan,0.0,0.1,0.1,0.1,0.1,0.25,0.25,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Domestic,Other,Wanji Holdings,H-B,Henan,Henan,Wanji,0.0,0.0,0.4,0.8,0.8,0.8,0.8,0.8,1.4,1.4,1.4,1.4,1.4,1.4,0.28,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
45,Domestic,Other,"Yongmei Group, Wuzhou Aluminium, Dengfeng Electric Power Corporation","H-B, Sweetening",Henan,Henan,Zhongmei,0.0,0.0,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
46,Domestic,Other,Zengshi,H-B,Guangxi,Guangxi,Tiangui,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.5,0.6,0.8,0.8,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
47,Domestic,Other,Zengshi Group,H-B,Guizhou,Guizhou,Xian,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
48,Domestic,Qiya,Qiya,H-B,Guizhou,Guizhou,Qizheng Chemical,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49,Domestic,SPIC,SPIC,H-B,Guizhou,Guizhou,SPIC - Wuchuan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,Domestic,SPIC,SPIC,H-B,Other,Chongqing,Tuoyuan,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
51,Domestic,SPIC,SPIC,H-B & Sinter,Shanxi,Shanxi,SPIC Shanxi,0.0,1.0,1.0,1.0,1.2,2.0,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,0.45,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
