,province,refinery,drawdowntechfactorinputs1_id,factorx,Bauxite Consumption,bayerconstant
79,Other,Dongxu Tianyuan import,380.0,1.0,0.2,1.0
80,Other,East Hope Lingshi,385.0,1.0,0.2,1.23
81,Other,East Hope Lingshi Import,390.0,1.0,0.2,1.0
82,Other,Huaqing,395.0,1.0,0.2,1.23
83,Other,Qiangjin Aluminium,400.0,1.0,0.2,1.23
84,Other,Senze,405.0,1.0,0.2,1.23
85,Other,Taixing,410.0,1.0,0.2,1.23
86,Other,Wusheng,415.0,1.0,0.2,1.23
87,Other,Xinfa - Jiaokou,420.0,1.0,0.2,1.23
88,Other,Xinfa - Xiaoyi,425.0,1.0,0.2,1.23
89,Other,Xingan Chemical,430.0,1.0,0.2,1.23
90,Other,Huayin,40.0,1.0,0.2,1.23
91,Other,Xingan Chemical import,435.0,1.0,0.2,1.0
92,Other,Yangquan Zhaofeng,440.0,1.0,0.2,1.23
93,Other,Gangyuan Jiaohua,445.0,1.0,0.2,1.23
94,Other,Tiantong,460.0,1.0,0.2,1.23
95,Other,Fusheng,465.0,1.0,0.2,1.23
96,Other,YMG - Wenshan,470.0,1.0,0.2,1.23
97,Other,Guangxi - blending,475.0,10.0,0.1,1.0
98,Other,Guizhou - blending,480.0,10.0,0.1,1.0
99,Guangxi,Bosai Xianfeng domestic,1.0,5.0,0.1,1.23
100,Guangxi,Jinjiang Tiandong,41.0,0.9,0.1,1.23
101,Guangxi,Henan - blending,481.0,10.0,0.1,1.0
102,Guangxi,Shanxi - blending,486.0,10.0,0.1,1.0
103,Guangxi,Other - blending,491.0,10.0,0.1,1.0
104,Guangxi,Xinfa Jingxi,46.0,0.8,0.1,1.23
105,Guangxi,Chalco Huaxing,346.0,5.0,0.1,1.23
106,Guangxi,Tiangui,56.0,1.0,0.1,1.23
107,Guangxi,Jinjiang Longzhou,31.0,5.0,0.1,1.23
108,Guangxi,Huasheng,51.0,10.0,0.1,1.0
109,Guangxi,Chalco Xinghua,446.0,5.0,0.1,1.23
110,Guangxi,Chalco Xinghua import,451.0,5.0,0.1,1.0
111,Guangxi,Chalco Guizhou,61.0,5.0,0.1,1.23
112,Guangxi,Chalco Zunyi,66.0,5.0,0.1,1.23
113,Guangxi,Xian,71.0,5.0,0.1,1.23
114,Guangxi,Huafei,76.0,5.0,0.1,1.23
115,Guangxi,Bosai Xianfeng import,6.0,10.0,0.1,1.0
116,Guangxi,Qingzhen Guanglv,81.0,5.0,0.1,1.23
117,Guangxi,Qizheng Chemical,86.0,5.0,0.1,1.23
118,Guangxi,Qizheng Chemical Added LT,91.0,5.0,0.1,1.0
119,Guangxi,SPIC - Wuchuan,96.0,5.0,0.1,1.23
120,Guangxi,Kaisheng,101.0,5.0,0.1,1.23
121,Guangxi,Huajin,106.0,5.0,0.1,1.23
122,Guangxi,Chalco Zhengzhou domestic,111.0,5.0,0.1,1.23
123,Guangxi,Chalco Zhengzhou import,116.0,10.0,0.1,1.0
124,Guangxi,Chalco Zhongzhou Dom. Sinter,121.0,5.0,0.1,1.23
125,Guangxi,Chalco Zhongzhou Dom. Bayer,126.0,10.0,0.1,1.23
126,Guangxi,Bosai Wanzhou,11.0,5.0,0.1,1.0
127,Guangxi,Chalco Zhongzhou LT Amt,131.0,10.0,0.1,1.0
128,Guangxi,Kaiman,136.0,5.0,0.1,1.23
129,Guangxi,Kaiman Import,141.0,5.0,0.1,1.0
130,Guangxi,East Hope Mianchi,146.0,5.0,0.1,1.23
131,Guangxi,East Hope Mianchi Added LT,151.0,5.0,0.1,1.0
132,Guangxi,Huiyuan Lushan,156.0,5.0,0.1,1.23
133,Guangxi,Jingxin,161.0,5.0,0.1,1.23
134,Guangxi,Shenhuo,166.0,5.0,0.1,1.23
135,Guangxi,Wanji,171.0,5.0,0.1,1.23
136,Guangxi,Wanji import,176.0,5.0,0.1,1.0
137,Guangxi,Shuijiang,16.0,5.0,0.1,1.23
138,Guangxi,Weilai,181.0,5.0,0.1,1.23
139,Guangxi,Yifeng Gongyi (Yulian Xinya),186.0,5.0,0.1,1.23
140,Guangxi,Yima Yixiang,191.0,5.0,0.1,1.23
141,Guangxi,Zhongmei,196.0,5.0,0.1,1.23
