No.,Refinery Key,Supplyinh Mines Keys,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,Q1 2017,Q1 2018,Q1 2019,Q1 2020,Q2 2017,Q2 2018,Q2 2019,Q2 2020,Q3 2017,Q3 2018,Q3 2019,Q3 2020,Q4 2017,Q4 2018,Q4 2019,Q4 2020
23.0,R_023,M_033,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,R_024,M_053,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,M_015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,R_025,M_060,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,R_026,M_061,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,R_026,M_058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,M_054,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,R_028,M_060,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,R_029,M_061,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,R_030,M_057,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.0,R_031,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,M_057,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,,,,,,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93
Not available,Not available,M_054,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,,,,,,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.0,R_032,M_060,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,R_033,M_060,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,M_056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.0,R_034,M_060,0.38,0.38,0.38,0.7,0.7,0.7,0.7,0.7,0.7,,,,,,0.38,0.38,0.38,0.7,0.38,0.38,0.5,0.7,0.38,0.38,0.7,0.7,0.38,0.38,0.7,0.7
Not available,Not available,M_031,0.62,0.62,0.62,0.3,0.3,0.3,0.3,0.3,0.3,,,,,,0.62,0.62,0.62,0.3,0.62,0.62,0.5,0.3,0.62,0.62,0.3,0.3,0.62,0.62,0.3,0.3
Not available,Not available,M_057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,M_054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,R_035,M_064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
