Key,Refinery Name,Country,Q1 2017,Q1 2018,Q1 2019,Q1 2020,Q1 2021,Q1 2022,Q2 2017,Q2 2018,Q2 2019,Q2 2020,Q2 2021,Q2 2022,Q3 2017,Q3 2018,Q3 2019,Q3 2020,Q3 2021,Q3 2022,Q4 2017,Q4 2018,Q4 2019,Q4 2020,Q4 2021
R_033,Utkal,India,351.0,357.0,389.0,360.0,,,356.0,355.0,346.0,,,,359.88010899182564,355.0,321.0,,,,360.0,380.0,360.0,,
R_034,Vedanta - Lanjigarh,India,313.0,351.0,452.0,465.0,,,303.0,325.0,430.0,,,,269.0,348.0,426.0,,,,287.0,375.0,476.0,,
R_035,Kendawangan,Indonesia,195.65217391304347,200.0,250.0,250.0,,,197.8260869565217,202.22222222222226,250.0,,,,200.0,204.44444444444446,250.0,,,,200.0,204.44444444444446,250.0,,
R_036,Mempawah,Indonesia,,0.0,,,,,,,,,,,,,,,,,,,,,
R_037,Tayan,Indonesia,34.23913043478261,38.0,38.0,38.0,,,34.619565217391305,38.42222222222223,38.42222222222223,,,,35.0,38.844444444444434,38.844444444444434,,,,35.0,38.844444444444434,38.844444444444434,,
R_038,Jajarm,Iran,73.0,73.0,60.0,60.0,,,75.0,75.0,60.0,,,,75.0,75.0,60.0,,,,74.0,75.0,60.0,,
R_039,Aughinish,Ireland,471.0,462.0,479.0,476.0,,,480.0,460.0,470.0,,,,497.0,484.0,475.0,,,,490.0,468.0,469.0,,
R_040,Eurallumina - Porto Vesme,Italy,,0.0,,,,,,,,,,,,,,,,,0.0,,,,
R_041,JISCO - Alpart,Jamaica,0.0,141.0,232.0,0.0,,,120.0,202.22222222222226,300.0,,,,150.0,204.0,150.0,,,,200.0,205.0,0.0,,
R_042,Clarendon (Jamalco),Jamaica,299.0,300.0,300.0,210.0,,,300.0,300.0,240.0,,,,300.0,300.0,259.0,,,,300.0,300.0,200.0,,
R_043,Ewarton (Windalco),Jamaica,149.0,128.0,109.0,136.0,,,131.0,122.0,109.0,,,,149.0,122.0,120.0,,,,153.0,130.0,123.0,,
R_044,Kirkvine (Windalco),Jamaica,,0.0,,,,,,,,,,,,,,,,,,,,,
R_045,"Kikumoto, Shimizu & Yokohama",Japan,,0.0,,,,,,,,,,,,,,,,,0.0,,,,
R_046,Pavlodar,Kazakhstan,375.0,375.0,375.0,375.0,,,375.0,375.0,375.0,,,,375.0,375.0,375.0,,,,375.0,375.0,375.0,,
R_047,Podgorica,Montenegro,,0.0,,,,,,,,,,,,,,,,,,,,,
R_048,Tulcea,Romania,145.7765,134.163,118.58,100.0,,,145.7765,139.072,108.09899999999999,,,,90.0,149.26850000000005,130.60700000000003,,,,91.0,149.26850000000005,103.62499999999994,,
R_049,Achinsk,Russia,243.0,240.0,190.0,228.0,,,230.0,214.0,202.0,,,,234.0,225.0,207.0,,,,238.0,172.0,224.0,,
R_050,Bogoslovsk,Russia,235.0,245.0,253.0,240.0,,,238.0,247.0,254.0,,,,252.0,255.0,257.0,,,,258.0,255.0,253.0,,
R_051,Boksitogorsk,Russia,,0.0,,,,,,0.0,,,,,,0.0,,,,,0.0,0.0,,,
R_052,Uralsky,Russia,210.0,226.0,225.0,228.0,,,227.0,227.0,230.0,,,,230.0,229.0,229.0,,,,227.0,228.0,232.0,,
R_053,Ma'aden,Saudi Arabia,300.0,450.0,450.0,450.0,,,350.0,450.0,450.0,,,,400.0,450.0,450.0,,,,450.0,450.0,450.0,,
R_054,San Ciprian,Spain,391.3043478260869,375.0,400.0,395.0,,,390.0,375.0,400.0,,,,400.0,375.0,400.0,,,,400.0,375.0,395.0,,
R_055,Paranam,Suriname,,0.0,,,,,,0.0,,,,,,0.0,,,,,0.0,0.0,,,
R_056,Seydisehir,Turkey,,0.0,,,,,,0.0,,,,,,0.0,,,,,0.0,0.0,,,
R_057,Shaheen,UAE,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,
R_058,Nikolayev,Ukraine,398.0,430.0,423.0,416.0,,,431.0,426.0,410.0,,,,416.0,420.0,414.0,,,,431.0,439.0,443.0,,
R_059,Zaporozhye,Ukraine,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,
R_060,Burnside ,USA,122.28260869565216,125.0,125.0,100.0,,,123.64130434782608,126.38888888888887,125.0,,,,125.0,127.77777777777777,130.0,,,,125.0,125.0,128.0,,
R_061,Gramercy,USA,244.56521739130437,190.0,200.0,200.0,,,247.28260869565216,245.0,245.0,,,,250.0,247.6923076923077,250.0,,,,250.0,240.0,240.0,,
R_062,Point Comfort,USA,,0.0,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,
R_063,Sherwin - Corpus Christi,USA,,0.0,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,
R_064,Bauxilum,Venezuela,,0.0,,0.0,,,,0.0,15.0,,,,,0.0,20.0,,,,,,0.0,,
R_065,Tan Rai,Vietnam,157.7168478260869,160.27397260273972,163.378,170.0,,,159.46925724637674,162.05479452054794,174.622,,,,160.0,163.83561643835614,166.0,,,,160.0,163.83561643835614,170.0,,
R_066,Nhan Co,Vietnam,164.6346195652173,165.94520547945206,162.0,175.0,,,166.463893115942,167.7890410958904,175.0,,,,168.0,169.63287671232877,167.0,,,,168.0,169.63287671232877,175.0,,
R_067,Brockville - Axens,USA,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,
R_068,Mopko (Taejoo·KC),South Korea,42.5,42.5,42.5,42.5,,,42.5,42.5,42.5,,,,42.5,42.5,42.5,,,,42.5,42.5,42.5,,
R_069,Bintan PT BAI,Indonesia,,,,,,,,,,,,,,,,,,,,,,,
R_070,Al Taweelah Phase I,UAE,,,,450.0,,,,,200.0,,,,,,400.0,,,,,,450.0,,
R_071,Al Taweelah Phase II,UAE,,,,,,,,,,,,,,,,,,,,,,,
R_072,SMB Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,
R_073,SPIC Guinea,Guinea,,,,,,,,,,,,,,,,,,,,,,,
R_074,Alcoa Pinjarra expansion,Australia,,,,,,,,,,,,,,,,,,,,,,,
R_075,Chalco Boffa,Guinea,,,,,,,,,,,,,,,,,,,,,,,
R_076,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,
R_077,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,
R_078,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,
R_079,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,
R_080,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,
R_081,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,
R_082,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,
R_083,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,
R_084,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,
R_085,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,
R_086,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,
R_087,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,
R_088,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,
R_089,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,
R_090,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,
R_091,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,
R_092,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,
R_093,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,
R_094,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,
R_095,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,
R_096,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,
R_097,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,
R_098,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,
R_099,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,
R_100,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,
