Key,Name,Country,Region,Total Al2O3,Total SiO2,LT Reactive SiO2,Moisture,Monohydrate ,Total Organic Carbon,Style,Unnamed: 11,Unnamed: 12
M_021,Juruti,Brazil,South America,0.52,0.045,0.041,0.13,0.00400000000000004,Low,LT,,
M_022,Cataguases,Brazil,South America,0.48,0.06,0.05,0.13,0.009999999999999988,Low,LT,,
M_023,"Pocos de Caldas, Alcoa",Brazil,South America,0.46,0.06,0.05,0.05,0.009999999999999988,Low,LT,,
M_024,Brazil others,Brazil,South America,0.46,0.06,0.05,0.05,0.009999999999999988,Low,LT,,
M_025,Dom. Rep.,Dominican Republic,South America,0.465,0.05,0.04,0.16,0.07499999999999998,Low,HT-B,,
M_026,Aurum Xinfa-Fiji,Fiji,Oceania,0.4,0.04,0.035,0.17,0.0,Moderate,LT,,
M_027,Awaso,Ghana,Africa & Asia (ex China),0.515,0.02,0.02,0.11,0.0,Moderate,LT,,
M_028,Other Ghana,Ghana,Africa & Asia (ex China),0.52,0.02,0.01,0.1,0.01,Moderate,LT,,
M_029,Delphi-Distomon,Greece,West Europe,0.6,0.03,0.0,0.07,0.6,Low,HT-D,,
M_030,Parnasse,Greece,West Europe,0.57,0.04,0.0,0.1,0.57,Low,HT-D,,
M_031,CBG,Guinea,Africa & Asia (ex China),0.49,0.02,0.019,0.06,0.035,Moderate,HT-B,,
M_032,Dian Dian,Guinea,Africa & Asia (ex China),0.49,0.015,0.013999999999999999,0.1,0.02,Moderate,LT,,
M_033,GAC,Guinea,Africa & Asia (ex China),0.46,0.025,0.012,0.1,0.035,Moderate,LT,,
M_034,CBK Kindia,Guinea,Africa & Asia (ex China),0.46,0.028,0.015,0.1,0.035,Moderate,LT,,
M_035,Fria,Guinea,Africa & Asia (ex China),0.45,0.015,0.008,0.1,0.015,Moderate,LT,,
M_036,Alufer (Bel Air),Guinea,Africa & Asia (ex China),0.47,0.045,0.017,0.1,0.0,Moderate,LT,,
M_037,GDM,Guinea,Africa & Asia (ex China),0.457,0.023,0.013999999999999999,0.1,0.027000000000000003,Moderate,LT,,
M_038,Henan-Chine,Guinea,Africa & Asia (ex China),0.46,0.02,0.015,0.1,0.02,Moderate,LT,,
M_039,AMR,Guinea,Africa & Asia (ex China),0.44,0.02,0.015,0.1,0.02,Moderate,LT,,
M_040,SMB Malapouya,Guinea,Africa & Asia (ex China),0.44,0.02,0.015,0.1,0.02,Moderate,LT,,
M_041,Ashapura Guinea,Guinea,Africa & Asia (ex China),0.45,0.02,0.015,0.1,0.02,Moderate,LT,,
M_042,SMB Kaboye,Guinea,Africa & Asia (ex China),0.42,0.02,0.015,0.1,0.02,Moderate,LT,,
M_043,SMB Dabiss S,Guinea,Africa & Asia (ex China),0.44,0.02,0.015,0.1,0.02,Moderate,LT,,
M_044,Eurasian - 3rd Party Mines,Guinea,Africa & Asia (ex China),0.45,0.04,0.015,0.1,0.02,Moderate,LT,,
M_045,Dynamic,Guinea,Africa & Asia (ex China),0.448,0.02,0.008,0.1,0.02,Moderate,LT,,
M_046,AMC,Guinea,Africa & Asia (ex China),0.49,0.028,0.012,0.1,0.02,Moderate,LT,,
M_047,Chalco Boffa,Guinea,Africa & Asia (ex China),0.434,0.015,0.012,0.1,0.03,Moderate,LT,,
M_048,Axis,Guinea,Africa & Asia (ex China),0.457,0.023,0.013999999999999999,0.1,0.027000000000000003,Moderate,LT,,
M_049,Guinea Other,Guinea,Africa & Asia (ex China),0.4,0.022,0.017,0.13,0.02,Moderate,LT,,
M_050,Aroaima,Guyana,South America,0.585,0.065,0.045,0.12,0.0199999999999999,Moderate,LT,,
M_051,Kurubuka,Guyana,South America,0.55,0.07,0.045,0.12,0.0250000000000001,Moderate,LT,,
M_052,Guyana Others,Guyana,South America,0.585,0.07,0.045,0.1,0.0199999999999999,Moderate,LT,,
M_053,Bakony,Hungary,East & Central Europe,0.5,0.07,0.05,0.07,0.45,Low,HT-B,,
M_054,Chhattisgarh,India,Africa & Asia (ex China),0.45,0.07,0.05,0.07,0.05,Moderate,HT-B,,
M_055,Goa,India,Africa & Asia (ex China),0.48,0.07,0.0525,0.07,0.0225,Moderate,LT,,
M_056,Gujarat & Maharashtra,India,Africa & Asia (ex China),0.48,0.07,0.0525,0.07,0.0225,Moderate,LT,,
M_057,Jharkhand,India,Africa & Asia (ex China),0.45,0.07,0.05,0.07,0.05,Moderate,HT-B,,
M_058,Karnataka,India,Africa & Asia (ex China),0.45,0.07,0.05,0.07,0.05,Moderate,HT-B,,
M_059,Madhya Pradesh,India,Africa & Asia (ex China),0.48,0.07,0.03,0.07,0.1,Moderate,HT-B,,
M_060,Odisha,India,Africa & Asia (ex China),0.44,0.04,0.02,0.08,0.0,Moderate,LT,,
M_061,Andhra Pradesh,India,Africa & Asia (ex China),0.44,0.04,0.02,0.08,0.0,Moderate,LT,,
M_062,Tamil Nadu,India,Africa & Asia (ex China),0.44,0.07,0.04,0.08,0.009999999999999988,Moderate,LT,,
M_063,Bintan,Indonesia,Africa & Asia (ex China),0.49,0.13,0.065,0.13,0.025,Low,LT,,
M_064,West Kalimantan,Indonesia,Africa & Asia (ex China),0.49,0.125,0.04,0.14,0.01,Low,LT,,
M_065,Indonesia Other,Indonesia,Africa & Asia (ex China),0.49,0.13,0.065,0.13,0.025,Low,LT,,
M_066,Jajarm,Iran,Africa & Asia (ex China),0.47,0.11,0.03,0.05,0.34,Low,HT-D,,
M_067,Discovery Bay,Jamaica,South America,0.49,0.015,0.01,0.17,0.05,Low,HT-B,,
M_068,Windalco,Jamaica,South America,0.46,0.07,0.04,0.18,0.42,Low,HT-B,,
M_069,Jamalco,Jamaica,South America,0.46,0.07,0.04,0.18,0.42,Low,HT-B,,
M_070,Alpart,Jamaica,South America,0.46,0.07,0.04,0.18,0.42,Low,HT-B,,
M_071,Krasnogorsky,Kazakhstan,Africa & Asia (ex China),0.44,0.12,0.08,0.13,0.01,Low,HT-B,,
M_072,Kuantan & Johor ,Malaysia,Africa & Asia (ex China),0.4175,0.0566666666666667,0.0325,0.17,0.00999999999999998,Low,LT,,
M_073,Malaysia Other,Malaysia,Africa & Asia (ex China),0.395,0.045,0.04,0.17,0.00500000000000004,Low,LT,,
M_074,Niksic,Montenegro,East & Central Europe,0.6,0.05,0.045,0.1,0.555,Low,HT-D,,
M_075,Kola Apatit,Russia,East & Central Europe,0.41,0.08,0.06,0.1,0.0,Low,HT-B,,
M_076,North Onega,Russia,East & Central Europe,0.41,0.08,0.06,0.1,0.0,Low,HT-B,,
M_077,North Ural,Russia,East & Central Europe,0.45,0.03,0.035,0.1,0.025,Low,HT-D,,
M_078,South Ural,Russia,East & Central Europe,0.45,0.03,0.035,0.1,0.025,Low,HT-D,,
M_079,Tikhvin,Russia,East & Central Europe,0.45,0.03,0.035,0.1,0.025,Low,HT-D,,
M_080,Timan,Russia,East & Central Europe,0.55,0.07,0.065,0.1,0.085,Low,HT-D,,
M_081,Kiya-Shaltyr,Russia,East & Central Europe,0.55,0.07,0.065,0.1,0.085,Low,HT-D,,
M_082,Al-Baitha,Saudi Arabia,Africa & Asia (ex China),0.57,0.087,0.0,0.07,0.57,Low,HT-D,,
M_083,Sierra Minerals,Sierra Leone,Africa & Asia (ex China),0.5,0.03,0.025,0.1,0.015,Moderate,LT,,
M_084,Solomon Islands,Solomon Islands,Oceania,0.48,0.011,0.01,0.15,0.0,High,HT-B,,
M_085,Suriname - AWACS,Suriname,South America,0.533,0.07,0.06,0.13,0.01,Low,LT,,
M_086,Seydisehir,Turkey,Africa & Asia (ex China),0.57,0.08999999999999998,0.0,0.07,0.57,Low,HT-D,,
M_087,Los Pijiguaos,Venezuela,South America,0.51,0.06,0.05,0.13,0.009999999999999988,Low,LT,,
M_088,Nhan Co.,Vietnam,Africa & Asia (ex China),0.485,0.06,0.04,0.13,0.004999999999999979,Moderate,LT,,
M_089,Tan Rai,Vietnam,Africa & Asia (ex China),0.485,0.06,0.04,0.13,0.004999999999999979,Moderate,LT,,
M_090,Vietnam Others,Vietnam,Africa & Asia (ex China),0.5651,0.0447,0.032,0.05,0.5001,Low,HT-D,,
M_091,AGB2A,Guinea,Africa & Asia (ex China),,,,,,,,,
M_092,Rundi,Guinea,Africa & Asia (ex China),,,,,,,,,
M_093,SMB Santou-Houda,Guinea,Africa & Asia (ex China),,,,,,,,,
M_094,,,,,,,,,,,,
M_095,,,,,,,,,,,,
M_096,,,,,,,,,,,,
M_097,,,,,,,,,,,,
M_098,,,,,,,,,,,,
M_099,,,,,,,,,,,,
M_100,,,,,,,,,,,,
