Date,Year,Quarter,"Bauxite Import Prices, US$/t",Australia,Brazil,Dominican Republic,Fiji,Ghana,Guinea,Guyana,India,Indonesia,Jamaica,Malaysia,Montenegro,Sierra Leone,Solomon Islands,Turkey,Vietnam,Laos,Saudi Arabia,Thailand,Other
2016-11-01 00:00:00.000,2016,Q4,Customs,45.76917555241489,60.937228818089295,,,69.499408312411,54.956200250527296,,36.9371114794976,,,36.943175462895,66.2252827356791,,,,43.3999925490429,,,,
2016-12-01 00:00:00.000,2016,Q4,Customs,43.899555700533696,53.3928121204404,,,67.6957680035918,52.9154433077831,,36.3629437253456,,,38.9646443846631,67.24583263881111,,47.8526130862121,,,,,,
2017-01-01 00:00:00.000,2017,Q1,Customs,43.22,51.64,,,71.92,52.8,,39.0,,,38.54641929427169,66.0438333770148,,46.7249988449988,,46.98,,,,
2017-02-01 00:00:00.000,2017,Q1,Customs,45.4,47.44,,,70.5,53.22,,35.72903394450249,,,43.807260631314605,65.0431613618576,,52.879998014525,,,,,,
2017-03-01 00:00:00.000,2017,Q1,Customs,46.7431465547153,60.947319117618704,,,72.49259760258748,58.980830175573594,,39.082417235934,,,44.10795838391479,,,50.098665715305,,,,,,
2017-04-01 00:00:00.000,2017,Q2,Customs,46.315088454888404,69.9161421919796,,45.4735171079346,71.20243955446891,55.7590890528623,,40.103730047623294,,,42.05589919030151,67.6172407561908,,44.5000005675427,,50.6840024395672,,,,
2017-05-01 00:00:00.000,2017,Q2,Customs,43.937364599301794,69.4381788099746,,,67.5163387655155,54.3075916858492,,38.7694740098503,,56.5000047765529,41.93069621607,67.6982328037249,,44.5,,50.0840031032209,,,,
2017-06-01 00:00:00.000,2017,Q2,Customs,45.3121974350846,62.310494630723895,,,,55.1462706770435,,37.60731522793151,,56.5000058679936,40.4651932845318,71.1868495895683,,46.4355123098182,,,,,,
2017-07-01 00:00:00.000,2017,Q3,Customs,44.15575295264709,63.765583634334895,,,67.0186630514948,55.393425289960604,,36.4303913555784,44.19999154190061,56.50001010039799,41.032062405607206,72.49652476966381,,44.4999974613233,,50.1200051472941,,,,
2017-08-01 00:00:00.000,2017,Q3,Customs,45.833816682527896,58.4454355392846,,,67.0333855193868,56.867429651784,,38.1799999194546,46.343751884762895,,42.4376798517832,,,47.5820782848786,,,,,,
2017-09-01 00:00:00.000,2017,Q3,Customs,45.4170777900393,63.7017656648368,,,67.1200911658087,54.6256052437978,,38.4572335337798,55.3216523782313,,39.5995003979126,71.4018673831472,,46.9996803435565,,49.86799286987411,,,,
2018-04-01 00:00:00.000,2018,Q2,Customs,48.322081382898105,,,,,56.68966388152929,,,50.251849323905894,,,,,47.0,,45.38,,,,
2018-05-01 00:00:00.000,2018,Q2,Customs,46.6711266101222,,,,60.0,56.686770819690196,,,53.1368098613303,57.7329588828847,,,,47.158059917626495,,45.7520031606109,,,,
2019-02-01 00:00:00.000,2019,Q1,Customs,45.759048546469295,65.17439034238,,,60.0,57.5747265225495,,,49.477163912257296,,45.604995139309594,81.99999806144558,,48.0000031327454,,,,,,
2019-03-01 00:00:00.000,2019,Q1,Customs,44.58453722656349,64.8729240323542,,,60.0,59.48069081745751,,40.0119979808129,50.0599385409503,54.399219846541904,42.199261889826204,,,44.0,,,,,,
2017-10-01 00:00:00.000,2017,Q4,Customs,45.24264143109671,66.0522407974806,,43.452468803471,67.0331420680306,55.770085351324795,,37.19597523915951,54.716897093608,59.3250100280786,40.0418757240319,70.5864039816406,,52.9995375722543,,,,,,
2017-11-01 00:00:00.000,2017,Q4,Customs,47.485264592174,62.521886357368004,,,60.0,55.633862766488704,,,54.6722078854561,58.3537805886554,43.0000040952053,71.0475604461545,,47.0443269157529,,49.387990936300106,,,,
2017-12-01 00:00:00.000,2017,Q4,Customs,47.66824866531879,59.127782607389605,,,64.0,57.879076859711894,,35.4560015473981,52.8095071927384,66.36518603647671,,74.10086393792498,,46.204829978355704,,47.7439995143301,,,,
2018-01-01 00:00:00.000,2018,Q1,Customs,48.415595283477494,64.1038016106393,,,64.0,57.4155092485032,,,51.7170626815975,70.15000220277662,,74.6649321551269,,47.22909455906589,,47.7554769676261,,,,
2018-02-01 00:00:00.000,2018,Q1,Customs,47.5918122431658,61.04609384969051,,,64.0,57.4697098918108,,,46.1478495409291,69.1000043245113,52.3499934206153,82.4557646229225,,47.000008357360706,49.47904,21.999521836149203,,,,
2018-03-01 00:00:00.000,2018,Q1,Customs,47.762878671794006,60.3538725723196,,43.45246465383389,,57.870152419088704,,,50.98008883994229,68.6542317324859,43.6999795899568,,,48.603270011309604,,48.5359910909173,,,,
2018-06-01 00:00:00.000,2018,Q2,Customs,47.365476054174,66.1927509272631,,,,57.316765894264705,,40.1352032695506,52.2989025488388,70.0578759987926,42.5800106462623,,,46.911752096982696,,,,,,
2018-07-01 00:00:00.000,2018,Q3,Customs,47.8460860410972,64.83,,,68.1217292949136,58.4113785439678,,39.3875348893243,49.635984025015205,66.0400114576895,56.59365204283171,86.23110095079748,,48.47500770687451,,45.10667889972589,,,,
2018-08-01 00:00:00.000,2018,Q3,Customs,46.825711603281604,,,,,59.031185397886,,38.261794490566395,47.79608841168611,64.79,48.7492081227244,,,48.5832407859861,,46.73595450962,,,,
2018-09-01 00:00:00.000,2018,Q3,Customs,46.56069850693171,62.275071811536705,,,61.979996922603505,64.32161269773151,,38.778000723065794,50.12215251565289,57.5,42.810000016484494,,,46.9999964227328,,,,,,
2018-10-01 00:00:00.000,2018,Q4,Customs,44.9307986808553,64.799998554385,,,,65.6217860252576,,,50.4903681736374,59.8570180441457,46.519995047763395,,,48.1123604413028,75.8733054158045,,,,,
2018-11-01 00:00:00.000,2018,Q4,Customs,48.348210953944594,65.12999913815871,,,64.0076550077051,60.6198757354196,,39.498000220422,52.484478046771706,66.5000102469515,40.87999108269911,,,47.121731407462796,,48.168789371947796,,,,
2018-12-01 00:00:00.000,2018,Q4,Customs,44.7292935895955,65.21047110600432,,,,59.9238145301808,,44.9999930666201,50.0077285900889,66.5000084224712,46.12572694750379,88.51000614929319,,48.495885846111605,,49.4999990565345,,,,
2019-01-01 00:00:00.000,2019,Q1,Customs,45.7798386530797,66.44780243746739,,,64.0000029849321,58.7633605533038,,,49.6948911156763,,,,,48.100255329744606,74.2219962880724,49.500003019268206,,,,
2019-04-01 00:00:00.000,2019,Q2,Customs,44.435080682979205,65.4975777527351,,,,60.7842106349708,,40.5639990251648,49.5512854204923,61.036308997294704,34.4001654383447,80.4499924453102,,47.0,58.540011775764704,,,,,
2019-05-01 00:00:00.000,2019,Q2,Customs,43.742628399176496,65.0768220095716,,,,56.5208190512541,,,49.4532375192075,,34.0744725796558,,,46.9999917692425,69.7887597909263,49.4553105569596,,,,
2019-06-01 00:00:00.000,2019,Q2,Customs,44.36323588575729,,,,,53.82960499170979,,,49.438004626948995,,41.9300820152314,77.24499600468091,,47.000002192881496,64.9996008621378,,,,,
2019-07-01 00:00:00.000,2019,Q3,Customs,44.363411267797396,,,,,53.3720688927178,,,46.7556763640656,57.0,36.215934977139796,93.500002462691,62.69000006785271,47.0,55.9050008765205,,,,,
2019-08-01 00:00:00.000,2019,Q3,Customs,44.7524342893134,65.4371263353374,,,,54.8685268793507,,,46.647554006602,57.8838886924442,46.72495085708,,,47.1698759267826,,48.385335224656295,,,,
2019-09-01 00:00:00.000,2019,Q3,Customs,43.78411630649849,63.9979456808694,,,,56.845348840033,,,48.0918479235351,60.3666095237893,,,,47.8674981658107,,,,,,
2019-10-01 00:00:00.000,2019,Q4,Customs,43.18618806700629,,,,,57.731900369337204,,,49.042086076146795,60.6,51.2,83.0,,48.6,67.0,,,,,
2019-11-01 00:00:00.000,2019,Q4,Customs,43.2070354201135,64.0007230356697,,,,53.67891207986651,,,51.229748790348,58.0,,82.7,,49.0,65.98769378058661,,,,,
2019-12-01 00:00:00.000,2019,Q4,Customs,42.9093968507392,,,,,51.0503227715094,,,51.4210783573611,,27.0,71.90000000000002,,52.54606977131782,,,,,,
2020-01-01 00:00:00.000,2020,Q1,Customs,43.4423506323897,,,,,48.7368774930026,,,50.9649579497567,55.0000064173402,,83.6400034847393,,48.497196214732895,55.9549993219131,,,,,
2020-02-01 00:00:00.000,2020,Q1,Customs,43.6052918818289,,,,,49.486185754939,,,48.5727733114831,58.0,,,,48.0,56.0,,,,,
2020-03-01 00:00:00.000,2020,Q1,Customs,43.43314155334649,,,,54.0609214408164,53.04301101303329,,,48.5310236842037,,39.1104621617137,81.58000032127131,,48.000002614814996,,,,,,
2020-04-01 00:00:00.000,2020,Q2,Customs,42.834585952903204,,,,,50.6337623638039,,,48.1531197766472,,37.14771944849309,74.5000057786184,,48.2800011632915,,,,,,
