Province,County,minable_shallow_inventory,refractory_allocation,remaining_inventory_available_to_mining_for_SGA000t,remaining_inventory_available_to_mining_for_SGA_AA,remaining_inventory_available_to_mining_for_SGA_SiO2,remaining_inventory_available_to_mining_for_SGA_AS,extractable_to_SGA,working_stock_prior_to_AA_and_AS_de_rating000t,working_stock_prior_to_AA_and_AS_de_rating_AA,working_stock_prior_to_AA_and_AS_de_rating_AS,de_rated_Al2O3,de_rated_AS,de_rated_SiO2,province_county_000twstockprior,refractory_depletion_end_2009,refractory_depletion_end_2009_000t,SGA_depletion_end_2009,SGA_depletion_end_2009_000t,endowment_end_2009_prov_totals,geol_endowment_end_2009,endowment_end_2009_all,max_extr_inventory_end_2009_1,AA_end_2009_1,SiO2_end_2009_1,AS_end_2009_1,max_extr_inventory_end_2009_2,AA_end_2009_2,SiO2_end_2009_2,AS_end_2009_2,max_extr_inventory_end_2009_3,AA_end_2009_3,SiO2_end_2009_3,AS_end_2009_3,unallocated,check_sum,deposit,deep bauxite,Include Inventory in Allocations Further Processed?,correction_factor
Hebei,Wu'an,323.34,0.0,323.34,0.577,0.11540000000000002,4.999999999999999,0.7,226.338,0.577,4.999999999999999,0.5481499999999999,3.9999999999999996,0.1370375,Hebei-Wu'an-226.338,0,0.0,0.0,0.0,323.34,,something,226.338,0.5481499999999999,0.1370375,3.999999999999999,0.0,0.7,0.07777777777777778,9,226.338,0.5481499999999999,0.1370375,3.999999999999999,226.338,0.0,,0.0,Yes,1.0
Guizhou,Wuchuan,101900.0,0.0,101900.0,0.67,0.10260336906584992,6.53,0.6,24346.821428003706,0.67,6.53,0.6030000000000001,5.59999999894,0.10767857144895347,Guizhou-Wuchuan-24346.821428003706,0,0.0,0.0,0.0,120000.0,,something,24346.821428003706,0.6030000000000001,0.10767857144895347,5.59999999894,0.0,0.7,0.07777777777777778,9,24346.821428003706,0.6030000000000001,0.10767857144895347,5.59999999894,0,1.0,,0.0,Yes,1.0
Chongqing,Wulong,40476.0,0.0,40476.0,0.563709812,0.10780935682212368,5.228765189000001,0.7,17656.811750013472,0.563709812,5.228765189000001,0.563709812,4.183012151200001,0.1347616960276546,Chongqing-Wulong-17656.811750013472,0,0.0,0.0,0.0,56776.0,,something,17656.811750013472,0.563709812,0.1347616960276546,4.183012151200001,0.0,0.7,0.07777777777777778,9,17656.811750013472,0.563709812,0.1347616960276546,4.183012151200001,0,1.0,,0.0,Yes,1.0
Shanxi,Wutai,59490.8,0.0,59490.8,0.6232,0.1439999999926059,4.327777778,0.7,29026.552833520323,0.6232,4.327777778,0.5841600653847999,3.6786111112999995,0.15879908142243424,Shanxi-Wutai-29026.552833520323,0,0.0,0.0,0.0,80955.8,,something,29026.552833520323,0.5841600653847999,0.15879908142243424,3.6786111112999995,0.0,0.7,0.07777777777777778,9,29026.552833520323,0.5841600653847999,0.15879908142243424,3.6786111112999995,0,1.0000000000000002,,18304.0,Yes,1.0
Shanxi,Wuxiang,8244.1,0.0,8244.1,0.5,0.1,5.0,0.7,3946.862875008249,0.5,5.0,0.475,3.95,0.12025316455696201,Shanxi-Wuxiang-3946.862875008249,0,0.0,0.0,0.0,14574.6,,something,3946.862875008249,0.475,0.12025316455696201,3.95,0.0,0.7,0.07777777777777778,9,3946.862875008249,0.475,0.12025316455696201,3.95,0,1.0,,0.0,Yes,1.0
Shanxi,Xia,6303.6,630.3600000000001,5673.24,0.636959268888889,0.16899750411197959,3.7690454201432044,0.7,2512.772549991678,0.636959268888889,3.7690454201432044,0.6051113054444445,3.3167599697260197,0.18244048739361432,Shanxi-Xia-2512.772549991678,0,0.0,0.0,0.0,6303.6,,something,3143.132549991678,0.624141377052528,0.1614502222412225,3.8658440254111235,630.3600000000001,0.7,0.07777777777777778,9,2512.772549991678,0.6051113054444445,0.18244048739361432,3.3167599697260193,0,1.0000000000000002,,0.0,Yes,1.1111111111111112
Shanxi,Xiangyuan,9470.0,0.0,9470.0,0.5,0.1,5.0,0.7,5599.137500047353,0.5,5.0,0.475,4.4,0.10795454545454544,Shanxi-Xiangyuan-5599.137500047353,0,0.0,0.0,0.0,48487.8,,something,5599.137500047353,0.475,0.10795454545454544,4.4,0.0,0.7,0.07777777777777778,9,5599.137500047353,0.475,0.10795454545454544,4.4,0,1.0,,0.0,Yes,1.0
Shanxi,Xiaoyi,290135.5,73750.125,216385.375,0.6263840003011503,0.1370801720743941,4.5694719434785105,0.7,136863.7496887986,0.6263840003011503,4.5694719434785105,0.6006594441951505,3.6555775547828087,0.16431314482967874,Shanxi-Xiaoyi-136863.7496887986,0,0.0,0.0,0.0,331002.7,,something,210613.8746887986,0.635445274041368,0.1340112753710376,4.741729919978806,73750.125,0.7,0.07777777777777778,9,136863.7496887986,0.6006594441951505,0.16431314482967874,3.6555775547828087,0,1.0,,4865.0,Yes,1.3333333333333333
Yunnan,Xichou,34214.2,0.0,34214.2,0.572616468,0.08568259713877638,6.682996164000001,0.7,23949.940000000013,0.572616468,6.682996164000001,0.551153344325216,6.0575741831784935,0.09098581835873089,Yunnan-Xichou-23949.940000000013,0,0.0,0.0,0.0,34214.2,,something,23949.940000000013,0.551153344325216,0.09098581835873089,6.0575741831784935,0.0,0.7,0.07777777777777778,9,23949.940000000013,0.551153344325216,0.09098581835873089,6.0575741831784935,0,1.0,,0.0,Yes,1.0
Guizhou,Xifeng,1859.0,446.15999999999997,1412.8400000000001,0.6001315789473685,0.16207137161084528,3.702884556245772,0.6,210.9168285771304,0.6001315789473685,3.702884556245772,0.570125,2.962307644996618,0.19245975378787875,Guizhou-Xifeng-210.9168285771304,0,0.0,0.0,0.0,1859.0,,something,657.0768285771303,0.6583110803484385,0.11458984848705514,5.744933683395226,446.15999999999997,0.7,0.07777777777777778,9,210.9168285771304,0.570125,0.19245975378787875,2.962307644996618,0,1.0,,0.0,Yes,1.3157894736842106
