,Province,County,minable_shallow_inventory,refractory_allocation,remaining_inventory_available_to_mining_for_SGA000t,remaining_inventory_available_to_mining_for_SGA_AA,remaining_inventory_available_to_mining_for_SGA_SiO2,remaining_inventory_available_to_mining_for_SGA_AS,extractable_to_SGA,working_stock_prior_to_AA_and_AS_de_rating000t,working_stock_prior_to_AA_and_AS_de_rating_AA,working_stock_prior_to_AA_and_AS_de_rating_AS,de_rated_Al2O3,de_rated_AS,de_rated_SiO2,province_county_000twstockprior,refractory_depletion_end_2009,refractory_depletion_end_2009_000t,SGA_depletion_end_2009,SGA_depletion_end_2009_000t,endowment_end_2009_prov_totals,geol_endowment_end_2009,endowment_end_2009_all,max_extr_inventory_end_2009_1,AA_end_2009_1,SiO2_end_2009_1,AS_end_2009_1,max_extr_inventory_end_2009_2,AA_end_2009_2,SiO2_end_2009_2,AS_end_2009_2,max_extr_inventory_end_2009_3,AA_end_2009_3,SiO2_end_2009_3,AS_end_2009_3,unallocated,check_sum,deposit,deep bauxite,Include Inventory in Allocations Further Processed?,correction_factor
112,Henan,Ruyang,0.0,0.0,0.0,,,,0.7,99000000.0,,,,,0,Henan-Ruyang-99000000.0,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
113,Henan,Ruzhou,6196.0,0.0,6196.0,0.632076509,0.10268035133925432,6.155768857,0.7,10078.599999999997,0.632076509,6.155768857,0.6035107036677757,4.9029616515609185,0.12309105119670692,Henan-Ruzhou-10078.599999999997,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
114,Guinea,SMB,,,,,,,0.7,57170.82000000005,,,0.39,,0.02,Guinea-SMB-57170.82000000005,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0
115,Henan,Sanmenxia,14398.0,0.0,14398.0,0.6468,0.11347368421052632,5.7,0.7,95718.0000000004,0.6468,5.7,0.61446,4.5600000000000005,0.13474999999999998,Henan-Sanmenxia-95718.0000000004,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
116,Henan,Shaan,81672.6,0.0,81672.6,0.648222396,0.08859892875882516,7.316368325,0.7,2609.179999999999,0.648222396,7.316368325,0.6256757262662748,5.848516369356948,0.10698024708359817,Henan-Shaan-2609.179999999999,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
117,Guangxi,Shanglin,136740.0,0.0,136740.0,0.447965116,0.1284883720264861,3.486425339,0.7,3210.2000000000025,0.447965116,3.486425339,0.41324999975621957,2.623999999848582,0.15748856698935448,Guangxi-Shanglin-3210.2000000000025,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
118,Shanxi,Shenchi,3727.4,0.0,3727.4,0.620212942,0.09116808320189383,6.802961302,0.7,798.6999999999981,0.620212942,6.802961302,0.5877517414914633,5.37433942858,0.10936260154427167,Shanxi-Shenchi-798.6999999999981,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
119,Shanxi,Shuozhou,4586.0,0.0,4586.0,0.6083,0.09387345679012345,6.48,0.7,3614.9999999999986,0.6083,6.48,0.577885,5.1192,0.1128858024691358,Shanxi-Shuozhou-3614.9999999999986,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
120,Yunnan,Songming,1141.0,0.0,1141.0,0.5787,0.11690909090909091,4.95,0.7,16708.300000000014,0.5787,4.95,0.549765,3.9600000000000004,0.13882954545454543,Yunnan-Songming-16708.300000000014,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
121,Shandong,Tai'an,3615.0,0.0,3615.0,0.55,0.1375,4.0,1.0,228.29947916606244,0.55,4.0,0.5225,3.4,0.15367647058823528,Shandong-Tai'an-228.29947916606244,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
122,Hebei,Tangshan,23869.0,0.0,23869.0,0.611195831,0.1222391662,5.0,0.7,11429.49500000001,0.611195831,5.0,0.5583660680906857,4.0,0.13959151702267142,Hebei-Tangshan-11429.49500000001,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
123,Guangxi,Tian'e,580.0,0.0,580.0,0.4948000000000001,0.10056910569105693,4.92,0.7,412.79062499931325,0.4948000000000001,4.92,0.47006000000000003,3.936,0.11942581300813009,Guangxi-Tian'e-412.79062499931325,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
124,Guangxi,Tiandong,16327.85,0.0,16327.85,0.513836569,0.09471314250097432,5.425187629,0.7,3177.999999999997,0.513836569,5.425187629,0.5016000002024262,6.0199999978886245,0.0833222591990616,Guangxi-Tiandong-3177.999999999997,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
125,Guangxi,Tianlin,1080.0,0.0,1080.0,0.4947814810000001,0.06550264544201366,7.553610662,0.7,84791.00000000041,0.4947814810000001,7.553610662,0.4493499997247474,4.000000000468797,0.11233749991802099,Guangxi-Tianlin-84791.00000000041,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
126,Sichuan,Tianquan,4540.0,0.0,4540.0,0.59,0.17002881844380402,3.47,0.7,660.100000000002,0.59,3.47,0.5605,2.9495,0.19003220884895744,Sichuan-Tianquan-660.100000000002,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
127,Guangxi,Tianyang,121130.0,0.0,121130.0,0.539432263,0.09488029365479488,5.685398328999999,0.7,0.0,0.539432263,5.685398328999999,0.4940637872207765,6.439263118397192,0.07672675865802402,Guangxi-Tianyang-0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
128,Shaanxi,Tongchuan,943.0,0.0,943.0,0.55,0.11000000000000001,5.0,0.7,99000000.0,0.55,5.0,0.5225,4.25,0.12294117647058822,Shaanxi-Tongchuan-99000000.0,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
129,Guizhou,Tongzi,0.0,0.0,0.0,,,,0.6,0.0,,,,,0,Guizhou-Tongzi-0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
130,Vietnam,Vietnam,,,,,,,0.7,3482.2799999999957,,,0.5,,0.05,Vietnam-Vietnam-3482.2799999999957,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0
131,Hainan,Wenchang,,,,,,,,51525.73843808605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,NO,
132,Guizhou,Weng'an,5803.8,0.0,5803.8,0.6041,0.08629999999999999,7.000000000000001,0.6,226.338,0.6041,7.000000000000001,0.5738949999999999,5.600000000000001,0.10248124999999997,Guizhou-Weng'an-226.338,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
133,Yunnan,Wenshan,78143.3,0.0,78143.3,0.519891091,0.07714545723118876,6.739101817,0.7,61139.999999999825,0.519891091,6.739101817,0.49495000008595075,5.404771720226253,0.0915764856883227,Yunnan-Wenshan-61139.999999999825,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
134,Hebei,Wu'an,323.34,0.0,323.34,0.577,0.11540000000000002,4.999999999999999,0.7,9195.641250182143,0.577,4.999999999999999,0.5481499999999999,3.9999999999999996,0.1370375,Hebei-Wu'an-9195.641250182143,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
135,Guizhou,Wuchuan,101900.0,0.0,101900.0,0.67,0.10260336906584992,6.53,0.6,28691.91708335435,0.67,6.53,0.6030000000000001,5.59999999894,0.10767857144895347,Guizhou-Wuchuan-28691.91708335435,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
136,Chongqing,Wulong,40476.0,0.0,40476.0,0.563709812,0.10780935682212368,5.228765189000001,0.7,4122.050000024737,0.563709812,5.228765189000001,0.563709812,4.183012151200001,0.1347616960276546,Chongqing-Wulong-4122.050000024737,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
137,Shanxi,Wutai,59490.8,0.0,59490.8,0.6232,0.1439999999926059,4.327777778,0.7,3971.2680000000128,0.6232,4.327777778,0.5841600653847999,3.6786111112999995,0.15879908142243424,Shanxi-Wutai-3971.2680000000128,0,0.0,,,,,,,,,,,,,,,,,,,,,18304.0,Yes,1.0
138,Shanxi,Wuxiang,8244.1,0.0,8244.1,0.5,0.1,5.0,0.7,5784.591666692868,0.5,5.0,0.475,3.95,0.12025316455696201,Shanxi-Wuxiang-5784.591666692868,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
139,Shanxi,Xia,6303.6,630.3600000000001,5673.24,0.636959268888889,0.16899750411197959,3.7690454201432044,0.7,151469.7624999999,0.636959268888889,3.7690454201432044,0.6051113054444445,3.3167599697260197,0.18244048739361432,Shanxi-Xia-151469.7624999999,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.1111111111111112
140,Shanxi,Xiangyuan,9470.0,0.0,9470.0,0.5,0.1,5.0,0.7,23949.94000000004,0.5,5.0,0.475,4.4,0.10795454545454544,Shanxi-Xiangyuan-23949.94000000004,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
141,Shanxi,Xiaoyi,290135.5,73750.125,216385.375,0.6263840003011503,0.1370801720743941,4.5694719434785105,0.7,203.22189643311276,0.6263840003011503,4.5694719434785105,0.6006594441951505,3.6555775547828087,0.16431314482967874,Shanxi-Xiaoyi-203.22189643311276,0,0.0,,,,,,,,,,,,,,,,,,,,,4865.0,Yes,1.3333333333333333
142,Yunnan,Xichou,34214.2,0.0,34214.2,0.572616468,0.08568259713877638,6.682996164000001,0.7,111142.29000000004,0.572616468,6.682996164000001,0.551153344325216,6.0575741831784935,0.09098581835873089,Yunnan-Xichou-111142.29000000004,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
143,Guizhou,Xifeng,1859.0,446.15999999999997,1412.8400000000001,0.6001315789473685,0.16207137161084528,3.702884556245772,0.6,88831.95999999976,0.6001315789473685,3.702884556245772,0.570125,2.962307644996618,0.19245975378787875,Guizhou-Xifeng-88831.95999999976,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.3157894736842106
144,Henan,Xin'an,158774.7,0.0,158774.7,0.641838064,0.11632052828051538,5.517840002,0.7,12412.604999834155,0.641838064,5.517840002,0.6053853916857899,4.3188494507211725,0.1401728396864357,Henan-Xin'an-12412.604999834155,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
145,Shanxi,Xing,126902.8,0.0,126902.8,0.619375025,0.07310895473194946,8.471944746999998,0.7,24052.560000000038,0.619375025,8.471944746999998,0.60023584246623,5.591483533019999,0.10734822680270659,Shanxi-Xing-24052.560000000038,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
146,Henan,Xingyang,22116.0,0.0,22116.0,0.6672,0.1668,4.0,0.7,740.5999999999983,0.6672,4.0,0.63384,3.4,0.1864235294117647,Henan-Xingyang-740.5999999999983,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
147,Henan,Xinmi,42951.0,8590.2,34360.8,0.6727249074999999,0.09958017930992458,6.755610525727918,0.7,30975.390195701348,0.6727249074999999,6.755610525727918,0.6359579282232273,5.109986598453277,0.12445393270027812,Henan-Xinmi-30975.390195701348,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.25
148,Yunnan,Xishan,1058.0,0.0,1058.0,0.632240076,0.0987977933754277,6.399333977,0.7,0.0,0.632240076,6.399333977,0.6006280721999999,5.119467181600001,0.11732237963332036,Yunnan-Xishan-0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
149,Guizhou,Xiuwen,87444.2,18363.282,69080.918,0.6217631822784808,0.12009366012379638,5.177318949539447,0.6,3658.03199998468,0.6217631822784808,5.177318949539447,0.5990204112916018,4.083514453034249,0.14669236957065268,Guizhou-Xiuwen-3658.03199998468,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.2658227848101264
150,Shaanxi,Xixiang,,,,,,,0.7,29085.76117370952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,NO,
151,Shanxi,Xiyang,19152.0,3830.4,15321.6,0.6024999999999999,0.16436170212765955,3.665695792880259,0.7,3966.2000000000044,0.6024999999999999,3.665695792880259,0.5723749999999999,2.895899676375405,0.19765014812819814,Shanxi-Xiyang-3966.2000000000044,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.25
152,Shanxi,Yangquan,111240.8,22248.160000000003,88992.64,0.5945758649999999,0.12530160353941303,4.745157669215134,0.7,40835.65652173915,0.5945758649999999,4.745157669215134,0.5844387300031828,3.5588682519113504,0.16422038935813377,Shanxi-Yangquan-40835.65652173915,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.25
153,Yunnan,Yanshan,5666.0,0.0,5666.0,0.6374,0.10785109983079524,5.910000000000001,0.7,31097.77999999992,0.6374,5.910000000000001,0.6055299999999999,4.728000000000001,0.12807318104906934,Yunnan-Yanshan-31097.77999999992,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
154,Henan,Yanshi,58336.65217,0.0,58336.65217,0.665713303,0.11526402505413416,5.775551415,0.7,505.8500000037747,0.665713303,5.775551415,0.63158422769217,4.992917785936329,0.1264960199166845,Henan-Yanshi-505.8500000037747,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
155,Hubei,Yicheng,44425.4,0.0,44425.4,0.673,0.1281904761904762,5.25,0.7,0.0,0.673,5.25,0.6114284972590001,4.2,0.14557821363309525,Hubei-Yicheng-0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
156,Henan,Yichuan,755.0,0.0,755.0,0.6,0.15,4.0,0.7,0.0,0.6,4.0,0.57,4.0,0.1425,Henan-Yichuan-0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
157,Shanxi,Yingze,0.0,0.0,0.0,,,,0.7,0.0,,,,,0,Shanxi-Yingze-0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
158,Henan,Yiyang,,,,,,,,700.0000000000041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,NO,
159,Guangxi,Yizhou,,,,,,,,31297.280000000083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,NO,
160,Guangxi,Yongning,1000.0,0.0,1000.0,0.5492,0.05569979716024341,9.86,0.7,18377.14950006105,0.5492,9.86,0.52174,7.888,0.06614350912778905,Guangxi-Yongning-18377.14950006105,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
161,Shanxi,Yu,63872.0,19161.6,44710.4,0.5411506314285713,0.17355466688995827,3.1180413706286907,0.7,0.0,0.5411506314285713,3.1180413706286907,0.5140930998571428,2.4632526827966656,0.20870497917146882,Shanxi-Yu-0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.4285714285714286
162,Shanxi,Yuanping,39806.1,0.0,39806.1,0.578776801,0.12801571746552484,4.521138595,0.7,16417.169999999962,0.578776801,4.521138595,0.5520536759715178,3.6169108760000004,0.1526312632237272,Shanxi-Yuanping-16417.169999999962,0,0.0,,,,,,,,,,,,,,,,,,,,,1172.0,Yes,1.0
163,Shanxi,Yuanqu,0.0,0.0,0.0,,,,0.7,4025.1424107318535,,,,,0,Shanxi-Yuanqu-4025.1424107318535,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.1111111111111112
164,Henan,Yuzhou,26059.0,2605.9,23453.1,0.6591321733333335,0.11100407437643728,5.937909730214793,0.7,0.0,0.6591321733333335,5.937909730214793,0.6016666661550277,4.030036965790827,0.14929557005613242,Henan-Yuzhou-0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.1111111111111112
165,Shandong,Zhangqiu,6045.0,0.0,6045.0,0.55,0.1375,4.0,1.0,49066.983914789686,0.55,4.0,0.5225,3.4,0.15367647058823528,Shandong-Zhangqiu-49066.983914789686,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
166,Shaanxi,Zhenba,,,,,,,0.7,8961.660000000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,NO,
167,Guizhou,Zheng'an,112871.8,0.0,112871.8,0.615838462,0.1364544315402192,4.513143729,0.6,5134.499999999994,0.615838462,4.513143729,0.5320000003306983,4.787837973165352,0.1111148713286512,Guizhou-Zheng'an-5134.499999999994,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
168,Guizhou,Zhijin,14936.1,0.0,14936.1,0.6578,0.08161290322580643,8.060000000000002,0.6,48286.00000000037,0.6578,8.060000000000002,0.5920200000000001,6.045000000000002,0.09793548387096773,Guizhou-Zhijin-48286.00000000037,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
169,Shanxi,Zhongyang,7335.0,0.0,7335.0,0.6833,0.0829247572815534,8.24,0.7,0.0,0.6833,8.24,0.6244034956237,4.7791999999999994,0.1306502125091438,Shanxi-Zhongyang-0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
170,Shandong,Zibo,48286.0,0.0,48286.0,0.551292302,0.14559564326158508,3.786461529,1.0,42635.33913189523,0.551292302,3.786461529,0.5214405532064156,3.4332110826999265,0.1518812973178297,Shandong-Zibo-42635.33913189523,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
171,Shandong,Zouwu,0.0,0.0,0.0,,,,0.7,0.0,,,,,0,Shandong-Zouwu-0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.0
172,Guizhou,Zunyi,95808.04,10538.884399999999,85269.1556,0.6670966460674157,0.10835392653809972,6.1566448709438255,0.6,,0.6670966460674157,6.1566448709438255,0.5323512814866825,4.750833564356525,0.1120542898999213,Guizhou-Zunyi-nan,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,Yes,1.1235955056179776
173,Shanxi,Zuoquan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Yes,
