Ref. No.,Refinery,Refinery Province,Refinery Province Category,Technology,Refinery Ownership,Owner,Bauxite Source,% Bauxite Allocation Self Supply,Bauxite Origin Province Category,Bauxite Origin County,"Economic Inventory at CBIX = US$55/dmt, (kt)",,,,,,,,,,,,
66,Xinfa - Xiaoyi,Shanxi,Shanxi,H-B,Xinfa,Xinfa,Domestic,0,Shanxi,Loufan,1494.764235,256.1695312,256.1695312,256.1695312,256.1695312,256.1695312,256.1695312,256.1695312,256.1695312,256.1695312,256.1695312,256.1695312,256.1695312
66,Xinfa - Xiaoyi,Shanxi,Shanxi,H-B,Xinfa,Xinfa,Domestic,0,Shanxi,Yu,164.7045034,28.22670923,28.22670923,28.22670923,28.22670923,28.22670923,28.22670923,28.22670923,28.22670923,28.22670923,28.22670923,28.22670923,28.22670923
66,Xinfa - Xiaoyi,Shanxi,Shanxi,H-B,Xinfa,Xinfa,Domestic,0,Shanxi,Xiaoyi,6257.891202,1072.464151,1072.464151,1072.464151,1072.464151,1072.464151,1072.464151,1072.464151,1072.464151,1072.464151,1072.464151,1072.464151,1072.464151
66,Xinfa - Xiaoyi,Shanxi,Shanxi,H-B,Xinfa,Xinfa,Domestic,0,Shanxi,Xiyang,210.4168295,36.06079095,36.06079095,36.06079095,36.06079095,36.06079095,36.06079095,36.06079095,36.06079095,36.06079095,36.06079095,36.06079095,36.06079095
66,Xinfa - Xiaoyi,Shanxi,Shanxi,H-B,Xinfa,Xinfa,Domestic,0,Shanxi,Yangquan,839.6093926,143.8904809,143.8904809,143.8904809,143.8904809,143.8904809,143.8904809,143.8904809,143.8904809,143.8904809,143.8904809,143.8904809,143.8904809
66,Xinfa - Xiaoyi,Shanxi,Shanxi,H-B,Xinfa,Xinfa,Domestic,0,Shanxi,Zhongyang,481.4602345,82.51163609,82.51163609,82.51163609,82.51163609,82.51163609,82.51163609,82.51163609,82.51163609,82.51163609,82.51163609,82.51163609,82.51163609
67.1,Xingan Chemical,Shanxi,Shanxi,H-B,Jinjiang,Jinjiang,Domestic,0,Shanxi,Fenyang,521.4070158,521.4070158,521.4070158,521.4070158,521.4070158,521.4070158,521.4070158,521.4070158,521.4070158,521.4070158,521.4070158,521.4070158,521.4070158
67.1,Xingan Chemical,Shanxi,Shanxi,H-B,Jinjiang,Jinjiang,Domestic,0,Shanxi,Heshun,19.54128743,19.54128743,19.54128743,19.54128743,19.54128743,19.54128743,19.54128743,19.54128743,19.54128743,19.54128743,19.54128743,19.54128743,19.54128743
67.1,Xingan Chemical,Shanxi,Shanxi,H-B,Jinjiang,Jinjiang,Domestic,0,Shanxi,Jiexiu,242.3388799,242.3388799,242.3388799,242.3388799,242.3388799,242.3388799,242.3388799,242.3388799,242.3388799,242.3388799,242.3388799,242.3388799,242.3388799
67.1,Xingan Chemical,Shanxi,Shanxi,H-B,Jinjiang,Jinjiang,Domestic,0,Shanxi,Lin,1082.061353,1082.061353,1082.061353,1082.061353,1082.061353,1082.061353,1082.061353,1082.061353,1082.061353,1082.061353,1082.061353,1082.061353,1082.061353
67.1,Xingan Chemical,Shanxi,Shanxi,H-B,Jinjiang,Jinjiang,Domestic,0,Shanxi,Loufan,1711.078149,1711.078149,1711.078149,1711.078149,1711.078149,1711.078149,1711.078149,1711.078149,1711.078149,1711.078149,1711.078149,1711.078149,1711.078149
67.1,Xingan Chemical,Shanxi,Shanxi,H-B,Jinjiang,Jinjiang,Domestic,0,Shanxi,Yu,75.41584692,75.41584692,75.41584692,75.41584692,75.41584692,75.41584692,75.41584692,75.41584692,75.41584692,75.41584692,75.41584692,75.41584692,75.41584692
67.1,Xingan Chemical,Shanxi,Shanxi,H-B,Jinjiang,Jinjiang,Domestic,0,Shanxi,Ningwu,338.2340495,338.2340495,338.2340495,338.2340495,338.2340495,338.2340495,338.2340495,338.2340495,338.2340495,338.2340495,338.2340495,338.2340495,338.2340495
67.1,Xingan Chemical,Shanxi,Shanxi,H-B,Jinjiang,Jinjiang,Domestic,0,Shanxi,Pinglu,996.0107325,996.0107325,996.0107325,996.0107325,996.0107325,996.0107325,996.0107325,996.0107325,996.0107325,996.0107325,996.0107325,996.0107325,996.0107325
67.1,Xingan Chemical,Shanxi,Shanxi,H-B,Jinjiang,Jinjiang,Domestic,0,Shanxi,Wutai,692.2748682,692.2748682,692.2748682,692.2748682,692.2748682,692.2748682,692.2748682,692.2748682,692.2748682,692.2748682,692.2748682,692.2748682,692.2748682
67.1,Xingan Chemical,Shanxi,Shanxi,H-B,Jinjiang,Jinjiang,Domestic,0,Shanxi,Xiaoyi,2865.399277,2865.399277,2865.399277,2865.399277,2865.399277,2865.399277,2865.399277,2865.399277,2865.399277,2865.399277,2865.399277,2865.399277,2865.399277
67.1,Xingan Chemical,Shanxi,Shanxi,H-B,Jinjiang,Jinjiang,Domestic,0,Shanxi,Xiyang,96.34687016,96.34687016,96.34687016,96.34687016,96.34687016,96.34687016,96.34687016,96.34687016,96.34687016,96.34687016,96.34687016,96.34687016,96.34687016
67.1,Xingan Chemical,Shanxi,Shanxi,H-B,Jinjiang,Jinjiang,Domestic,0,Shanxi,Yangquan,384.4451859,384.4451859,384.4451859,384.4451859,384.4451859,384.4451859,384.4451859,384.4451859,384.4451859,384.4451859,384.4451859,384.4451859,384.4451859
67.1,Xingan Chemical,Shanxi,Shanxi,H-B,Jinjiang,Jinjiang,Domestic,0,Shanxi,Zhongyang,440.907572,440.907572,440.907572,440.907572,440.907572,440.907572,440.907572,440.907572,440.907572,440.907572,440.907572,440.907572,440.907572
68,Yangquan Zhaofeng,Shanxi,Shanxi,H-B (Lime),"Xinfa, Yangquan Coal",Xinfa,Domestic,0.5,Shanxi,Heshun,288.8540511,251.0573243,195.1988486,106.9615472,106.9615472,106.9615472,106.9615472,106.9615472,106.9615472,106.9615472,106.9615472,106.9615472,106.9615472
68,Yangquan Zhaofeng,Shanxi,Shanxi,H-B (Lime),"Xinfa, Yangquan Coal",Xinfa,Domestic,1,Shanxi,Yu,928.9806252,807.4229501,627.7770652,343.9979624,343.9979624,343.9979624,343.9979624,343.9979624,343.9979624,343.9979624,343.9979624,343.9979624,343.9979624
68,Yangquan Zhaofeng,Shanxi,Shanxi,H-B (Lime),"Xinfa, Yangquan Coal",Xinfa,Domestic,0,Shanxi,Pinglu,5643.725648,4905.240744,3813.859437,2089.849961,2089.849961,2089.849961,2089.849961,2089.849961,2089.849961,2089.849961,2089.849961,2089.849961,2089.849961
68,Yangquan Zhaofeng,Shanxi,Shanxi,H-B (Lime),"Xinfa, Yangquan Coal",Xinfa,Domestic,0,Shanxi,Wutai,852.7517308,741.1686525,576.2638793,315.7706952,315.7706952,315.7706952,315.7706952,315.7706952,315.7706952,315.7706952,315.7706952,315.7706952,315.7706952
68,Yangquan Zhaofeng,Shanxi,Shanxi,H-B (Lime),"Xinfa, Yangquan Coal",Xinfa,Domestic,0.5,Shanxi,Wuxiang,479.3316377,416.6108038,323.9178521,177.494667,177.494667,177.494667,177.494667,177.494667,177.494667,177.494667,177.494667,177.494667,177.494667
68,Yangquan Zhaofeng,Shanxi,Shanxi,H-B (Lime),"Xinfa, Yangquan Coal",Xinfa,Domestic,0,Shanxi,Xia,165.8613436,144.1582868,112.0840895,61.41781939,61.41781939,61.41781939,61.41781939,61.41781939,61.41781939,61.41781939,61.41781939,61.41781939,61.41781939
68,Yangquan Zhaofeng,Shanxi,Shanxi,H-B (Lime),"Xinfa, Yangquan Coal",Xinfa,Domestic,1,Shanxi,Xiyang,474.7245007,412.6065135,320.804488,175.7886618,175.7886618,175.7886618,175.7886618,175.7886618,175.7886618,175.7886618,175.7886618,175.7886618,175.7886618
68,Yangquan Zhaofeng,Shanxi,Shanxi,H-B (Lime),"Xinfa, Yangquan Coal",Xinfa,Domestic,0,Shanxi,Yuanping,525.2712452,456.539186,354.9624522,194.5059274,194.5059274,194.5059274,194.5059274,194.5059274,194.5059274,194.5059274,194.5059274,194.5059274,194.5059274
68,Yangquan Zhaofeng,Shanxi,Shanxi,H-B (Lime),"Xinfa, Yangquan Coal",Xinfa,Domestic,1,Shanxi,Yangquan,1894.255087,1646.390666,1280.080409,701.4353932,701.4353932,701.4353932,701.4353932,701.4353932,701.4353932,701.4353932,701.4353932,701.4353932,701.4353932
69,Gangyuan Jiaohua,Shanxi,Shanxi,H-B,Private,Other,Domestic,0,Henan,Xin'an,147.5231693,147.5231693,147.5231693,147.5231693,147.5231693,147.5231693,147.5231693,147.5231693,147.5231693,147.5231693,147.5231693,147.5231693,147.5231693
70.1,Xinghua (Chalco Jiaokou),Shanxi,Shanxi,H-B,Chalco,Chalco,Domestic,0.9,Shanxi,Jiaokou,14764.14321,13471.80681,12746.80679,11839.49665,10726.37409,9546.653122,8863.437896,7046.386877,5214.297549,3366.833011,1503.587695,0,0
70.1,Xinghua (Chalco Jiaokou),Shanxi,Shanxi,H-B,Chalco,Chalco,Domestic,1,Shanxi,Xiaoyi,6831.649787,6233.661163,5898.189868,5478.360213,4963.29724,4417.417918,4101.281242,3260.497186,2412.754619,1557.897651,695.7386151,0,0
71,Tiantong,Shanxi,Shanxi,H-B,Private,Other,Domestic,0.9,Shanxi,Jiaokou,543.7642503,543.7642503,543.7642503,543.7642503,543.7642503,543.7642503,543.7642503,543.7642503,543.7642503,543.7642503,543.7642503,543.7642503,543.7642503
72,Fusheng,Shanxi,Shanxi,H-B,Jinjiang,Jinjiang,Domestic,0.2,Shanxi,Pinglu,7032.706137,4403.588928,1145.883476,1145.883476,1145.883476,1145.883476,1145.883476,1145.883476,1145.883476,1145.883476,1145.883476,1145.883476,1145.883476
72,Fusheng,Shanxi,Shanxi,H-B,Jinjiang,Jinjiang,Domestic,0.2,Shanxi,Xia,332.757331,208.3588408,54.21826529,54.21826529,54.21826529,54.21826529,54.21826529,54.21826529,54.21826529,54.21826529,54.21826529,54.21826529,54.21826529
73,YMG - Wenshan,Yunnan,Other,H-B,Yunnan Aluminium Companuy,Chalco,Domestic,1,Yunnan,Malipo,392.685662,335.199385,267.5803785,199.7002761,133.0459635,66.07830045,66.07830045,66.07830045,66.07830045,66.07830045,66.07830045,66.07830045,66.07830045
73,YMG - Wenshan,Yunnan,Other,H-B,Yunnan Aluminium Companuy,Chalco,Domestic,1,Yunnan,Wenshan,18137.41349,15482.23028,12359.03532,9223.780835,6145.143269,3052.032642,3052.032642,3052.032642,3052.032642,3052.032642,3052.032642,3052.032642,3052.032642
73,YMG - Wenshan,Yunnan,Other,H-B,Yunnan Aluminium Companuy,Chalco,Domestic,1,Yunnan,Xichou,14060.87107,12002.46353,9581.233968,7150.655366,4763.968537,2366.061594,2366.061594,2366.061594,2366.061594,2366.061594,2366.061594,2366.061594,2366.061594
