Ref. No.,Refinery,Refinery Province,Refinery Province Category,Technology,Refinery Ownership,Owner,Bauxite Source,% Bauxite Allocation Self Supply,Bauxite Origin Province Category,Bauxite Origin County,"Economic Inventory at CBIX = US$55/dmt, (kt)",,,,,,,,,,,,
23.1,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,0.8,Henan,Mianchi,488.3822655,457.8799925,426.483663,393.7755643,358.8586196,312.0498495,254.4133748,217.767776,187.0246684,162.4006013,142.5557502,122.5883443,102.4883994
23.1,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,1,Henan,Pingdingshan,292.3103669,274.0539084,255.2623321,235.6856254,214.786863,186.7705125,152.2734796,130.3400697,111.9394649,97.20127595,85.32358069,73.372533,61.34215707
23.1,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,0.5,Henan,Ruzhou,261.4376071,245.1093294,228.3024512,210.7933653,192.1018543,167.044489,136.1909075,116.5740247,100.116825,86.93523005,76.31201385,65.62319243,54.86342113
23.1,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,0.8,Henan,Sanmenxia,299.3649586,280.6679004,261.4228099,241.3736408,219.9705096,191.2780149,155.9484338,133.485685,114.6410017,99.54712266,87.3827722,75.14329901,62.82258309
23.1,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,0.8,Henan,Shaan,930.491279,872.3767631,812.5588441,750.2416742,683.716096,594.533594,484.7215864,414.9024868,356.3291201,309.4140674,271.6046255,233.5616858,195.2662261
23.1,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,0.85,Henan,Xin'an,2669.878199,2503.128996,2331.492183,2152.684216,1961.800976,1705.907747,1390.821844,1190.488433,1022.422639,887.8082919,779.3208648,670.1634578,560.2814897
23.1,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,1,Henan,Xingyang,2662.89414,2496.581131,2325.393298,2147.053071,1956.669156,1701.445311,1387.183632,1187.374267,1019.748113,885.4858993,777.2822614,668.4103961,558.8158652
23.1,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,0.8,Henan,Xinmi,6186.634173,5800.243393,5402.527058,4988.193747,4545.879644,3952.924581,3222.808422,2758.596412,2369.154833,2057.22685,1805.840093,1552.900859,1298.282675
23.1,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,0.8,Henan,Yanshi,14241.98903,13352.49515,12436.92919,11483.10998,10464.87738,9099.860597,7419.091048,6350.448199,5453.931203,4735.854977,4157.148148,3574.86743,2988.721671
23.1,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,0.8,Henan,Yuzhou,1649.928669,1546.881163,1440.813216,1330.313647,1212.351812,1054.21517,859.4986971,735.6968554,631.8357239,548.6468836,481.6039315,414.1469459,346.2421968
24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Sinter,Chalco,Chalco,Domestic,0.5,Henan,Baofeng,234.6572671,225.9357571,217.6225749,209.5719056,196.7694562,177.3554643,149.1692016,130.8034105,115.1646196,102.364343,89.43754606,76.38804696,63.20329568
24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Sinter,Chalco,Chalco,Domestic,0.3,Henan,Dengfeng,870.3881368,838.0384083,807.203245,777.3417916,729.8550881,657.8449244,553.2967507,485.1745619,427.1673317,379.6886875,331.7407555,283.3376979,234.4329645
24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Sinter,Chalco,Chalco,Domestic,0.85,Henan,Gongyi,5886.680221,5667.889892,5459.342994,5257.381571,4936.215614,4449.190587,3742.101829,3281.372271,2889.053028,2567.941579,2243.656205,1916.292688,1585.536195
24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Sinter,Chalco,Chalco,Domestic,0.8,Henan,Jiaxian,99.71178613,96.00579672,92.47331613,89.05238387,83.6123005,75.36280612,63.38575278,55.58166536,48.93634898,43.4971889,38.00426713,32.45920612,26.85667304
24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Sinter,Chalco,Chalco,Domestic,1,Henan,Jiyuan,230.3452025,221.783959,213.6235399,205.7208098,193.1536184,174.0963783,146.4280666,128.3997655,113.0483532,100.4832946,87.79404067,74.98433932,62.04187118
24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Sinter,Chalco,Chalco,Domestic,0.8,Henan,Lushan,166.9176091,160.7137799,154.8004046,149.0737613,139.9670574,126.1573973,106.1078005,93.04375193,81.91948705,72.81432874,63.61917334,54.33673681,44.958092
24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Sinter,Chalco,Chalco,Domestic,0.8,Henan,Mianchi,1627.066173,1566.592981,1508.951052,1453.129335,1364.359732,1229.747027,1034.309165,906.964473,798.5282499,709.7737131,620.1419098,529.6593144,438.2389077
24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Sinter,Chalco,Chalco,Domestic,1,Henan,Qinyang,322.789731,310.7926004,299.3571573,288.2828215,270.6720343,243.9665446,205.1940988,179.9304928,158.4180922,140.8102939,123.0284567,105.077833,86.94115917
24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Sinter,Chalco,Chalco,Domestic,0.5,Henan,Ruzhou,46.66020244,44.92598201,43.27295516,41.67212744,39.12643649,35.26607963,29.66140886,26.0094805,22.8997999,20.354541,17.78412429,15.18930898,12.56759958
24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Sinter,Chalco,Chalco,Domestic,0.8,Henan,Sanmenxia,204.8123347,197.2000717,189.9442033,182.91746,171.7432927,154.7984734,130.1970862,114.167152,100.5173839,89.34511311,78.06241349,66.6726176,55.1647716
24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Sinter,Chalco,Chalco,Domestic,0.8,Henan,Shaan,636.6011979,612.9406319,590.3878178,568.5471742,533.8154367,481.1472597,404.6808077,354.8562925,312.42985,277.704007,242.6349273,207.2329691,171.4640856
24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Sinter,Chalco,Chalco,Domestic,0.85,Henan,Xin'an,2052.648955,1976.358122,1903.63911,1833.216411,1721.22783,1551.405218,1304.847745,1144.1942,1007.394908,895.4253336,782.3490307,668.1993987,552.8666571
24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Sinter,Chalco,Chalco,Domestic,1,Henan,Xingyang,475.2613099,457.5972659,440.7602257,424.4548639,398.5255205,359.2055398,302.118707,264.9216919,233.2477857,207.3228429,181.1416532,154.7119495,128.0083138
24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Sinter,Chalco,Chalco,Domestic,0.8,Henan,Xinmi,327.5058274,315.3334136,303.7308937,292.4947571,274.6266687,247.5310004,208.1920725,182.5593544,160.7326484,142.8675926,124.8259552,106.6130652,88.21140678
24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Sinter,Chalco,Chalco,Domestic,0.8,Henan,Yanshi,790.7964803,761.404936,733.3894593,706.2586526,663.1143169,597.689041,502.7011565,440.8083241,388.1054992,344.9684858,301.4050981,257.4282033,212.9955078
24.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,H-B-ODT-Sweet,Chalco,Chalco,Domestic,0.5,Henan,Baofeng,168.9652808,168.9652808,168.9652808,168.9652808,168.9652808,168.9652808,168.9652808,168.9652808,168.9652808,168.9652808,168.9652808,168.9652808,168.9652808
24.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,H-B-ODT-Sweet,Chalco,Chalco,Domestic,0.3,Henan,Dengfeng,417.816099,417.816099,417.816099,417.816099,417.816099,417.816099,417.816099,417.816099,417.816099,417.816099,417.816099,417.816099,417.816099
24.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,H-B-ODT-Sweet,Chalco,Chalco,Domestic,0.85,Henan,Gongyi,3524.177034,3524.177034,3524.177034,3524.177034,3524.177034,3524.177034,3524.177034,3524.177034,3524.177034,3524.177034,3524.177034,3524.177034,3524.177034
24.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,H-B-ODT-Sweet,Chalco,Chalco,Domestic,0.8,Henan,Jiaxian,60.35161059,60.35161059,60.35161059,60.35161059,60.35161059,60.35161059,60.35161059,60.35161059,60.35161059,60.35161059,60.35161059,60.35161059,60.35161059
24.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,H-B-ODT-Sweet,Chalco,Chalco,Domestic,1,Henan,Jiyuan,221.1471638,221.1471638,221.1471638,221.1471638,221.1471638,221.1471638,221.1471638,221.1471638,221.1471638,221.1471638,221.1471638,221.1471638,221.1471638
24.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,H-B-ODT-Sweet,Chalco,Chalco,Domestic,0.8,Henan,Lushan,100.1577075,100.1577075,100.1577075,100.1577075,100.1577075,100.1577075,100.1577075,100.1577075,100.1577075,100.1577075,100.1577075,100.1577075,100.1577075
24.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,H-B-ODT-Sweet,Chalco,Chalco,Domestic,0.8,Henan,Mianchi,390.5237287,390.5237287,390.5237287,390.5237287,390.5237287,390.5237287,390.5237287,390.5237287,390.5237287,390.5237287,390.5237287,390.5237287,390.5237287
24.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,H-B-ODT-Sweet,Chalco,Chalco,Domestic,1,Henan,Qinyang,384.0068191,384.0068191,384.0068191,384.0068191,384.0068191,384.0068191,384.0068191,384.0068191,384.0068191,384.0068191,384.0068191,384.0068191,384.0068191
24.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,H-B-ODT-Sweet,Chalco,Chalco,Domestic,0.5,Henan,Ruzhou,22.39849434,22.39849434,22.39849434,22.39849434,22.39849434,22.39849434,22.39849434,22.39849434,22.39849434,22.39849434,22.39849434,22.39849434,22.39849434
24.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,H-B-ODT-Sweet,Chalco,Chalco,Domestic,0.8,Henan,Sanmenxia,21.37324595,21.37324595,21.37324595,21.37324595,21.37324595,21.37324595,21.37324595,21.37324595,21.37324595,21.37324595,21.37324595,21.37324595,21.37324595
24.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,H-B-ODT-Sweet,Chalco,Chalco,Domestic,0.8,Henan,Shaan,385.3095916,385.3095916,385.3095916,385.3095916,385.3095916,385.3095916,385.3095916,385.3095916,385.3095916,385.3095916,385.3095916,385.3095916,385.3095916
24.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,H-B-ODT-Sweet,Chalco,Chalco,Domestic,1,Henan,Xingyang,228.1416969,228.1416969,228.1416969,228.1416969,228.1416969,228.1416969,228.1416969,228.1416969,228.1416969,228.1416969,228.1416969,228.1416969,228.1416969
24.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,H-B-ODT-Sweet,Chalco,Chalco,Domestic,0.8,Henan,Xinmi,611.3878075,611.3878075,611.3878075,611.3878075,611.3878075,611.3878075,611.3878075,611.3878075,611.3878075,611.3878075,611.3878075,611.3878075,611.3878075
