Bx Origin Cty / Mine,Bx origin Prov,Country,Destination,Refiney Prov,Bx Prov category,Self Supply,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Jingxi,Guangxi,China,Xinfa Jingxi,Guangxi,Guangxi,1,5469.655832,5924.730864,5872.681622,6474.823468,6574.454609,5335.388079,5406.758236,5482.853051,5565.034869,5655.175234,5756.13539,5885.938157,6067.474548
Jingxi,Guangxi,China,Tiangui,Guangxi,Guangxi,0,0,0,1123.22008,1207.030202,1728.761587,2020.668599,2063.911959,4115.360433,4413.8666,4607.466393,0,0,0
Jingxi,Guangxi,China,General 3rd Party Domestic Supply,Guangxi,Guangxi,0,0,0,0,0,0,0,0,0,0,0,525.6591029,573.1849257,580.4211855
Jingxi,Guangxi,China,General 3rd Party Domestic Supply,Guangxi,Guangxi,0,0,0,0,0,0,0,0,0,0,0,1090.775707,1189.39478,1204.410474
Jinsha,Guizhou,China,Chalco Zunyi,Guizhou,Guizhou,1,86.94554491,89.42556189,0,0,0,0,0,0,0,0,0,0,0
Jinsha,Guizhou,China,Huajin,Guizhou,Guizhou,1,19.11415182,19.34638252,19.55919291,19.78667244,20.03368717,20.28741636,20.56294628,20.86903422,21.21204355,21.6601243,0,0,0
Jinsha,Guizhou,China,General 3rd Party Domestic Supply,Guizhou,Guizhou,0,1.416449034,0,0,0,0,0,0,0,0,0,0,0,0
Jinsha,Guizhou,China,General 3rd Party Domestic Supply,Guizhou,Guizhou,0,0.369277238,0,4.794781205,4.761898889,5.784539612,6.819920532,6.914023573,5.603226163,9.357134911,12.61604714,0,0,0
Jiyuan,Henan,China,Chalco Zhongzhou Dom. Sinter,Henan,Henan,1,17.5314953,7.839135148,7.870331838,7.90273011,11.91354228,11.98814285,12.08798518,12.24953024,12.42607009,12.56505856,12.68925396,12.80970135,12.94246814
Jiyuan,Henan,China,General 3rd Party Domestic Supply,Henan,Henan,0,4.8914201,0.722108341,0.290087199,0,0.653649157,7.069097283,15.58032649,5.778770805,2.925342267,0,0,0,0
Kaili,Guizhou,China,Qizheng Chemical,Guizhou,Guizhou,0.7,1815.077444,1651.927149,1855.032015,1877.990833,1904.200047,1932.920777,1967.155033,1808.232269,0,0,0,0,0
Kaili,Guizhou,China,General 3rd Party Domestic Supply,Guizhou,Guizhou,0,36.00020292,0,467.4349748,464.2293343,563.9248199,664.8623254,674.0362689,491.6239951,0,0,0,0,0
Kaiyang,Guizhou,China,Chalco Zunyi,Guizhou,Guizhou,1,249.4906942,256.6071159,0,0,0,0,0,0,0,0,0,0,0
Kaiyang,Guizhou,China,General 3rd Party Domestic Supply,Guizhou,Guizhou,0,4.064507884,0,0,0,0,0,0,0,0,0,0,0,0
Lin,Shanxi,China,Aokaida,Shanxi,Shanxi,0,159.6212982,306.4837719,167.7998743,171.7526946,0,0,0,0,0,0,0,0,0
Lin,Shanxi,China,Dongxu Tianyuan,Shanxi,Shanxi,0,150.4664088,153.2741442,0,0,0,0,0,0,0,0,0,0,0
Lin,Shanxi,China,Huaqing,Shanxi,Shanxi,0,66.43394499,103.4607409,108.590569,115.337397,125.784146,0,0,0,0,0,0,0,0
Lin,Shanxi,China,Taixing,Shanxi,Shanxi,0,142.7259859,211.8128105,195.434456,0,0,0,0,0,0,0,0,0,0
Lin,Shanxi,China,Xinfa - Jiaokou,Shanxi,Shanxi,0,458.5010801,189.7986729,212.0874844,410.1297567,0,0,0,0,0,0,0,0,0
Lin,Shanxi,China,Xinfa - Xiaoyi,Shanxi,Shanxi,0,659.69209,1049.142294,0,0,0,0,0,0,0,0,0,0,0
Lin,Shanxi,China,Xingan Chemical,Shanxi,Shanxi,0,872.5002323,0,0,0,0,0,0,0,0,0,0,0,0
Lin,Shanxi,China,General 3rd Party Domestic Supply,Shanxi,Shanxi,0,0,59.91684657,69.30737415,124.4578497,0,0,0,0,0,0,0,0,0
Lin,Shanxi,China,General 3rd Party Domestic Supply,Shanxi,Shanxi,0,0,27.71088918,0,0,0,0,0,0,0,0,0,0,0
Lin,Shanxi,China,General 3rd Party Domestic Supply,Shanxi,Shanxi,0,0,19.41084818,42.09943637,75.59953598,113.3093792,0,0,0,0,0,0,0,0
Lin,Shanxi,China,General 3rd Party Domestic Supply,Shanxi,Shanxi,0,0,38.0877686,70.80607309,0,0,0,0,0,0,0,0,0,0
Lin,Shanxi,China,General 3rd Party Domestic Supply,Shanxi,Shanxi,0,0,33.3935212,78.94424626,260.1158572,0,0,0,0,0,0,0,0,0
Lin,Shanxi,China,General 3rd Party Domestic Supply,Shanxi,Shanxi,0,0,164.9255529,0,0,0,0,0,0,0,0,0,0,0
Lingshi,Shanxi,China,East Hope Lingshi,Shanxi,Shanxi,1,2655.131555,2778.333385,2430.674265,0,0,0,0,0,0,0,0,0,0
Lingshi,Shanxi,China,Xinfa - Xiaoyi,Shanxi,Shanxi,1,666.9144097,1060.628321,0,0,0,0,0,0,0,0,0,0,0
