Province,county,china_bx_data2_id,deposit_mine,inventory_000_t,geological_endowment_000_t,inventory_reference,endowment_reference,filter_for_DDM
Guizhou,Zunyi,220,Zunyi County Hetaowo Bauxite Mine Geological Prospecting,61,68,REF 08-13 New Discoveries Document ,REF 08-13 New Discoveries Document ,
Guizhou,Zunyi,221,Zunyi County Tiziyan Bauxite Prospecting,113,556,REF 08-13 New Discoveries Document ,REF 08-13 New Discoveries Document ,
Guizhou,Zunyi,222,Zunyi County Goujiapo Bauxite Prospecting,248,248,REF 08-13 New Discoveries Document ,REF 08-13 New Discoveries Document ,
Guizhou,Zunyi,223,Zhunanya Bauxite Mine,96.44,96.44,"CM Field Work Zhang Wen: 122b)88.4, 333)8.04","CM Field Work Zhang Wen: 122b)88.4, 333)8.04",
Guizhou,Zunyi,224,Tiechang town Dajinshan,-,6000,-,?????????????????,
Guizhou,Zunyi,225,Chenqian 213 Bx Mine,27361,27361,???????? 2011-2015? https://wenku.baidu.com/view/97e514c108a1284ac850433c.html,???????? 2011-2015? https://wenku.baidu.com/view/97e514c108a1284ac850433c.html,
Hainan,Wenchang,226,Penglai,21906,21906,????????????????? http://www.dalilvcai.com/teach/show.php?itemid-492.html,????????????????? http://www.dalilvcai.com/teach/show.php?itemid-492.html,
Hebei,Fengfeng,227,Shuichigou,0,3346,"CM Field Research,  ???????????????????????????, http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=48170","CM Field Research,  ???????????????????????????, http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=48170",
Hebei,Jingxing,228,Gaojiazhuang,0,2956,???????????????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=37035,???????????????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=37035,
Hebei,Jingxing,229,Mayu,694,917,??????????????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=36970,??????????????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=36970,
Hebei,Jingxing,230,Nanguan,0,13049,??????????????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=37033,??????????????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=37033,
Hebei,Jingxing,231,Nanzhang,0,10116,?????????????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=36971,?????????????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=36971,
Hebei,Jingxing,232,Shanbei,0,12911,??????????????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=36972,??????????????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=36972,
