1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
nan,17,Xingan Chemical,Shanxi,Shanxi,H-B,Jinjiang,Jinjiang,Domestic,,,0.0,0.0,0.0,0.0,0.2,0.4,0.823005249,2.04,2.16,2.16,2.16,2.4,2.5,2.5,2.55,1.8,1.9,1.9,1.9,1.9,1.9,1.7,1.7,1.7,1.7,1.7,1.7
nan,18,Kaiman,Henan,Henan,"H-B, ODT, Sweetening",Jinjiang,Jinjiang,Domestic,,,0.0,0.5,1.3,1.31,1.5,1.593678887,1.532760736,1.95,1.95,1.9,1.7,1.9,1.9,1.9,1.89,1.4,1.25,1.25,1.3,1.1,1.1,1.0,1.0,0.7,0.7,0.7,0.7
nan,19.1,Yima Yixiang,Henan,Henan,"H-B, CGA","Jinjiang, Yima Coal Group",Jinjiang,Domestic,,,0.01,0.081163,0.2,0.3,0.45,0.478103666,0.459828221,0.48,0.3,0.5,0.5,0.5,0.45,0.3,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
nan,19.2,Aokaida,Shanxi,Shanxi,H-B,Aokaida,Other,Domestic,,,0.0,0.0,0.0,0.0,0.0,0.044557196,0.048412073,0.16,0.16,0.16,0.16,0.18,0.18,0.16,0.3,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nan,20,Xinwang H-B,Inner Mongolia,Other,H-B,BXG,Other,Domestic,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nan,21,Bosai Xianfeng domestic,Chongqing,Other,H-B,Bosai,Other,Domestic,,,0.08,0.15,0.175,0.15,0.2,0.114,0.1,0.255,0.255,0.26,0.27,0.27,0.5,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.0,0.0,0.0
nan,22,Shuijiang,Chongqing,Other,H-B,Bosai,Other,Domestic,,,0.0,0.0,0.0,0.0,0.0,0.04,0.16,0.4,0.6,0.72,0.0,0.0,0.0,0.0,0.244,0.3,0.6,0.6,0.6,0.7,0.7,0.6,0.6,0.5,0.5,0.5,0.5
nan,23.1,Qingzhen Guanglv,Guizhou,Guizhou,H-B,Guangdong Guang Al Group Co.Ltd,Other,Domestic,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.45,0.45,0.45,0.45,0.5,0.55,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
nan,23.2,Kaisheng,Guizhou,Guizhou,H-B,Private,Other,Domestic,,,0.0,0.052227,0.172,0.19,0.1914,0.0735,0.057576159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nan,24.1,Jingxin,Henan,Henan,H-B,Private,Other,Domestic,,,0.0,0.035,0.1,0.09,0.075,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nan,24.2,Shaoxing,Henan,Henan,H-B,Private,Other,Domestic,,,0.0,0.03,0.14,0.2,0.076917431,0.079683944,0.076638037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nan,24.3,Weilai,Henan,Henan,H-B,Private,Other,Domestic,,,0.0,0.06,0.085,0.1,0.076917431,0.103589128,0.12,0.12,0.09,0.12,0.12,0.12,0.12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nan,25.1,Yifeng Gongyi (Yulian Xinya),Henan,Henan,H-B,Private,Other,Domestic,,,0.0,0.0,0.05,0.07,0.115376147,0.119525917,0.114957055,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nan,25.2,Zhongchao,Henan,Henan,H-B,Private,Other,Domestic,,,0.0,0.04204,0.045,0.05,0.023075229,0.023905183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nan,26.1,Jialu Xianfeng,Hubei,Other,H-B,Private,Other,Domestic,,,0.0,0.0,0.0,0.05,0.03,0.036,0.096,0.06,0.0,0.108,0.108,0.108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nan,26.2,Jinshi,Hubei,Other,H-B,Private,Other,Domestic,,,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.05,0.06,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nan,27,Huixiang,Hunan,Other,H-B,Private,Other,Domestic,,,0.0,0.0,0.0,0.04,0.05,0.06,0.08,0.0,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nan,28,Gangyuan Jiaohua,Shanxi,Shanxi,H-B,Private,Other,Domestic,,,0.0,0.0,0.0,0.0,0.0,0.031190037,0.033888451,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nan,29,Huaqing,Shanxi,Shanxi,H-B,Private,Other,Domestic,,,0.0,0.0,0.0,0.0,0.03,0.044557196,0.048412073,0.08,0.08,0.08,0.08,0.08,0.04,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
nan,30.1,Qiangjin Aluminium,Shanxi,Shanxi,H-B,Private,Other,Domestic,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
nan,30.2,Taixing,Shanxi,Shanxi,H-B,Private,Other,Domestic,,,0.0,0.0,0.0,0.0,0.02,0.044557196,0.048412073,0.05,0.05,0.05,0.05,0.08,0.1,0.25,0.35,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nan,31,Tiantong,Shanxi,Shanxi,H-B,Private,Other,Domestic,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nan,32,Wusheng,Shanxi,Shanxi,H-B,Private,Other,Domestic,,,0.0,0.0,0.1,0.15,0.04,0.1,0.14523622,0.24,0.24,0.24,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nan,33,Senze,Shanxi,Shanxi,H-B & Sinter (1.2:0.1),Senze,Other,Domestic,,,0.0,0.0,0.0,0.0,0.02,0.06,0.2,0.3,0.6,0.6825,0.6825,0.6825,0.8,1.25,1.2,1.2,1.11,1.2,1.2,1.0,1.0,1.0,0.8,0.8,0.8,0.8,0.8
nan,34,Huafei,Guizhou,Guizhou,H-B,Shanghai Huafei Investment Co.Ltd,Other,Domestic,,,0.0,0.0,0.0,0.1,0.0,0.04,0.027417219,0.04,0.03,0.12,0.16,0.16,0.16,0.15,0.04,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
nan,35,Dongxu Tianyuan,Shanxi,Shanxi,H-B,Tianyuan Chemical,Other,Domestic,,,0.0,0.03,0.07,0.072,0.02,0.1,0.121030184,0.32,0.16,0.3,0.3,0.28,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nan,36,Wanji,Henan,Henan,H-B,Wanji Holdings,Other,Domestic,,,0.0,0.0,0.25,0.5,0.61533945,0.637471555,0.613104294,0.72,0.72,1.0,1.2,1.05,1.3,1.0,0.58,0.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nan,37,Zhongmei,Henan,Henan,"H-B, Sweetening","Yongmei Group, Wuzhou Aluminium, Dengfeng Electric Power Corporation",Other,Domestic,,,0.0,0.0,0.2,0.3,0.307669725,0.318735777,0.383190184,0.4,0.4,0.4,0.4,0.4,0.45,0.25,0.3,0.2,0.2,0.2,0.2,0.2,0.17,0.0,0.0,0.0,0.0,0.0,0.0
nan,38,Tiangui,Guangxi,Guangxi,H-B,Zengshi,Other,Domestic,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.7,0.8,1.52,1.6,1.6,1.6,1.6,1.6,1.6,1.6
nan,39,Xian,Guizhou,Guizhou,H-B,Zengshi Group,Other,Domestic,,,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.2
nan,40.1,Qizheng Chemical,Guizhou,Guizhou,H-B,Qiya,Qiya,Domestic,,,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.2,0.45,0.75,0.5,0.6,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9
nan,40.2,SPIC - Wuchuan,Guizhou,Guizhou,H-B,SPIC,SPIC,Domestic,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
nan,41,Tuoyuan,Chongqing,Other,H-B,SPIC,SPIC,Domestic,,,0.07,0.08,0.121,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nan,42.1,SPIC Shanxi,Shanxi,Shanxi,H-B & Sinter,SPIC,SPIC,Domestic,,,0.0,0.351405,0.8,0.7,0.7655,1.5,1.7,1.7,1.7,1.7,2.8,2.7,2.75,2.8,1.8,1.3,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
nan,42.2,Shenhuo,Henan,Henan,Sintering,Shenhuo,Shenhuo,Domestic,,,0.0,0.0,0.0,0.05,0.076917431,0.079683944,0.076638037,0.05,0.08,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nan,43.1,Huiyuan Lushan,Henan,Henan,"H-B, ODT","Shenhuo, Huiyuan",Shenhuo,Domestic,,,0.175,0.313262,0.35,0.35,0.307669725,0.637471555,0.613104294,0.64,0.72,0.72,0.72,0.5,0.68,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nan,43.2,Xinfa Jingxi,Guangxi,Guangxi,H-B,Xinfa,Xinfa,Domestic,,,0.0,0.0,0.0,0.64,0.933539394,1.8,1.8,2.04,2.04,2.16,2.18,1.8,2.4,2.2,2.352,2.3,2.5,2.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
nan,44,Xinfa - Jiaokou,Shanxi,Shanxi,H-B,Xinfa,Xinfa,Domestic,,,0.0,0.0,0.0,0.2,0.02,0.0,0.580944882,0.72,1.8,1.8,1.8,2.4,2.8,2.5,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.85,1.55,1.6,1.6,1.6,1.6
nan,45,Xinfa - Xiaoyi,Shanxi,Shanxi,H-B,Xinfa,Xinfa,Domestic,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,1.6,1.8,2.1,2.1,3.03,2.65,2.8,2.8,2.8,2.8,2.8,2.4,2.4,2.4,2.4,2.4,2.4
nan,46.1,Yangquan Zhaofeng,Shanxi,Shanxi,H-B (Lime),"Xinfa, Yangquan Coal",Xinfa,Domestic,,,0.0,0.0,0.004,0.3,0.16,0.178228782,0.193648294,0.385,0.66,0.7,0.7,0.7,0.8,0.8,0.4,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
nan,46.2,Datang Tuoketuo Fly Ash,Inner Mongolia,Other,fly ash,Private,Other,Fly ash,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nan,46.3,Mengxi Fly Ash,Inner Mongolia,Other,fly ash,Private,Other,Fly ash,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nan,47.1,Chalco Xinghua import,Shanxi,Shanxi,H-B,Chalco,Chalco,Imported,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.75,0.8,0.8,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6
nan,47.2,Huasheng,Guangxi,Guangxi,L-B,Chalco,Chalco,Imported,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0
nan,48,Chalco Zhengzhou import,Henan,Henan,L-B,Chalco,Chalco,Imported,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
nan,49.1,Chalco Zhongzhou LT Amt,Henan,Henan,L-B,Chalco,Chalco,Imported,,,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.15,0.15,0.2,0.2,0.0,0.0,0.2,1.5,1.93,1.8,1.8,1.5,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
nan,49.2,Chalco Lianyungang,Jiangsu,Other,L-B,Chalco,Chalco,Imported,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.9,2.0,2.0,2.0,2.0
nan,50,Chalco Shandong L-B,Shandong,Other,L-B,Chalco,Chalco,Imported,,,0.9,1.15,1.15,1.15,1.15,1.25,1.25,1.35,1.2,1.5,1.5,1.5,1.5,1.5,2.15,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
nan,51,Chalco Shandong sinter import,Shandong,Other,L-B,Chalco,Chalco,Imported,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
nan,52.1,Chalco Shanxi import,Shanxi,Shanxi,L-B,Chalco,Chalco,Imported,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
nan,52.2,East Hope Mianchi Added LT,Henan,Henan,L-B,East Hope,East Hope,Imported,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nan,53.1,East Hope Lingshi Import,Shanxi,Shanxi,L-B,East Hope,East Hope,Imported,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
nan,53.2,Kaiman Import,Henan,Henan,L-B,Jinjiang,Jinjiang,Imported,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
nan,54,Jinjiang Lianyungang,Jiangsu,Other,L-B,Jinjiang,Jinjiang,Imported,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,1.0,1.0,1.7,2.0,2.0
nan,55,Xingan Chemical import,Shanxi,Shanxi,L-B,Jinjiang,Jinjiang,Imported,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4
nan,56.1,Lubei,Shandong,Other,L-B,Lubei Group,Jinjiang,Imported,,,0.0,0.0,0.2,0.2,0.2,0.7,0.7,0.5,0.25,0.25,0.25,0.5,0.9,0.9,0.92,0.9,0.9,1.4,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
nan,56.2,Nanshan Donghai H-B,Shandong,Other,H-B,Nanshan Group,Nanshan,Imported,,,0.0,0.0,0.0,0.0,0.0,0.38,0.8,0.95,0.95,0.95,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
nan,57.1,Nanshan Donghai L-B,Shandong,Other,L-B,Nanshan Group,Nanshan,Imported,,,0.0,0.14,0.25,0.22,0.25,0.39,0.4,0.6,0.66,0.67,0.67,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
nan,57.2,Xinwang L-B,Inner Mongolia,Other,L-B,BXG,Other,Imported,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.0,0.0,0.5,0.48,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4
nan,58.1,Bosai Wanzhou,Chongqing,Other,L-B,Bosai,Other,Imported,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,1.2,1.2,1.5,2.1,2.3,2.4,2.4,2.4
nan,58.2,Bosai Xianfeng import,Chongqing,Other,L-B,Bosai,Other,Imported,,,0.0,0.0,0.0,0.0,0.0,0.015,0.1,0.2,0.2,0.2,0.375,0.375,0.23,0.21,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0
nan,59.1,Bochuang,Shandong,Other,L-B,Chuangxin Group,Other,Imported,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.5,0.45,0.1,0.0,0.39,0.5,0.8,0.8,1.2,1.2,1.2,1.2,1.2,1.4,1.4,1.4,1.4
nan,59.2,Qihui H-B,Inner Mongolia,Other,H-B,Jinguotou,Other,Imported,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,1.0,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
nan,60,Qihui L-B,Inner Mongolia,Other,L-B,Jinguotou,Other,Imported,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.3,1.3,1.3,1.3
nan,61,Mengxi import,Inner Mongolia,Other,L-B,Private,Other,Imported,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.19,0.18,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nan,62,Nanhan,Shandong,Other,L-B,Private,Other,Imported,,,0.0,0.0,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nan,63,Dongxu Tianyuan import,Shanxi,Shanxi,L-B,Tianyuan Chemical,Other,Imported,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.3,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0
