,mine_status,creation_date_x,updation_date_x,Mine,creation_date_y,updation_date_y,County,creation_date_x,updation_date_x,Province,creation_date_y,updation_date_y,index,rsdatabase_id,tonnesproduced,gradeal2o3,asa,miningscale,mineautolevel,minetypeopenpit,minetypeunderground,depthopenpit,depthunderground,StrippingRatioOpenPit,strippingratiounderground,dressingautolevel,distanceopenpit,distanceunderground,localtaxandfees,distance,dressingratio,empty
57,Operational,,2020-08-12 00:39:04.160,County Total,,,Qinyuan,,,Shanxi,,,88,90,228.9082292,0.5595,3.78,1,2,1,0,80.09178842,0,21.35781024,0,2,0,0,21,0,0,0
58,Operational,,2020-08-12 00:39:04.160,County Total,,,Shenchi,,,Shanxi,,,90,92,738.6090984,0.651006461,5.453721254,1,2,1,0,95.09178842,0,12.67890512,0,2,10,0,21,0,0,0
59,Operational,,2020-08-12 00:39:04.160,County Total,,,Shuozhou,,,Shanxi,,,91,93,912.5662236,0.6,6.8,1,2,1,0,80.09178842,0,21.35781024,0,2,10,0,21,0,0,0
60,Operational,,2020-08-12 00:39:04.160,County Total,,,Xiyang,,,Shanxi,,,93,95,1331.810899,0.631,6.731056564,1,2,0,1,65.09178842,215.0917884,0,0.9,2,0,0,21,0,0,0
61,Operational,,2020-08-12 00:39:04.160,County Total,,,Yuanping,,,Shanxi,,,94,96,338.5833795,0.632531959,4.359845958,1,2,1,0,80.09178842,0,21.35781024,0,2,0,0,21,0,0,0
62,Operational,,2020-08-12 00:39:04.160,County Total,,,Yuanqu,,,Shanxi,,,95,97,3262.317373,0.660017595,6.77849563,1,2,0,1,0,175.0917884,0,1.9,2,0,20,21,0,0,0
63,Operational,,2020-08-12 00:39:04.160,County Total,,,Guangyuan,,,Shanxi,,,97,99,2489.302418,0.588805442,4.065729431,1,2,1,0,80.09178842,0,21.35781024,0,2,10,0,21,0,0,0
64,Operational,,2020-08-12 00:39:04.160,County Total,,,Qinjiang,,,Shanxi,,,100,102,707.1094392,0.596445692,4.142143723,1,2,1,0,80.09178842,0,21.35781024,0,2,0,0,21,0,0,0
65,Operational,,2020-08-12 00:39:04.160,County Total,,,Binyang,,,Shanxi,,,101,103,84.32780242,0.618686043,6.778804873,1,2,1,0,80.09178842,0,21.35781024,0,2,0,0,21,0,0,0
66,Operational,,2020-08-12 00:39:04.160,County Total,,,Donglan,,,Shanxi,,,102,104,164.9891787,0.6083,6.48,1,2,1,0,80.09178842,0,26.69726281,0,2,10,0,21,0,0,0
67,Operational,,2020-08-12 00:39:04.160,County Total,,,Heng,,,Shanxi,,,104,106,293.6646088,0.643263342,4.023525902,1,2,0.5,0.5,77.09178842,0,25.69726281,0,2,0,0,21,0,0,0
68,Operational,,2020-08-12 00:39:04.160,County Total,,,Laibin,,,Shanxi,,,107,109,992.2777967,0.622,4.23,1,2,1,0,77.09178842,0,25.69726281,0,2,0,0,21,0,0,0
69,Operational,,2020-08-12 00:39:04.160,County Total,,,Lingyun,,,Shanxi,,,108,110,1240.344864,0.581109133,4.554409418,1,2,1,0,80.09178842,0,26.69726281,0,2,5,0,21,0,0,0
70,Operational,,2020-08-12 00:39:04.160,County Total,,,Mashan,,,Shanxi,,,110,112,932.2685994,0.6,4.8,1,2,0.5,0.5,95.09178842,145.0917884,15.8486314,1,2,0,0,21,0,0,0
71,Operational,,2020-08-12 00:39:04.160,County Total,,,Ningming,,,Shanxi,,,111,113,385.0867949,0.657266838,6.047244753,1,2,1,0,85.09178842,0,21.2729471,0,2,0,0,21,0,0,0
72,Operational,,2020-08-12 00:39:04.160,Other,,,Jiaokou,,,Shanxi,,,89,91,3955.946384,0.646437306,5.546165406,1,2,1,0,85.09178842,0,19.99657028,0,2,10,0,21,0,0,0
73,Operational,,2020-08-12 00:39:04.160,Other,,,Pingguo,,,Guangxi,,2020-08-13 10:46:45.210,44,46,4153.759619,0.598735977,8.319559568,1,2,1,0,19.6753034,0,0,0,2,20,0,25,0,2,0
74,Operational,,2020-08-12 00:39:04.160,Other,,,Qingzhen,,,Yunnan,,,113,115,418.0761226,0.53,7,3,2,1,0,38.21640946,0,38.21640946,0,2,15,0,28,120,0,0
75,Operational,,2020-08-12 00:39:04.160,Other,,,Wuchuan,,,Guizhou,,,52,54,3722.479517,0.674634802,8.124162278,1,1,0.5,0.5,53.65787504,133.657875,5.365787504,2,1,5,5,30,0,0,0
76,Operational,,2020-08-12 00:39:04.160,Other,,,Long'an,,,Guangxi,,2020-08-13 10:46:45.210,38,40,860.9077054,0.513519647,7.242822811,3,2,1,0,22.6753034,0,0,0,2,15,0,25,0,2,0
77,Operational,,2020-08-12 00:39:04.160,Other,,,Napo,,,Guangxi,,2020-08-13 10:46:45.210,40,42,5176.327206,0.523968842,6.144343856,1,2,1,0,23.6753034,0,0,0,2,18,0,25,0,2,0
78,Operational,,2020-08-12 00:39:04.160,Other,,,Xinmi,,,Henan,,,75,77,1587.621865,0.675543519,6.796335196,1,2,1,0,77.66867585,0,15.53373517,0,2,15,0,27.25,0,0,0
79,Operational,,2020-08-12 00:39:04.160,Other,,,Yanshi,,,Henan,,,76,78,525.0270559,0.664825503,5.874020922,1,2,0.5,0.5,87.66867585,147.6686758,8.766867585,0.6,2,10,10,27.25,0,0,0
80,Operational,,2020-08-12 00:39:04.160,Other,,,Jiaxian,,,Guizhou,,,59,61,892.6061026,0.634403106,6.995697144,1,1,1,0,43.65787504,0,7.640128132,0,1,5,0,30,0,0,0
81,Operational,,2020-08-12 00:39:04.160,Other,,,Lushan,,,Henan,,,61,63,1519.362943,0.656,6.1,1,2,1,0,77.66867585,0,9.708584481,0,2,12,0,27.25,0,0,0
82,Operational,,2020-08-12 00:39:04.160,Other,,,Qinyang,,,Henan,,,62,64,3812.592238,0.648399783,4.750568373,1,2,1,0,97.66867585,0,9.766867585,0,2,12,0,27.25,0,0,0
83,Operational,,2020-08-12 00:39:04.160,Other,,,Fangshan,,,Henan,,,72,74,2790.953152,0.658606027,7.310645463,1,2,1,0,77.66867585,0,15.53373517,0,2,15,0,27.25,0,0,0
84,Operational,,2020-08-12 00:39:04.160,Other,,,Fenxi County,,,Henan,,,73,75,2948.187549,0.63724778,5.080999353,1,2,1,0,77.66867585,0,17.47545207,0,2,15,0,27.25,0,0,0
85,Operational,,2020-08-12 00:39:04.160,Other,,,Mianchi,,,Henan,,,67,69,6184.73251,0.671974704,7.11442601,1,2,1,0,77.66867585,0,15.53373517,0,2,15,0,27.25,0,0,0
86,Operational,,2020-08-12 00:39:04.160,Other,,,Liulin,,,Shanxi,,,85,87,451.2612295,0.6,4.8,1,2,1,0,105.0917884,0,12.34828514,0,2,5,0,21,0,0,0
87,Operational,,2020-08-12 00:39:04.160,Other,,,Xing,,,Shanxi,,,106,108,1830.818012,0.631827203,8.284987247,1,2,0,1,0,265.0917884,0,2,2,0,20,21,0,0,0
88,Operational,,2020-08-12 00:39:04.160,Other,,,Guigang,,,Shanxi,,,103,105,1250.656325,0.614905332,4.66057162,1,2,1,0,80.09178842,0,16.01835768,0,2,5,0,21,0,0,0
89,Operational,,2020-08-12 00:39:04.160,Other,,,Xiaoyi,,,Shanxi,,,105,107,9990.126266,0.649488736,5.34492074,2,2,1,0,95.09178842,0,13.31285038,0,2,5,0,21,0,0,0
90,Operational,,2020-08-12 00:39:04.160,Jiaocun Bx mine,,,Yanshi,,,Henan,,,3,5,318.4067544,0.665,5.5,2,3,0,1,0,147.6686758,0,0.5,3,0,20,27.25,70,0,0
91,Operational,,2020-08-12 00:39:04.160,Zhangyaoyuan Bx mine,,,Xin'an,,,Henan,,,4,6,454.866792,0.6879,7.3,2,3,1,0,77.66867585,0,9.708584481,0,3,20,0,27.25,150,0,0
92,Operational,,2020-08-12 00:39:04.160,Caoyao Bx mine,,,Mianchi,,,Henan,,,5,7,227.433396,0.664,7.1,2,2,1,0,87.66867585,0,11.68915678,0,2,20,0,27.25,50,0,0
93,Operational,,2020-08-12 00:39:04.160,Leigou Bx mine,,,Mianchi,,,Henan,,,6,8,0,0.6835,7.3,3,3,0,1,0,157.6686758,0,1.2,3,0,20,27.25,150,0,0
94,Operational,,2020-08-12 00:39:04.160,Zhijian Bx mine,,,Shaan,,,Henan,,,7,9,227.433396,0.6884,10,3,2,0,1,0,200,0,1.4,3,0,20,27.25,20,0,0
95,Operational,,2020-08-12 00:39:04.160,Weijiatan Bx mine,,,Xing,,,Shanxi,,,8,10,360.6108422,0.5113,6.19,2,3,1,0,70.09178842,0,28.03671537,0,3,10,0,21,20,0,0
96,Undeveloped or Shutdown,,2020-08-11 21:34:22.083,Ducun Bx mine,,,Xiaoyi,,,Shanxi,,,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
97,Undeveloped or Shutdown,,2020-08-11 21:34:22.083,Wachangping Bx mine,,,Zunyi,,,Guizhou,,,30,32,0,0.6,6,1,2,0,1,0,123.657875,0,2.8,2,0,0,30,0,0,0
98,Undeveloped or Shutdown,,2020-08-11 21:34:22.083,Dazhuyuan Bx mine,,,Zunyi,,,Guizhou,,,31,33,0,0.664,6.51,3,3,0,1,0,133.657875,0,3,3,20,20,30,45,0,0
99,Undeveloped or Shutdown,,2020-08-11 21:34:22.083,Shilaogong Bx mine,,,Nanchuan,,,Guizhou,,,32,34,197.7022051,0.67,6.53,1,3,0,1,0,73.65787504,0,1.2,2,20,20,30,30,0,0
100,Undeveloped or Shutdown,,2020-08-11 21:34:22.083,County Total,,,Fusui,,,Guangxi,,2020-08-13 10:46:45.210,37,39,76.03659338,0.477,4,1,2,1,0,0,0,0,0,2,18,0,25,0,2,0
101,Undeveloped or Shutdown,,2020-08-11 21:34:22.083,County Total,,,Tiandong,,,Guangxi,,2020-08-13 10:46:45.210,41,43,159.350975,0.468,2.97,1,2,1,0,0,0,0,0,2,18,0,25,0,2,0
102,Undeveloped or Shutdown,,2020-08-11 21:34:22.083,County Total,,,Hequ County,,,Henan,,,77,79,20.12630412,0.6,4,1,2,1,0,80.67346586,0,15.12627485,0,2,10,0,27.25,0,0,0
103,Undeveloped or Shutdown,,2020-08-11 21:34:22.083,County Total,,,Jingle county,,,Shanxi,,,82,84,719.4462019,0.6803,8.72,1,2,1,0,95.09178842,0,18.38441243,0,2,10,0,0,0,0,0
104,Undeveloped or Shutdown,,2020-08-11 21:34:22.083,County Total,,,Zhongyang,,,Shanxi,,,96,98,3270.719242,0.649888828,7.48,1,2,1,0,80.09178842,0,21.35781024,0,2,10,0,0,0,0,0
105,Undeveloped or Shutdown,,2020-08-11 21:34:22.083,Other,,,Pinglu,,,Shanxi,,,99,101,4768.553886,0.622970004,4.868164381,1,2,0.5,0.5,80.09178842,165.0917884,16.01835768,0.6,2,10,10,0,0,0,0
106,Undeveloped or Shutdown,,2020-08-11 21:34:22.083,Other,,,Xiuwen,,,Guizhou,,,54,56,0,0.6797,8.92,1,1,0,1,0,0,0,0,1,0,0,30,0,0,0
107,Undeveloped or Shutdown,,2020-08-11 21:34:22.083,Other,,,Fengdu,,,Shanxi,,,98,100,98.56994405,0.584000868,5.036151015,1,2,1,0,80.09178842,0,26.69726281,0,2,5,0,0,0,0,0
108,Undeveloped or Shutdown,,2020-08-11 21:34:22.083,Other,,,Longzhou,,,Shanxi,,,109,111,3136.840421,0.632158931,4.566993801,1,2,1,0,80.09178842,0,32.03671537,0,2,5,0,0,0,0,0
109,Undeveloped or Shutdown,,2020-08-11 21:34:22.083,Fusui-Total,,,Fuquan,,,Guangxi,,2020-08-13 10:46:45.210,39,41,0,0.4771,3.8,1,2,1,0,0,0,0,0,2,0,0,0,0,2,0
110,Undeveloped or Shutdown,,2020-08-11 21:34:22.083,Fusui-Total,,,Lin,,,Shanxi,,,83,85,0,0.629698791,4.297074112,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0
111,Undeveloped or Shutdown,,2020-08-11 21:34:22.083,Jingle county-Total,,,Xia,,,Shanxi,,,92,94,0,0.678,9.47,1,2,1,0,80.09178842,0,32.03671537,0,2,10,0,0,0,0,0
112,Undeveloped or Shutdown,,2020-08-11 21:34:22.083,Guangyuan-Total,,,Pingxiang,,,Sichuan,,,112,114,0,0.55,5,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
113,Undeveloped or Shutdown,,2020-08-11 21:34:22.083,Guinea 45/3 LT,,,Loufan,,,Shanxi,,,86,88,0,1.00E-06,0.0001,1,2,0.5,0.5,0,0,0,0,2,0,0,0,0,0,0
