refinery,province,category,technology,ownership,owner,bauxite,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Weilai,Henan,Henan,H-B,Private,Other,Domestic,0.0,60.0,85.0,100.0,76.91743119266049,103.58912768647299,120.0,120.0,90.0,120.0,120.0,120.0,120.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yifeng Gongyi (Yulian Xinya),Henan,Henan,H-B,Private,Other,Domestic,0.0,0.0,50.0,70.0,115.376146788991,119.52591656131501,114.95705521472401,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yima Yixiang,Henan,Henan,"H-B, CGA","Jinjiang, Yima Coal Group",Jinjiang,Domestic,10.0,81.163,200.0,300.0,450.0,478.1036662452591,459.82822085889507,480.0,300.0,500.0,500.0,500.0,450.0,300.0,500.0,326.7857142857142,310.7142857142857,300.0,315.5769230769231,472.50000000000006,715.3846153846154,452.3076923076922,376.15384615384613,300.0,300.0,300.0,300.0
Zhongmei,Henan,Henan,"H-B, Sweetening","Yongmei Group, Wuzhou Aluminium, Dengfeng Electric Power Corporation",Other,Domestic,0.0,0.0,200.0,300.0,307.66972477064195,318.735777496839,383.190184049079,400.0,400.0,400.0,400.0,400.0,450.0,250.0,300.0,217.85714285714286,207.1428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shaoxing,Henan,Henan,H-B,Private,Other,Domestic,0.0,30.0,140.0,200.0,76.91743119266049,79.6839443742099,76.63803680981592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zhongchao,Henan,Henan,H-B,Private,Other,Domestic,0.0,42.04,45.0,50.0,23.0752293577982,23.905183312263002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jialu Xianfeng,Hubei,Other,H-B,Private,Other,Domestic,0.0,0.0,0.0,50.0,30.0,36.0,96.0,60.0,0.0,108.0,108.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jinshi,Hubei,Other,H-B,Private,Other,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,80.0,50.0,60.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Huixiang,Hunan,Other,H-B,Private,Other,Domestic,0.0,0.0,0.0,40.0,50.0,60.0,80.0,0.0,90.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xinwang L-B,Inner Mongolia,Other,L-B,BXG,Other,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,200.0,0.0,0.0,500.0,480.0,500.0,500.0,500.0,500.0,500.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
