refinery,province,Province,technology,ownership,owner,bauxite,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Chalco Pingguo ,Henan,Guangxi,H-B,Chalco,Chalco,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chalco Pingguo ,Shanxi,Guangxi,H-B,Chalco,Chalco,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chalco Pingguo ,Other,Guangxi,H-B,Chalco,Chalco,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jinjiang Chongzuo domestic,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,0.49233569115613673,0.49233569115613673,0.49233569115613673,0.49233569115613673,0.49233569115613673,0.49233569115613673,0.49233569115613673,0.49233569115613673,0.49233569115613673,0.49233569115613673,0.49233569115613673,0.49233569115613673,0.49233569115613673,0.49233569115613673,0.49233569115613673,0.49233569115613673,0.49233569115613673,0.49233569115613673,0.4802911696474836,0.47857168231103,0.47756594136124486,0.47685176066010443,0.47631241763427146,0.4758960753060141,0.4754739584001359,0.47504511655522097,0.47464444728031563
Jinjiang Chongzuo domestic,Guizhou,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jinjiang Chongzuo domestic,Henan,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jinjiang Chongzuo domestic,Shanxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jinjiang Chongzuo domestic,Other,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jinjiang Chongzuo import,Guangxi,Guangxi,L-B,Jinjiang,Jinjiang,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jinjiang Chongzuo import,Guizhou,Guangxi,L-B,Jinjiang,Jinjiang,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jinjiang Chongzuo import,Henan,Guangxi,L-B,Jinjiang,Jinjiang,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jinjiang Chongzuo import,Shanxi,Guangxi,L-B,Jinjiang,Jinjiang,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
