refinery,province,category,technology,ownership,owner,bauxite,Factor X,Alumina Grade,A/S,open stock,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Jinjiang Tiandong,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,0.9,0.5028955277515235,6.225359812249518,107125.26649999998,0.9999990665133981,0.9999990665133981,0.9999990665133981,0.9999990665133981,0.9999990665133981,0.9999990665133981,0.9999990665133981,0.9999990665133981,0.9901992440889322,0.9788983887153243,0.9605897519321247,0.9443940226319263,0.9210181723070204,0.8985813906701206,0.8776153777337556,0.8535909040521052,0.8293646778695409,0.8049443949999564,0.7803356390904937,0.7555423997343002,0.7305674328800039,0.7054124965294923,0.6851595179983139,0.6647920412728016,0.6399833989076721,0.614699134999374,0.5892406344380332
Jinjiang Tiandong,Guizhou,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jinjiang Tiandong,Henan,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jinjiang Tiandong,Shanxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jinjiang Tiandong,Other,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xinfa Jingxi,Guangxi,Guangxi,H-B,Xinfa,Xinfa,Domestic,0.8,0.5245942977960294,6.171319822859329,137685.8,0.999999273708683,0.999999273708683,0.999999273708683,0.9896029126214466,0.9739111778744164,0.9431529350977214,0.9118907487992042,0.8759399314400467,0.8394867128258395,0.8003738991679693,0.7603812014839981,0.7269749090219678,0.6818970726760326,0.6400357981235211,0.5947040561379746,0.5458505893588962,0.496284532697104,0.44597443009015436,0.40516175685271955,0.3638192258149207,0.3219137392929391,0.2794030203192829,0.2362324749016837,0.19232918391769085,0.1380583149557737,0.08157542215502149,0.08157542215502149
Xinfa Jingxi,Guizhou,Guangxi,H-B,Xinfa,Xinfa,Domestic,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xinfa Jingxi,Henan,Guangxi,H-B,Xinfa,Xinfa,Domestic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xinfa Jingxi,Shanxi,Guangxi,H-B,Xinfa,Xinfa,Domestic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xinfa Jingxi,Other,Guangxi,H-B,Xinfa,Xinfa,Domestic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fangcheng,Guangxi,Guangxi,L-B,Chalco,Chalco,Imported,10.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fangcheng,Guizhou,Guangxi,L-B,Chalco,Chalco,Imported,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fangcheng,Henan,Guangxi,L-B,Chalco,Chalco,Imported,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fangcheng,Shanxi,Guangxi,L-B,Chalco,Chalco,Imported,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fangcheng,Other,Guangxi,L-B,Chalco,Chalco,Imported,10.0,0.54,6.000000000000001,,0.999999898989898,0.999999898989898,0.999999898989898,0.999999898989898,0.999999898989898,0.999999898989898,0.999999898989898,0.999999898989898,0.999999898989898,0.999999898989898,0.999999898989898,0.999999898989898,0.999999898989898,0.999999898989898,0.999999898989898,0.9980235114363573,0.9931484046820892,0.9882441860520906,0.9833222847542812,0.9759153244203966,0.9684861895579915,0.9610391269696593,0.9535768507610913,0.9436066301778175,0.9336159019315093,0.9236069591470911,0.9135815352962401
Tiangui,Guangxi,Guangxi,H-B,Zengshi,Other,Domestic,1.0,0.5239688416567717,6.144343855853187,28420.0,0.9999964813511261,0.9999964813511261,0.9999964813511261,0.9999964813511261,0.9999964813511261,0.9999964813511261,0.9999964813511261,0.9999964813511261,0.9999964813511261,0.9999964813511261,0.9999964813511261,0.9999964813511261,0.9999964813511261,0.9999964813511261,0.9999964813511261,0.9446654423921274,0.8845390559874617,0.8229713520389941,0.7511209567789512,0.6777908008596273,0.5316242927852901,0.3747809107949215,0.21075068447724193,0.21075068447724193,0.21075068447724193,0.21075068447724193,0.21075068447724193
Tiangui,Guizhou,Guangxi,H-B,Zengshi,Other,Domestic,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tiangui,Henan,Guangxi,H-B,Zengshi,Other,Domestic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tiangui,Shanxi,Guangxi,H-B,Zengshi,Other,Domestic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tiangui,Other,Guangxi,H-B,Zengshi,Other,Domestic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beihai_GIG,Guangxi,Guangxi,L-B,GIG,Other,Imported,10.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beihai_GIG,Guizhou,Guangxi,L-B,GIG,Other,Imported,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beihai_GIG,Henan,Guangxi,L-B,GIG,Other,Imported,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beihai_GIG,Shanxi,Guangxi,L-B,GIG,Other,Imported,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beihai_GIG,Other,Guangxi,L-B,GIG,Other,Imported,10.0,0.483,32.2,,0.999999898989898,0.999999898989898,0.999999898989898,0.999999898989898,0.999999898989898,0.999999898989898,0.999999898989898,0.999999898989898,0.999999898989898,0.999999898989898,0.999999898989898,0.999999898989898,0.999999898989898,0.999999898989898,0.999999898989898,0.999999898989898,0.999999898989898,0.999999898989898,0.999999898989898,0.999999898989898,0.999999898989898,0.999999898989898,0.999999898989898,0.999999898989898,0.999999898989898,0.9990542237178351,0.9973650337930212
