refinery,province,Province,technology,ownership,owner,bauxite,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,Alumina Grade
Jinjiang Tiandong,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.508030063852474
Jinjiang Tiandong,Guizhou,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Jinjiang Tiandong,Henan,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Jinjiang Tiandong,Shanxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Jinjiang Tiandong,Other,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Xinfa Jingxi,Guangxi,Guangxi,H-B,Xinfa,Xinfa,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4946563153433224
Xinfa Jingxi,Guizhou,Guangxi,H-B,Xinfa,Xinfa,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Xinfa Jingxi,Henan,Guangxi,H-B,Xinfa,Xinfa,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Xinfa Jingxi,Shanxi,Guangxi,H-B,Xinfa,Xinfa,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Xinfa Jingxi,Other,Guangxi,H-B,Xinfa,Xinfa,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Fangcheng,Guangxi,Guangxi,L-B,Chalco,Chalco,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Fangcheng,Guizhou,Guangxi,L-B,Chalco,Chalco,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Fangcheng,Henan,Guangxi,L-B,Chalco,Chalco,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Fangcheng,Shanxi,Guangxi,L-B,Chalco,Chalco,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Fangcheng,Other,Guangxi,L-B,Chalco,Chalco,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5471054845025379
Tiangui,Guangxi,Guangxi,H-B,Zengshi,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5108557773356958
Tiangui,Guizhou,Guangxi,H-B,Zengshi,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Tiangui,Henan,Guangxi,H-B,Zengshi,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Tiangui,Shanxi,Guangxi,H-B,Zengshi,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Tiangui,Other,Guangxi,H-B,Zengshi,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Beihai_GIG,Guangxi,Guangxi,L-B,GIG,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Beihai_GIG,Guizhou,Guangxi,L-B,GIG,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
