Name,Province,year,estimated_reserves_consumed_per_year,cumulative_factored_up_production
Jingxin,Henan,2009,0.06878515234753582,0.3
Shenhuo,Henan,2009,0.11587322492769916,0.126917431
Wanji,Henan,2009,0.0398944022126512,1.36533945
Wanji import,Henan,2009,0.0,0.0
Weilai,Henan,2009,0.16285689472516968,0.32191743100000003
Yifeng Gongyi (Yulian Xinya),Henan,2009,0.04086820945819087,0.235376147
Yima Yixiang,Henan,2009,0.1417470820089347,1.041163
Zhongmei,Henan,2009,0.046378070566541606,0.807669725
Shaoxing,Henan,2009,0.8771909808311084,0.446917431
Zhongchao,Henan,2009,0.2969683785291137,0.160115229
Jialu Xianfeng,Hubei,2009,0.01021391789588108,0.08
Jinshi,Hubei,2009,0.0,0.0
Huixiang,Hunan,2009,0.05300904066491535,0.09
Xinwang L-B,Inner Mongolia,2009,0.0,0.0
Xinwang H-B,Inner Mongolia,2009,0.0,0.0
Datang Tuoketuo Fly Ash,Inner Mongolia,2009,0.0,0.0
Mengxi Fly Ash,Inner Mongolia,2009,0.0,0.0
Mengxi import,Inner Mongolia,2009,0.0,0.0
Qihui H-B,Inner Mongolia,2009,0.0,0.0
Qihui L-B,Inner Mongolia,2009,0.0,0.0
Jinjiang Lianyungang,Jiangsu,2009,0.0,0.0
Chalco Lianyungang,Jiangsu,2009,0.0,0.0
Chalco Shandong L-B,Shandong,2009,0.0027572063512515004,5.5
Chalco Shandong sinter,Shandong,2009,0.08604257525169526,1.35
Chalco Shandong sinter import,Shandong,2009,0.0,0.0
Chiping Xinfa L-B,Shandong,2009,0.006015722948185092,6.0
Chiping Xinfa H-B,Shandong,2009,0.00782043983264062,3.9000000000000004
Lubei,Shandong,2009,0.0012031445896370186,0.6000000000000001
Nanshan Donghai H-B,Shandong,2009,0.0,0.0
Nanshan Donghai L-B,Shandong,2009,0.0017245072451463931,0.86
Bochuang,Shandong,2009,0.0,0.0
Nanhan,Shandong,2009,0.0003208385572365382,0.16
Weiqiao - Binzhou L-B,Shandong,2009,0.005614674751639419,6.3
Weiqiao - Binzhou H-B,Shandong,2009,0.0,0.0
Weiqiao-Wudi-Zhanhua L-B,Shandong,2009,0.0,0.0
Weiqiao-Wudi-Zhanhua H-B,Shandong,2009,0.0,0.0
Aokaida,Shanxi,2009,0.0,0.0
Chalco Lvliang (Xing),Shanxi,2009,0.0,0.0
Chalco Shanxi,Shanxi,2009,0.18853868310042457,9.080000000000002
Chalco Shanxi import,Shanxi,2009,0.0,0.0
SPIC Shanxi,Shanxi,2009,0.048069213061884865,2.616905
SPIC Shanxi import,Shanxi,2009,0.0,0.0
Dongxu Tianyuan,Shanxi,2009,0.012395302191924504,0.192
Dongxu Tianyuan import,Shanxi,2009,0.0,0.0
East Hope Lingshi,Shanxi,2009,0.0,0.0
East Hope Lingshi Import,Shanxi,2009,0.0,0.0
Huaqing,Shanxi,2009,0.004689695815907822,0.03
Qiangjin Aluminium,Shanxi,2009,0.0,0.0
Senze,Shanxi,2009,0.0014497956074343951,0.02
Taixing,Shanxi,2009,0.004278963131937109,0.02
Wusheng,Shanxi,2009,0.045197510834285,0.29
Xinfa - Jiaokou,Shanxi,2009,0.006565483148031847,0.22
Xinfa - Xiaoyi,Shanxi,2009,0.0,0.0
Xingan Chemical,Shanxi,2009,0.004572785975137535,0.2
Xingan Chemical import,Shanxi,2009,0.0,0.0
Yangquan Zhaofeng,Shanxi,2009,0.013165965152783472,0.46399999999999997
Gangyuan Jiaohua,Shanxi,2009,0.0,0.0
Xinghua (Chalco Jiaokou),Shanxi,2009,0.0,0.0
Xinghua (Chalco Jiaokou) import,Shanxi,2009,0.0,0.0
Tiantong,Shanxi,2009,0.0,0.0
Fusheng,Shanxi,2009,0.0,0.0
YMG - Wenshan,Yunnan,2009,0.0,0.0
Guangxi - blending,Guangxi,2009,0.0,0.0
Guizhou - blending,Guizhou,2009,0.0,0.0
Henan - blending,Henan,2009,0.0,0.0
Shanxi - blending,Shanxi,2009,0.0,0.0
Other - blending,Other,2009,0.0,0.0
spare,spare,2009,0.0,0.0
spare,spare,2009,0.0,0.0
spare,spare,2009,0.0,0.0
spare,spare,2009,0.0,0.0
spare,spare,2009,0.0,0.0
spare,spare,2009,0.0,0.0
spare,spare,2009,0.0,0.0
