refinery,province,Province,technology,ownership,owner,bauxite,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,Alumina Grade
Chalco Pingguo ,Other,Guangxi,H-B,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Jinjiang Chongzuo domestic,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0952592315579932
Jinjiang Chongzuo domestic,Guizhou,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Jinjiang Chongzuo domestic,Henan,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Jinjiang Chongzuo domestic,Shanxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Jinjiang Chongzuo domestic,Other,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Jinjiang Chongzuo import,Guangxi,Guangxi,L-B,Jinjiang,Jinjiang,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Jinjiang Chongzuo import,Guizhou,Guangxi,L-B,Jinjiang,Jinjiang,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Jinjiang Chongzuo import,Henan,Guangxi,L-B,Jinjiang,Jinjiang,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Jinjiang Chongzuo import,Shanxi,Guangxi,L-B,Jinjiang,Jinjiang,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Jinjiang Chongzuo import,Other,Guangxi,L-B,Jinjiang,Jinjiang,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.050251580210290345
Huayin,Guangxi,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07998822609555756
Huayin,Guizhou,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Huayin,Henan,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Huayin,Shanxi,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Huayin,Other,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Jinjiang Tiandong,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07535159428944219
Jinjiang Tiandong,Guizhou,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Jinjiang Tiandong,Henan,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Jinjiang Tiandong,Shanxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Jinjiang Tiandong,Other,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Xinfa Jingxi,Guangxi,Guangxi,H-B,Xinfa,Xinfa,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11730875233017082
Xinfa Jingxi,Guizhou,Guangxi,H-B,Xinfa,Xinfa,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Xinfa Jingxi,Henan,Guangxi,H-B,Xinfa,Xinfa,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Xinfa Jingxi,Shanxi,Guangxi,H-B,Xinfa,Xinfa,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Xinfa Jingxi,Other,Guangxi,H-B,Xinfa,Xinfa,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Fangcheng,Guangxi,Guangxi,L-B,Chalco,Chalco,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Fangcheng,Guizhou,Guangxi,L-B,Chalco,Chalco,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Fangcheng,Henan,Guangxi,L-B,Chalco,Chalco,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Fangcheng,Shanxi,Guangxi,L-B,Chalco,Chalco,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Fangcheng,Other,Guangxi,L-B,Chalco,Chalco,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08140401516457257
Tiangui,Guangxi,Guangxi,H-B,Zengshi,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1018659947836707
Tiangui,Guizhou,Guangxi,H-B,Zengshi,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Tiangui,Henan,Guangxi,H-B,Zengshi,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Tiangui,Shanxi,Guangxi,H-B,Zengshi,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Tiangui,Other,Guangxi,H-B,Zengshi,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Beihai_GIG,Guangxi,Guangxi,L-B,GIG,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Beihai_GIG,Guizhou,Guangxi,L-B,GIG,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Beihai_GIG,Henan,Guangxi,L-B,GIG,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Beihai_GIG,Shanxi,Guangxi,L-B,GIG,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Beihai_GIG,Other,Guangxi,L-B,GIG,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012082460073261463
Baise Mining,Guangxi,Guangxi,H-B,Baise Mining,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Baise Mining,Guizhou,Guangxi,H-B,Baise Mining,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Baise Mining,Henan,Guangxi,H-B,Baise Mining,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Baise Mining,Shanxi,Guangxi,H-B,Baise Mining,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Baise Mining,Other,Guangxi,H-B,Baise Mining,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01285391894585427
Chalco Guizhou,Guangxi,Guizhou,Series & Sinter (95:25),Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Chalco Guizhou,Guizhou,Guizhou,Series & Sinter (95:25),Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12430419574429877
Chalco Guizhou,Henan,Guizhou,Series & Sinter (95:25),Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Chalco Guizhou,Shanxi,Guizhou,Series & Sinter (95:25),Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Chalco Guizhou,Other,Guizhou,Series & Sinter (95:25),Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Chalco Zunyi,Guangxi,Guizhou,H-B,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Chalco Zunyi,Guizhou,Guizhou,H-B,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13767506297004933
Chalco Zunyi,Henan,Guizhou,H-B,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Chalco Zunyi,Shanxi,Guizhou,H-B,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Chalco Zunyi,Other,Guizhou,H-B,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Xian,Guangxi,Guizhou,H-B,Zengshi Group,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Xian,Guizhou,Guizhou,H-B,Zengshi Group,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13295245716809845
Xian,Henan,Guizhou,H-B,Zengshi Group,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Xian,Shanxi,Guizhou,H-B,Zengshi Group,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
