,mine_status,creation_date_x,updation_date_x,Mine,creation_date_y,updation_date_y,County,creation_date_x,updation_date_x,Province,creation_date_y,updation_date_y,rsdatabase_id,index,tonnesproduced,gradeal2o3,asa,miningscale,mineautolevel,minetypeopenpit,minetypeunderground,depthopenpit,depthunderground,StrippingRatioOpenPit,strippingratiounderground,dressingautolevel,distanceopenpit,distanceunderground,localtaxandfees,distance,dressingratio,empty
43,Operational,,2020-08-22 21:52:46.720,County Total,,,Ruzhou,,,Henan,,,66,64,1067.012209,0.6,4,1,2,1,0,77.66867585,0,23.30060275,0,2,0,0,27.25,0,0,0
44,Operational,,2020-08-22 21:52:46.720,County Total,,,Sanmenxia,,,Henan,,,67,65,163.2607866,0.6,4,1,2,1,0,77.66867585,0,23.30060275,0,2,0,0,27.25,0,0,0
45,Operational,,2020-08-22 21:52:46.720,County Total,,,Xingyang,,,Henan,,,68,66,299.5121989,0.670087176,5.86587991,1,2,1,0,77.66867585,0,11.65030138,0,2,12,0,27.25,0,0,0
46,Operational,,2020-08-22 21:52:46.720,County Total,,,Yuzhou City,,,Henan,,,70,68,302.1211943,0.6,4,1,2,1,0,77.66867585,0,15.53373517,0,2,0,0,27.25,0,0,0
47,Operational,,2020-08-22 21:52:46.720,County Total,,,Yicheng,,,Henan,,,71,69,469.7705793,0.6,4,1,2,1,0,77.66867585,0,15.53373517,0,2,0,0,27.25,0,0,0
48,Operational,,2020-08-22 21:52:46.720,County Total,,,Chenxi,,,Henan,,,72,70,268.6256117,0.635274425,6.128702067,1,2,1,0,77.66867585,0,15.53373517,0,2,0,0,27.25,0,0,0
49,Operational,,2020-08-22 21:52:46.720,County Total,,,Baode,,,Henan,,,73,71,280.1305905,0.6468,5.7,1,2,1,0,77.66867585,0,15.53373517,0,2,15,0,27.25,0,0,0
50,Operational,,2020-08-22 21:52:46.720,County Total,,,Fenyang,,,Henan,,,76,74,833.593523,0.6672,4,1,2,1,0,77.66867585,0,15.74568894,0,2,10,0,27.25,0,0,0
51,Operational,,2020-08-22 21:52:46.720,County Total,,,Heshun,,,Henan,,,80,78,908.288303,0.64,5,1,2,1,0,90.67346586,0,9.067346586,0,2,10,0,27.25,0,0,0
52,Operational,,2020-08-22 21:52:46.720,County Total,,,Huairen,,,Hubei,,,81,79,421.0738222,0.643608944,5.25,1,1,0,1,0,156.0856057,0,1,1,0,20,30,0,0,0
53,Operational,,2020-08-22 21:52:46.720,County Total,,,Jiexiu,,,Henan,,,82,80,193.411105,0.6219,5,1,1,0,1,0,176.3664199,0,1,1,0,20,30,0,0,0
54,Operational,,2020-08-22 21:52:46.720,County Total,,,Jincheng,,,Shanxi,,,83,81,2939.539812,0.592433648,8.633615685,1,2,1,0,95.09178842,0,12.67890512,0,2,10,0,21,0,0,0
55,Operational,,2020-08-22 21:52:46.720,County Total,,,Lingshi,,,Shanxi,,,86,84,542.9092518,0.6458,6.132953466,1,2,1,0,95.09178842,0,12.67890512,0,2,0,0,21,0,0,0
56,Operational,,2020-08-22 21:52:46.720,County Total,,,Yu,,,Shanxi,,,89,87,197.1894378,0.6,4.8,1,2,1,0,80.09178842,0,21.35781024,0,2,0,0,21,0,0,0
57,Operational,,2020-08-22 21:52:46.720,County Total,,,Qinyuan,,,Shanxi,,,90,88,228.9082292,0.5595,3.78,1,2,1,0,80.09178842,0,21.35781024,0,2,0,0,21,0,0,0
58,Operational,,2020-08-22 21:52:46.720,County Total,,,Shenchi,,,Shanxi,,,92,90,738.6090984,0.651006461,5.453721254,1,2,1,0,95.09178842,0,12.67890512,0,2,10,0,21,0,0,0
59,Operational,,2020-08-22 21:52:46.720,County Total,,,Shuozhou,,,Shanxi,,,93,91,912.5662236,0.6,6.8,1,2,1,0,80.09178842,0,21.35781024,0,2,10,0,21,0,0,0
60,Operational,,2020-08-22 21:52:46.720,County Total,,,Xiyang,,,Shanxi,,,95,93,1331.810899,0.631,6.731056564,1,2,0,1,65.09178842,215.0917884,0,0.9,2,0,0,21,0,0,0
61,Operational,,2020-08-22 21:52:46.720,County Total,,,Yuanping,,,Shanxi,,,96,94,338.5833795,0.632531959,4.359845958,1,2,1,0,80.09178842,0,21.35781024,0,2,0,0,21,0,0,0
62,Operational,,2020-08-22 21:52:46.720,County Total,,,Yuanqu,,,Shanxi,,,97,95,3262.317373,0.660017595,6.77849563,1,2,0,1,0,175.0917884,0,1.9,2,0,20,21,0,0,0
63,Operational,,2020-08-22 21:52:46.720,County Total,,,Guangyuan,,,Shanxi,,,99,97,2489.302418,0.588805442,4.065729431,1,2,1,0,80.09178842,0,21.35781024,0,2,10,0,21,0,0,0
64,Operational,,2020-08-22 21:52:46.720,County Total,,,Qinjiang,,,Shanxi,,,102,100,707.1094392,0.596445692,4.142143723,1,2,1,0,80.09178842,0,21.35781024,0,2,0,0,21,0,0,0
65,Operational,,2020-08-22 21:52:46.720,County Total,,,Binyang,,,Shanxi,,,103,101,84.32780242,0.618686043,6.778804873,1,2,1,0,80.09178842,0,21.35781024,0,2,0,0,21,0,0,0
66,Operational,,2020-08-22 21:52:46.720,County Total,,,Donglan,,,Shanxi,,,104,102,164.9891787,0.6083,6.48,1,2,1,0,80.09178842,0,26.69726281,0,2,10,0,21,0,0,0
67,Operational,,2020-08-22 21:52:46.720,County Total,,,Heng,,,Shanxi,,,106,104,293.6646088,0.643263342,4.023525902,1,2,0.5,0.5,77.09178842,0,25.69726281,0,2,0,0,21,0,0,0
68,Operational,,2020-08-22 21:52:46.720,County Total,,,Laibin,,,Shanxi,,,109,107,992.2777967,0.622,4.23,1,2,1,0,77.09178842,0,25.69726281,0,2,0,0,21,0,0,0
69,Operational,,2020-08-22 21:52:46.720,County Total,,,Lingyun,,,Shanxi,,,110,108,1240.344864,0.581109133,4.554409418,1,2,1,0,80.09178842,0,26.69726281,0,2,5,0,21,0,0,0
70,Operational,,2020-08-22 21:52:46.720,County Total,,,Mashan,,,Shanxi,,,112,110,932.2685994,0.6,4.8,1,2,0.5,0.5,95.09178842,145.0917884,15.8486314,1,2,0,0,21,0,0,0
71,Operational,,2020-08-22 21:52:46.720,County Total,,,Ningming,,,Shanxi,,,113,111,385.0867949,0.657266838,6.047244753,1,2,1,0,85.09178842,0,21.2729471,0,2,0,0,21,0,0,0
72,Operational,,2020-08-22 21:52:46.720,Other,,,Jiaokou,,,Shanxi,,,91,89,3955.946384,0.646437306,5.546165406,1,2,1,0,85.09178842,0,19.99657028,0,2,10,0,21,0,0,0
73,Operational,,2020-08-22 21:52:46.720,Other,,,Pingguo,,,Guangxi,,2020-08-13 10:46:45.210,46,44,4153.759619,0.598735977,8.319559568,1,2,1,0,19.6753034,0,0,0,2,20,0,25,0,2,0
74,Operational,,2020-08-22 21:52:46.720,Other,,,Qingzhen,,,Yunnan,,,115,113,418.0761226,0.53,7,3,2,1,0,38.21640946,0,38.21640946,0,2,15,0,28,120,0,0
75,Operational,,2020-08-22 21:52:46.720,Other,,,Wuchuan,,,Guizhou,,,54,52,3722.479517,0.674634802,8.124162278,1,1,0.5,0.5,53.65787504,133.657875,5.365787504,2,1,5,5,30,0,0,0
76,Operational,,2020-08-22 21:52:46.720,Other,,,Long'an,,,Guangxi,,2020-08-13 10:46:45.210,40,38,860.9077054,0.513519647,7.242822811,3,2,1,0,22.6753034,0,0,0,2,15,0,25,0,2,0
77,Operational,,2020-08-22 21:52:46.720,Other,,,Napo,,,Guangxi,,2020-08-13 10:46:45.210,42,40,5176.327206,0.523968842,6.144343856,1,2,1,0,23.6753034,0,0,0,2,18,0,25,0,2,0
78,Operational,,2020-08-22 21:52:46.720,Other,,,Xinmi,,,Henan,,,77,75,1587.621865,0.675543519,6.796335196,1,2,1,0,77.66867585,0,15.53373517,0,2,15,0,27.25,0,0,0
79,Operational,,2020-08-22 21:52:46.720,Other,,,Yanshi,,,Henan,,,78,76,525.0270559,0.664825503,5.874020922,1,2,0.5,0.5,87.66867585,147.6686758,8.766867585,0.6,2,10,10,27.25,0,0,0
80,Operational,,2020-08-22 21:52:46.720,Other,,,Jiaxian,,,Guizhou,,,61,59,892.6061026,0.634403106,6.995697144,1,1,1,0,43.65787504,0,7.640128132,0,1,5,0,30,0,0,0
81,Operational,,2020-08-22 21:52:46.720,Other,,,Lushan,,,Henan,,,63,61,1519.362943,0.656,6.1,1,2,1,0,77.66867585,0,9.708584481,0,2,12,0,27.25,0,0,0
82,Operational,,2020-08-22 21:52:46.720,Other,,,Qinyang,,,Henan,,,64,62,3812.592238,0.648399783,4.750568373,1,2,1,0,97.66867585,0,9.766867585,0,2,12,0,27.25,0,0,0
83,Operational,,2020-08-22 21:52:46.720,Other,,,Fangshan,,,Henan,,,74,72,2790.953152,0.658606027,7.310645463,1,2,1,0,77.66867585,0,15.53373517,0,2,15,0,27.25,0,0,0
84,Operational,,2020-08-22 21:52:46.720,Other,,,Fenxi County,,,Henan,,,75,73,2948.187549,0.63724778,5.080999353,1,2,1,0,77.66867585,0,17.47545207,0,2,15,0,27.25,0,0,0
85,Operational,,2020-08-22 21:52:46.720,Other,,,Mianchi,,,Henan,,,69,67,6184.73251,0.671974704,7.11442601,1,2,1,0,77.66867585,0,15.53373517,0,2,15,0,27.25,0,0,0
86,Operational,,2020-08-22 21:52:46.720,Other,,,Liulin,,,Shanxi,,,87,85,451.2612295,0.6,4.8,1,2,1,0,105.0917884,0,12.34828514,0,2,5,0,21,0,0,0
87,Operational,,2020-08-22 21:52:46.720,Other,,,Xing,,,Shanxi,,,108,106,1830.818012,0.631827203,8.284987247,1,2,0,1,0,265.0917884,0,2,2,0,20,21,0,0,0
88,Operational,,2020-08-22 21:52:46.720,Other,,,Guigang,,,Shanxi,,,105,103,1250.656325,0.614905332,4.66057162,1,2,1,0,80.09178842,0,16.01835768,0,2,5,0,21,0,0,0
89,Operational,,2020-08-22 21:52:46.720,Other,,,Xiaoyi,,,Shanxi,,,107,105,9990.126266,0.649488736,5.34492074,2,2,1,0,95.09178842,0,13.31285038,0,2,5,0,21,0,0,0
90,Operational,,2020-08-22 21:52:46.720,Jiaocun Bx mine,,,Yanshi,,,Henan,,,5,3,318.4067544,0.665,5.5,2,3,0,1,0,147.6686758,0,0.5,3,0,20,27.25,70,0,0
91,Operational,,2020-08-22 21:52:46.720,Zhangyaoyuan Bx mine,,,Xin'an,,,Henan,,,6,4,454.866792,0.6879,7.3,2,3,1,0,77.66867585,0,9.708584481,0,3,20,0,27.25,150,0,0
92,Operational,,2020-08-22 21:52:46.720,Caoyao Bx mine,,,Mianchi,,,Henan,,,7,5,227.433396,0.664,7.1,2,2,1,0,87.66867585,0,11.68915678,0,2,20,0,27.25,50,0,0
93,Operational,,2020-08-22 21:52:46.720,Leigou Bx mine,,,Mianchi,,,Henan,,,8,6,0,0.6835,7.3,3,3,0,1,0,157.6686758,0,1.2,3,0,20,27.25,150,0,0
94,Operational,,2020-08-22 21:52:46.720,Zhijian Bx mine,,,Shaan,,,Henan,,,9,7,227.433396,0.6884,10,3,2,0,1,0,200,0,1.4,3,0,20,27.25,20,0,0
95,Operational,,2020-08-22 21:52:46.720,Weijiatan Bx mine,,,Xing,,,Shanxi,,,10,8,360.6108422,0.5113,6.19,2,3,1,0,70.09178842,0,28.03671537,0,3,10,0,21,20,0,0
96,Undeveloped or Shutdown,,2020-08-11 21:34:22.083,Ducun Bx mine,,,Xiaoyi,,,Shanxi,,,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
