cmaaxdata2_id,date,wacif,usdrmb,australia,wacifrmb,creation_date,updation_date
131,13-07-2011,486.209,6.4728,-,3147.14,,
132,14-07-2011,484.471,6.464,-,3131.62,,
133,15-07-2011,484.466,6.4665,-,3132.8,,
134,18-07-2011,484.464,6.468,-,3133.51,,
135,19-07-2011,484.463,6.4684,-,3133.7,,
136,20-07-2011,484.463,6.4684,-,3133.7,,
137,21-07-2011,484.491,6.4536,-,3126.71,,
138,22-07-2011,484.499,6.4495,-,3124.78,,
139,25-07-2011,490.933,6.4503,-,3166.66,,
140,26-07-2011,489.769,6.447,-,3157.54,,
141,27-07-2011,484.512,6.4426,-,3121.52,,
142,28-07-2011,485.68,6.4438,-,3129.63,,
143,29-07-2011,484.509,6.4442,-,3122.27,,
144,01-08-2011,484.518,6.4399,-,3120.24,,
145,02-08-2011,485.099,6.4419,-,3124.96,,
146,03-08-2011,485.094,6.4441,-,3126,,
147,04-08-2011,480.425,6.4386,-,3093.26,,
148,05-08-2011,477.488,6.4451,-,3077.45,,
149,08-08-2011,477.516,6.4305,-,3070.66,,
150,09-08-2011,477.51,6.4335,-,3072.06,,
151,10-08-2011,477.542,6.4167,-,3064.25,,
152,11-08-2011,476.407,6.3991,-,3048.57,,
153,12-08-2011,474.655,6.3972,-,3036.47,,
154,15-08-2011,474.66,6.395,-,3035.45,,
155,16-08-2011,474.665,6.3925,-,3034.29,,
156,17-08-2011,472.896,6.3996,-,3026.34,,
157,18-08-2011,471.151,6.3942,-,3012.64,,
158,19-08-2011,471.134,6.4032,-,3016.76,,
159,22-08-2011,471.141,6.3997,-,3015.16,,
160,23-08-2011,471.143,6.3987,-,3014.7,,
161,24-08-2011,471.16,6.3896,-,3010.53,,
162,25-08-2011,469.99,6.3896,-,3003.05,,
163,26-08-2011,469.98,6.395,-,3005.52,,
164,30-08-2011,470,6.3849,-,3000.9,,
165,31-08-2011,468.826,6.3867,-,2994.25,,
166,01-09-2011,468.826,6.3867,-,2994.25,,
167,02-09-2011,468.82,6.3896,-,2995.57,,
168,05-09-2011,468.814,6.3926,-,2996.94,,
169,06-09-2011,468.811,6.3946,-,2997.86,,
170,07-09-2011,472.316,6.3968,-,3021.31,,
171,08-09-2011,472.316,6.3968,-,3021.31,,
172,09-09-2011,472.325,6.3922,-,3019.2,,
173,13-09-2011,472.314,6.3982,-,3021.96,,
174,14-09-2011,472.321,6.3945,-,3020.26,,
175,15-09-2011,472.321,6.3945,-,3020.26,,
176,16-09-2011,473.52,6.3797,-,3020.91,,
177,19-09-2011,473.51,6.3848,-,3023.27,,
178,20-09-2011,473.519,6.38,-,3021.05,,
179,21-09-2011,473.525,6.3772,-,3019.76,,
180,22-09-2011,473.518,6.3808,-,3021.42,,
181,23-09-2011,470.001,6.384,-,3000.49,,
182,26-09-2011,470.022,6.3735,-,2995.69,,
183,27-09-2011,466.507,6.376,-,2974.45,,
184,28-09-2011,466.534,6.3623,-,2968.23,,
185,29-09-2011,465.356,6.3665,-,2962.69,,
186,30-09-2011,465.379,6.3549,-,2957.44,,
187,10-10-2011,468.881,6.3586,-,2981.43,,
188,11-10-2011,466.562,6.3483,-,2961.87,,
189,12-10-2011,464.199,6.3598,-,2952.21,,
190,13-10-2011,463.002,6.3737,-,2951.03,,
191,14-10-2011,460.657,6.3762,-,2937.24,,
192,17-10-2011,460.667,6.371,-,2934.91,,
193,18-10-2011,459.489,6.3749,-,2929.2,,
194,19-10-2011,457.154,6.3727,-,2913.3,,
195,20-10-2011,453.658,6.3652,-,2887.63,,
196,21-10-2011,446.643,6.3628,-,2841.9,,
197,24-10-2011,446.659,6.3549,-,2838.47,,
198,25-10-2011,446.659,6.3549,-,2838.47,,
199,26-10-2011,446.683,6.3425,-,2833.09,,
200,27-10-2011,446.673,6.3477,-,2835.35,,
201,28-10-2011,446.71,6.329,-,2827.23,,
202,31-10-2011,446.722,6.3233,-,2824.75,,
203,01-11-2011,447.12,6.3293,-,2829.95,,
204,02-11-2011,445.949,6.3297,-,2822.72,,
205,03-11-2011,443.631,6.3198,-,2803.66,,
206,04-11-2011,443.638,6.3165,-,2802.24,,
207,07-11-2011,443.628,6.3212,-,2804.26,,
208,08-11-2011,443.62,6.3247,-,2805.76,,
209,09-11-2011,442.459,6.3207,-,2796.65,,
210,10-11-2011,441.261,6.3329,-,2794.46,,
211,11-11-2011,437.754,6.3317,-,2771.73,,
212,14-11-2011,433.078,6.3301,-,2741.43,,
213,15-11-2011,433.048,6.3436,-,2747.08,,
214,16-11-2011,433.031,6.3509,-,2750.14,,
215,17-11-2011,431.851,6.3553,-,2744.55,,
216,18-11-2011,430.683,6.3548,-,2736.9,,
217,21-11-2011,429.518,6.3522,-,2728.39,,
218,22-11-2011,428.341,6.3555,-,2722.32,,
219,23-11-2011,427.184,6.3498,-,2712.53,,
220,24-11-2011,427.168,6.357,-,2715.5,,
221,25-11-2011,424.246,6.3554,-,2696.25,,
222,28-11-2011,420.144,6.3585,-,2671.49,,
223,29-11-2011,416.634,6.3587,-,2649.25,,
224,30-11-2011,414.317,6.3482,-,2630.17,,
225,01-12-2011,413.176,6.3353,-,2617.59,,
226,02-12-2011,413.186,6.331,-,2615.88,,
227,05-12-2011,413.177,6.3349,-,2617.44,,
228,06-12-2011,413.18,6.3334,-,2616.84,,
229,07-12-2011,412.01,6.3334,-,2609.43,,
230,08-12-2011,412.014,6.3319,-,2608.83,,
231,09-12-2011,408.496,6.3352,-,2587.91,,
232,12-12-2011,407.339,6.3297,-,2578.33,,
233,13-12-2011,409.665,6.3359,-,2595.6,,
234,14-12-2011,409.656,6.3396,-,2597.06,,
235,15-12-2011,404.973,6.3412,-,2568.01,,
236,16-12-2011,402.646,6.3352,-,2550.85,,
237,19-12-2011,402.657,6.3303,-,2548.94,,
238,20-12-2011,401.477,6.3351,-,2543.39,,
239,21-12-2011,401.5,6.3248,-,2539.41,,
240,22-12-2011,401.499,6.3253,-,2539.6,,
241,23-12-2011,401.508,6.3209,-,2537.89,,
242,26-12-2011,401.518,6.3167,-,2536.27,,
243,27-12-2011,401.521,6.3152,-,2535.69,,
244,28-12-2011,401.523,6.3146,-,2535.46,,
245,29-12-2011,401.52,6.3157,-,2535.88,,
246,30-12-2011,401.554,6.3009,-,2530.15,,
247,04-01-2012,398.045,6.3001,-,2507.73,,
248,05-01-2012,398.02,6.3115,-,2512.1,,
249,06-01-2012,398.008,6.3166,-,2514.06,,
250,09-01-2012,400.33,6.3247,-,2531.96,,
251,10-01-2012,401.516,6.31765,-,2536.64,,
252,11-01-2012,403.861,6.31513,-,2550.44,,
253,12-01-2012,403.845,6.32262,-,2553.36,,
254,13-01-2012,408.529,6.32075,-,2582.21,,
255,16-01-2012,408.504,6.33171,-,2586.53,,
256,17-01-2012,408.517,6.32606,-,2584.3,,
257,18-01-2012,408.527,6.3216,-,2582.55,,
258,19-01-2012,409.704,6.3184,-,2588.68,,
259,20-01-2012,409.712,6.3149,-,2587.29,,
260,30-01-2012,415.582,6.30592,-,2620.63,,
261,31-01-2012,415.568,6.31225,-,2623.17,,
262,01-02-2012,416.741,6.31104,-,2630.07,,
263,02-02-2012,416.748,6.3076,-,2628.68,,
264,03-02-2012,416.742,6.31054,-,2629.87,,
265,06-02-2012,416.739,6.31189,-,2630.41,,
266,07-02-2012,416.739,6.31172,-,2630.34,,
267,08-02-2012,416.759,6.30278,-,2626.74,,
268,09-02-2012,416.762,6.30168,-,2626.3,,
269,10-02-2012,413.854,6.29434,-,2604.94,,
270,13-02-2012,413.857,6.29289,-,2604.35,,
271,14-02-2012,410.928,6.2945,-,2586.59,,
272,15-02-2012,412.095,6.2958,-,2594.47,,
273,16-02-2012,412.088,6.2991,-,2595.78,,
274,17-02-2012,415.607,6.2951,-,2616.29,,
275,20-02-2012,415.61,6.2938,-,2615.76,,
276,21-02-2012,415.605,6.296,-,2616.65,,
277,22-02-2012,415.598,6.2988,-,2617.77,,
278,23-02-2012,415.589,6.3031,-,2619.5,,
279,24-02-2012,415.604,6.2965,-,2616.85,,
280,27-02-2012,415.599,6.2985,-,2617.65,,
281,28-02-2012,415.605,6.2961,-,2616.69,,
282,29-02-2012,415.614,6.2919,-,2615,,
283,01-03-2012,420.689,6.3016,-,2651.01,,
284,02-03-2012,424.208,6.298,-,2671.66,,
285,05-03-2012,426.513,6.3121,-,2692.19,,
286,06-03-2012,426.508,6.3141,-,2693.01,,
287,07-03-2012,424.15,6.3213,-,2681.18,,
288,08-03-2012,420.634,6.3235,-,2659.88,,
289,09-03-2012,420.675,6.3073,-,2653.32,,
290,12-03-2012,419.452,6.3282,-,2654.38,,
291,13-03-2012,419.458,6.3259,-,2653.45,,
292,14-03-2012,419.441,6.3328,-,2656.23,,
293,15-03-2012,418.263,6.3359,-,2650.07,,
294,16-03-2012,418.303,6.32,-,2643.67,,
295,19-03-2012,418.332,6.3082,-,2638.92,,
296,20-03-2012,418.346,6.3029,-,2636.79,,
297,21-03-2012,420.67,6.3092,-,2654.09,,
298,22-03-2012,420.692,6.3004,-,2650.53,,
299,23-03-2012,420.721,6.2891,-,2645.95,,
300,26-03-2012,417.219,6.2858,-,2622.55,,
301,27-03-2012,418.978,6.284,-,2632.86,,
302,28-03-2012,418.96,6.2912,-,2635.76,,
303,29-03-2012,418.955,6.2932,-,2636.57,,
304,30-03-2012,420.707,6.2943,-,2648.06,,
305,05-04-2012,419.514,6.3035,-,2644.41,,
306,06-04-2012,419.505,6.3072,-,2645.9,,
307,09-04-2012,419.518,6.3021,-,2643.84,,
308,10-04-2012,419.511,6.3048,-,2644.93,,
309,11-04-2012,419.518,6.3018,-,2643.72,,
310,12-04-2012,419.527,6.2984,-,2642.35,,
311,13-04-2012,419.554,6.2879,-,2638.11,,
312,16-04-2012,419.533,6.296,-,2641.38,,
313,17-04-2012,419.549,6.2896,-,2638.8,,
314,18-04-2012,419.536,6.2948,-,2640.9,,
315,19-04-2012,420.692,6.3004,-,2650.53,,
316,20-04-2012,420.682,6.3042,-,2652.07,,
317,23-04-2012,420.701,6.297,-,2649.15,,
318,24-04-2012,420.692,6.3003,-,2650.49,,
319,25-04-2012,420.712,6.2923,-,2647.25,,
320,26-04-2012,420.736,6.2829,-,2643.44,,
321,27-04-2012,420.747,6.2787,-,2641.74,,
322,02-05-2012,419.607,6.267,-,2629.67,,
323,03-05-2012,419.6,6.2697,-,2630.76,,
324,04-05-2012,420.764,6.2721,-,2639.07,,
325,07-05-2012,420.729,6.2858,-,2644.62,,
326,08-05-2012,420.743,6.2804,-,2642.43,,
327,09-05-2012,420.727,6.2865,-,2644.9,,
328,10-05-2012,420.708,6.2941,-,2647.98,,
329,11-05-2012,420.705,6.2952,-,2648.42,,
330,14-05-2012,420.683,6.304,-,2651.99,,
331,15-05-2012,418.91,6.311,-,2643.74,,
332,16-05-2012,418.887,6.3205,-,2647.57,,
333,17-05-2012,418.88,6.3233,-,2648.7,,
334,18-05-2012,418.886,6.3209,-,2647.73,,
335,21-05-2012,418.909,6.3116,-,2643.99,,
336,22-05-2012,423.014,6.3077,-,2668.24,,
337,23-05-2012,422.981,6.3208,-,2673.58,,
338,24-05-2012,422.971,6.3247,-,2675.16,,
339,25-05-2012,422.968,6.326,-,2675.69,,
340,28-05-2012,422.974,6.3236,-,2674.72,,
341,29-05-2012,419.457,6.3262,-,2653.57,,
342,30-05-2012,419.449,6.3297,-,2654.98,,
343,31-05-2012,419.434,6.3355,-,2657.32,,
344,01-06-2012,418.276,6.3308,-,2648.02,,
345,04-06-2012,418.284,6.3276,-,2646.73,,
346,05-06-2012,418.297,6.3225,-,2644.68,,
347,06-06-2012,418.288,6.3261,-,2646.13,,
348,07-06-2012,418.31,6.317,-,2642.47,,
349,08-06-2012,418.306,6.3188,-,2643.19,,
350,11-06-2012,415.971,6.3169,-,2627.64,,
351,12-06-2012,415.94,6.3292,-,2632.57,,
352,13-06-2012,414.19,6.3271,-,2620.62,,
353,14-06-2012,412.455,6.3191,-,2606.34,,
354,15-06-2012,411.311,6.3089,-,2594.92,,
355,18-06-2012,411.332,6.3005,-,2591.6,,
356,19-06-2012,411.329,6.3016,-,2592.03,,
357,20-06-2012,411.332,6.3004,-,2591.56,,
358,21-06-2012,411.323,6.304,-,2592.98,,
359,25-06-2012,411.275,6.323,-,2600.49,,
360,26-06-2012,405.43,6.3211,-,2562.76,,
361,27-06-2012,400.175,6.3173,-,2528.02,,
362,28-06-2012,400.17,6.319,-,2528.68,,
363,29-06-2012,400.156,6.3249,-,2530.94,,
364,02-07-2012,401.936,6.3146,-,2538.07,,
365,03-07-2012,401.928,6.3178,-,2539.3,,
366,04-07-2012,401.943,6.3121,-,2537.1,,
367,05-07-2012,401.925,6.3193,-,2539.88,,
368,06-07-2012,403.081,6.3249,-,2549.44,,
369,09-07-2012,403.081,6.3249,-,2549.44,,
370,10-07-2012,406.604,6.3195,-,2569.53,,
371,11-07-2012,406.601,6.3209,-,2570.08,,
372,12-07-2012,406.599,6.3215,-,2570.32,,
373,13-07-2012,406.591,6.3247,-,2571.57,,
374,16-07-2012,407.771,6.3208,-,2577.44,,
375,17-07-2012,407.781,6.3167,-,2575.83,,
376,18-07-2012,407.788,6.314,-,2574.77,,
377,19-07-2012,406.621,6.3126,-,2566.84,,
378,20-07-2012,406.625,6.3112,-,2566.29,,
379,23-07-2012,405.415,6.327,-,2565.06,,
380,24-07-2012,405.398,6.3339,-,2567.75,,
381,25-07-2012,408.886,6.3429,-,2593.52,,
382,26-07-2012,408.898,6.3381,-,2591.63,,
383,27-07-2012,410.667,6.3325,-,2600.55,,
384,30-07-2012,410.672,6.3303,-,2599.68,,
385,31-07-2012,410.668,6.332,-,2600.35,,
386,01-08-2012,409.502,6.3305,-,2592.35,,
387,02-08-2012,412.405,6.3392,-,2614.32,,
388,03-08-2012,412.983,6.3421,-,2619.18,,
389,06-08-2012,413,6.3353,-,2616.48,,
390,07-08-2012,413.005,6.3332,-,2615.64,,
391,08-08-2012,412.993,6.3378,-,2617.47,,
392,09-08-2012,412.991,6.3387,-,2617.83,,
393,10-08-2012,412.976,6.3447,-,2620.21,,
394,13-08-2012,412.974,6.3456,-,2620.57,,
395,14-08-2012,412.977,6.3443,-,2620.05,,
396,15-08-2012,412.967,6.3482,-,2621.6,,
397,16-08-2012,412.964,6.3495,-,2622.12,,
398,17-08-2012,412.976,6.3449,-,2620.29,,
399,20-08-2012,417.063,6.3478,-,2647.44,,
400,21-08-2012,417.078,6.3418,-,2645.03,,
401,22-08-2012,417.096,6.3348,-,2642.22,,
402,23-08-2012,417.104,6.3316,-,2640.93,,
403,24-08-2012,417.107,6.3305,-,2640.49,,
404,27-08-2012,417.085,6.3392,-,2643.98,,
405,28-08-2012,417.08,6.3411,-,2644.75,,
406,29-08-2012,417.085,6.3391,-,2643.94,,
407,30-08-2012,417.074,6.3435,-,2645.71,,
408,31-08-2012,417.071,6.3449,-,2646.27,,
409,03-09-2012,417.079,6.3415,-,2644.91,,
410,04-09-2012,415.327,6.3402,-,2633.26,,
411,05-09-2012,415.313,6.346,-,2635.58,,
412,06-09-2012,415.318,6.3439,-,2634.74,,
413,07-09-2012,414.74,6.3412,-,2629.95,,
414,10-09-2012,414.749,6.3375,-,2628.47,,
415,11-09-2012,414.745,6.3391,-,2629.11,,
416,12-09-2012,414.754,6.3355,-,2627.67,,
417,13-09-2012,414.758,6.3338,-,2627,,
418,14-09-2012,414.764,6.3317,-,2626.16,,
419,17-09-2012,414.778,6.3259,-,2623.84,,
420,18-09-2012,418.265,6.3353,-,2649.83,,
421,19-09-2012,418.255,6.3392,-,2651.4,,
422,20-09-2012,418.258,6.338,-,2650.92,,
423,21-09-2012,424.096,6.3426,-,2689.87,,
424,24-09-2012,424.1,6.3411,-,2689.26,,
425,25-09-2012,424.095,6.343,-,2690.04,,
426,26-09-2012,424.092,6.3443,-,2690.57,,
427,27-09-2012,424.088,6.3459,-,2691.22,,
428,28-09-2012,424.1,6.341,-,2689.22,,
429,08-10-2012,426.436,6.3426,-,2704.72,,
430,09-10-2012,426.433,6.3441,-,2705.33,,
431,10-10-2012,426.431,6.3449,-,2705.66,,
432,11-10-2012,426.445,6.3391,-,2703.28,,
433,12-10-2012,422.967,6.3264,-,2675.86,,
434,15-10-2012,424.175,6.3112,-,2677.05,,
435,16-10-2012,424.176,6.3106,-,2676.81,,
436,17-10-2012,421.856,6.3028,-,2658.87,,
437,18-10-2012,420.688,6.3021,-,2651.22,,
438,19-10-2012,420.68,6.3052,-,2652.47,,
439,22-10-2012,423.6,6.3071,-,2671.69,,
440,23-10-2012,423.598,6.3078,-,2671.97,,
441,24-10-2012,423.598,6.3081,-,2672.1,,
442,25-10-2012,423.606,6.3047,-,2670.71,,
443,26-10-2012,423.615,6.301,-,2669.2,,
444,29-10-2012,423.62,6.2992,-,2668.47,,
445,30-10-2012,423.611,6.3028,-,2669.94,,
446,31-10-2012,423.618,6.3002,-,2668.88,,
447,01-11-2012,423.614,6.3017,-,2669.49,,
448,02-11-2012,423.607,6.3045,-,2670.63,,
449,05-11-2012,423.597,6.3082,-,2672.14,,
450,06-11-2012,423.598,6.3078,-,2671.97,,
451,07-11-2012,423.601,6.3067,-,2671.53,,
452,08-11-2012,423.603,6.306,-,2671.24,,
453,09-11-2012,423.615,6.3012,-,2669.28,,
454,12-11-2012,423.638,6.292,-,2665.53,,
455,13-11-2012,423.646,6.2891,-,2664.35,,
456,14-11-2012,423.648,6.2881,-,2663.94,,
457,15-11-2012,423.642,6.2905,-,2664.92,,
458,16-11-2012,423.632,6.2945,-,2666.55,,
459,19-11-2012,425.964,6.2975,-,2682.51,,
460,20-11-2012,425.977,6.2926,-,2680.5,,
461,21-11-2012,427.736,6.2908,-,2690.8,,
462,22-11-2012,427.734,6.2918,-,2691.21,,
463,23-11-2012,427.737,6.2905,-,2690.68,,
464,26-11-2012,427.742,6.2884,-,2689.81,,
465,27-11-2012,427.75,6.2852,-,2688.5,,
466,28-11-2012,427.738,6.2902,-,2690.56,,
467,29-11-2012,427.736,6.291,-,2690.89,,
468,30-11-2012,427.74,6.2892,-,2690.14,,
469,03-12-2012,427.736,6.2908,-,2690.8,,
470,04-12-2012,427.742,6.2885,-,2689.86,,
471,05-12-2012,427.746,6.2871,-,2689.28,,
472,06-12-2012,427.735,6.2911,-,2690.93,,
473,07-12-2012,427.731,6.293,-,2691.71,,
474,10-12-2012,426.563,6.2922,-,2684.02,,
475,11-12-2012,426.567,6.2906,-,2683.36,,
476,12-12-2012,426.567,6.2906,-,2683.36,,
477,13-12-2012,426.572,6.2887,-,2682.58,,
478,14-12-2012,426.562,6.2923,-,2684.06,,
479,17-12-2012,427.74,6.2892,-,2690.14,,
480,18-12-2012,432.423,6.288,-,2719.08,,
481,19-12-2012,432.427,6.2865,-,2718.45,,
482,20-12-2012,432.424,6.2877,-,2718.95,,
483,21-12-2012,431.271,6.2811,-,2708.85,,
484,24-12-2012,431.245,6.2913,-,2713.09,,
485,25-12-2012,431.24,6.2931,-,2713.84,,
486,26-12-2012,431.24,6.2931,-,2713.84,,
487,27-12-2012,431.236,6.2949,-,2714.59,,
488,28-12-2012,431.236,6.2949,-,2714.59,,
489,31-12-2012,431.26,6.2855,-,2710.68,,
490,04-01-2013,431.249,6.2897,-,2712.43,,
491,05-01-2013,431.249,6.2897,-,2712.43,,
492,06-01-2013,431.249,6.2897,-,2712.43,,
493,07-01-2013,431.255,6.2872,-,2711.39,,
494,08-01-2013,429.518,6.2804,-,2697.54,,
495,09-01-2013,429.515,6.2814,-,2697.96,,
496,10-01-2013,429.52,6.2793,-,2697.09,,
497,11-01-2013,433.636,6.2712,-,2719.42,,
498,14-01-2013,433.64,6.2695,-,2718.71,,
499,15-01-2013,433.641,6.2691,-,2718.54,,
500,16-01-2013,433.628,6.2745,-,2720.8,,
501,17-01-2013,433.622,6.2767,-,2721.71,,
502,18-01-2013,433.626,6.2752,-,2721.09,,
503,21-01-2013,434.786,6.279,-,2730.02,,
504,22-01-2013,434.785,6.2796,-,2730.27,,
505,23-01-2013,434.793,6.2762,-,2728.85,,
506,24-01-2013,437.133,6.2762,-,2743.54,,
507,25-01-2013,437.122,6.2805,-,2745.35,,
508,28-01-2013,437.119,6.2818,-,2745.89,,
509,29-01-2013,437.111,6.2851,-,2747.28,,
510,30-01-2013,437.122,6.2806,-,2745.39,,
511,31-01-2013,437.125,6.2795,-,2744.93,,
512,01-02-2013,438.289,6.2819,-,2753.29,,
513,04-02-2013,445.883,6.286,-,2802.82,,
514,05-02-2013,445.886,6.285,-,2802.39,,
515,06-02-2013,445.878,6.2881,-,2803.73,,
516,07-02-2013,445.874,6.2898,-,2804.46,,
517,08-02-2013,445.9,6.2793,-,2799.94,,
