week,"indonesia,panamax","indonesia,capesize","australia,panamax","india,supramax","india,panamax","india,capesize","malaysia,superamax","malaysia,panamax","guinea,capesize","brazil,capesize",weekbeforecbx,creation_date,updation_date
41222,7.90256,7.74603,10.1809,0,0,0,0,0,0,0,0,,
41229,7.91608,7.93593,10.1891,0,0,0,0,0,0,0,0,,
41236,8.22076,7.81349,10.5795,0,0,0,0,0,0,0,0,,
41243,8.38058,7.50402,10.7645,0,0,0,0,0,0,0,0,,
41250,7.85857,6.70228,10.1225,0,0,0,0,0,0,0,0,,
41257,7.38867,5.88197,9.53541,0,0,0,0,0,0,0,0,,
41264,6.92959,5.73867,8.98532,0,0,0,0,0,0,0,0,,
41271,6.76358,5.51954,8.79085,0,0,0,0,0,0,0,0,,
41278,6.53748,5.40812,8.50819,0,0,0,0,0,0,0,0,,
41285,6.67702,5.67379,8.7033,0,0,0,0,0,0,0,0,,
41292,6.84195,5.66363,8.90292,0,0,0,0,0,0,0,0,,
41299,6.71134,5.79917,8.74213,0,0,0,0,0,0,0,0,,
41306,6.73288,5.68576,8.78125,0,0,0,0,0,0,0,0,,
41313,6.94152,5.73229,9.063,0,0,0,0,0,0,0,0,,
41320,7.70651,5.72626,10.0011,0,0,0,0,0,0,0,0,,
41327,8.20056,5.63117,10.6078,0,0,0,0,0,0,0,0,,
41334,8.60254,5.31736,11.0758,0,0,0,0,0,0,0,0,,
41341,8.99919,5.25573,11.5553,0,0,0,0,0,0,0,0,,
41348,9.05192,5.44858,11.6204,0,0,0,0,0,0,0,0,,
41355,9.04966,5.42339,11.6073,0,0,0,0,0,0,0,0,,
41362,9.11797,5.35373,11.6846,0,0,0,0,0,0,0,0,,
41369,9.00707,5.33058,11.5621,0,0,0,0,0,0,0,0,,
41376,8.74849,5.20359,11.2255,0,0,0,0,0,0,0,0,,
41383,8.66482,5.33622,11.1056,0,0,0,0,0,0,0,0,,
41390,8.46325,5.46354,10.8849,0,0,0,0,0,0,0,0,,
41397,8.16402,5.67262,10.5035,0,0,0,0,0,0,0,0,,
41404,8.00873,5.90118,10.3267,0,0,0,0,0,0,0,0,,
41411,7.87145,5.74931,10.1561,0,0,0,0,0,0,0,0,,
41418,7.32075,5.66806,9.48736,0,0,0,0,0,0,0,0,,
41425,7.1526,5.69439,9.28956,0,0,0,0,0,0,0,0,,
41432,6.89496,5.76576,8.97244,0,0,0,0,0,0,0,0,,
41439,7.07598,5.92117,9.21081,0,0,0,0,0,0,0,0,,
41446,7.50637,6.52643,9.75072,0,0,0,0,0,0,0,0,,
41453,7.34939,6.86237,9.54941,0,0,0,0,0,0,0,0,,
41460,7.46962,7.01548,9.68987,0,0,0,0,0,0,0,0,,
41467,7.52625,6.77703,9.77019,0,0,0,0,0,0,0,0,,
41474,7.91986,6.84917,10.2539,0,0,0,0,0,0,0,0,,
41481,7.89264,6.74239,10.2212,0,0,0,0,0,0,0,0,,
41488,7.62948,6.75297,9.9002,0,0,0,0,0,0,0,0,,
41495,7.44291,7.17132,9.68067,0,0,0,0,0,0,0,0,,
41502,7.49637,7.20853,9.73866,0,0,0,0,0,0,0,0,,
41509,7.7127,7.86611,10.0086,0,0,0,0,0,0,0,0,,
41516,7.8988,8.2179,10.2474,0,0,0,0,0,0,0,0,,
41523,8.07223,8.45658,10.459,0,0,0,0,0,0,0,0,,
41530,9.37958,10.3766,12.033,0,0,0,0,0,0,0,0,,
41537,10.1386,10.9353,12.9553,0,0,0,0,0,0,0,0,,
41544,10.1374,10.9341,12.9481,0,0,0,0,0,0,0,0,,
41551,10.1374,10.9341,12.9481,0,0,0,0,0,0,0,0,,
41558,11.1951,11.7946,14.2554,0,0,0,0,0,0,0,0,,
41565,11.5167,11.1626,14.6467,0,0,0,0,0,0,0,0,,
41572,10.77,9.09,13.72,0,0,0,0,0,0,0,0,,
41579,9.93,7.25,12.71,0,0,0,0,0,0,0,0,,
41586,9.55,7.98,12.24,0,0,0,0,0,0,0,0,,
41593,9.48,8.2,11.87,0,0,0,0,0,0,0,0,,
41600,9.17,8.21,11.49,0,0,0,0,0,0,0,0,,
41607,9.55,8.84,11.97,0,0,0,0,0,0,0,0,,
41614,10.29,11.56,12.88,0,0,0,0,0,0,0,0,,
41621,10.78,13.27,13.48,0,0,0,0,0,0,0,0,,
41628,10.34,11.18,12.96,0,0,0,0,0,0,0,0,,
41635,10.02,11.28,12.57,0,0,0,0,0,0,0,0,,
41642,9.91,10.04,12.44,0,0,0,0,0,0,0,0,,
41649,9.51,7.33,11.94,0,0,0,0,0,0,0,0,,
41656,9.18,6.2,11.53,0,0,0,0,0,0,0,0,,
41663,9.12,6.69,11.47,0,0,0,0,0,0,0,0,,
41670,8.75,6.03,11.04,0,0,0,0,0,0,0,0,,
41677,8.74,6.05,11.01,0,0,0,0,0,0,0,0,,
41684,9.23,6.35,11.6,0,0,0,0,0,0,0,0,,
41691,9.97,7.14,12.5,0,0,0,0,0,0,0,0,,
41698,9.97,7.66,12.5,0,0,0,0,0,0,0,0,,
41705,9.63,8.84,12.08,0,0,0,0,0,0,0,0,,
41712,9.63,9.21,12.07,0,0,0,0,0,0,0,0,,
41719,9.68,9.5,12.13,0,0,0,0,0,0,0,0,,
41726,9.56,9.38,11.98,0,0,0,0,0,0,0,0,,
41733,8.97,8.59,11.25,0,0,0,0,0,0,0,0,,
41740,8.49,7.58,10.65,0,0,0,0,0,0,0,0,,
41747,8.28,6.77,10.4,0,0,0,0,0,0,0,0,,
41754,8.24,6.75,10.35,0,0,0,0,0,0,0,0,,
41761,8.26,6.61,10.2,0,0,0,0,0,0,0,0,,
41768,8.1,6.92,9.99,0,0,0,0,0,0,0,0,,
41775,8.21,6.77,10.13,0,0,0,0,0,0,0,0,,
41782,8.34,6.74,10.29,0,0,0,0,0,0,0,0,,
41789,8.1,6.92,10.02,0,0,0,0,0,0,0,0,,
41796,7.73,7.02,9.58,0,0,0,0,0,0,0,0,,
41803,7.34,7.32,9.11,0,0,0,0,0,0,0,0,,
41810,6.99,7.11,8.71,0,0,0,0,0,0,0,0,,
41817,6.72,7.07,8.4,0,0,0,0,0,0,0,0,,
41824,6.89,7.31,8.58,0,0,0,0,0,0,0,0,,
41831,7.51,6.9,9.31,0,0,0,0,0,0,0,0,,
41838,7.2,6.41,8.94,0,0,0,0,0,0,0,0,,
41845,6.84,6.43,8.52,0,0,0,0,0,0,0,0,,
41852,6.66,6.53,8.3,0,0,0,0,0,0,0,0,,
41859,6.49,6.06,8.1,0,0,0,0,0,0,0,0,,
41866,6.57,6.97,8.19,0,0,0,0,0,0,0,0,,
41873,6.55,6.96,8.17,0,0,0,0,0,0,0,0,,
41880,7.06,7.18,8.76,0,0,0,0,0,0,0,0,,
41887,7.45,8.12,9.22,0,0,0,0,0,0,0,0,,
41894,8.01,8.21,9.88,0,0,0,0,0,0,0,0,,
41901,7.96,7.54,9.83,0,0,0,0,0,0,0,0,,
41908,7.75,6.82,9.59,0,0,0,0,0,0,0,0,,
41915,7.69,6.77,9.51,0,0,0,0,0,0,0,0,,
41922,7.72,6.57,9.52,0,0,0,0,0,0,0,0,,
41929,7.61,6,9.33,0,0,0,0,0,0,0,0,,
41936,8.11,6.96,9.91,0,0,0,0,0,0,0,0,,
41943,8.73,8.79,10.65,0,0,0,0,0,0,0,0,,
41950,8.97,9.08,10.93,0,0,0,0,0,0,0,0,,
41957,7.85,7.55,9.78,0,0,0,0,0,0,0,0,,
41964,7.3,7.15,9.11,0,0,0,0,0,0,0,0,,
41971,7.12,6.68,8.9,0,0,0,0,0,0,0,0,,
41978,6.58,5.47,8.22,0,0,0,0,0,0,0,0,,
41985,6.94,4,7.43,0,0,0,0,0,0,0,0,,
41992,5.29,3.25,6.62,0,0,0,0,0,0,0,0,,
41999,5.09,3.23,6.38,0,0,0,0,0,0,0,0,,
42006,5.03,3.19,6.29,0,0,0,10.6,6.18,0,0,0,,
42013,4.52,2.96,5.65,0,0,0,10.02,5.54,0,0,0,,
42020,4.47,2.9,5.57,0,0,0,9.21,5.49,0,0,0,,
42027,4.18,3.13,5.24,0,0,0,8.73,5.11,0,0,0,,
42034,4.04,3.04,5.09,12.96,7.5,5.33,8.3,4.91,0,0,0,,
42041,3.83,3.07,4.9,12.11,7.17,5.43,7.67,4.59,0,0,0,,
42048,4.09,3.31,5.23,11.64,7.69,5.89,7.32,4.9,0,0,0,,
42055,0,0,0,0,0,0,0,0,0,0,0,,
42062,4.47,3.22,5.68,11.23,8.42,5.73,7.05,5.41,0,0,0,,
42069,4.46,3.21,5.66,11.19,8.38,5.71,7.03,5.39,0,0,0,,
42076,4.83,3.13,6.09,11.88,9.08,5.55,7.5,5.91,0,0,0,,
42083,4.7,2.95,5.92,12.21,8.81,5.19,7.75,5.76,0,0,0,,
42090,4.65,3.06,5.85,12.87,8.72,5.4,8.16,5.68,0,0,0,,
42097,4.46,3.11,5.64,13.04,8.35,5.51,8.28,5.43,0,0,0,,
42104,4.35,3.12,5.52,12.9,8.15,5.52,8.17,5.27,0,0,0,,
42111,4.44,3.13,5.64,12.66,8.34,5.55,7.99,5.38,0,0,0,,
42118,4.55,3.22,5.78,12.83,8.56,5.72,8.09,5.52,0,0,0,,
42125,4.6,3.27,5.84,12.9,8.67,5.82,8.12,5.58,0,0,0,,
42132,4.63,3.38,5.9,13.17,8.74,6.06,8.25,5.58,0,0,0,,
42139,4.68,3.74,5.95,13.16,8.84,6.71,8.25,5.65,0,0,0,,
42146,4.83,3.68,6.12,13.16,9.12,6.6,8.28,5.87,0,0,0,,
42153,4.74,3.63,6.03,13.62,8.94,6.49,8.56,5.74,0,0,0,,
42160,4.64,3.7,5.91,13.86,8.75,6.63,8.73,5.62,0,0,0,,
42167,4.74,3.63,6.03,13.94,8.94,6.5,8.78,5.75,0,0,0,,
42174,5.05,3.87,6.38,14.26,9.53,6.93,8.99,6.17,0,0,0,,
42181,5.12,4.34,6.46,14.27,9.67,7.79,9.02,6.29,0,0,0,,
42188,5.1,4.12,6.43,13.94,9.62,7.37,8.83,6.27,0,0,0,,
42195,5.15,4.02,6.47,13.42,9.68,7.16,8.53,6.36,0,0,0,,
42202,5.44,4.31,6.82,13.52,10.24,7.7,8.6,6.76,0,0,0,,
42209,5.67,4.66,7.09,13.89,10.67,8.34,8.85,7.07,0,0,0,,
42216,5.2,5.01,6.52,13.63,9.75,8.96,8.71,6.46,0,0,0,,
42223,4.72,5.87,5.93,13.09,8.82,10.53,8.39,5.84,0,0,0,,
42230,4.70895,5.34684,5.90056,12.7576,8.79248,9.56522,8.18051,5.8306,0,0,0,,
42237,4.58751,5.26262,5.73474,12.4288,8.54139,9.39344,8.00122,5.69193,0,0,0,,
42244,4.28046,3.38913,5.16755,11.8218,8.45268,6.27204,6.90519,5.25503,0,0,0,,
42251,4.37988,3.66205,5.33022,12.3125,8.69955,6.86098,7.13076,5.34329,0,0,0,,
42258,4.17901,3.8052,5.07938,11.7747,8.25988,7.14057,6.83503,5.08553,0,0,0,,
42265,4.10243,3.83692,4.97424,11.1905,8.08611,7.19491,6.51252,4.99614,0,0,0,,
42272,4.35124,4.42506,5.27552,11.0416,8.61962,8.39743,6.41852,5.32511,0,0,0,,
42279,4.21848,4.49974,5.11548,10.8177,8.33486,8.54721,6.29152,5.14925,0,0,0,,
42286,4.35641,4.27083,5.2965,11.0268,8.64214,8.09394,6.38931,5.31625,0,0,0,,
42293,4.4147,3.98324,5.35993,11.001,8.76066,7.5031,6.38097,5.39838,0,0,0,,
42300,4.09524,3.86863,4.9705,10.8479,8.07468,7.26322,6.30469,4.97981,0,0,0,,
42307,3.96406,3.68427,4.81555,10.8151,7.7968,6.88859,6.28412,4.80281,0,0,0,,
42314,3.75025,3.42464,4.56766,10.7621,7.345,6.36194,6.24479,4.50794,0,0,0,,
42321,3.60106,3.44649,4.38757,10.5767,7.0285,6.40714,6.14046,4.31269,0,0,0,,
42328,3.1725,3.08028,3.85965,10.0046,6.10462,5.65,5.8304,3.75581,0,0,0,,
42335,3.20269,3.18729,3.89689,9.95933,6.17136,5.86961,5.80131,3.7951,0,0,0,,
42342,3.17425,3.44523,3.85373,9.89906,6.10416,6.38891,5.77871,3.7667,0,0,0,,
42349,2.96766,3.03007,3.58569,9.64319,5.64784,5.52727,5.65969,3.51232,0,0,0,,
42356,2.86602,2.61663,3.45502,9.35844,5.42872,4.68263,5.50665,3.389,0,0,0,,
42363,2.83507,2.11072,3.40314,9.04048,5.35149,3.64154,5.34159,3.36299,0,0,0,,
42370,2.8327,2.10822,3.40041,9.0378,5.34886,3.63876,5.33917,3.36061,0,0,0,,
42377,2.82576,2.12198,3.4003,8.69848,5.34707,3.67932,5.13015,3.34782,0,0,0,,
42384,2.63135,1.88837,3.15167,7.63508,4.92235,3.19311,4.5341,3.10691,0,0,0,,
42391,2.51499,1.84319,3.00905,7.02053,4.67153,3.09802,4.18141,2.9549,0,0,0,,
42398,2.44178,1.97819,2.93739,6.65928,4.53157,3.38786,3.9473,2.84057,0,0,0,,
42405,2.43,1.98,2.93,6.4,4.51,3.39,3.79,2.83,0,0,0,,
42412,2.43,1.98,2.92,6.14,4.5,3.4,3.64,2.81,0,0,0,,
42419,2.65,2,3.18,6.02,4.96,3.42,3.58,3.12,0,0,0,,
42426,2.68,1.95,3.2,7.09,5.01,3.21,4.22,3.17,0,0,0,,
42433,2.82313,1.95447,3.38393,7.80834,5.3306,3.32797,4.62854,3.35701,0,0,0,,
42440,3.26332,2.06061,3.92671,8.53005,6.27936,3.55604,5.02242,3.92558,0,0,0,,
42447,3.4223,2.06627,4.11647,8.7576,6.61556,3.56585,5.15416,4.13646,0,0,0,,
42454,3.2674,2.1168,3.93395,9.07099,6.28829,3.6706,5.33412,3.92672,6.04112,0,0,,
42461,3.26789,2.11731,3.93438,9.07154,6.28883,3.67116,5.33462,3.9272,6.04167,24.7447,0,,
42468,3.27484,2.40881,3.93575,8.94702,6.2973,4.25928,5.27119,3.9426,6.98744,15.5993,0,,
42475,3.45183,2.66582,4.16305,9.21838,6.68688,4.79514,5.40651,4.16303,7.9263,17.1263,0,,
42482,3.54835,3.03448,4.27763,9.22073,6.8926,5.54664,5.40754,4.29261,9.16621,19.0071,0,,
42489,3.69526,3.23222,4.46622,9.36088,7.21745,5.96105,5.47089,4.4775,9.8942,20.1917,0,,
42496,3.65017,2.95097,4.42179,9.48671,7.12833,5.39433,5.53242,4.40797,8.9884,18.8725,0,,
42503,3.59939,2.65593,4.36685,9.44101,7.02672,4.79925,5.49926,4.33688,8.02306,17.4353,0,,
42510,3.69972,2.94628,4.51612,9.65585,7.26486,5.41512,5.60048,4.46852,9.08263,19.1246,0,,
42517,3.68954,2.83945,4.48523,9.90526,7.23051,5.18431,5.75587,4.45035,8.69363,18.5122,0,,
42524,3.57523,3.06398,4.35017,10.1257,6.99034,5.6443,5.88289,4.29724,9.45624,19.6733,0,,
42531,3.57523,3.06398,4.35017,10.1257,6.99034,5.6443,5.88289,4.29724,9.45624,19.6748,0,,
42538,3.41567,3.41799,4.1646,10.074,6.65673,6.37075,5.84498,4.07802,10.671,21.547,0,,
42545,3.58185,3.22616,4.37245,10.7007,7.02009,5.9895,6.19568,4.29107,10.0773,20.711,0,,
42552,3.88904,3.26797,4.74286,11.2108,7.6824,6.08367,6.48615,4.70189,10.2481,20.9938,0,,
42559,4.12701,3.41889,5.02935,11.5012,8.1944,6.39702,6.65026,5.01969,10.7767,21.814,0,,
42566,4.23974,3.29508,5.15852,11.7345,8.43241,6.14352,6.79221,5.17668,10.3437,21.1277,0,,
42573,4.45465,3.17141,5.41205,12.0803,8.88748,5.89018,6.99725,5.46767,9.91648,20.4633,0,,
42580,4.14718,2.83967,5.03068,11.8432,8.21896,5.20036,6.88081,5.06966,8.72785,18.567,0,,
42587,3.78208,2.66229,4.58391,11.4822,7.43062,4.82768,6.68611,4.58914,8.07423,17.5075,0,,
42594,3.77619,2.86679,4.58416,11.2694,7.4255,5.2511,6.55148,4.57435,8.79781,18.6504,0,,
42601,4.01745,3.26167,4.89835,11.8277,7.95995,6.07548,6.83993,4.87034,10.2462,21.0138,0,,
42608,4.03784,3.24099,4.92825,12.3905,8.0096,6.03925,7.16049,4.89335,10.2049,20.9836,0,,
42615,3.94909,3.3662,4.82459,12.5545,7.82529,6.29857,7.25335,4.7741,10.6379,21.6477,0,,
42622,3.98946,3.85614,4.87445,12.4238,7.91313,7.29862,7.17394,4.826,12.293,14.2076,0,,
42629,4.02989,4.5429,4.91485,11.9078,7.98421,8.73312,6.88206,4.89984,14.7259,25.4747,0,,
42636,4.23,4.4,5.14,11.97,8.39,8.44,6.92,5.17,14.26,28.5435,0,,
42643,4.2,4.18,5.14,12.03,8.35,8.01,6.94,5.12,13.65,27.7903,0,,
42650,4.38,4.32,5.36,12.1,8.73,8.3,6.96,5.35,14.2,26.9512,0,,
42657,4.42,4.22,5.4,12.21,8.8,8.1,7.03,5.4,13.93,27.8604,0,,
42664,4.72422,3.44924,5.76455,12.2076,9.451,6.52203,7.02745,5.82586,11.424,26.2401,0,,
42671,4.50972,3.56682,5.4959,11.6808,8.97517,6.74507,6.74303,5.54669,11.7227,23.6745,0,,
42678,4.49,3.87,5.47,11.22,8.94,7.35,6.48,5.53,12.69,24.0381,0,,
42685,4.70169,4.47031,5.70798,10.9562,9.383,8.59121,6.32738,5.834,14.6757,25.4663,0,,
42692,4.96798,4.75251,6.05295,11.6546,9.97347,9.18554,6.6993,6.17133,15.7315,28.4288,0,,
42699,4.95689,4.76934,6.0375,11.6546,9.95685,9.23324,6.6993,6.15891,15.8277,30.3674,0,,
42706,4.98,4.35,6.07,11.8,10.02,8.37,6.78,6.19,13.6196,28.3431,0,,
42713,5.18634,4.02729,6.35251,12.2051,10.4867,7.76117,6.9734,6.42736,12.03,27.3466,0,,
42720,4.99,3.53,6.14,12.22,10.08,6.75,6.97,6.13,12.0408,25.0569,0,,
42727,4.53751,3.49726,5.62651,12.0842,9.13408,6.6938,6.89026,5.49037,11.9468,25.8811,0,,
42734,4.6246,3.55841,5.74817,12.2904,9.33556,6.83437,6.99176,5.59002,12.2413,25.4831,0,,
42741,4.48,4.25,5.6,11.94,9.05,8.26,6.78,5.38,14.57,29.0514,0,,
42748,4.58466,3.96472,5.70057,11.2349,9.2477,7.65945,6.38321,5.53246,13.5688,27.475,0,,
42755,4.6104,4.02764,5.72691,10.8614,9.29523,7.78148,6.17067,5.56863,13.757,27.7465,0,,
42762,4.6104,4.02764,5.72691,10.8614,9.29523,7.78148,6.17067,5.56863,13.757,27.7471,0,,
42769,4.53,3.44,5.61,10.45,9.1,6.56,5.95,5.47,11.72,24.5558,0,,
42776,4.68,3.24,5.8,10.75,9.44,6.17,6.12,5.69,11.12,23.7162,0,,
42783,4.85471,3.04959,5.99611,11.6275,9.80081,5.77844,6.62219,5.92579,10.497,22.7906,0,,
42790,5.01728,3.72798,6.18423,13.3553,10.1452,7.16331,7.61927,6.15436,12.7373,26.1705,0,,
42797,5.35,3.87,6.57,14.19,10.85,7.47,8.1,6.62,13.25,26.9928,0,,
42804,5.56767,4.27522,6.80097,14.5116,11.2976,8.27267,8.29784,6.95349,14.4841,28.7177,0,,
42811,5.49909,4.67624,6.68578,14.5522,11.1235,9.06435,8.35086,6.89692,15.6466,30.2588,0,,
42818,5.39,4.77,6.6,14.68,10.88,9.24,8.43,6.75,15.9,30.6311,0,,
42825,5.67,5.03,6.9,14.96,11.47,9.78,8.59,7.14,16.8,31.9506,0,,
42832,5.79,4.76,7,15.92,11.75,9.25,9.12,7.28,16,30.9316,0,,
42839,5.96,4.63,7.3,15.96,12.13,9,9.13,7.5,15.7,30.5719,0,,
42846,6.03117,4.58563,7.33083,15.6597,12.2719,8.90313,8.96265,7.61095,15.4987,30.2408,0,,
42853,5.64,4.32,6.9,15.08,11.42,8.34,8.64,7.08,14.5,28.6295,0,,
42860,5.16,4.08,6.3,14.38,10.42,7.86,8.24,6.39,13.7,27.4961,0,,
42867,4.9,4.27,6,13.76,9.86,8.25,7.89,6.03,14.4,28.3608,0,,
42874,4.64,4.07,5.7,13.44,9.28,7.81,7.73,5.71,13.5,26.8738,0,,
42881,4.93012,4.39121,6.07627,13.0198,9.95592,8.51123,7.43185,6.04162,14.8813,29.3416,0,,
42888,4.54,4.15,5.6,13.24,9.11,8,7.58,5.51,14,27.8524,0,,
42895,4.39,4.01,5.4,12.73,8.78,7.7,7.29,5.29,13.5,27.0902,0,,
42902,4.53,3.98,5.6,13.01,9.08,7.65,7.45,5.51,13.4,26.9036,0,,
42909,4.78,3.46,5.9,13.78,9.6,6.58,7.9,5.87,11.6,24.2253,0,,
42916,5.02,3.52,6.1,14.2,10.11,6.71,8.14,6.21,11.9,24.5962,0,,
42923,5.03,3.42,6.2,14.19,10.15,6.52,8.13,6.21,11.6,24.2927,0,,
42930,5.07,3.34,6.2,13.86,10.2,6.33,7.95,6.27,11.2,23.6201,0,,
42937,5.31079,3.68847,6.48032,14.482,10.7215,7.04481,8.30497,6.60715,12.4209,25.4801,0,,
42944,5.19529,3.90118,6.34861,14.7683,10.4768,7.47726,8.47054,6.44129,13.1206,26.5367,0,,
42951,5.06741,4.40529,6.21551,14.5343,10.2148,8.51157,8.32566,6.24306,14.8304,29.1835,0,,
42958,5.23516,4.55358,6.41242,14.2724,10.5695,8.81482,8.17115,6.47421,15.3329,29.9665,0,,
42965,5.47542,5.05374,6.67701,14.229,11.0644,9.8244,8.15542,6.82513,16.9278,32.3066,0,,
42972,5.67,5.35,6.9,14.95,11.48,10.43,8.57,7.09,17.9,33.8631,0,,
42979,5.42346,5.02717,6.62386,15.5236,10.9523,9.76732,8.90104,6.73933,16.8546,32.236,0,,
42986,5.75111,5.33424,7.01853,16.0241,11.6491,10.3982,9.17729,7.17624,17.9327,33.9733,0,,
42993,6.24841,5.65084,7.59501,16.7082,12.703,11.0488,9.56679,7.87378,19.0055,35.6292,0,,
43000,6.62486,5.81165,8.0365,17.706,13.5109,11.3899,10.1333,8.40026,19.5901,36.5656,0,,
43007,6.28121,5.62508,7.64925,17.6245,12.7976,11.0196,10.0797,7.91008,19.012,35.7256,0,,
43014,5.97895,5.4674,7.29292,16.7737,12.1547,10.6931,9.59569,7.49473,18.4522,34.8218,0,,
43021,6.42085,5.63244,7.7971,17.1836,13.08,11.024,9.83537,8.1211,18.9793,35.6067,0,,
43028,6.80967,6.13795,8.25668,17.9959,13.911,12.0648,10.2931,8.65602,20.7048,38.286,0,,
