Summary Name,Chinese Name,Sub Name - technology variant,Sub Chinese Name,Province,Region,Owner,Ref,count in current capacity totals,Capacity - for maintenance and labour calcs,Bauxite 1 Customisation multiplier,Handling losses,Bauxite 1 Loading + Unloading Fee,Bauxite 1 Other,Bauxite 2 Loading + Unloading Fee,Bauxite 3 Loading + Unloading Fee,Bauxite 2 Customisation multiplier,Bauxite 3 Customisation multiplier,Bauxite 3 Moisture,Bauxite 3 Other,Bauxite 2 Other,Bauxite 3 Alumina Grade (Reacting),Bauxite 3 Silica Grade (Reacting),List Price Customisation multiplier,Caustic Purchased Customisaton multiplier,Caustic Strength as transported,Caustic Purchased Freight rate (trucking),Caustic Purchased Transport distance,Caustic Purchased [Loading + Unloading] Total Fee,% of Electricity for Caustic Production from Grid,Caustic Self Supplied Customisation multiplier,Total Electricity for 1 ECU for NaOH + Cl2 + H2 prodn,Caustic Self Supplied Other Costs,tonnes pure NaOH per ECU,Caustic Strength as transported.1,Caustic Self Supplied Transport distance,Caustic Self Supplied Freight rate (trucking),Caustic Self Supplied [Loading + Unloading] Total Fee,Caustic Price Customisation multiplier,Caustic Domestic Purchased,Flocculent Customisation multiplier,Flocculent Loading + Unloading Fee,Handling losses.1,Flocculent Transport distance,count in current capacity totals.1,Capacity - for maintenance and labour calcs.1,Packaging,Energy - Lignitous Coal - Customization Multiplier,Energy - Lignitous Coal - Transport Distance,Energy - Lignitous Coal - Loading + Unloading Fee,Energy - Lignitous Coal - Customization Multiplier 2,Energy - Natural - Customization Multiplier ,Energy - Sourcing Mix - % from Anthracite Coal,Energy - Anthracite coal - Customization Multiplier 1,Energy - Anthracite coal - Customization Multiplier 2,Energy - Anthracite coal - Loading + Unloading Fee,Energy - Anthracite coal - Transport distance,Energy - Natural Gas/Coal Customization Multiplier 3,Energy - Electricity - Purchased Customization Multiplier,Lime - Customisation multiplier 1,Lime - Transport distance,Lime - Loading + Unloading Fee,Lime - Customisation multiplier 2,Limestone - Customisation multiplier 1,Limestone - Transport distance,Limestone - Loading + Unloading Fee,Limestone - Customisation multiplier 2,Labour - Customisation multiplier,Labour - hours worked per year,Consumables - Flocculent - Usage rate,Consumables - Flocculent - customise,Maintenance Allowance - Portion of Capex,Other Costs - Packaging,Production kT,Customisation multiplier for self supply,Purchased delivery Transport distance,Purchased delivery [Loading + Unloading] Total Fee,Purchased delivery Customisation multiplier,Self-Supplied delivery Transport distance,Self-Supplied delivery [Loading + Unloading] Total Fee,Self-Supplied delivery Customisation multiplier,Sodium Carbonate Domestic Self Supply,Caustic Customisation multiplier,Caustic Sourcing mix - Added customisation multiplier,Energy - Sourcing Mix -% from Anthracite Coal,Energy Usage rate - Custom Multiplier 1,Energy Usage rate - Custom Multiplier 2,Energy Usage rate - Custom Multiplier 3,Lime Usage rate - Customisation multiplier,Limestone usage- customisation multiplier,Labour usage- customisation multiplier
Jialu Xianfeng,,Jialu Xianfeng,,Hubei,South-Central,Owner_1,35.0,1,120,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1.5,0.32,0.5,50,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,120,24,1,100,2,1,1,1,1,1,2,400,1,0,1,10,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,0,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
Jinshi,金狮,Jinshi,金狮,Hubei,South-Central,Owner_1,36.0,1,100,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1.5,0.32,0.5,50,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,100,24,1,100,2,1,1,1,1,1,2,400,1,0,1,10,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,0,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
Huixiang,,Huixiang,,Hunan,South-Central,Owner_1,37.0,1,100,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1.5,0.32,0.5,50,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,100,24,1,100,2,1,1,1,1,1,2,400,1,0,1,10,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,0,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
"Xinwang
",鑫旺,Xinwang L-B,鑫旺进口线,IM,North-East,Owner_1,38.1,1,1000,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1.5,0.32,0.5,70,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,1000,24,1,180,2,1,1,1,1,1,2,700,1,0,1,5,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,500,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
"Xinwang
",鑫旺,Xinwang H-B,鑫旺国内线,IM,North-East,Owner_1,38.2,1,1000,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1.5,0.32,0.5,40,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,1000,24,1,30,2,1,1,1,1,1,2,200,1,0,1,10,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,0,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
Datang Tuoketuo Fly Ash,大唐粉煤灰,Datang Tuoketuo Fly Ash,大唐粉煤灰,IM,Central-Shanxi,Owner_1,39.0,1,200,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1.5,0.32,0.5,50,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,200,24,1,50,2,1,1,1,1,1,2,200,1,0,1,10,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,0,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
Mengxi Fly Ash,蒙西粉煤灰,Mengxi Fly Ash,蒙西粉煤灰,IM,North-East,Owner_1,40.1,1,0,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1.5,0.32,0.5,50,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,0,24,1,50,2,1,1,1,1,1,2,200,1,0,1,10,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,0,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
Mengxi import,蒙西进口线,Mengxi import,蒙西进口线,IM,North-East,Owner_1,40.2,1,200,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1.5,0.32,0.5,50,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,200,24,1,50,2,1,1,1,1,1,2,200,1,0,1,10,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,200,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
Qihui,启辉,Qihui H-B,启辉,IM,North-East,Owner_1,41.1,1,1300,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1.5,0.32,0.5,50,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,1300,24,1,50,2,1,1,1,1,1,2,200,1,0,1,10,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,0,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
Qihui,启辉,Qihui L-B,启辉,IM,North-East,Owner_1,41.2,1,1300,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1.5,0.32,0.5,50,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,1300,24,1,50,2,1,1,1,1,1,2,200,1,0,1,10,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,0,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
Jinjiang Lianyungang,锦江连云港,Jinjiang Lianyungang,锦江连云港,Jiangsu,North,Owner_7,42.0,,4000,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1,0.32,0.5,100,5,1,1,3150,700,1.128,0.32,10,0.5,5,1,1,1,2,0,0,0,4000,24,1,500,2,1,1,0,1,1,2,400,1,0,1,20,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,0,0.8,50,5,2,50,5,2,0,1,1,0,1,1,0,1,1,0
Chalco Lianyungang,中铝连云港,Chalco Lianyungang,中铝连云港,Jiangsu,North,Owner_6,43.0,,4000,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1,0.32,0.5,100,5,1,1,3150,700,1.128,0.32,10,0.5,5,1,1,1,2,0,0,0,4000,24,1,500,2,1,1,0,1,1,2,400,1,0,1,20,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,0,0.8,50,5,2,50,5,2,0,1,1,0,1,1,0,1,1,0
Chalco Shandong,中铝山东,Chalco Shandong L-B,中铝山东进口线,Shandong,North-East,Owner_6,44.1,1,2700,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1.5,0.32,0.5,120,5,0,1,3150,700,1.128,0.32,10,0.5,5,1,0,1,2,0,0,1,2700,24,1,480,2,1,1,0,1,1,2,400,1,0,1,20,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,2000,0.8,50,5,2,50,5,2,0,1,1,0,1.1,1,0,1,1,0
Chalco Shandong,中铝山东,Chalco Shandong sinter,中铝山东国内线,Shandong,North-East,Owner_6,44.2,1,2700,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1.5,0.32,0.5,120,5,0,1,3150,700,1.128,0.32,10,0.5,5,1,0,1,2,0,0,1,2700,24,1,480,2,1,1,0,1,1,2,400,1,0,1,20,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,0,0.8,50,5,2,50,5,2,0,1,1,0,1,1,0,1,1,0
Chalco Shandong,中铝山东,Chalco Shandong sinter import,中铝山东进口烧结线,Shandong,North-East,Owner_6,44.3,1,2700,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1.5,0.32,0.5,120,5,0,1,3150,700,1.128,0.32,10,0.5,5,1,0,1,2,0,0,1,2700,24,1,480,2,1,1,0,1,1,2,400,1,0,1,20,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,700,0.8,50,5,2,50,5,2,0,1,1,0,1,1,0,1,1,0
Xinfa Chiping,茌平信发,Chiping Xinfa L-B,茌平信发低温线,Shandong,North-East,Owner_8,45.1,1,8000,1,0.001,2,0,2,2,0.7,0.7,0.1,0,0,0.5,0.05,1,1.5,0.32,0.5,50,5,0,1,3150,700,1.128,0.32,25,0.5,5,1.5,0,1,2,0,0,1,8000,24,1,480,2,1,1,0,1,1,2,400,1,0,1,20,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,6000,0.8,50,5,2,50,5,2,0,1,1,0,1,1,0,1,1,0
Xinfa Chiping,茌平信发,Chiping Xinfa H-B,茌平信发高温线,Shandong,North-East,Owner_8,45.2,1,8000,1,0.001,2,0,2,2,0.7,0.7,0.1,0,0,0.5,0.05,1,1.5,0.32,0.5,50,5,0,1,3150,700,1.128,0.32,25,0.5,5,1.5,0,1,2,0,0,1,8000,24,1,480,2,1,1,0,1,1,2,400,1,0,1,20,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,2000,0.8,50,5,2,50,5,2,0,1,1,0,1,1,0,1,1,0
Lubei,鲁北,Lubei,鲁北,Shandong,North-East,Owner_7,46.0,1,1000,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1.5,0.32,0.5,150,5,0,1,3150,700,1.128,0.32,25,0.5,5,1.5,0,1,2,0,0,1,1000,24,1,480,2,1,1,0,1,1,2,400,1,0,1,20,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,1000,0.8,50,5,2,50,5,2,0,1,1,0,1,1,0,1,1,0
Nanshan,南山,Nanshan Donghai H-B,南山高温线,Shandong,North-East,Owner_12,47.1,1,1700,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1,0.32,0.5,190,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,1700,24,1,480,2,1,1,0,1,1,2,400,1,0,1,30,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,1000,0.8,50,5,2,50,5,2,0,1,1,0,1,1,0,1,1,0
Nanshan,南山,Nanshan Donghai L-B,南山低温线,Shandong,North-East,Owner_12,47.2,1,1700,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1,0.32,0.5,190,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,1700,24,1,480,2,1,1,0,1,1,2,400,1,0,1,30,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,700,0.8,50,5,2,50,5,2,0,1,1,0,1,1,0,1,1,0
Qixing Wudi,齐星,Bochuang,齐星,Shandong,North-East,Owner_1,48.0,1,500,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1,0.32,0.5,180,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,500,24,1,480,2,1,1,0,1,1,2,400,1,0,1,25,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,500,0.8,50,5,2,50,5,2,0,1,1,0,1,1,0,1,1,0
Nanhan,南韩,Nanhan,南韩,Shandong,North-East,Owner_1,49.0,1,100,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1.5,0.32,0.5,150,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,100,24,1,480,2,1,1,0,1,1,2,400,1,0,1,20,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,0,0.8,50,5,2,50,5,2,0,1,1,0,1,1,0,1,1,0
Weiqiao,魏桥,Weiqiao - Binzhou L-B,魏桥滨州低温线,Shandong,North-East,Owner_13,50.1,1,6000,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1,0.32,0.5,160,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,6000,24,1,480,2,1,1,0,1,1,2,400,1,0,1,25,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,4000,0.8,50,5,2,50,5,2,0,1,1,0,1,1,0,1,1,0
Weiqiao,魏桥,Weiqiao - Binzhou H-B,魏桥滨州高温温线,Shandong,North-East,Owner_13,50.2,1,6000,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1,0.32,0.5,160,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,6000,24,1,480,2,1,1,0,1,1,2,400,1,0,1,25,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,2000,0.8,50,5,2,50,5,2,0,1,1,0,1,1,0,1,1,0
Weiqiao,魏桥,Weiqiao-Wudi-Zhanhua L-B,魏桥无棣低温线,Shandong,North-East,Owner_13,51.1,1,10000,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1,0.32,0.5,180,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,10000,24,1,480,2,1,1,0,1,1,2,400,1,0,1,30,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,9000,0.8,50,5,2,50,5,2,0,1,1,0,1,1,0,1,1,0
Weiqiao,魏桥,Weiqiao-Wudi-Zhanhua H-B,魏桥沾化高温线,Shandong,North-East,Owner_13,51.2,1,10000,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1,0.32,0.5,180,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,10000,24,1,480,2,1,1,0,1,1,2,400,1,0,1,30,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,3000,0.8,50,5,2,50,5,2,0,1,1,0,1,1,0,1,1,0
Aokaida,奥凯达,Aokaida,奥凯达,Shanxi,Central-Shanxi,Owner_1,52.0,1,300,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1,0.32,0.5,210,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,300,24,1,20,2,1,1,1,1,1,2,100,1,0,1,20,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,300,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
Chalco Huaxing,中铝华兴,Chalco Huaxing,中铝华兴,Shanxi,Central-Shanxi,Owner_6,53.0,1,2000,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,0.35,0.32,0.5,620,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,2000,24,1,40,2,1,1,1,1,1,2,100,1,0,1,20,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,2000,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
Chalco Shanxi,中铝山西,Chalco Shanxi,中铝山西,Shanxi,Central-Shanxi,Owner_6,54.1,1,2700,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,0.3,0.32,0.5,1080,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,2700,24,1,40,2,1,1,1,1,1,2,100,1,0,1,20,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,1500,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
Chalco Shanxi,中铝山西,Chalco Shanxi import,中铝山西进口线,Shanxi,Central-Shanxi,Owner_6,54.2,1,2700,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,0.3,0.32,0.5,1080,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,2700,24,1,40,2,1,1,1,1,1,2,100,1,0,1,20,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,1200,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
SPIC Shanxi,国电投山西,SPIC Shanxi,国电投山西,Shanxi,Central-Shanxi,Owner_5,55.1,1,2900,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,0.3,0.32,0.5,680,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,2900,24,1,20,2,1,1,1,1,1,2,100,1,0,1,20,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,900,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
SPIC Shanxi,国电投山西,SPIC Shanxi import,国电投山西,Shanxi,Central-Shanxi,Owner_5,55.2,1,2900,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,0.3,0.32,0.5,680,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,2900,24,1,20,2,1,1,1,1,1,2,100,1,0,1,20,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,2000,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
Dongxu Tianyuan,田园,Dongxu Tianyuan,田园,Shanxi,Central-Shanxi,Owner_1,56.1,1,400,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1,0.32,0.5,140,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,400,24,1,20,2,1,1,1,1,1,2,100,1,0,1,15,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,0,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
Dongxu Tianyuan,田园,Dongxu Tianyuan import,田园进口线,Shanxi,Central-Shanxi,Owner_1,56.2,1,400,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1,0.32,0.5,140,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,400,24,1,20,2,1,1,1,1,1,2,100,1,0,1,15,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,400,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
East Hope Lingshi,东方希望灵石,East Hope Lingshi,东方希望灵石,Shanxi,Central-Shanxi,Owner_10,57.1,1,3000,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,0.3,0.32,0.5,970,5,1,1,3150,700,1.128,0.32,970,0.175,5,1.05,0.2,1,2,0,0,1,3000,24,1,20,2,1,1,1,1,1,2,80,1,0,1,15,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,1000,0.8,50,5,2,50,5,2,0,0.7,0.7,1,1,1,0,1,1,0
East Hope Lingshi,东方希望灵石,East Hope Lingshi Import,东方希望灵石进口线,Shanxi,Central-Shanxi,Owner_10,57.2,1,3000,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,0.3,0.32,0.5,970,5,1,1,3150,700,1.128,0.32,970,0.175,5,1.05,0.2,1,2,0,0,1,3000,24,1,20,2,1,1,1,1,1,2,80,1,0,1,15,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,2300,0.8,50,5,2,50,5,2,0,0.7,0.7,1,1,1,0,1,1,0
Huaqing,华庆,Huaqing,华庆,Shanxi,Central-Shanxi,Owner_1,58.0,1,400,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1,0.32,0.5,210,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,400,24,1,20,2,1,1,1,1,1,2,80,1,0,1,15,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,400,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1.3,1,0
Qiya Fenxi,强锦,Qiangjin Aluminium,强锦,Shanxi,Central-Shanxi,Owner_1,59.0,0,0,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1,0.32,0.5,150,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,0,0,24,1,180,2,1,1,1,1,1,2,700,1,0,1,5,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,0,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
Senze,森泽,Senze,森泽,Shanxi,Central-Shanxi,Owner_1,60.0,1,1300,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1,0.32,0.5,200,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,1300,24,1,30,2,1,1,1,1,1,2,100,1,0,1,20,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,1300,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
Taixing,泰兴,Taixing,泰兴,Shanxi,Central-Shanxi,Owner_1,61.0,1,400,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1,0.32,0.5,210,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,400,24,1,20,2,1,1,1,1,1,2,60,1,0,1,20,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,400,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
Wusheng,武圣,Wusheng,武圣,Shanxi,Central-Shanxi,Owner_1,62.0,1,300,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1,0.32,0.5,200,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,300,24,1,30,2,1,1,1,1,1,2,60,1,0,1,20,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,0,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
Xinfa - Jiaokou,信发交口,Xinfa - Jiaokou,信发交口,Shanxi,Central-Shanxi,Owner_8,63.0,1,2400,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1,0.32,0.5,125,5,1,1,3150,700,1.128,0.32,350,0.5,5,1,0.5,1,2,0,0,1,2400,24,1,20,2,1,1,1,1,1,2,60,1,0,1,20,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,2800,0.8,50,5,2,50,5,2,0,0.7,0.7,1,1,1,0,1,1,0
Xinfa - Xiaoyi,信发孝义,Xinfa - Xiaoyi,信发孝义,Shanxi,Central-Shanxi,Owner_8,64.0,1,3000,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1,0.32,0.5,125,5,1,1,3150,700,1.128,0.32,350,0.5,5,1,0.5,1,2,0,0,1,3000,24,1,20,2,1,1,1,1,1,2,60,1,0,1,20,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,3470,0.8,50,5,2,50,5,2,0,0.7,0.7,1,1,1,0,1,1,0
Xingan Chemical,兴安化工,Xingan Chemical,兴安化工,Shanxi,Central-Shanxi,Owner_7,65.1,1,2400,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1,0.32,0.5,210,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,2400,24,1,20,2,1,1,1,1,1,2,60,1,0,1,20,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,2100,0.8,50,5,2,50,5,2,0,1,1,1,0.9,1,0,0.9,1,0
Xingan Chemical,兴安化工,Xingan Chemical import,兴安化工,Shanxi,Central-Shanxi,Owner_7,65.2,1,2400,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1,0.32,0.5,210,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,2400,24,1,20,2,1,1,1,1,1,2,60,1,0,1,20,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,700,0.8,50,5,2,50,5,2,0,1,1,1,0.9,1,0,0.9,1,0
Yangquan Zhaofeng,兆丰,Yangquan Zhaofeng,兆丰,Shanxi,Central-Shanxi,Owner_8,66.0,1,1100,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1,0.32,0.5,150,5,1,1,3150,700,1.128,0.32,350,0.5,5,1,1,1,2,0,0,1,1100,24,1,20,2,1,1,1,1,1,2,50,1,0,1,20,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,1100,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
Gangyuan Jiaohua,焦化,Gangyuan Jiaohua,焦化,Shanxi,Central-Shanxi,Owner_1,67.0,0,0,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,0.3,0.32,0.5,1050,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,0,0,24,1,30,2,1,1,1,1,1,2,50,1,0,1,20,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
Chalco Jiaokou Xinghua,中铝交口,Chalco Xinghua,中铝交口,Shanxi,Central-Shanxi,Owner_6,68.1,1,900,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,0.3,0.32,0.5,940,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,900,24,1,30,2,1,1,1,1,1,2,100,1,0,1,30,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,100,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
Chalco Jiaokou Xinghua,中铝交口,Chalco Xinghua import,中铝交口,Shanxi,Central-Shanxi,Owner_6,68.2,1,900,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,0.3,0.32,0.5,940,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,900,24,1,30,2,1,1,1,1,1,2,100,1,0,1,30,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,800,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
Tiantong,天通,Tiantong,天通,Shanxi,Central-Shanxi,Owner_1,69.0,1,100,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1,0.32,0.5,200,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,100,24,1,30,2,1,1,1,1,1,2,100,1,0,1,30,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,0,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
