,Ref. No.,Refinery,Province,Prov - Category,Technology,Ownership,Owner,Bauxite Previous,Bauxite Now,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
38,31.0,Yima Yixiang,,,,,,,,0.3,0.3,0.3,0.27,0.21,0.15,0.06,0.03,0.0,0.0,0.0,0.0
39,32.0,Zhongmei,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.17,0.0,0.0,0.0,0.0,0.0,0.0
40,33.0,Shaoxing,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,34.0,Zhongchao,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,35.0,Jialu Xianfeng,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,36.0,Jinshi,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,37.0,Huixiang,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,38.1,Xinwang L-B,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,38.2,Xinwang H-B,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,39.0,Datang Tuoketuo Fly Ash,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,40.1,Mengxi Fly Ash,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,40.2,Mengxi import,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,41.1,Qihui H-B,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,41.2,Qihui L-B,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,42.0,Jinjiang Lianyungang,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,43.0,Chalco Lianyungang,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,44.1,Chalco Shandong L-B,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,44.2,Chalco Shandong sinter,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,44.3,Chalco Shandong sinter import,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,45.1,Chiping Xinfa L-B,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,45.2,Chiping Xinfa H-B,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,46.0,Lubei,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,47.1,Nanshan Donghai H-B,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,47.2,Nanshan Donghai L-B,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,48.0,Bochuang,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,49.0,Nanhan,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,50.1,Weiqiao - Binzhou L-B,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,50.2,Weiqiao - Binzhou H-B,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,51.1,Weiqiao-Wudi-Zhanhua L-B,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,51.2,Weiqiao-Wudi-Zhanhua H-B,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,52.0,Aokaida,,,,,,,,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,53.0,Chalco Huaxing,,,,,,,,1.15,0.65,0.26,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,54.1,Chalco Shanxi,,,,,,,,1.0,0.8,0.8,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,54.2,Chalco Shanxi import,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,55.1,SPIC Shanxi,,,,,,,,1.3,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.0,0.0
73,55.2,SPIC Shanxi import,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,56.1,Dongxu Tianyuan,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,56.2,Dongxu Tianyuan import,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,57.1,East Hope Lingshi,,,,,,,,0.8,0.8,0.8,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,57.2,East Hope Lingshi Import,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,58.0,Huaqing,,,,,,,,0.3,0.3,0.3,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
