Name,Name1,Name3,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Dom. Rep.,Dominican Republic,Americas,0.58104,0.416419202,0.103268225,0.0,0.0,0.0,0.0,0.7263,0.7263,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Discovery Bay,Jamaica,Americas,0.0,0.0,0.0,0.14853825,0.395589806,0.170214262,0.0424395,1.0609875,1.0609875,1.074375,1.074375,1.074375,1.074375,1.074375,1.074375,1.074375,1.074375,1.074375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Awaso,Ghana,Africa,0.374129078,0.330727394,0.483667722,0.351945,0.245680083,0.122390902,0.13365,0.066825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBG,Guinea,Africa,0.087207278,0.157378225,1.37877551,1.06,0.071344809,0.364870824,0.346084195,1.419651492,1.595016492,1.595016492,2.315961492,3.192786492,4.069611492,4.069611492,4.069611492,4.069611492,4.264461492,4.264461492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMC,Guinea,Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.834705,1.66941,1.8549,1.8549,1.8549,2.061,2.061,2.061,2.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GAC,Guinea,Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.9225,2.5092,2.5092,1.5867,1.107,1.107,1.107,1.107,1.107,1.107,1.107,1.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solomon Islands,Solomon Islands,Australasia,0.0,0.122541986,0.099931854,0.64232919,0.686443559,0.486276899,0.6717168,0.6717168,0.6717168,0.67608,0.67608,0.67608,0.67608,0.67608,0.67608,0.67608,0.67608,0.67608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metallica,Australia,Australasia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aurukun,Australia,Australasia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4095,1.638,2.0475,2.0475,2.0475,2.0475,2.0475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metro LT,Australia,Australasia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRN,Brazil,Americas,0.28500615,0.72855,1.961453724,1.154872426,0.093731168,0.24485848,0.0,0.441,0.441,0.441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juruti,Brazil,Americas,0.0,0.0,0.0,0.311483695,0.558432319,0.531838576,0.74682,0.74682,0.74682,0.74682,0.74682,0.74682,0.74682,0.74682,0.74682,0.74682,0.74682,0.74682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mirai,Brazil,Americas,0.0,0.0,0.01548,0.0,0.0,0.0,0.0,0.387,0.387,0.387,0.387,0.387,0.387,0.774,0.774,0.774,0.774,1.161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metro BH1,Australia,Australasia,0.0,0.0,0.0,0.0,0.0,0.212402412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amrun,Australia,Australasia,0.0,0.0,0.0,0.0,0.0,0.0,2.6477271,3.7057846,3.2357846,3.313225,3.013225,3.113225,3.113225,3.113225,3.113225,3.113225,3.113225,3.113225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rondon do Para,Brazil,Americas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Huntly,Australia,Australasia,0.0,0.0,0.01188,0.1485,0.418126601,0.504054186,0.594,0.594,0.594,0.594,0.594,0.7425,0.7425,0.7425,0.7425,0.7425,0.7425,0.7425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vietnam Others,Vietnam,Asia ex-China,0.0,0.013071895,0.04349139,0.165278556,0.247496859,0.056320304,0.2080575,0.416115,0.416115,0.416115,0.416115,0.416115,0.416115,0.416115,0.416115,0.416115,0.416115,0.416115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMB Malapouya,Guinea,Africa,0.0,0.0,2.798366013,1.379310345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rundi,Guinea,Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.820125,1.3122,2.29635,2.95245,3.2805,3.46275,3.46275,3.645,3.645,3.645,3.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metro Blend,Australia,Australasia,0.0,0.0,0.0,0.0,0.0,0.0,0.568388726,1.234702577,1.995545506,1.987289993,1.978843269,1.97024137,1.9615024,1.952635325,1.943643092,1.934523589,1.925269259,1.925269259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seydisehir,Turkey,Africa,0.0,0.0,0.0,0.0,0.046919277,0.133263564,0.300720019,0.859200055,1.288800082,1.288800082,1.288800082,1.288800082,1.288800082,1.288800082,1.288800082,1.288800082,1.288800082,1.288800082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amrun HT,Australia,Australasia,0.0,0.0,0.0,0.0,0.0,2.458599117,1.5559785,0.497921,0.967921,1.203335,1.503335,1.403335,1.403335,1.403335,1.403335,1.403335,1.403335,1.403335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metro BH1 Xinfa,Australia,Australasia,0.0,0.0,0.0,0.0,0.560158691,0.857448004,0.75520384,0.75520384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dian Dian,Guinea,Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73872,1.0305144,1.0305144,1.0305144,1.0305144,1.145016,1.145016,1.145016,1.145016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dynamic,Guinea,Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.342,1.66212,2.31192,2.7702,2.7702,2.95488,2.95488,3.078,3.078,3.078,3.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other,Other,Other,0.0,0.057674659,0.166528262,0.316981132,0.10760626,0.164744562,0.113207547,0.188679245,0.188679245,0.188679245,0.188679245,0.188679245,0.188679245,0.188679245,0.188679245,0.188679245,0.188679245,0.188679245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GDM,Guinea,Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11232,0.50544,0.67392,0.67392,0.67392,0.7488,0.7488,0.7488,0.7488,0.7488,0.7488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashapura Guinea,Guinea,Africa,0.0,0.0,0.0,0.0,0.073380415,0.0,0.0,0.56025,1.1205,1.68075,1.68075,1.68075,1.8675,1.8675,1.8675,1.8675,1.8675,1.8675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMB Kaboye,Guinea,Africa,0.0,0.0,0.0,3.058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMB Dabiss S,Guinea,Africa,0.0,0.0,0.0,2.187,2.554675693,3.299267463,0.3505079,3.00178763,4.795339039,4.473656865,6.379174992,5.871100235,5.871100235,6.67035,6.67035,6.67035,6.67035,6.67035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Weiqiao Self Supply,Guinea,Africa,0.0,0.0,0.0,0.0,11.0,11.0340041,12.00718018,12.52456237,13.08001096,13.09119314,13.17017501,13.19224977,13.19224977,13.21635632,13.21635632,13.21635632,13.21635632,13.21635632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGB2A,Guinea,Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.4185,1.694925,1.694925,2.03391,3.38985,3.578175,3.578175,3.578175,3.7665,3.7665,3.7665,3.7665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mokanji,Sierra Leone,Africa,0.0,0.0,0.0,0.0,0.0,0.019630428,0.0,0.4041,0.4041,0.4041,0.4041,0.4041,0.4041,0.4041,0.4041,0.4041,0.4041,0.4041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMB Santou-Houda,Guinea,Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.553643681,0.553643681,0.553643681,0.553643681,0.553643681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBK Kindia,Guinea,Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPIC self supply,Guinea,Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31752,1.9,1.9,1.9,1.9,1.5,1.5,1.5,2.3,2.3,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPIC to Mkt,Guinea,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,
