Rank,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
15,,,,Discovery Bay,Gujarat & Maharashtra,Gujarat & Maharashtra,SMB Malapouya,SMB Malapouya,Amrun,Amrun HT,Juruti,Amrun HT,Amrun HT,Juruti,Juruti,Juruti,Metro Blend,Metro Blend,Juruti,Juruti,Juruti,Metro Blend,Metro Blend,Metro Blend,Metro Blend,Metro Blend,Metro Blend
16,,,,Metro Blend,Discovery Bay,Discovery Bay,MRN,MRN,Amrun HT,Juruti,SMB Malapouya,Juruti,Juruti,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,Metro Blend,Metro Blend,Metro Blend,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya
17,,,,Mirai,Metallica,Mirai,Awaso,Awaso,SMB Malapouya,SMB Malapouya,MRN,SMB Malapouya,SMB Malapouya,MRN,MRN,MRN,MRN,MRN,SMB Malapouya,SMB Malapouya,SMB Malapouya,MRN,MRN,MRN,MRN,MRN,MRN
18,,,,Metallica,Mirai,Rondon do Para,Gujarat & Maharashtra,AMR,MRN,MRN,Awaso,MRN,MRN,Awaso,Awaso,Awaso,Awaso,Awaso,MRN,MRN,MRN,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso
19,,,,,Rondon do Para,,SMB Dabiss S,Gujarat & Maharashtra,Awaso,Awaso,Aurum Xinfa-Fiji,Awaso,Awaso,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Awaso,Awaso,Awaso,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay
20,,,,,,,Discovery Bay,SMB Dabiss S,AMR,Aurum Xinfa-Fiji,Gujarat & Maharashtra,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply
21,,,,,,,Mirai,SMB Kaboye,Gujarat & Maharashtra,Gujarat & Maharashtra,Discovery Bay,Gujarat & Maharashtra,Gujarat & Maharashtra,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye
22,,,,,,,Rondon do Para,Discovery Bay,SMB Kaboye,Discovery Bay,Weiqiao Self Supply,Discovery Bay,Discovery Bay,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,,,,,,
23,,,,,,,,Mirai,Discovery Bay,Weiqiao Self Supply,SMB Kaboye,Weiqiao Self Supply,Weiqiao Self Supply,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,,SMB Kaboye,,,,,,
24,,,,,,,,Rondon do Para,Metallica,SMB Kaboye,Metallica,SMB Kaboye,SMB Kaboye,Metallica,Metallica,Metallica,Metallica,Metallica,,,,,,,,,
25,,,,,,,,,Mirai,Metallica,Mirai,Metallica,Metallica,Mirai,Mirai,Mirai,Mirai,Mirai,,,,,,,,,
26,,,,,,,,,Rondon do Para,Mirai,Rondon do Para,Mirai,Mirai,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,,,,,,,,,
27,,,,,,,,,,Rondon do Para,,Rondon do Para,Rondon do Para,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,
