Rank,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
12,Solomon Islands,Solomon Islands,Henan-Chine,Henan-Chine,Weipa_Amrun Generic,West Kalimantan,Metro BH1,Metro Blend,GAC,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly
13,Henan-Chine,Henan-Chine,GDM,AMC,Alufer (Bel Air),Solomon Islands,GAC,GAC,Metro Blend,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC
14,0,0,0,0,0,0,0,0,Weipa_Amrun Generic,Metro Blend,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
15,0,0,0,0,0,0,CBG,Other,Other,Other,Metro Blend,Metro Blend,CBG,CBG,CBG,CBG,CBG,CBG,CBG,CBG,CBG,CBG,CBG,CBG,CBG,CBG,CBG
16,0,CBG,Juruti,Mokanji,AMC,Other,Metro Blend,CBG,CBG,CBG,CBG,CBG,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine
17,0,0,0,0,0,0,0,0,0,0,0,Henan-Chine,Metro Blend,Metro Blend,AMC,AMC,AMC,AMC,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,AMC,AMC,AMC,AMC,AMC,Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air)
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amrun,Amrun,Amrun,0,0,0,0,0,0
20,Mokanji,Mokanji,MRN,Ashapura Guinea,Amrun,Juruti,Amrun,Juruti,Juruti,Amrun,0,0,0,0,0,0,0,0,Amrun HT,Amrun HT,Amrun HT,Amrun HT,Amrun HT,Amrun HT,Amrun HT,Amrun HT,Amrun HT
21,0,0,0,Chalco Boffa,Metro LT,Mokanji,Amrun HT,Amrun,Amrun,Amrun HT,Amrun HT,Amrun HT,Amrun HT,Amrun HT,Metro Blend,Metro Blend,Juruti,Juruti,Juruti,Juruti,Juruti,Juruti,Juruti,Juruti,Juruti,Juruti,Juruti
22,0,0,Ashapura Guinea,0,0,0,Juruti,Amrun HT,Amrun HT,Juruti,Juruti,Juruti,Juruti,Juruti,Juruti,Juruti,Metro Blend,Metro Blend,Metro Blend,Metro Blend,Metro Blend,Metro Blend,Metro Blend,Metro Blend,Metro Blend,Metro Blend,Metro Blend
23,0,0,0,0,Metro BH1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,Ashapura Guinea,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,Metro LT,Amrun HT,CBG,Awaso,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN
27,0,Awaso,AMR,Metro LT,AMR,AMR,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso
28,0,0,Metro BH1,Discovery Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,AMR,AMR,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,Aurum Xinfa-Fiji,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,Gujarat & Maharashtra,Gujarat & Maharashtra,SMB Dabiss S,SMB Dabiss S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay
35,0,0,0,0,0,0,0,SMB Kaboye,SMB Kaboye,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply
36,0,SMB Kaboye,Metro Blend,Metro Blend,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,0,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,Metallica,0,0,0,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica,0,0,0,0,0,0,0,0,0
39,0,0,0,Mirai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,Metallica,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai,0,0,0,0,0,0,0,0,0
41,0,0,0,0,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
