index,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
10,"GAC,[$/dmt 34.1,[0.58 mln dmt]","GAC,[$/dmt 34.1,[0.42 mln dmt]","Solomon Islands,[$/dmt 29.4,[0.1 mln dmt]", , , ,"Huntly,[$/dmt 38.3,[0.73 mln dmt]","Solomon Islands,[$/dmt 36.3,[0.73 mln dmt]","Solomon Islands,[$/dmt 36.1,[0.73 mln dmt]","West Kalimantan,[$/dmt 36.1,[0.76 mln dmt]","West Kalimantan,[$/dmt 36.1,[0.76 mln dmt]","West Kalimantan,[$/dmt 36.1,[0.76 mln dmt]","West Kalimantan,[$/dmt 36.1,[0.76 mln dmt]","West Kalimantan,[$/dmt 36.1,[0.76 mln dmt]","West Kalimantan,[$/dmt 36.1,[0.76 mln dmt]","West Kalimantan,[$/dmt 36.1,[0.76 mln dmt]","West Kalimantan,[$/dmt 36.1,[0.76 mln dmt]","West Kalimantan,[$/dmt 36.1,[0.76 mln dmt]","West Kalimantan,[$/dmt 36.1,[2.0 mln dmt]","West Kalimantan,[$/dmt 36.1,[2.0 mln dmt]","West Kalimantan,[$/dmt 36.1,[2.0 mln dmt]","West Kalimantan,[$/dmt 36.1,[2.0 mln dmt]","West Kalimantan,[$/dmt 36.1,[2.0 mln dmt]","West Kalimantan,[$/dmt 36.1,[2.0 mln dmt]","West Kalimantan,[$/dmt 36.1,[2.0 mln dmt]","West Kalimantan,[$/dmt 36.1,[2.0 mln dmt]","West Kalimantan,[$/dmt 36.1,[2.0 mln dmt]"
11, , , ,"Alufer (Bel Air),[$/dmt 32.9,[0.15 mln dmt]","GAC,[$/dmt 36.2,[0.41 mln dmt]","Weipa_Amrun Generic,[$/dmt 34.8,[0.17 mln dmt]","Weipa_Amrun Generic,[$/dmt 38.6,[0.87 mln dmt]","Huntly,[$/dmt 37.6,[0.87 mln dmt]","Huntly,[$/dmt 37.3,[0.87 mln dmt]","Weipa_Amrun Generic,[$/dmt 37.8,[0.87 mln dmt]","Weipa_Amrun Generic,[$/dmt 37.8,[0.87 mln dmt]","Weipa_Amrun Generic,[$/dmt 37.8,[0.87 mln dmt]","Weipa_Amrun Generic,[$/dmt 37.8,[0.87 mln dmt]","Weipa_Amrun Generic,[$/dmt 37.8,[0.87 mln dmt]","Weipa_Amrun Generic,[$/dmt 37.8,[0.87 mln dmt]","Weipa_Amrun Generic,[$/dmt 37.8,[0.87 mln dmt]","Weipa_Amrun Generic,[$/dmt 37.8,[1.07 mln dmt]","Weipa_Amrun Generic,[$/dmt 37.8,[1.07 mln dmt]","Weipa_Amrun Generic,[$/dmt 37.8,[2.5 mln dmt]","Weipa_Amrun Generic,[$/dmt 37.8,[2.5 mln dmt]","Weipa_Amrun Generic,[$/dmt 37.8,[2.5 mln dmt]","Weipa_Amrun Generic,[$/dmt 37.8,[2.5 mln dmt]","Weipa_Amrun Generic,[$/dmt 37.8,[2.5 mln dmt]","Weipa_Amrun Generic,[$/dmt 37.8,[2.5 mln dmt]","Weipa_Amrun Generic,[$/dmt 37.8,[2.5 mln dmt]","Weipa_Amrun Generic,[$/dmt 37.8,[2.5 mln dmt]","Weipa_Amrun Generic,[$/dmt 37.8,[2.5 mln dmt]"
12,"Solomon Islands,[$/dmt 36.3,[0.37 mln dmt]","Solomon Islands,[$/dmt 36.3,[0.33 mln dmt]","Henan-Chine,[$/dmt 29.7,[0.48 mln dmt]","Henan-Chine,[$/dmt 33.9,[0.35 mln dmt]","Weipa_Amrun Generic,[$/dmt 36.8,[0.25 mln dmt]","West Kalimantan,[$/dmt 34.9,[0.13 mln dmt]","Metro BH1,[$/dmt 38.7,[0.42 mln dmt]","Metro Blend,[$/dmt 37.7,[0.42 mln dmt]","GAC,[$/dmt 38.0,[0.42 mln dmt]","Huntly,[$/dmt 38.3,[0.42 mln dmt]","Huntly,[$/dmt 38.3,[0.42 mln dmt]","Huntly,[$/dmt 38.3,[0.42 mln dmt]","Huntly,[$/dmt 38.3,[0.42 mln dmt]","Huntly,[$/dmt 38.3,[0.42 mln dmt]","Huntly,[$/dmt 38.3,[0.42 mln dmt]","Huntly,[$/dmt 38.3,[0.42 mln dmt]","Huntly,[$/dmt 38.3,[0.53 mln dmt]","Huntly,[$/dmt 38.3,[0.53 mln dmt]","Huntly,[$/dmt 38.3,[1.2 mln dmt]","Huntly,[$/dmt 38.3,[1.2 mln dmt]","Huntly,[$/dmt 38.3,[1.2 mln dmt]","Huntly,[$/dmt 38.3,[1.2 mln dmt]","Huntly,[$/dmt 38.3,[1.2 mln dmt]","Huntly,[$/dmt 38.3,[1.2 mln dmt]","Huntly,[$/dmt 38.3,[1.2 mln dmt]","Huntly,[$/dmt 38.3,[1.2 mln dmt]","Huntly,[$/dmt 38.3,[1.2 mln dmt]"
13,"Henan-Chine,[$/dmt 37.0,[0.09 mln dmt]","Henan-Chine,[$/dmt 37.0,[0.16 mln dmt]","GDM,[$/dmt 30.0,[1.38 mln dmt]","AMC,[$/dmt 35.2,[1.06 mln dmt]","Alufer (Bel Air),[$/dmt 37.0,[0.16 mln dmt]","Solomon Islands,[$/dmt 35.2,[0.39 mln dmt]","GAC,[$/dmt 39.0,[1.29 mln dmt]","GAC,[$/dmt 38.3,[1.29 mln dmt]","Metro Blend,[$/dmt 38.1,[1.29 mln dmt]","GAC,[$/dmt 38.7,[2.86 mln dmt]","GAC,[$/dmt 38.7,[2.86 mln dmt]","GAC,[$/dmt 38.7,[2.86 mln dmt]","GAC,[$/dmt 38.7,[2.86 mln dmt]","GAC,[$/dmt 38.7,[2.86 mln dmt]","GAC,[$/dmt 38.7,[3.67 mln dmt]","GAC,[$/dmt 38.7,[3.67 mln dmt]","GAC,[$/dmt 38.7,[4.12 mln dmt]","GAC,[$/dmt 38.7,[4.12 mln dmt]","GAC,[$/dmt 38.7,[8.55 mln dmt]","GAC,[$/dmt 38.7,[8.55 mln dmt]","GAC,[$/dmt 38.7,[8.55 mln dmt]","GAC,[$/dmt 38.7,[8.55 mln dmt]","GAC,[$/dmt 38.7,[8.55 mln dmt]","GAC,[$/dmt 38.7,[8.55 mln dmt]","GAC,[$/dmt 38.7,[8.55 mln dmt]","GAC,[$/dmt 38.7,[8.55 mln dmt]","GAC,[$/dmt 38.7,[8.55 mln dmt]"
14, , , , , , , , ,"Weipa_Amrun Generic,[$/dmt 38.2,[0.79 mln dmt]","Metro Blend,[$/dmt 39.0,[1.57 mln dmt]","Other,[$/dmt 39.5,[1.57 mln dmt]","Other,[$/dmt 39.5,[3.14 mln dmt]","Other,[$/dmt 39.5,[3.14 mln dmt]","Other,[$/dmt 39.5,[3.14 mln dmt]","Other,[$/dmt 39.5,[3.14 mln dmt]","Other,[$/dmt 39.5,[3.14 mln dmt]","Other,[$/dmt 39.5,[4.12 mln dmt]","Other,[$/dmt 39.5,[4.12 mln dmt]","Other,[$/dmt 39.5,[9.0 mln dmt]","Other,[$/dmt 39.5,[9.0 mln dmt]","Other,[$/dmt 39.5,[9.0 mln dmt]","Other,[$/dmt 39.5,[9.0 mln dmt]","Other,[$/dmt 39.5,[9.0 mln dmt]","Other,[$/dmt 39.5,[9.0 mln dmt]","Other,[$/dmt 39.5,[9.0 mln dmt]","Other,[$/dmt 39.5,[9.0 mln dmt]","Other,[$/dmt 39.5,[9.0 mln dmt]"
15, , , , , , ,"CBG,[$/dmt 40.5,[2.64 mln dmt]","Other,[$/dmt 39.1,[2.64 mln dmt]","Other,[$/dmt 38.8,[2.64 mln dmt]","Other,[$/dmt 39.5,[1.81 mln dmt]","Metro Blend,[$/dmt 39.6,[1.25 mln dmt]","Metro Blend,[$/dmt 40.1,[1.25 mln dmt]","CBG,[$/dmt 40.1,[1.25 mln dmt]","CBG,[$/dmt 40.1,[1.25 mln dmt]","CBG,[$/dmt 40.1,[1.25 mln dmt]","CBG,[$/dmt 40.1,[1.25 mln dmt]","CBG,[$/dmt 40.1,[1.25 mln dmt]","CBG,[$/dmt 40.1,[1.25 mln dmt]","CBG,[$/dmt 40.1,[11.7 mln dmt]","CBG,[$/dmt 40.1,[11.7 mln dmt]","CBG,[$/dmt 40.1,[11.7 mln dmt]","CBG,[$/dmt 40.1,[11.7 mln dmt]","CBG,[$/dmt 40.1,[11.7 mln dmt]","CBG,[$/dmt 40.1,[11.7 mln dmt]","CBG,[$/dmt 40.1,[11.7 mln dmt]","CBG,[$/dmt 40.1,[11.7 mln dmt]","CBG,[$/dmt 40.1,[11.7 mln dmt]"
16, ,"CBG,[$/dmt 38.7,[0.12 mln dmt]","Juruti,[$/dmt 32.0,[0.1 mln dmt]","Mokanji,[$/dmt 37.8,[0.64 mln dmt]","AMC,[$/dmt 39.5,[0.68 mln dmt]","Other,[$/dmt 36.1,[0.46 mln dmt]","Metro Blend,[$/dmt 40.6,[0.76 mln dmt]","CBG,[$/dmt 39.8,[0.76 mln dmt]","CBG,[$/dmt 39.5,[0.76 mln dmt]","CBG,[$/dmt 40.1,[0.76 mln dmt]","CBG,[$/dmt 40.1,[0.76 mln dmt]","CBG,[$/dmt 40.1,[0.76 mln dmt]","Henan-Chine,[$/dmt 40.4,[0.76 mln dmt]","Henan-Chine,[$/dmt 40.4,[0.76 mln dmt]","Henan-Chine,[$/dmt 40.4,[0.76 mln dmt]","Henan-Chine,[$/dmt 40.4,[0.76 mln dmt]","Henan-Chine,[$/dmt 40.4,[0.76 mln dmt]","Henan-Chine,[$/dmt 40.4,[0.76 mln dmt]","Henan-Chine,[$/dmt 40.4,[2.8 mln dmt]","Henan-Chine,[$/dmt 40.4,[2.8 mln dmt]","Henan-Chine,[$/dmt 40.4,[2.8 mln dmt]","Henan-Chine,[$/dmt 40.4,[2.8 mln dmt]","Henan-Chine,[$/dmt 40.4,[2.8 mln dmt]","Henan-Chine,[$/dmt 40.4,[2.8 mln dmt]","Henan-Chine,[$/dmt 40.4,[2.8 mln dmt]","Henan-Chine,[$/dmt 40.4,[2.8 mln dmt]","Henan-Chine,[$/dmt 40.4,[2.8 mln dmt]"
17, , , , , , , , , , , ,"Henan-Chine,[$/dmt 40.4,[0.52 mln dmt]","Metro Blend,[$/dmt 40.6,[0.52 mln dmt]","Metro Blend,[$/dmt 41.1,[0.52 mln dmt]","AMC,[$/dmt 41.1,[0.52 mln dmt]","AMC,[$/dmt 41.1,[0.52 mln dmt]","AMC,[$/dmt 41.1,[0.53 mln dmt]","AMC,[$/dmt 41.1,[0.53 mln dmt]", , , , , , , , , 
18, , , , , , , , , ,"AMC,[$/dmt 41.1,[1.18 mln dmt]","AMC,[$/dmt 41.1,[2.36 mln dmt]","AMC,[$/dmt 41.1,[2.76 mln dmt]","AMC,[$/dmt 41.1,[2.76 mln dmt]","AMC,[$/dmt 41.1,[2.95 mln dmt]","Alufer (Bel Air),[$/dmt 41.2,[3.15 mln dmt]","Alufer (Bel Air),[$/dmt 41.2,[3.15 mln dmt]","Alufer (Bel Air),[$/dmt 41.2,[3.15 mln dmt]","Alufer (Bel Air),[$/dmt 41.2,[3.15 mln dmt]","Alufer (Bel Air),[$/dmt 41.2,[10.0 mln dmt]","Alufer (Bel Air),[$/dmt 41.2,[15.0 mln dmt]","Alufer (Bel Air),[$/dmt 41.2,[15.0 mln dmt]","Alufer (Bel Air),[$/dmt 41.2,[17.0 mln dmt]","Alufer (Bel Air),[$/dmt 41.2,[20.0 mln dmt]","Alufer (Bel Air),[$/dmt 41.2,[20.0 mln dmt]","Alufer (Bel Air),[$/dmt 41.2,[20.0 mln dmt]","Alufer (Bel Air),[$/dmt 41.2,[20.0 mln dmt]","Alufer (Bel Air),[$/dmt 41.2,[20.0 mln dmt]"
19, , , , , , , , , , , , , , , , , , ,"Amrun,[$/dmt 41.4,[2.98 mln dmt]","Amrun,[$/dmt 41.4,[3.05 mln dmt]","Amrun,[$/dmt 41.4,[2.2 mln dmt]", , , , , , 
20,"Mokanji,[$/dmt 40.5,[0.29 mln dmt]","Mokanji,[$/dmt 40.5,[0.73 mln dmt]","MRN,[$/dmt 33.7,[1.96 mln dmt]","Ashapura Guinea,[$/dmt 38.8,[1.15 mln dmt]","Amrun,[$/dmt 43.4,[0.21 mln dmt]","Juruti,[$/dmt 38.8,[0.31 mln dmt]","Amrun,[$/dmt 42.7,[1.26 mln dmt]","Juruti,[$/dmt 42.0,[1.26 mln dmt]","Juruti,[$/dmt 41.6,[1.26 mln dmt]","Amrun,[$/dmt 41.4,[1.26 mln dmt]", , , , , , , , ,"Amrun HT,[$/dmt 41.4,[2.85 mln dmt]","Amrun HT,[$/dmt 41.4,[2.85 mln dmt]","Amrun HT,[$/dmt 41.4,[2.85 mln dmt]","Amrun HT,[$/dmt 41.4,[2.85 mln dmt]","Amrun HT,[$/dmt 41.4,[2.85 mln dmt]","Amrun HT,[$/dmt 41.4,[2.85 mln dmt]","Amrun HT,[$/dmt 41.4,[2.85 mln dmt]","Amrun HT,[$/dmt 41.4,[2.85 mln dmt]","Amrun HT,[$/dmt 41.4,[2.85 mln dmt]"
21, , , ,"Chalco Boffa,[$/dmt 40.0,[0.31 mln dmt]","Metro LT,[$/dmt 43.5,[0.48 mln dmt]","Mokanji,[$/dmt 40.0,[0.6 mln dmt]","Amrun HT,[$/dmt 42.7,[0.77 mln dmt]","Amrun,[$/dmt 42.3,[0.77 mln dmt]","Amrun,[$/dmt 42.2,[0.77 mln dmt]","Amrun HT,[$/dmt 41.4,[0.77 mln dmt]","Amrun HT,[$/dmt 41.4,[0.77 mln dmt]","Amrun HT,[$/dmt 41.4,[0.77 mln dmt]","Amrun HT,[$/dmt 41.4,[0.77 mln dmt]","Amrun HT,[$/dmt 41.4,[0.77 mln dmt]","Metro Blend,[$/dmt 41.6,[0.77 mln dmt]","Metro Blend,[$/dmt 42.1,[0.77 mln dmt]","Juruti,[$/dmt 42.4,[0.77 mln dmt]","Juruti,[$/dmt 42.4,[0.77 mln dmt]","Juruti,[$/dmt 42.4,[0.82 mln dmt]","Juruti,[$/dmt 42.4,[0.82 mln dmt]","Juruti,[$/dmt 42.4,[0.82 mln dmt]","Juruti,[$/dmt 42.4,[0.82 mln dmt]","Juruti,[$/dmt 42.4,[0.82 mln dmt]","Juruti,[$/dmt 42.4,[0.82 mln dmt]","Juruti,[$/dmt 42.4,[0.82 mln dmt]","Juruti,[$/dmt 42.4,[0.82 mln dmt]","Juruti,[$/dmt 42.4,[0.82 mln dmt]"
22, , ,"Ashapura Guinea,[$/dmt 34.4,[0.02 mln dmt]", , , ,"Juruti,[$/dmt 42.9,[0.39 mln dmt]","Amrun HT,[$/dmt 42.3,[0.39 mln dmt]","Amrun HT,[$/dmt 42.2,[0.39 mln dmt]","Juruti,[$/dmt 42.4,[0.39 mln dmt]","Juruti,[$/dmt 42.4,[0.39 mln dmt]","Juruti,[$/dmt 42.4,[0.39 mln dmt]","Juruti,[$/dmt 42.4,[0.39 mln dmt]","Juruti,[$/dmt 42.4,[0.77 mln dmt]","Juruti,[$/dmt 42.4,[0.77 mln dmt]","Juruti,[$/dmt 42.4,[0.77 mln dmt]","Metro Blend,[$/dmt 42.5,[0.77 mln dmt]","Metro Blend,[$/dmt 42.5,[1.16 mln dmt]","Metro Blend,[$/dmt 42.5,[4.0 mln dmt]","Metro Blend,[$/dmt 42.5,[5.0 mln dmt]","Metro Blend,[$/dmt 42.5,[5.0 mln dmt]","Metro Blend,[$/dmt 42.5,[5.0 mln dmt]","Metro Blend,[$/dmt 42.5,[5.0 mln dmt]","Metro Blend,[$/dmt 42.5,[5.0 mln dmt]","Metro Blend,[$/dmt 42.5,[5.0 mln dmt]","Metro Blend,[$/dmt 42.5,[5.0 mln dmt]","Metro Blend,[$/dmt 42.5,[5.0 mln dmt]"
23, , , , ,"Metro BH1,[$/dmt 44.1,[0.21 mln dmt]", , , , , , , , , , , , , , , , , , , , , , 
24, , , , , ,"Ashapura Guinea,[$/dmt 42.2,[0.52 mln dmt]","SMB Malapouya,[$/dmt 45.1,[3.71 mln dmt]","SMB Malapouya,[$/dmt 44.4,[3.53 mln dmt]","SMB Malapouya,[$/dmt 44.1,[3.23 mln dmt]","SMB Malapouya,[$/dmt 44.7,[3.36 mln dmt]","SMB Malapouya,[$/dmt 44.7,[3.26 mln dmt]","SMB Malapouya,[$/dmt 44.7,[3.26 mln dmt]","SMB Malapouya,[$/dmt 44.7,[3.26 mln dmt]","SMB Malapouya,[$/dmt 44.7,[2.86 mln dmt]","SMB Malapouya,[$/dmt 44.7,[2.66 mln dmt]","SMB Malapouya,[$/dmt 44.7,[2.56 mln dmt]","SMB Malapouya,[$/dmt 44.7,[2.56 mln dmt]","SMB Malapouya,[$/dmt 44.7,[2.56 mln dmt]","SMB Malapouya,[$/dmt 44.7,[12.0 mln dmt]","SMB Malapouya,[$/dmt 44.7,[12.0 mln dmt]","SMB Malapouya,[$/dmt 44.7,[12.0 mln dmt]","SMB Malapouya,[$/dmt 44.7,[12.0 mln dmt]","SMB Malapouya,[$/dmt 44.7,[12.0 mln dmt]","SMB Malapouya,[$/dmt 44.7,[12.0 mln dmt]","SMB Malapouya,[$/dmt 44.7,[12.0 mln dmt]","SMB Malapouya,[$/dmt 44.7,[12.0 mln dmt]","SMB Malapouya,[$/dmt 44.7,[12.0 mln dmt]"
25, , , , , , , , , , , , , , , , , , , , , , , , , , , 
26, , ,"Metro LT,[$/dmt 36.4,[0.01 mln dmt]","Amrun HT,[$/dmt 42.2,[0.15 mln dmt]","CBG,[$/dmt 47.2,[0.44 mln dmt]","Awaso,[$/dmt 44.6,[0.53 mln dmt]","MRN,[$/dmt 47.8,[0.59 mln dmt]","MRN,[$/dmt 46.9,[0.59 mln dmt]","MRN,[$/dmt 46.6,[0.59 mln dmt]","MRN,[$/dmt 47.3,[1.34 mln dmt]","MRN,[$/dmt 47.3,[2.08 mln dmt]","MRN,[$/dmt 47.3,[2.08 mln dmt]","MRN,[$/dmt 47.3,[2.08 mln dmt]","MRN,[$/dmt 47.3,[2.08 mln dmt]","MRN,[$/dmt 47.3,[2.08 mln dmt]","MRN,[$/dmt 47.3,[2.08 mln dmt]","MRN,[$/dmt 47.3,[2.08 mln dmt]","MRN,[$/dmt 47.3,[2.08 mln dmt]","MRN,[$/dmt 47.3,[20.0 mln dmt]","MRN,[$/dmt 47.3,[20.0 mln dmt]","MRN,[$/dmt 47.3,[20.0 mln dmt]","MRN,[$/dmt 47.3,[20.0 mln dmt]","MRN,[$/dmt 47.3,[20.0 mln dmt]","MRN,[$/dmt 47.3,[20.0 mln dmt]","MRN,[$/dmt 47.3,[20.0 mln dmt]","MRN,[$/dmt 47.3,[20.0 mln dmt]","MRN,[$/dmt 47.3,[20.0 mln dmt]"
