2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
GAC,GAC,Solomon Islands,SMB Santou-Houda,Huntly,GDM,Huntly,Solomon Islands,Solomon Islands,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan
West Kalimantan,West Kalimantan,West Kalimantan,Alufer (Bel Air),GAC,Weipa_Amrun Generic,Weipa_Amrun Generic,Huntly,Huntly,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic,Weipa_Amrun Generic
Solomon Islands,Solomon Islands,Henan-Chine,Henan-Chine,Weipa_Amrun Generic,West Kalimantan,Metro BH1,Metro Blend,GAC,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly
Henan-Chine,Henan-Chine,GDM,AMC,Alufer (Bel Air),Solomon Islands,GAC,GAC,Metro Blend,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC
Juruti,Juruti,Other,Weipa_Amrun Generic,Other,Huntly,Other,Weipa_Amrun Generic,Weipa_Amrun Generic,Metro Blend,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
Other,Other,AMC,Other,Henan-Chine,GAC,CBG,Other,Other,Other,Metro Blend,Metro Blend,CBG,CBG,CBG,CBG,CBG,CBG,CBG,CBG,CBG,CBG,CBG,CBG,CBG,CBG,CBG
CBG,CBG,Juruti,Mokanji,AMC,Other,Metro Blend,CBG,CBG,CBG,CBG,CBG,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine
Amrun,Amrun,CBG,Awaso,SMB Santou-Houda,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Metro Blend,Metro Blend,AMC,AMC,AMC,AMC,AMC,AMC,AMC,AMC,AMC,AMC,AMC,AMC,AMC
Amrun HT,Amrun HT,Mokanji,SMB Malapouya,Mokanji,Alufer (Bel Air),AMC,AMC,AMC,AMC,AMC,AMC,AMC,AMC,Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air)
AMC,AMC,SMB Malapouya,CBG,Juruti,AMC,Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Amrun,Amrun,Amrun,Amrun,Amrun,Amrun,Amrun,Amrun,Amrun,Amrun,Amrun,Amrun,Amrun
Mokanji,Mokanji,MRN,Ashapura Guinea,Amrun,Juruti,Amrun,Juruti,Juruti,Amrun,Amrun,Amrun,Amrun,Amrun,Amrun HT,Amrun HT,Amrun HT,Amrun HT,Amrun HT,Amrun HT,Amrun HT,Amrun HT,Amrun HT,Amrun HT,Amrun HT,Amrun HT,Amrun HT
Metro LT,Metro LT,Awaso,Chalco Boffa,Metro LT,Mokanji,Amrun HT,Amrun,Amrun,Amrun HT,Amrun HT,Amrun HT,Amrun HT,Amrun HT,Metro Blend,Metro Blend,Juruti,Juruti,Juruti,Juruti,Juruti,Juruti,Juruti,Juruti,Juruti,Juruti,Juruti
Metro BH1,Metro BH1,Ashapura Guinea,MRN,SMB Malapouya,Amrun,Juruti,Amrun HT,Amrun HT,Juruti,Juruti,Juruti,Juruti,Juruti,Juruti,Juruti,Metro Blend,Metro Blend,Metro Blend,Metro Blend,Metro Blend,Metro Blend,Metro Blend,Metro Blend,Metro Blend,Metro Blend,Metro Blend
SMB Malapouya,SMB Malapouya,Chalco Boffa,Juruti,Metro BH1,SMB Malapouya,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji
MRN,MRN,Amrun,AMR,Ashapura Guinea,Ashapura Guinea,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya
Discovery Bay,Discovery Bay,Amrun HT,Amrun,Chalco Boffa,CBG,Ashapura Guinea,Ashapura Guinea,Ashapura Guinea,Ashapura Guinea,Ashapura Guinea,Ashapura Guinea,Ashapura Guinea,Ashapura Guinea,Ashapura Guinea,Ashapura Guinea,Ashapura Guinea,Ashapura Guinea,Ashapura Guinea,Ashapura Guinea,Ashapura Guinea,Ashapura Guinea,Ashapura Guinea,Ashapura Guinea,Ashapura Guinea,Ashapura Guinea,Ashapura Guinea
Ashapura Guinea,Ashapura Guinea,Metro LT,Amrun HT,CBG,Awaso,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN
Awaso,Awaso,AMR,Metro LT,AMR,AMR,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso
Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Metro BH1,Discovery Bay,Aurum Xinfa-Fiji,SMB Santou-Houda,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,AMR,AMR,AMR,AMR,AMR,AMR,AMR,AMR,AMR,AMR,AMR,AMR,AMR,AMR,AMR,AMR,AMR,AMR
Chalco Boffa,Chalco Boffa,Aurum Xinfa-Fiji,Metro BH1,Awaso,Rundi,AMR,AMR,AMR,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji
Gujarat & Maharashtra,Gujarat & Maharashtra,SMB Dabiss S,SMB Dabiss S,Rundi,Aurum Xinfa-Fiji,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra
AMR,AMR,Rundi,Aurum Xinfa-Fiji,SMB Dabiss S,MRN,Rundi,Rundi,Rundi,Rundi,Rundi,Rundi,Rundi,Rundi,Rundi,Rundi,Rundi,Rundi,Rundi,Rundi,Rundi,Rundi,Rundi,Rundi,Rundi,Rundi,Rundi
Metro Blend,Metro Blend,Discovery Bay,Rundi,MRN,SMB Dabiss S,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda
SMB Dabiss S,SMB Dabiss S,Weiqiao Self Supply,Weiqiao Self Supply,Gujarat & Maharashtra,Gujarat & Maharashtra,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S
Rundi,Rundi,Gujarat & Maharashtra,Gujarat & Maharashtra,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay
Weiqiao Self Supply,Weiqiao Self Supply,SMB Kaboye,SMB Kaboye,Metro Blend,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply
SMB Kaboye,SMB Kaboye,Metro Blend,Metro Blend,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye
Aurukun,Aurukun,Dom. Rep.,Dom. Rep.,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun
Dom. Rep.,Dom. Rep.,Mirai,Aurukun,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica
Metallica,Metallica,Aurukun,Mirai,Dom. Rep.,Dom. Rep.,Dom. Rep.,Dom. Rep.,Dom. Rep.,Dom. Rep.,Dom. Rep.,Dom. Rep.,Dom. Rep.,Dom. Rep.,Dom. Rep.,Dom. Rep.,Dom. Rep.,Dom. Rep.,Dom. Rep.,Dom. Rep.,Dom. Rep.,Dom. Rep.,Dom. Rep.,Dom. Rep.,Dom. Rep.,Dom. Rep.,Dom. Rep.
Mirai,Mirai,Metallica,Metallica,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai
Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para
Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor
Seydisehir,Seydisehir,Seydisehir,Seydisehir,Seydisehir,Seydisehir,Seydisehir,Seydisehir,Seydisehir,Seydisehir,Seydisehir,Seydisehir,Seydisehir,Seydisehir,Seydisehir,Seydisehir,Seydisehir,Seydisehir,Seydisehir,Seydisehir,Seydisehir,Seydisehir,Seydisehir,Seydisehir,Seydisehir,Seydisehir,Seydisehir
Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa
CBK Kindia,CBK Kindia,CBK Kindia,CBK Kindia,CBK Kindia,CBK Kindia,CBK Kindia,CBK Kindia,CBK Kindia,CBK Kindia,CBK Kindia,CBK Kindia,CBK Kindia,CBK Kindia,CBK Kindia,CBK Kindia,CBK Kindia,CBK Kindia,CBK Kindia,CBK Kindia,CBK Kindia,CBK Kindia,CBK Kindia,CBK Kindia,CBK Kindia,CBK Kindia,CBK Kindia
SPIC self supply,SPIC self supply,SPIC self supply,SPIC self supply,SPIC self supply,SPIC self supply,SPIC self supply,SPIC self supply,SPIC self supply,SPIC self supply,SPIC self supply,SPIC self supply,SPIC self supply,SPIC self supply,SPIC self supply,SPIC self supply,SPIC self supply,SPIC self supply,SPIC self supply,SPIC self supply,SPIC self supply,SPIC self supply,SPIC self supply,SPIC self supply,SPIC self supply,SPIC self supply,SPIC self supply
SPIC to Mkt,SPIC to Mkt,SPIC to Mkt,SPIC to Mkt,SPIC to Mkt,SPIC to Mkt,SPIC to Mkt,SPIC to Mkt,SPIC to Mkt,SPIC to Mkt,SPIC to Mkt,SPIC to Mkt,SPIC to Mkt,SPIC to Mkt,SPIC to Mkt,SPIC to Mkt,SPIC to Mkt,SPIC to Mkt,SPIC to Mkt,SPIC to Mkt,SPIC to Mkt,SPIC to Mkt,SPIC to Mkt,SPIC to Mkt,SPIC to Mkt,SPIC to Mkt,SPIC to Mkt
