day_id,date,nax,sax,wacif
day_253,00-01-1900,0,0,0
day_252,00-01-1900,0,0,0
day_251,00-01-1900,0,0,0
day_250,00-01-1900,0,0,0
day_249,00-01-1900,0,0,0
day_248,00-01-1900,0,0,0
day_247,00-01-1900,0,0,0
day_246,00-01-1900,0,0,0
day_245,00-01-1900,0,0,0
day_244,00-01-1900,0,0,0
day_243,00-01-1900,0,0,0
day_242,00-01-1900,0,0,0
day_241,00-01-1900,0,0,0
day_240,00-01-1900,0,0,0
day_239,00-01-1900,0,0,0
day_238,00-01-1900,0,0,0
day_237,00-01-1900,0,0,0
day_236,00-01-1900,0,0,0
day_235,00-01-1900,0,0,0
day_234,00-01-1900,0,0,0
day_233,00-01-1900,0,0,0
day_232,00-01-1900,0,0,0
day_231,00-01-1900,0,0,0
day_230,00-01-1900,0,0,0
day_229,00-01-1900,0,0,0
day_228,00-01-1900,0,0,0
day_227,00-01-1900,0,0,0
day_226,00-01-1900,0,0,0
day_225,00-01-1900,0,0,0
day_224,00-01-1900,0,0,0
day_223,00-01-1900,0,0,0
day_222,00-01-1900,0,0,0
day_221,00-01-1900,0,0,0
day_220,00-01-1900,0,0,0
day_219,00-01-1900,0,0,0
day_218,00-01-1900,0,0,0
day_217,00-01-1900,0,0,0
day_216,00-01-1900,0,0,0
day_215,00-01-1900,0,0,0
day_214,00-01-1900,0,0,0
day_213,00-01-1900,0,0,0
day_212,00-01-1900,0,0,0
day_211,00-01-1900,0,0,0
day_210,00-01-1900,0,0,0
day_209,00-01-1900,0,0,0
day_208,00-01-1900,0,0,0
day_207,00-01-1900,0,0,0
day_206,00-01-1900,0,0,0
day_205,00-01-1900,0,0,0
day_204,00-01-1900,0,0,0
day_203,00-01-1900,0,0,0
day_202,00-01-1900,0,0,0
day_201,00-01-1900,0,0,0
day_200,00-01-1900,0,0,0
day_199,00-01-1900,0,0,0
day_198,00-01-1900,0,0,0
day_197,00-01-1900,0,0,0
day_196,00-01-1900,0,0,0
day_195,00-01-1900,0,0,0
day_194,00-01-1900,0,0,0
day_193,00-01-1900,0,0,0
day_192,00-01-1900,0,0,0
day_191,00-01-1900,0,0,0
day_190,00-01-1900,0,0,0
day_189,00-01-1900,0,0,0
day_188,00-01-1900,0,0,0
day_187,00-01-1900,0,0,0
day_186,00-01-1900,0,0,0
day_185,00-01-1900,0,0,0
day_184,00-01-1900,0,0,0
day_183,00-01-1900,0,0,0
day_182,00-01-1900,0,0,0
day_181,00-01-1900,0,0,0
day_180,00-01-1900,0,0,0
day_179,00-01-1900,0,0,0
day_178,00-01-1900,0,0,0
day_177,00-01-1900,0,0,0
day_176,00-01-1900,0,0,0
day_175,00-01-1900,0,0,0
day_174,00-01-1900,0,0,0
day_173,00-01-1900,0,0,0
day_172,00-01-1900,0,0,0
day_171,00-01-1900,0,0,0
day_170,00-01-1900,0,0,0
day_169,00-01-1900,0,0,0
day_168,00-01-1900,0,0,0
day_167,00-01-1900,0,0,0
day_166,00-01-1900,0,0,0
day_165,00-01-1900,0,0,0
day_164,00-01-1900,0,0,0
day_163,00-01-1900,0,0,0
day_162,00-01-1900,0,0,0
day_161,00-01-1900,0,0,0
day_160,00-01-1900,0,0,0
day_159,00-01-1900,0,0,0
day_158,00-01-1900,0,0,0
day_157,00-01-1900,0,0,0
day_156,00-01-1900,0,0,0
day_155,00-01-1900,0,0,0
day_154,00-01-1900,0,0,0
day_153,00-01-1900,0,0,0
day_152,00-01-1900,0,0,0
day_151,00-01-1900,0,0,0
day_150,00-01-1900,0,0,0
day_149,00-01-1900,0,0,0
day_148,00-01-1900,0,0,0
day_147,00-01-1900,0,0,0
day_146,00-01-1900,0,0,0
day_145,00-01-1900,0,0,0
day_144,00-01-1900,0,0,0
day_143,00-01-1900,0,0,0
day_142,00-01-1900,0,0,0
day_141,00-01-1900,0,0,0
day_140,00-01-1900,0,0,0
day_139,00-01-1900,0,0,0
day_138,00-01-1900,0,0,0
day_137,00-01-1900,0,0,0
day_136,00-01-1900,0,0,0
day_135,00-01-1900,0,0,0
day_134,00-01-1900,0,0,0
day_133,00-01-1900,0,0,0
day_132,00-01-1900,0,0,0
day_131,00-01-1900,0,0,0
day_130,00-01-1900,0,0,0
day_129,00-01-1900,0,0,0
day_128,00-01-1900,0,0,0
day_127,00-01-1900,0,0,0
day_126,00-01-1900,0,0,0
day_125,00-01-1900,0,0,0
day_124,00-01-1900,0,0,0
day_123,00-01-1900,0,0,0
day_122,00-01-1900,0,0,0
day_121,00-01-1900,0,0,0
day_120,00-01-1900,0,0,0
day_119,00-01-1900,0,0,0
day_118,00-01-1900,0,0,0
day_117,00-01-1900,0,0,0
day_116,00-01-1900,0,0,0
day_115,00-01-1900,0,0,0
day_114,00-01-1900,0,0,0
day_113,00-01-1900,0,0,0
day_112,00-01-1900,0,0,0
day_111,00-01-1900,0,0,0
day_110,00-01-1900,0,0,0
day_109,00-01-1900,0,0,0
day_108,00-01-1900,0,0,0
day_107,00-01-1900,0,0,0
day_106,00-01-1900,0,0,0
day_105,00-01-1900,0,0,0
day_104,00-01-1900,0,0,0
day_103,00-01-1900,0,0,0
day_102,00-01-1900,0,0,0
day_101,00-01-1900,0,0,0
day_100,00-01-1900,0,0,0
day_99,00-01-1900,0,0,0
day_98,00-01-1900,0,0,0
day_97,00-01-1900,0,0,0
day_96,00-01-1900,0,0,0
day_95,00-01-1900,0,0,0
day_94,00-01-1900,0,0,0
day_93,00-01-1900,0,0,0
day_92,00-01-1900,0,0,0
day_91,00-01-1900,0,0,0
day_90,00-01-1900,0,0,0
day_89,00-01-1900,0,0,0
day_88,00-01-1900,0,0,0
day_87,00-01-1900,0,0,0
day_86,00-01-1900,0,0,0
day_85,00-01-1900,0,0,0
day_84,00-01-1900,0,0,0
day_83,00-01-1900,0,0,0
day_82,00-01-1900,0,0,0
day_81,00-01-1900,0,0,0
day_80,00-01-1900,0,0,0
day_79,00-01-1900,0,0,0
day_78,00-01-1900,0,0,0
day_77,00-01-1900,0,0,0
day_76,00-01-1900,0,0,0
day_75,00-01-1900,0,0,0
day_74,00-01-1900,0,0,0
day_73,00-01-1900,0,0,0
day_72,00-01-1900,0,0,0
day_71,00-01-1900,0,0,0
day_70,00-01-1900,0,0,0
day_69,00-01-1900,0,0,0
day_68,00-01-1900,0,0,0
day_67,00-01-1900,0,0,0
day_66,00-01-1900,0,0,0
day_65,00-01-1900,0,0,0
day_64,00-01-1900,0,0,0
day_63,00-01-1900,0,0,0
day_62,00-01-1900,0,0,0
day_61,00-01-1900,0,0,0
day_60,00-01-1900,0,0,0
day_59,00-01-1900,0,0,0
day_58,00-01-1900,0,0,0
day_57,00-01-1900,0,0,0
day_56,00-01-1900,0,0,0
day_55,00-01-1900,0,0,0
day_54,00-01-1900,0,0,0
day_53,00-01-1900,0,0,0
day_52,00-01-1900,0,0,0
day_51,00-01-1900,0,0,0
day_50,00-01-1900,0,0,0
day_49,00-01-1900,0,0,0
day_48,00-01-1900,0,0,0
day_47,00-01-1900,0,0,0
day_46,00-01-1900,0,0,0
day_45,00-01-1900,0,0,0
day_44,00-01-1900,0,0,0
day_43,00-01-1900,0,0,0
day_42,00-01-1900,0,0,0
day_41,00-01-1900,0,0,0
day_40,00-01-1900,0,0,0
day_39,00-01-1900,0,0,0
day_38,00-01-1900,0,0,0
day_37,00-01-1900,0,0,0
day_36,00-01-1900,0,0,0
day_35,00-01-1900,0,0,0
day_34,00-01-1900,0,0,0
day_33,00-01-1900,0,0,0
day_32,00-01-1900,0,0,0
day_31,00-01-1900,0,0,0
day_30,00-01-1900,0,0,0
day_29,00-01-1900,0,0,0
day_28,00-01-1900,0,0,0
day_27,00-01-1900,0,0,0
day_26,00-01-1900,0,0,0
day_25,00-01-1900,0,0,0
day_24,00-01-1900,0,0,0
day_23,00-01-1900,0,0,0
day_22,00-01-1900,0,0,0
day_21,00-01-1900,0,0,0
day_20,00-01-1900,0,0,0
day_19,00-01-1900,0,0,0
day_18,00-01-1900,0,0,0
day_17,00-01-1900,0,0,0
day_16,00-01-1900,0,0,0
day_15,00-01-1900,0,0,0
day_14,00-01-1900,0,0,0
day_13,00-01-1900,0,0,0
day_12,00-01-1900,0,0,0
day_11,00-01-1900,0,0,0
day_10,00-01-1900,0,0,0
day_9,00-01-1900,0,0,0
day_8,00-01-1900,0,0,0
day_7,00-01-1900,0,0,0
day_6,00-01-1900,0,0,0
day_5,00-01-1900,0,0,0
day_4,00-01-1900,0,0,0
day_3,00-01-1900,0,0,0
day_2,00-01-1900,0,0,0
day_1,00-01-1900,0,0,0
