,,Day,Date,NAX,SAX,WA CIF VAT incl.,,Date,WA CIF VAT INCL.,USD: RMB,Australia (FOB WA),WA CIF RMB/t
HARD CODE VALUES,," 3,318 ",29-Apr-11,"2,702",,#N/A,,3/3/2011,512,6.5695,," 3,362.06 "
HARD CODE VALUES,," 3,314 ",03-May-11,"2,673",," 3,461 ",,3/4/2011,512,6.5671,," 3,360.86 "
HARD CODE VALUES,," 3,313 ",04-May-11,"2,676",," 3,461 ",,3/7/2011,512,6.5651,," 3,359.86 "
HARD CODE VALUES,," 3,312 ",05-May-11,"2,676",," 3,462 ",,3/8/2011,512,6.5687,," 3,361.66 "
HARD CODE VALUES,," 3,311 ",06-May-11,"2,676",," 3,463 ",,3/9/2011,512,6.5748,," 3,364.70 "
HARD CODE VALUES,," 3,308 ",09-May-11,"2,644",," 3,429 ",,3/10/2011,513,6.5713,," 3,370.64 "
HARD CODE VALUES,," 3,307 ",10-May-11,"2,644",," 3,443 ",,3/11/2011,513,6.575,," 3,372.50 "
HARD CODE VALUES,," 3,306 ",11-May-11,"2,670",," 3,443 ",,3/14/2011,513,6.5701,," 3,370.04 "
HARD CODE VALUES,," 3,305 ",12-May-11,"2,687",," 3,445 ",,3/15/2011,511,6.5679,," 3,353.57 "
HARD CODE VALUES,," 3,304 ",13-May-11,"2,634",," 3,427 ",,3/16/2011,508,6.5718,," 3,340.14 "
HARD CODE VALUES,," 3,301 ",16-May-11,"2,629",," 3,416 ",,3/17/2011,509,6.569,," 3,346.44 "
HARD CODE VALUES,," 3,300 ",17-May-11,"2,620",," 3,394 ",,3/18/2011,511,6.5668,," 3,353.02 "
HARD CODE VALUES,," 3,299 ",18-May-11,"2,618",," 3,392 ",,3/21/2011,511,6.5632,," 3,351.23 "
HARD CODE VALUES,," 3,298 ",19-May-11,"2,643",," 3,391 ",,3/22/2011,512,6.5632,," 3,358.91 "
HARD CODE VALUES,," 3,297 ",20-May-11,"2,660",," 3,387 ",,3/23/2011,515,6.5601,," 3,380.39 "
HARD CODE VALUES,," 3,294 ",23-May-11,"2,657",," 3,373 ",,3/24/2011,515,6.5625,," 3,381.59 "
HARD CODE VALUES,," 3,293 ",24-May-11,"2,632",," 3,367 ",,3/25/2011,515,6.558,," 3,379.33 "
HARD CODE VALUES,," 3,292 ",25-May-11,"2,597",," 3,363 ",,3/28/2011,515,6.5618,," 3,381.24 "
HARD CODE VALUES,," 3,291 ",26-May-11,"2,575",," 3,346 ",,3/29/2011,515,6.5625,," 3,381.59 "
HARD CODE VALUES,," 3,290 ",27-May-11,"2,583",," 3,307 ",,3/30/2011,514,6.5586,," 3,371.96 "
HARD CODE VALUES,," 3,287 ",30-May-11,"2,612",,#N/A,,3/31/2011,514,6.5564,," 3,370.85 "
HARD CODE VALUES,," 3,286 ",31-May-11,"2,615",," 3,274 ",,4/1/2011,513,6.5564,," 3,363.18 "
HARD CODE VALUES,," 3,285 ",01-Jun-11,"2,604",," 3,281 ",,4/4/2011,513,6.5564,," 3,363.18 "
HARD CODE VALUES,," 3,284 ",02-Jun-11,"2,599",," 3,284 ",,4/5/2011,513,6.5564,," 3,363.18 "
HARD CODE VALUES,," 3,283 ",03-Jun-11,"2,617",," 3,282 ",,4/6/2011,514,6.5496,," 3,367.44 "
HARD CODE VALUES,," 3,280 ",06-Jun-11,"2,617",," 3,282 ",,4/7/2011,515,6.5456,," 3,373.09 "
HARD CODE VALUES,," 3,279 ",07-Jun-11,"2,617",," 3,265 ",,4/8/2011,515,6.542,," 3,371.28 "
HARD CODE VALUES,," 3,278 ",08-Jun-11,"2,623",," 3,249 ",,4/11/2011,518,6.5401,," 3,385.63 "
HARD CODE VALUES,," 3,277 ",09-Jun-11,"2,634",," 3,251 ",,4/12/2011,518,6.544,," 3,387.60 "
HARD CODE VALUES,," 3,276 ",10-Jun-11,"2,638",," 3,252 ",,4/13/2011,518,6.5369,," 3,384.01 "
HARD CODE VALUES,," 3,273 ",13-Jun-11,"2,641",," 3,254 ",,4/14/2011,518,6.5339,," 3,382.49 "
HARD CODE VALUES,," 3,272 ",14-Jun-11,"2,649",," 3,250 ",,4/15/2011,517,6.5301,," 3,372.93 "
HARD CODE VALUES,," 3,271 ",15-Jun-11,"2,650",," 3,249 ",,4/18/2011,518,6.531,," 3,381.03 "
HARD CODE VALUES,," 3,270 ",16-Jun-11,"2,668",," 3,249 ",,4/19/2011,519,6.5346,," 3,394.32 "
HARD CODE VALUES,," 3,269 ",17-Jun-11,"2,656",," 3,245 ",,4/20/2011,520,6.5294,," 3,395.50 "
HARD CODE VALUES,," 3,266 ",20-Jun-11,"2,658",," 3,236 ",,4/21/2011,532,6.5294,," 3,475.71 "
HARD CODE VALUES,," 3,265 ",21-Jun-11,"2,669",," 3,221 ",,4/26/2011,532,6.5173,," 3,469.42 "
HARD CODE VALUES,," 3,264 ",22-Jun-11,"2,688",," 3,221 ",,4/27/2011,532,6.5096,," 3,465.42 "
HARD CODE VALUES,," 3,263 ",23-Jun-11,"2,691",," 3,216 ",,4/28/2011,532,6.5051,," 3,463.07 "
HARD CODE VALUES,," 3,262 ",24-Jun-11,"2,695",," 3,208 ",,5/3/2011,532,6.5002,," 3,460.53 "
HARD CODE VALUES,," 3,259 ",27-Jun-11,"2,695",," 3,208 ",,5/4/2011,532,6.5013,," 3,461.10 "
HARD CODE VALUES,," 3,258 ",28-Jun-11,"2,693",," 3,209 ",,5/5/2011,532,6.5025,," 3,461.72 "
HARD CODE VALUES,," 3,257 ",29-Jun-11,"2,691",," 3,200 ",,5/6/2011,532,6.5053,," 3,463.18 "
HARD CODE VALUES,," 3,256 ",30-Jun-11,"2,706",," 3,192 ",,5/9/2011,528,6.4988,," 3,429.38 "
HARD CODE VALUES,," 3,255 ",01-Jul-11,"2,699",," 3,175 ",,5/10/2011,530,6.495,," 3,442.62 "
HARD CODE VALUES,," 3,252 ",04-Jul-11,"2,708",," 3,174 ",,5/11/2011,530,6.4948,," 3,442.52 "
HARD CODE VALUES,," 3,251 ",05-Jul-11,"2,705",," 3,174 ",,5/12/2011,530,6.5005,," 3,445.47 "
HARD CODE VALUES,," 3,250 ",06-Jul-11,"2,706",," 3,166 ",,5/13/2011,527,6.5017,," 3,427.08 "
HARD CODE VALUES,," 3,249 ",07-Jul-11,"2,703",," 3,170 ",,5/16/2011,525,6.5089,," 3,415.55 "
HARD CODE VALUES,," 3,248 ",08-Jul-11,"2,710",," 3,157 ",,5/17/2011,521,6.5108,," 3,393.67 "
HARD CODE VALUES,," 3,245 ",11-Jul-11,"2,730",," 3,158 ",,5/18/2011,521,6.5074,," 3,391.94 "
HARD CODE VALUES,," 3,244 ",12-Jul-11,"2,746",," 3,148 ",,5/19/2011,521,6.5048,," 3,390.62 "
HARD CODE VALUES,," 3,243 ",13-Jul-11,"2,754",," 3,147 ",,5/20/2011,521,6.4983,," 3,387.31 "
HARD CODE VALUES,," 3,242 ",14-Jul-11,"2,761",," 3,132 ",,5/23/2011,519,6.4998,," 3,372.86 "
HARD CODE VALUES,," 3,241 ",15-Jul-11,"2,762",," 3,133 ",,5/24/2011,518,6.5038,," 3,367.28 "
HARD CODE VALUES,," 3,238 ",18-Jul-11,"2,762",," 3,134 ",,5/25/2011,518,6.4949,," 3,362.78 "
HARD CODE VALUES,," 3,237 ",19-Jul-11,"2,789",," 3,134 ",,5/26/2011,515,6.4921,," 3,346.18 "
HARD CODE VALUES,," 3,236 ",20-Jul-11,"2,843",," 3,134 ",,5/27/2011,510,6.4898,," 3,307.05 "
HARD CODE VALUES,," 3,235 ",21-Jul-11,"2,817",," 3,127 ",,5/31/2011,505,6.4845,," 3,274.07 "
HARD CODE VALUES,," 3,234 ",22-Jul-11,"2,817",," 3,125 ",,6/1/2011,506,6.4837,," 3,281.26 "
HARD CODE VALUES,," 3,231 ",25-Jul-11,"2,854",," 3,167 ",,6/2/2011,506,6.4886,," 3,283.68 "
HARD CODE VALUES,," 3,230 ",26-Jul-11,"2,854",," 3,158 ",,6/3/2011,506,6.4846,," 3,281.71 "
HARD CODE VALUES,," 3,229 ",27-Jul-11,"2,893",," 3,122 ",,6/6/2011,506,6.4846,," 3,281.71 "
HARD CODE VALUES,," 3,228 ",28-Jul-11,"2,880",," 3,130 ",,6/7/2011,504,6.4816,," 3,265.06 "
HARD CODE VALUES,," 3,227 ",29-Jul-11,"2,886",," 3,122 ",,6/8/2011,501,6.4795,," 3,248.86 "
HARD CODE VALUES,," 3,224 ",01-Aug-11,"2,900","2,850"," 3,120 ",,6/9/2011,501,6.483,," 3,250.58 "
HARD CODE VALUES,," 3,223 ",02-Aug-11,"2,902","2,850"," 3,125 ",,6/10/2011,501,6.4853,," 3,251.70 "
HARD CODE VALUES,," 3,222 ",03-Aug-11,"2,902","2,850"," 3,126 ",,6/13/2011,501,6.4892,," 3,253.61 "
HARD CODE VALUES,," 3,221 ",04-Aug-11,"2,903","2,850"," 3,093 ",,6/14/2011,501,6.4822,," 3,250.18 "
HARD CODE VALUES,," 3,220 ",05-Aug-11,"2,899","2,850"," 3,077 ",,6/15/2011,501,6.4796,," 3,248.91 "
HARD CODE VALUES,," 3,217 ",08-Aug-11,"2,901","2,850"," 3,071 ",,6/16/2011,501,6.4803,," 3,249.26 "
HARD CODE VALUES,," 3,216 ",09-Aug-11,"2,901","2,850"," 3,072 ",,6/17/2011,501,6.4716,," 3,245.00 "
HARD CODE VALUES,," 3,215 ",10-Aug-11,"2,899","2,850"," 3,064 ",,6/20/2011,500,6.4696,," 3,236.45 "
HARD CODE VALUES,," 3,214 ",11-Aug-11,"2,901","2,850"," 3,049 ",,6/21/2011,498,6.469,," 3,221.02 "
HARD CODE VALUES,," 3,213 ",12-Aug-11,"2,903","2,850"," 3,036 ",,6/22/2011,498,6.4683,," 3,220.68 "
HARD CODE VALUES,," 3,210 ",15-Aug-11,"2,903","2,850"," 3,035 ",,6/23/2011,497,6.4736,," 3,215.68 "
HARD CODE VALUES,," 3,209 ",16-Aug-11,"2,903","2,850"," 3,034 ",,6/24/2011,496,6.4742,," 3,208.40 "
HARD CODE VALUES,," 3,208 ",17-Aug-11,"2,897","2,850"," 3,026 ",,6/27/2011,496,6.4742,," 3,208.40 "
HARD CODE VALUES,," 3,207 ",18-Aug-11,"2,893","2,850"," 3,013 ",,6/28/2011,496,6.475,," 3,208.78 "
HARD CODE VALUES,," 3,206 ",19-Aug-11,"2,882","2,840"," 3,017 ",,6/29/2011,494,6.4718,," 3,199.67 "
HARD CODE VALUES,," 3,203 ",22-Aug-11,"2,883","2,842"," 3,015 ",,6/30/2011,493,6.4716,," 3,192.00 "
HARD CODE VALUES,," 3,202 ",23-Aug-11,"2,884","2,840"," 3,015 ",,7/1/2011,491,6.4685,," 3,175.37 "
HARD CODE VALUES,," 3,201 ",24-Aug-11,"2,884","2,838"," 3,011 ",,7/4/2011,491,6.4661,," 3,174.22 "
HARD CODE VALUES,," 3,200 ",25-Aug-11,"2,864","2,836"," 3,003 ",,7/5/2011,491,6.4661,," 3,174.22 "
HARD CODE VALUES,," 3,199 ",26-Aug-11,"2,858","2,820"," 3,006 ",,7/6/2011,490,6.465,," 3,166.13 "
HARD CODE VALUES,," 3,196 ",29-Aug-11,"2,873","2,820",#N/A,,7/7/2011,490,6.4732,," 3,170.05 "
HARD CODE VALUES,," 3,195 ",30-Aug-11,"2,872","2,820"," 3,001 ",,7/8/2011,488,6.4705,," 3,157.40 "
HARD CODE VALUES,," 3,194 ",31-Aug-11,"2,900","2,820"," 2,994 ",,7/11/2011,488,6.4709,," 3,157.59 "
HARD CODE VALUES,," 3,193 ",01-Sep-11,"2,889","2,820"," 2,994 ",,7/12/2011,486,6.4748,," 3,148.08 "
HARD CODE VALUES,," 3,192 ",02-Sep-11,"2,883","2,820"," 2,996 ",,7/13/2011,486,6.4728,," 3,147.14 "
HARD CODE VALUES,," 3,189 ",05-Sep-11,"2,888","2,820"," 2,997 ",,7/14/2011,484,6.464,," 3,131.62 "
HARD CODE VALUES,," 3,188 ",06-Sep-11,"2,898","2,820"," 2,998 ",,7/15/2011,484,6.4665,," 3,132.80 "
HARD CODE VALUES,," 3,187 ",07-Sep-11,"2,876","2,820"," 3,021 ",,7/18/2011,484,6.468,," 3,133.51 "
HARD CODE VALUES,," 3,186 ",08-Sep-11,"2,888","2,820"," 3,021 ",,7/19/2011,484,6.4684,," 3,133.70 "
HARD CODE VALUES,," 3,185 ",09-Sep-11,"2,888","2,820"," 3,019 ",,7/20/2011,484,6.4684,," 3,133.70 "
HARD CODE VALUES,," 3,181 ",13-Sep-11,"2,888","2,820"," 3,022 ",,7/21/2011,484,6.4536,," 3,126.71 "
HARD CODE VALUES,," 3,180 ",14-Sep-11,"2,891","2,820"," 3,020 ",,7/22/2011,484,6.4495,," 3,124.78 "
HARD CODE VALUES,," 3,179 ",15-Sep-11,"2,884","2,820"," 3,020 ",,7/25/2011,491,6.4503,," 3,166.66 "
HARD CODE VALUES,," 3,178 ",16-Sep-11,"2,887","2,820"," 3,021 ",,7/26/2011,490,6.447,," 3,157.54 "
HARD CODE VALUES,," 3,175 ",19-Sep-11,"2,896","2,800"," 3,023 ",,7/27/2011,485,6.4426,," 3,121.52 "
HARD CODE VALUES,," 3,174 ",20-Sep-11,"2,881","2,800"," 3,021 ",,7/28/2011,486,6.4438,," 3,129.63 "
HARD CODE VALUES,," 3,173 ",21-Sep-11,"2,877","2,800"," 3,020 ",,7/29/2011,485,6.4442,," 3,122.27 "
HARD CODE VALUES,," 3,172 ",22-Sep-11,"2,885","2,800"," 3,021 ",,8/1/2011,485,6.4399,," 3,120.24 "
HARD CODE VALUES,," 3,171 ",23-Sep-11,"2,876","2,750"," 3,000 ",,8/2/2011,485,6.4419,," 3,124.96 "
HARD CODE VALUES,," 3,168 ",26-Sep-11,"2,853","2,750"," 2,996 ",,8/3/2011,485,6.4441,," 3,126.00 "
HARD CODE VALUES,," 3,167 ",27-Sep-11,"2,853","2,750"," 2,974 ",,8/4/2011,480,6.4386,," 3,093.26 "
HARD CODE VALUES,," 3,166 ",28-Sep-11,"2,853","2,750"," 2,968 ",,8/5/2011,477,6.4451,," 3,077.45 "
HARD CODE VALUES,," 3,165 ",29-Sep-11,"2,865","2,750"," 2,963 ",,8/8/2011,478,6.4305,," 3,070.66 "
HARD CODE VALUES,," 3,164 ",30-Sep-11,"2,865","2,750"," 2,957 ",,8/9/2011,478,6.4335,," 3,072.06 "
HARD CODE VALUES,," 3,154 ",10-Oct-11,"2,873","2,750"," 2,981 ",,8/10/2011,478,6.4167,," 3,064.25 "
HARD CODE VALUES,," 3,153 ",11-Oct-11,"2,873","2,750"," 2,962 ",,8/11/2011,476,6.3991,," 3,048.57 "
HARD CODE VALUES,," 3,152 ",12-Oct-11,"2,867","2,750"," 2,952 ",,8/12/2011,475,6.3972,," 3,036.47 "
HARD CODE VALUES,," 3,151 ",13-Oct-11,"2,871","2,750"," 2,951 ",,8/15/2011,475,6.395,," 3,035.45 "
HARD CODE VALUES,," 3,150 ",14-Oct-11,"2,856","2,750"," 2,937 ",,8/16/2011,475,6.3925,," 3,034.29 "
HARD CODE VALUES,," 3,147 ",17-Oct-11,"2,856","2,750"," 2,935 ",,8/17/2011,473,6.3996,," 3,026.34 "
HARD CODE VALUES,," 3,146 ",18-Oct-11,"2,885","2,750"," 2,929 ",,8/18/2011,471,6.3942,," 3,012.64 "
HARD CODE VALUES,," 3,145 ",19-Oct-11,"2,856","2,750"," 2,913 ",,8/19/2011,471,6.4032,," 3,016.76 "
HARD CODE VALUES,," 3,144 ",20-Oct-11,"2,856","2,750"," 2,888 ",,8/22/2011,471,6.3997,," 3,015.16 "
HARD CODE VALUES,," 3,143 ",21-Oct-11,"2,854","2,750"," 2,842 ",,8/23/2011,471,6.3987,," 3,014.70 "
HARD CODE VALUES,," 3,140 ",24-Oct-11,"2,858","2,730"," 2,838 ",,8/24/2011,471,6.3896,," 3,010.53 "
HARD CODE VALUES,," 3,139 ",25-Oct-11,"2,840","2,730"," 2,838 ",,8/25/2011,470,6.3896,," 3,003.05 "
HARD CODE VALUES,," 3,138 ",26-Oct-11,"2,837","2,730"," 2,833 ",,8/26/2011,470,6.395,," 3,005.52 "
HARD CODE VALUES,," 3,137 ",27-Oct-11,"2,837","2,730"," 2,835 ",,8/30/2011,470,6.3849,," 3,000.90 "
HARD CODE VALUES,," 3,136 ",28-Oct-11,"2,838","2,730"," 2,827 ",,8/31/2011,469,6.3867,," 2,994.25 "
HARD CODE VALUES,," 3,133 ",31-Oct-11,"2,825","2,720"," 2,825 ",,9/1/2011,469,6.3867,," 2,994.25 "
HARD CODE VALUES,," 3,132 ",01-Nov-11,"2,818","2,720"," 2,830 ",,9/2/2011,469,6.3896,," 2,995.57 "
HARD CODE VALUES,," 3,131 ",02-Nov-11,"2,803","2,720"," 2,823 ",,9/5/2011,469,6.3926,," 2,996.94 "
HARD CODE VALUES,," 3,130 ",03-Nov-11,"2,813","2,730"," 2,804 ",,9/6/2011,469,6.3946,," 2,997.86 "
HARD CODE VALUES,," 3,129 ",04-Nov-11,"2,813","2,720"," 2,802 ",,9/7/2011,472,6.3968,," 3,021.31 "
HARD CODE VALUES,," 3,126 ",07-Nov-11,"2,804","2,720"," 2,804 ",,9/8/2011,472,6.3968,," 3,021.31 "
HARD CODE VALUES,," 3,125 ",08-Nov-11,"2,804","2,720"," 2,806 ",,9/9/2011,472,6.3922,," 3,019.20 "
HARD CODE VALUES,," 3,124 ",09-Nov-11,"2,785","2,720"," 2,797 ",,9/13/2011,472,6.3982,," 3,021.96 "
HARD CODE VALUES,," 3,123 ",10-Nov-11,"2,759","2,720"," 2,794 ",,9/14/2011,472,6.3945,," 3,020.26 "
HARD CODE VALUES,," 3,122 ",11-Nov-11,"2,759","2,720"," 2,772 ",,9/15/2011,472,6.3945,," 3,020.26 "
HARD CODE VALUES,," 3,119 ",14-Nov-11,"2,775","2,720"," 2,741 ",,9/16/2011,474,6.3797,," 3,020.91 "
HARD CODE VALUES,," 3,118 ",15-Nov-11,"2,765","2,660"," 2,747 ",,9/19/2011,474,6.3848,," 3,023.27 "
HARD CODE VALUES,," 3,117 ",16-Nov-11,"2,751","2,660"," 2,750 ",,9/20/2011,474,6.38,," 3,021.05 "
HARD CODE VALUES,," 3,116 ",17-Nov-11,"2,749","2,655"," 2,745 ",,9/21/2011,474,6.3772,," 3,019.76 "
HARD CODE VALUES,," 3,115 ",18-Nov-11,"2,746","2,655"," 2,737 ",,9/22/2011,474,6.3808,," 3,021.42 "
HARD CODE VALUES,," 3,114 ",19-Nov-11,"2,749","2,655",#N/A,,9/23/2011,470,6.384,," 3,000.49 "
HARD CODE VALUES,," 3,111 ",22-Nov-11,"2,749","2,655"," 2,722 ",,9/26/2011,470,6.3735,," 2,995.69 "
HARD CODE VALUES,," 3,110 ",23-Nov-11,"2,736","2,655"," 2,713 ",,9/27/2011,467,6.376,," 2,974.45 "
HARD CODE VALUES,," 3,109 ",24-Nov-11,"2,715","2,655"," 2,716 ",,9/28/2011,467,6.3623,," 2,968.23 "
HARD CODE VALUES,," 3,108 ",25-Nov-11,"2,735","2,655"," 2,696 ",,9/29/2011,465,6.3665,," 2,962.69 "
HARD CODE VALUES,," 3,105 ",28-Nov-11,"2,735","2,655"," 2,671 ",,9/30/2011,465,6.3549,," 2,957.44 "
HARD CODE VALUES,," 3,104 ",29-Nov-11,"2,735","2,655"," 2,649 ",,10/10/2011,469,6.3586,," 2,981.43 "
HARD CODE VALUES,," 3,103 ",30-Nov-11,"2,727","2,645"," 2,630 ",,10/11/2011,467,6.3483,," 2,961.87 "
HARD CODE VALUES,," 3,102 ",01-Dec-11,"2,704","2,645"," 2,618 ",,10/12/2011,464,6.3598,," 2,952.21 "
HARD CODE VALUES,," 3,101 ",02-Dec-11,"2,701","2,645"," 2,616 ",,10/13/2011,463,6.3737,," 2,951.03 "
HARD CODE VALUES,," 3,098 ",05-Dec-11,"2,700","2,615"," 2,617 ",,10/14/2011,461,6.3762,," 2,937.24 "
HARD CODE VALUES,," 3,097 ",06-Dec-11,"2,705","2,615"," 2,617 ",,10/17/2011,461,6.371,," 2,934.91 "
HARD CODE VALUES,," 3,096 ",07-Dec-11,"2,701","2,625"," 2,609 ",,10/18/2011,459,6.3749,," 2,929.20 "
HARD CODE VALUES,," 3,095 ",08-Dec-11,"2,687","2,625"," 2,609 ",,10/19/2011,457,6.3727,," 2,913.30 "
HARD CODE VALUES,," 3,094 ",09-Dec-11,"2,684","2,600"," 2,588 ",,10/20/2011,454,6.3652,," 2,887.63 "
HARD CODE VALUES,," 3,091 ",12-Dec-11,"2,675","2,600"," 2,578 ",,10/21/2011,447,6.3628,," 2,841.90 "
HARD CODE VALUES,," 3,090 ",13-Dec-11,"2,677","2,600"," 2,596 ",,10/24/2011,447,6.3549,," 2,838.47 "
HARD CODE VALUES,," 3,089 ",14-Dec-11,"2,686","2,600"," 2,597 ",,10/25/2011,447,6.3549,," 2,838.47 "
HARD CODE VALUES,," 3,088 ",15-Dec-11,"2,661","2,600"," 2,568 ",,10/26/2011,447,6.3425,," 2,833.09 "
HARD CODE VALUES,," 3,087 ",16-Dec-11,"2,654","2,600"," 2,551 ",,10/27/2011,447,6.3477,," 2,835.35 "
HARD CODE VALUES,," 3,084 ",19-Dec-11,"2,657","2,580"," 2,549 ",,10/28/2011,447,6.329,," 2,827.23 "
HARD CODE VALUES,," 3,083 ",20-Dec-11,"2,657","2,570"," 2,543 ",,10/31/2011,447,6.3233,," 2,824.75 "
HARD CODE VALUES,," 3,082 ",21-Dec-11,"2,659","2,580"," 2,539 ",,11/1/2011,447,6.3293,," 2,829.95 "
HARD CODE VALUES,," 3,081 ",22-Dec-11,"2,652","2,575"," 2,540 ",,11/2/2011,446,6.3297,," 2,822.72 "
HARD CODE VALUES,," 3,080 ",23-Dec-11,"2,635","2,575"," 2,538 ",,11/3/2011,444,6.3198,," 2,803.66 "
HARD CODE VALUES,," 3,077 ",26-Dec-11,"2,623","2,570"," 2,536 ",,11/4/2011,444,6.3165,," 2,802.24 "
HARD CODE VALUES,," 3,076 ",27-Dec-11,"2,623","2,570"," 2,536 ",,11/7/2011,444,6.3212,," 2,804.26 "
