No,Ref .No.,Refiney Name,Province,Province category,Technology,Ownership,Owner,Bauxite,ref cell,ref cell row,column 1,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
,37,Jialu Xianfeng,Hubei,Other,H-B,Private,Other,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,38,Jinshi,Hubei,Other,H-B,Private,Other,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,39,Huixiang,Hunan,Other,H-B,Private,Other,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,40.1,Xinwang L-B,Inner Mongolia,Other,L-B,BXG,Other,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,1250.0,500.0,0.0,0.0,1320.0,1276.8,1335.0,1340.0,1350.0,1330.0,1335.0,1072.0,1076.0,1076.0,1080.0,1080.0,1064.0,1060.0,
,40.2,Xinwang H-B,Inner Mongolia,Other,H-B,BXG,Other,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,41,Datang Tuoketuo Fly Ash,Inner Mongolia,Other,fly ash,Private,Other,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,42.1,Mengxi Fly Ash,Inner Mongolia,Other,fly ash,Private,Other,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,42.2,Mengxi import,Inner Mongolia,Other,L-B,Private,Other,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,505.40000000000003,534.0,536.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,43.1,Qihui H-B,Inner Mongolia,Other,H-B,Jinguotou,Other,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350.0,2660.0,3471.0,3484.0,3497.0,4842.0,5400.0,5400.0,5320.0,5300.0,
,43.2,Qihui L-B,Inner Mongolia,Other,L-B,Jinguotou,Other,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350.0,2660.0,3204.0,5360.0,5380.0,5918.000000000001,7290.000000000001,7290.000000000001,7182.000000000001,7155.000000000001,
,44,Jinjiang Lianyungang,Jiangsu,Other,L-B,Jinjiang,Jinjiang,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350.0,2660.0,3204.0,5360.0,5380.0,5380.0,5400.0,5400.0,5320.0,5300.0,
,45,Chalco Lianyungang,Jiangsu,Other,L-B,Chalco,Chalco,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1330.0,2670.0,4288.0,5111.0,7263.000000000001,8100.0,8100.0,7980.0,7950.0,
,46.1,Chalco Shandong L-B,Shandong,Other,L-B,Chalco,Chalco,Imported,0,-,General Imports,-,,,,3125.0,3125.0,3375.0,3000.0,3750.0,3750.0,3750.0,3750.0,3960.0,5719.0,5340.0,5360.0,5400.0,5320.0,5340.0,5360.0,5380.0,5380.0,5400.0,5400.0,5320.0,5300.0,
,46.2,Chalco Shandong sinter,Shandong,Other,Sintering,Chalco,Chalco,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,46.3,Chalco Shandong sinter import,Shandong,Other,L-B,Chalco,Chalco,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532.0,534.0,536.0,540.0,532.0,534.0,536.0,538.0,538.0,540.0,540.0,532.0,530.0,
,47.1,Chiping Xinfa L-B,Shandong,Other,L-B,Xinfa,Xinfa,Imported,0,-,General Imports,-,,,,4500.0,6000.0,8125.0,8000.0,2500.0,4250.0,5000.0,7250.0,8184.0,8778.0,8677.5,8710.0,8775.0,8645.0,8677.5,8710.0,8742.5,8742.5,8775.0,8775.0,8512.0,8480.0,
,47.2,Chiping Xinfa H-B,Shandong,Other,H-B,Xinfa,Xinfa,Imported,0,-,General Imports,-,,,,3000.0,2000.0,2000.0,2000.0,5000.0,5000.0,5000.0,5000.0,4224.0,3351.6,3337.5,3350.0,3375.0,3325.0,3337.5,3350.0,3362.5,3362.5,3375.0,3375.0,3325.0,3312.5,
,48,Lubei,Shandong,Other,L-B,Lubei Group,Jinjiang,Imported,0,-,General Imports,-,,,,1750.0,1750.0,1250.0,625.0,625.0,625.0,1250.0,2250.0,2376.0,2447.2000000000003,2403.0,2412.0,2430.0,2394.0,2403.0,2412.0,2421.0,2421.0,2430.0,2430.0,2394.0,2385.0,
,49.1,Nanshan Donghai H-B,Shandong,Other,H-B,Nanshan Group,Nanshan,Imported,0,-,General Imports,-,,,,950.0,2000.0,2375.0,2375.0,2375.0,2375.0,2500.0,2500.0,2640.0,2660.0,2670.0,2680.0,2700.0,2660.0,2670.0,2680.0,2690.0,2690.0,2700.0,2700.0,2660.0,2650.0,
