No,Ref .No.,Refiney Name,Province,Province category,Technology,Ownership,Owner,Bauxite,ref cell,ref cell row,column 1,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
35,17,Huafei,Guizhou,Guizhou,Guizhou,Zhijin,,,0,,,,,,,22.580951502199834,15.664564095456056,22.992742740225747,27.63495144489825,105.9062063492506,94.848839874083,96.2180907636845,97.43374475194433,94.08232625604619,24.794799970359794,77.09563968241056,77.46201062493759,81.14131760927614,84.87423547440389,85.7318260904626,82.28040107271359,94.49355422939799,105.24853133357647,116.90127536389485,93.31237516772421,69.62054705550989,0,
36,18,Qingzhen Guanglv,Guizhou,Guizhou,Guizhou,Longli,,,0,,,,,,,0.0,0.0,0.4098617954737898,1.6310340961608012,1.5697085648044737,1.040295474711376,1.0509420346239542,1.1785899367458,1.3337222236891795,1.1995500612674845,1.5077046536336027,1.5156922802095147,1.5904628561647205,2.671573699666065,2.7124781301700334,2.617824611236233,3.802313629036394,0,0,0,0,0,
37,18,Qingzhen Guanglv,Guizhou,Guizhou,Guizhou,Qingzhen,,,0.6,,,,,,,0.0,0.0,369.3512211820311,1469.8233449890954,1414.5592043782028,937.4730902416076,947.0673484733431,1062.0985835157007,1201.8976578867655,1080.9870177969747,1358.683734739589,1365.8818675315188,1433.2621499645647,2407.5164344332243,2444.3778875504427,2359.079884190646,3426.494485972361,0,0,0,0,0,
38,18,Qingzhen Guanglv,Guizhou,Guizhou,Guizhou,Zhijin,,,0,,,,,,,0.0,0.0,55.1720190224951,219.5555798893103,211.30047189944577,140.03550063368118,141.46864764203283,158.65149454755377,179.5340495472198,161.4729636417578,202.9540463375464,204.02927093827157,214.09423352927098,359.6239430112961,365.1301405705502,352.3887096666891,511.8342870386015,0,0,0,0,0,
39,19.1,Qizheng Chemical,Guizhou,Guizhou,Guizhou,Fuquan,,,0.2,,,,,,,0.0,6.5758340851642885,28.097160343095233,105.88767847985261,169.72509233513713,74.25853599172373,89.97331075080706,151.74644194228978,156.76692736381128,139.90096189710638,196.68867723580752,198.36156484001998,209.02437683279368,220.00507413358346,223.68129480099165,194.77378513259532,0,0,0,0,0,0,
40,19.1,Qizheng Chemical,Guizhou,Guizhou,Guizhou,Huangping,,,0.5,,,,,,,0.0,18.758422190636495,80.15080509146107,302.0583779923372,484.16290574456025,211.83213434992368,256.6605737150082,432.8764666222968,447.19805441164,399.0856937924865,561.0800394175291,565.8521689376606,596.2692272924463,627.5930948426494,638.0799925429376,555.6175605811774,0,0,0,0,0,0,
41,19.1,Qizheng Chemical,Guizhou,Guizhou,Guizhou,Kaili,,,0.7,,,,,,,0.0,77.64634857419924,331.76656796544376,1250.3039898023767,2004.085490991058,876.8323676583526,1062.3897985341846,1791.7965954354133,1851.0776472385023,1651.9271491104075,2322.4669898082016,2342.2201667223194,2468.1248665747603,2597.7831029540002,2641.191301470024,2299.8562642633706,0,0,0,0,0,0,
42,20,SPIC - Wuchuan,Guizhou,Guizhou,Guizhou,Daozhen,,,1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1205.232051815879,1460.567508026823,1543.9209975742385,1623.8123025227042,1638.3716560991754,1556.8040446734728,1816.8454537763905,2043.0694194933885,2285.5036000572954,1750.5970621232536,1207.5776142670436,1211.5149351533905,
43,20,SPIC - Wuchuan,Guizhou,Guizhou,Guizhou,Wuchuan,,,1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.638543864271,695.1672229904887,734.8398937412745,772.8647137491776,779.7943389384748,740.9716692507335,864.7401792546473,972.41304282111,1087.8012704342711,833.2087983359286,574.7549305609255,576.628925711127,
44,20,SPIC - Wuchuan,Guizhou,Guizhou,Guizhou,Zheng'an,,,1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.14188224292677,77.73071498268891,82.16674844448748,86.41852607230408,87.1933680135121,82.85237814436488,96.69165948096196,108.73119240550147,121.63342533065617,93.16595127415107,64.2667119720311,64.47625433548234,
45,21,Kaisheng,Guizhou,Guizhou,Guizhou,Kaili,,,0.7,,,,,,,162.4987319517204,130.32260778425405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
46,21,Kaisheng,Guizhou,Guizhou,Guizhou,Kaiyang,,,0,,,,,,,25.880555959779617,20.755986850327474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
47,22,Huajin,Guizhou,Guizhou,Guizhou,Guiyang,,,1,,,,,,,0.0,0.0,0.0,0.0,0.0,168.74105111219924,170.78100457153417,193.23960284634452,199.77572145273678,198.37049805552493,249.71645050145793,251.71177689472233,264.7303442790468,277.94839242466173,281.7384691017071,271.4365577286559,313.44480810231016,351.4549137042586,0,0,0,0,
48,22,Huajin,Guizhou,Guizhou,Guizhou,Jinsha,,,1,,,,,,,0.0,0.0,0.0,0.0,0.0,16.4567259468452,16.655675489966587,18.845984217586718,19.483429059565044,19.34638252471424,24.353974111426695,24.54857133250615,25.818226785356856,27.107336900831687,27.476969854879083,26.472260383902377,30.569178468441358,34.276171443648025,0,0,0,0,
49,22,Huajin,Guizhou,Guizhou,Guizhou,Longli,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,1.9720309938131053,1.9958713777696435,2.258338937285288,2.33472478640788,2.3183023208947877,2.9183685701141706,2.941687409628063,3.0938318831140172,3.248307634266797,3.2926012345898865,3.17220558463234,3.6631446370246614,4.1073584535861745,0,0,0,0,
50,22,Huajin,Guizhou,Guizhou,Guizhou,Qingzhen,,,1,,,,,,,0.0,0.0,0.0,0.0,0.0,2606.437161896562,2637.947043279336,2984.850922102809,3085.8102459779266,3064.1046416859144,3857.213358776146,3888.0339138647796,4089.1235574429475,4293.294455202504,4351.837392041981,4192.710229657342,4841.585320564205,5428.703577298642,0,0,0,0,
51,22,Huajin,Guizhou,Guizhou,Guizhou,Xiuwen,,,0.5,,,,,,,0.0,0.0,0.0,0.0,0.0,541.4679852615644,548.0139293716257,620.0806367881547,641.0541873848059,636.5450091100731,801.3074616311804,807.7102033172077,849.485085043498,891.9000744685524,904.0619353126101,871.0044477673879,1005.803434405569,1127.7728968701679,0,0,0,0,
52,22,Huajin,Guizhou,Guizhou,Guizhou,Zhijin,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,69.40068158901582,70.2396840697671,79.47657110782023,82.16477936088282,81.58683190287813,102.70465754813586,103.52530558115673,108.87964848603703,114.31603485755572,115.87483695655823,111.63781421522188,128.91518204645064,144.5481724696979,0,0,0,0,
53,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Baofeng,,,0.5,,,,,,,103.79393046716159,105.79839285710455,120.30740170172281,121.31643138026799,131.76354179224336,132.601822790316,83.07423232973015,135.19043597762527,138.4379699148854,87.98142482606465,90.56026118429503,94.3439570175154,100.71520098244054,135.01624270657672,166.24791123647626,105.70136844044879,88.67609368605389,71.02619907156449,57.24092370173083,57.59442339290422,57.97672156066907,58.3954434045942,
