refinery,province,category,technology,ownership,owner,bauxite,Factor X,Alumina Grade,A/S,open stock,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Chalco Zunyi,Henan,Guizhou,H-B,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalco Zunyi,Shanxi,Guizhou,H-B,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalco Zunyi,Other,Guizhou,H-B,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xian,Guangxi,Guizhou,H-B,Zengshi Group,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xian,Guizhou,Guizhou,H-B,Zengshi Group,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xian,Henan,Guizhou,H-B,Zengshi Group,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xian,Shanxi,Guizhou,H-B,Zengshi Group,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xian,Other,Guizhou,H-B,Zengshi Group,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huafei,Guangxi,Guizhou,H-B,Shanghai Huafei Investment Co.Ltd,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huafei,Guizhou,Guizhou,H-B,Shanghai Huafei Investment Co.Ltd,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huafei,Henan,Guizhou,H-B,Shanghai Huafei Investment Co.Ltd,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huafei,Shanxi,Guizhou,H-B,Shanghai Huafei Investment Co.Ltd,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huafei,Other,Guizhou,H-B,Shanghai Huafei Investment Co.Ltd,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qingzhen Guanglv,Guangxi,Guizhou,H-B,Guangdong Guang Al Group Co.Ltd,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qingzhen Guanglv,Guizhou,Guizhou,H-B,Guangdong Guang Al Group Co.Ltd,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qingzhen Guanglv,Henan,Guizhou,H-B,Guangdong Guang Al Group Co.Ltd,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qingzhen Guanglv,Shanxi,Guizhou,H-B,Guangdong Guang Al Group Co.Ltd,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
