province,country,Inventory,Geological Endowment,Grade (%Al2O3),A/S Ratio,Proportion Collapse Accumulated (for Guangxi only),Average distance from refinery,Deposit thickness (m),Scale of Open Pit mining (ktpy),Scale of Under Ground mining (ktpy),In mine freight - Open Pit (km),In mine freight - Under Ground (km),exclude from exclusions,Minimum Burial (m),Maximum Burial (m),General % for county / province (must be blank or it takes precidence over depth profile values),Minimum Burial (m) for contamination start,Maximum Burial (m) for contamination plateau,Maximum contamination (% of Inventory per county / province),Profile factor: Factor X,In Mine Transport costs - collapse accumulated,Dressing Costs - sedimentary bauxite - RMB/t ROM ore,Dressing Costs - collapse accumulated bauxite - RMB/t ROM ore,Explosives Costs - open pit - RMB/t ROM ore,Explosives Costs - underground - RMB/t ROM ore,Other Allowance,open pit - RMB/t ROM ore,underground - RMB/t ROM ore,High sulphur treatmenty charge,"Alumina DSP Factor
t.aa/t.R.Si",Recovery of AA after losses,"Caustic
Use Factor t.NAOH/t.R.Si",BE
Shanxi,Yuanqu,0,20000,0.6,4.8,0,95.5,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,0.1
Shanxi,Zhongyang,7335,27695,0.6833,8.24,0,82.5,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Shanxi,Zuoquan,0,66764.9,0.5,5,0,150,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Shanxi,,1526761.17,3628160.47,0.624324798853446,5.38645851810699,0,0,4,4500,1750,5,5,1,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Sichuan,Guangyuan,0,37466,0.55,5,0,0,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Sichuan,Lushan,14520,87360,0.55,5,0,20,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Sichuan,Miyi,1160,6160,0.6,5,0,0,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Sichuan,Tianquan,4540,4540,0.59,3.47,0,20,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Sichuan,,20220,135526,0.55,5,0,0,4,4500,1750,5,5,1,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Xinjiang,,553.2,553.2,0.45,3,0,0,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Yunnan,Annin,5539,5539,0.594489907925618,5.88266118663395,0,0,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Yunnan,Chengong,969,969,0.5389,5.58,0,0,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Yunnan,Fumin,3344,3344,0.564147906698565,5.32460489722742,0,0,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Yunnan,Guangnan,8023,10137,0.5325,7.29,0,0,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Yunnan,Gudu,3654,3654,0.58,3.9,0,0,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Yunnan,Heqing,239,239,0.5142,5.22,0,0,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Yunnan,Hongta,147,147,0.6049,4.5,0,0,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Yunnan,Jinnin,259,259,0.5242,3.09,0,0,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Yunnan,Ludian,0,20100,0.5242,3.09,0,0,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Yunnan,Malipo,1686.9,3464.3,0.5663,6.07,0,60,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Yunnan,Songming,1141,1141,0.5787,4.95,0,0,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Yunnan,Wenshan,78143.3,82951.3,0.519891091142528,6.73910181707089,0,100,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Yunnan,Xichou,34214.2,34214.2,0.572616468322376,6.68299616384867,0,50,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Yunnan,Xishan,1058,1058,0.632240075614367,6.39933397687207,0,0,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Yunnan,Yanshan,5666,13931,0.6374,5.91,0,0,4,4500,1750,5,5,0,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
Yunnan,,144083.4,181147.8,0.544258341647639,6.45593127823035,0,0,4,4500,1750,5,5,1,0,400,0,100,400,0.25,1,0,0,15,0,25,0,15,60,180,1.23,0.9,0.6,
