refinery,province,category,technology,ownership,owner,bauxite,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Chalco Zunyi,Guizhou,Guizhou,H-B,Chalco,Chalco,Domestic,0,0,0,0,0,0.8,0.8,0.8,0.8,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Xian,Guizhou,Guizhou,H-B,Zengshi Group,Other,Domestic,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Huafei,Guizhou,Guizhou,H-B,Shanghai Huafei Investment Co.Ltd,Other,Domestic,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Qingzhen Guanglv,Guizhou,Guizhou,H-B,Guangdong Guang Al Group Co.Ltd,Other,Domestic,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
Qizheng Chemical,Guizhou,Guizhou,H-B,Qiya,Qiya,Domestic,0,0,0,0,0,0,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Qizheng Chemical Added LT,Guizhou,Guizhou,L-B,Qiya,Qiya,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
SPIC - Wuchuan,Guizhou,Guizhou,H-B,SPIC,SPIC,Domestic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Kaisheng,Guizhou,Guizhou,H-B,Private,Other,Domestic,0.055,0.055,0.105,0.105,0.105,0.105,0.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huajin,Guizhou,Guizhou,H-B,"Chalco, Jinjiang",Chalco,Domestic,0,0,0,0,0,0,0,0,0,0,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,1.6,2.1,2.1,2.2,2.2,2.2,2.125,2.125,2.125,2.125,2.125,1,2,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
Chalco Zhengzhou import,Henan,Henan,L-B,Chalco,Chalco,Imported,0,0,0,0,0,0,0.175,0.175,0.175,0.175,0.175,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Chalco Zhongzhou Dom. Sinter,Henan,Henan,Sinter,Chalco,Chalco,Domestic,0.87,1,1,1,1,1,0.8,0.8,0.8,0.6,0.5,0.5,0.5,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Chalco Zhongzhou Dom. Bayer,Henan,Henan,H-B-ODT-Sweet,Chalco,Chalco,Domestic,0.7,0.7,1,1,1,1,2,2,2,2.2,2.3,2.3,2.3,2.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0
Chalco Zhongzhou LT Amt,Henan,Henan,L-B,Chalco,Chalco,Imported,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
Kaiman,Henan,Henan,"H-B, ODT, Sweetening",Jinjiang,Jinjiang,Domestic,0,1.35,1.4,2,2,2,2,2,2,2,2,2,2,2,1.99,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Kaiman Import,Henan,Henan,L-B,Jinjiang,Jinjiang,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
East Hope Mianchi,Henan,Henan,"H-B, ODT",East Hope,East Hope,Domestic,0,0.8,1.2,1.6,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
East Hope Mianchi Added LT,Henan,Henan,L-B,East Hope,East Hope,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Huiyuan Lushan,Henan,Henan,"H-B, ODT","Shenhuo, Huiyuan",Shenhuo,Domestic,0.3,0.4,0.4,0.4,0.4,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Jingxin,Henan,Henan,H-B,Private,Other,Domestic,0,0.05,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Shenhuo,Henan,Henan,Sintering,Shenhuo,Shenhuo,Domestic,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Wanji,Henan,Henan,H-B,Wanji Holdings,Other,Domestic,0,0,0.4,0.8,0.8,0.8,0.8,0.8,1.4,1.4,1.4,1.4,1.4,1.4,0.28,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Wanji import,Henan,Henan,L-B,Wanji Holdings,Other,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Weilai,Henan,Henan,H-B,Private,Other,Domestic,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Yifeng Gongyi (Yulian Xinya),Henan,Henan,H-B,Private,Other,Domestic,0,0,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
Yima Yixiang,Henan,Henan,"H-B, CGA","Jinjiang, Yima Coal Group",Jinjiang,Domestic,0.05,0.15,0.2,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Zhongmei,Henan,Henan,"H-B, Sweetening","Yongmei Group, Wuzhou Aluminium, Dengfeng Electric Power Corporation",Other,Domestic,0,0,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Shaoxing,Henan,Henan,H-B,Private,Other,Domestic,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zhongchao,Henan,Henan,H-B,Private,Other,Domestic,0,0.03,0.03,0.03,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jialu Xianfeng,Hubei,Other,H-B,Private,Other,Domestic,0,0.06,0.06,0.06,0.06,0.06,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
Jinshi,Hubei,Other,H-B,Private,Other,Domestic,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Huixiang,Hunan,Other,H-B,Private,Other,Domestic,0,0,0,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Xinwang L-B,Inner Mongolia,Other,L-B,BXG,Other,Imported,0,0,0,0,0,0,0,0,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Xinwang H-B,Inner Mongolia,Other,H-B,BXG,Other,Domestic,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Datang Tuoketuo Fly Ash,Inner Mongolia,Other,fly ash,Private,Other,Fly ash,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Mengxi Fly Ash,Inner Mongolia,Other,fly ash,Private,Other,Fly ash,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mengxi import,Inner Mongolia,Other,L-B,Private,Other,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Qihui H-B,Inner Mongolia,Other,H-B,Jinguotou,Other,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,1.3,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6
Qihui L-B,Inner Mongolia,Other,L-B,Jinguotou,Other,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,1.3,2.6,3.9,3.9,3.9,3.9,3.9,3.9,3.9
Jinjiang Lianyungang,Jiangsu,Other,L-B,Jinjiang,Jinjiang,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,3,3,3,3
Chalco Lianyungang,Jiangsu,Other,L-B,Chalco,Chalco,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3,3,3,4
Chalco Shandong L-B,Shandong,Other,L-B,Chalco,Chalco,Imported,0.925,1.15,1.7,1.7,1.7,1.7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Chalco Shandong sinter,Shandong,Other,Sintering,Chalco,Chalco,Domestic,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.5,0.7,0.7,0.7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
Chalco Shandong sinter import,Shandong,Other,L-B,Chalco,Chalco,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
Chiping Xinfa L-B,Shandong,Other,L-B,Xinfa,Xinfa,Imported,0,1,2,2,2,2,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Chiping Xinfa H-B,Shandong,Other,H-B,Xinfa,Xinfa,Imported,0.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Lubei,Shandong,Other,L-B,Lubei Group,Jinjiang,Imported,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nanshan Donghai H-B,Shandong,Other,H-B,Nanshan Group,Nanshan,Imported,0,0,0,0,0,0.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nanshan Donghai L-B,Shandong,Other,L-B,Nanshan Group,Nanshan,Imported,0,0.5,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
Bochuang,Shandong,Other,L-B,Chuangxin Group,Other,Imported,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
Nanhan,Shandong,Other,L-B,Private,Other,Imported,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Weiqiao - Binzhou L-B,Shandong,Other,L-B,Weiqiao,Weiqiao,Imported,0,2,4,4,4,5,6,6,6,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Weiqiao - Binzhou H-B,Shandong,Other,H-B,Weiqiao,Weiqiao,Imported,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Weiqiao-Wudi-Zhanhua L-B,Shandong,Other,L-B,Weiqiao,Weiqiao,Imported,0,0,0,0,0,0,0,1,1,4,4.5,5,7,7,8,9,9,9,9,9,9,9,9,9,9,9,9
Weiqiao-Wudi-Zhanhua H-B,Shandong,Other,H-B,Weiqiao,Weiqiao,Imported,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Aokaida,Shanxi,Shanxi,H-B,Aokaida,Other,Domestic,0,0,0,0,0,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Chalco Lvliang (Xing),Shanxi,Shanxi,H-B,Chalco,Chalco,Domestic,0,0,0,0,0,0,0,0,0,1,1,2,2,2,1.75,2,2,2,2,2,2,2,2,2,2,2,2
Chalco Shanxi,Shanxi,Shanxi,"H-B (Lime), sinter",Chalco,Chalco,Domestic,1.4,2.2,2.2,2.2,2.2,2.2,2.2,2.7,2.7,2.7,2.7,2.7,2.7,2.7,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Chalco Shanxi import,Shanxi,Shanxi,L-B,Chalco,Chalco,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
SPIC Shanxi,Shanxi,Shanxi,H-B & Sinter,SPIC,SPIC,Domestic,0,1,1,1,1.2,2,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,0.45,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
SPIC Shanxi import,Shanxi,Shanxi,L-B,SPIC,SPIC,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
Dongxu Tianyuan,Shanxi,Shanxi,H-B,Tianyuan Chemical,Other,Domestic,0,0.1,0.1,0.1,0.1,0.25,0.25,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0
Dongxu Tianyuan import,Shanxi,Shanxi,L-B,Tianyuan Chemical,Other,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
East Hope Lingshi,Shanxi,Shanxi,H-B,East Hope,East Hope,Domestic,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1.95,2,2,2,2,2,2,2,2,2,2,2,2
East Hope Lingshi Import,Shanxi,Shanxi,L-B,East Hope,East Hope,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
Huaqing,Shanxi,Shanxi,H-B,Private,Other,Domestic,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Qiangjin Aluminium,Shanxi,Shanxi,H-B,Private,Other,Domestic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
Senze,Shanxi,Shanxi,H-B & Sinter (1.2:0.1),Senze,Other,Domestic,0,0,0,0,0.1,0.1,0.4,0.7,0.7,0.7,0.7,0.7,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.9,1.9,1.9
Taixing,Shanxi,Shanxi,H-B,Private,Other,Domestic,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Wusheng,Shanxi,Shanxi,H-B,Private,Other,Domestic,0,0,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Xinfa - Jiaokou,Shanxi,Shanxi,H-B,Xinfa,Xinfa,Domestic,0,0,0,0.2,0.2,0,1.2,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8
Xinfa - Xiaoyi,Shanxi,Shanxi,H-B,Xinfa,Xinfa,Domestic,0,0,0,0,0,0,0,0,1,1,2,2,2,3,3.32,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47
Xingan Chemical,Shanxi,Shanxi,H-B,Jinjiang,Jinjiang,Domestic,0,0,0,1,1,1,1.7,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.65,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1
Xingan Chemical import,Shanxi,Shanxi,L-B,Jinjiang,Jinjiang,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
Yangquan Zhaofeng,Shanxi,Shanxi,H-B (Lime),"Xinfa, Yangquan Coal",Xinfa,Domestic,0,0,0.4,0.4,0.4,0.4,0.4,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
Gangyuan Jiaohua,Shanxi,Shanxi,H-B,Private,Other,Domestic,0,0,0,0,0,0.07,0.07,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xinghua (Chalco Jiaokou),Shanxi,Shanxi,H-B,Chalco,Chalco,Domestic,0,0,0,0,0,0,0,0,0,0,0.35,0.35,0.9,0.9,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
Xinghua (Chalco Jiaokou) import,Shanxi,Shanxi,H-B,Chalco,Chalco,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
Tiantong,Shanxi,Shanxi,H-B,Private,Other,Domestic,0,0,0,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Fusheng,Shanxi,Shanxi,H-B,Jinjiang,Jinjiang,Domestic,0,0,0,0,0,0,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
YMG - Wenshan,Yunnan,Other,H-B,Yunnan Aluminium Companuy,Chalco,Domestic,0,0,0,0,0,0,0.8,0.8,0.8,0.8,0.8,1,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
Guangxi - blending,Guangxi,Guangxi,H-B,spare,spare,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168,0,0,0,0,0,0,0,0,0,0,0,0
Guizhou - blending,Guizhou,Guizhou,H-B,spare,spare,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henan - blending,Henan,Henan,H-B,spare,spare,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0
Shanxi - blending,Shanxi,Shanxi,H-B,spare,spare,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0
Other - blending,Other,Other,H-B,spare,spare,Imported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156,0,0,0,0,0,0,0,0,0,0,0,0
spare,spare,spare,spare,spare,spare,spare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spare,spare,spare,spare,spare,spare,spare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spare,spare,spare,spare,spare,spare,spare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spare,spare,spare,spare,spare,spare,spare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spare,spare,spare,spare,spare,spare,spare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spare,spare,spare,spare,spare,spare,spare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spare,spare,spare,spare,spare,spare,spare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spare,spare,spare,spare,spare,spare,spare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
