Province,County,minable_shallow_inventory,refractory_allocation,remaining_inventory_available_to_mining_for_SGA000t,remaining_inventory_available_to_mining_for_SGA_AA,remaining_inventory_available_to_mining_for_SGA_SiO2,remaining_inventory_available_to_mining_for_SGA_AS,extractable_to_SGA,working_stock_prior_to_AA_and_AS_de_rating000t,working_stock_prior_to_AA_and_AS_de_rating_AA,working_stock_prior_to_AA_and_AS_de_rating_AS,de_rated_Al2O3,de_rated_AS,de_rated_SiO2,province_county_000twstockprior,refractory_depletion_end_2009,refractory_depletion_end_2009_000t,SGA_depletion_end_2009,SGA_depletion_end_2009_000t,endowment_end_2009_prov_totals,geol_endowment_end_2009,endowment_end_2009_all,max_extr_inventory_end_2009_1,AA_end_2009_1,SiO2_end_2009_1,AS_end_2009_1,max_extr_inventory_end_2009_2,AA_end_2009_2,SiO2_end_2009_2,AS_end_2009_2,max_extr_inventory_end_2009_3,AA_end_2009_3,SiO2_end_2009_3,AS_end_2009_3,unallocated,check_sum,deposit
Shanxi,Xing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi,Xiyang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi,Yuanping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi,Yangquan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi,Yuanqu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi,Zhongyang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi,Zuoquan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sichuan,Guangyuan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sichuan,Lushan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sichuan,Miyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sichuan,Tianquan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sichuan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xinjiang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunnan,Annin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunnan,Chengong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunnan,Fumin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunnan,Guangnan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunnan,Gudu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunnan,Heqing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunnan,Hongta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunnan,Jinnin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunnan,Ludian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunnan,Malipo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunnan,Songming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunnan,Wenshan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunnan,Xichou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunnan,Xishan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunnan,Yanshan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunnan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
