,General rates and costs,General rates and costs,General rates and costs,General rates and costs,General rates and costs,General rates and costs,General rates and costs,General rates and costs,General rates and costs,,Open Pit specific rates,Open Pit specific rates,Open Pit specific rates,Open Pit specific rates,Open Pit specific rates,Under Ground specific rates,AA Processing rates and costs,AA Processing rates and costs,AA Processing rates and costs,AA Processing rates and costs,AA Processing rates and costs,AA Processing rates and costs,AA Processing rates and costs
Province,Electricity,Diesel,LabourRMB,LabourHours,Tax - Royalty,Tax - Other,In Mine Transport,Water,Transport,Spare,Electricity Use,Diesel Use,Labour Prodty,In Mine Freight,Dressing - Guangxi,Base electricy use,Thermal CoalRMB,Thermal CoalKcal,Anthratcite CoalRMB,Anthratcite CoalKcal,Caustic Soda,Lime,Mud disposal
,RMB/kWh,RMB/t,RMB/year,Hours/year,RMB/dpt,RMB/dpt,RMB/t/klm,RMB/t,RMB/t/klm,,kWh/t_total,kg/t_total,hrs/t_total,km/t_total,RMB/t_total,kWh/t_total,RMB/t del.,kCal/kg,RMB/t del.,kCal/kg,RMB/t del,RMB/t del,RMB/dmt
Henan,0.62254000000000000000,6529.19121320734000000000,53800.95000000000000000000,2400.00000000000000000000,25.00000000000000000000,20.00000000000000000000,0.10000000000000000000,3.95507147719537000000,0.40000000000000000000,,0.21000000000000000000,0.55000000000000000000,0.17500000000000000000,13.00000000000000000000,14.00000000000000000000,60.00000000000000000000,342.00000000000000000000,4500.00000000000000000000,465.00000000000000000000,5750.00000000000000000000,2613.93150684932000000000,250.00000000000000000000,22.00000000000000000000
hubei,0.59950088888888900000,6534.19121320734000000000,51355.50000000000000000000,2400.00000000000000000000,25.00000000000000000000,20.00000000000000000000,0.10000000000000000000,3.95507147719537000000,0.40000000000000000000,,0.21000000000000000000,0.55000000000000000000,0.17500000000000000000,13.00000000000000000000,14.00000000000000000000,60.00000000000000000000,385.91000000000000000000,4500.00000000000000000000,767.16940000000000000000,5750.00000000000000000000,3275.28767123288000000000,260.00000000000000000000,22.00000000000000000000
Hunan,0.63790154166666700000,6594.19121320734000000000,42046.20000000000000000000,2400.00000000000000000000,25.00000000000000000000,20.00000000000000000000,0.10000000000000000000,3.39823008849558000000,0.40000000000000000000,,0.21000000000000000000,0.55000000000000000000,0.17500000000000000000,13.00000000000000000000,14.00000000000000000000,60.00000000000000000000,385.91000000000000000000,4500.00000000000000000000,890.73900000000000000000,5750.00000000000000000000,3149.31506849315000000000,260.00000000000000000000,22.00000000000000000000
Inner Mongolia,0.45300000000000000000,6524.19121320734000000000,72226.35000000000000000000,2400.00000000000000000000,25.00000000000000000000,20.00000000000000000000,0.10000000000000000000,3.93805309734513000000,0.40000000000000000000,,0.21000000000000000000,0.55000000000000000000,0.17500000000000000000,13.00000000000000000000,14.00000000000000000000,60.00000000000000000000,373.84266666666700000000,4500.00000000000000000000,571.79719020333300000000,5750.00000000000000000000,2996.04840182648000000000,254.00000000000000000000,22.00000000000000000000
Jiangxi,0.60000000000000000000,6500.00000000000000000000,55000.00000000000000000000,2400.00000000000000000000,25.00000000000000000000,20.00000000000000000000,0.10000000000000000000,3.78661179528436000000,0.40000000000000000000,,0.21000000000000000000,0.55000000000000000000,0.17500000000000000000,13.00000000000000000000,14.00000000000000000000,60.00000000000000000000,385.91000000000000000000,4500.00000000000000000000,633.40365305000000000000,5750.00000000000000000000,3338.27397260274000000000,260.00000000000000000000,22.00000000000000000000
Liaoning,0.52460000000000000000,6509.19121320734000000000,61158.30000000000000000000,2400.00000000000000000000,25.00000000000000000000,20.00000000000000000000,0.10000000000000000000,3.95507147719537000000,0.40000000000000000000,,0.21000000000000000000,0.55000000000000000000,0.17500000000000000000,13.00000000000000000000,14.00000000000000000000,60.00000000000000000000,373.84266666666700000000,4500.00000000000000000000,571.79719020333300000000,5750.00000000000000000000,2996.04840182648000000000,254.00000000000000000000,22.00000000000000000000
Shaanxi,0.54310000000000000000,6673.56071467362000000000,73416.00000000000000000000,2400.00000000000000000000,25.00000000000000000000,20.00000000000000000000,0.10000000000000000000,5.13274336283186000000,0.40000000000000000000,,0.21000000000000000000,0.55000000000000000000,0.17500000000000000000,13.00000000000000000000,14.00000000000000000000,60.00000000000000000000,426.00000000000000000000,4500.00000000000000000000,634.77340000000000000000,5750.00000000000000000000,3527.23287671233000000000,260.00000000000000000000,22.00000000000000000000
Shandong,0.68961250000000000000,6519.19121320734000000000,66908.10000000000000000000,2400.00000000000000000000,25.00000000000000000000,20.00000000000000000000,0.10000000000000000000,3.95507147719537000000,0.40000000000000000000,,0.21000000000000000000,0.55000000000000000000,0.17500000000000000000,13.00000000000000000000,14.00000000000000000000,60.00000000000000000000,335.00000000000000000000,4500.00000000000000000000,535.00000000000000000000,5750.00000000000000000000,2299.00000000000000000000,250.00000000000000000000,22.00000000000000000000
Shanxi,0.49940000000000000000,6564.19121320734000000000,69199.20000000000000000000,2400.00000000000000000000,25.00000000000000000000,20.00000000000000000000,0.10000000000000000000,4.90000000000000000000,0.40000000000000000000,,0.21000000000000000000,0.55000000000000000000,0.17500000000000000000,13.00000000000000000000,14.00000000000000000000,60.00000000000000000000,275.00000000000000000000,4500.00000000000000000000,445.00000000000000000000,5750.00000000000000000000,2563.54246575342000000000,250.00000000000000000000,22.00000000000000000000
Sichuan,0.58056666666666700000,6744.19121320734000000000,62956.95000000000000000000,2400.00000000000000000000,25.00000000000000000000,20.00000000000000000000,0.10000000000000000000,3.95507147719537000000,0.40000000000000000000,,0.21000000000000000000,0.55000000000000000000,0.17500000000000000000,13.00000000000000000000,14.00000000000000000000,60.00000000000000000000,467.00000000000000000000,4500.00000000000000000000,450.00000000000000000000,5750.00000000000000000000,3338.27397260274000000000,250.00000000000000000000,22.00000000000000000000
Xinjiang,0.36300000000000000000,6404.19121320734000000000,89503.05000000000000000000,2400.00000000000000000000,25.00000000000000000000,20.00000000000000000000,0.10000000000000000000,3.22123893805310000000,0.40000000000000000000,,0.21000000000000000000,0.55000000000000000000,0.17500000000000000000,13.00000000000000000000,14.00000000000000000000,60.00000000000000000000,373.84266666666700000000,4500.00000000000000000000,571.79719020333300000000,5750.00000000000000000000,2996.04840182648000000000,254.00000000000000000000,22.00000000000000000000
Yunnan,0.47688888888888900000,6699.19121320734000000000,44438.10000000000000000000,2400.00000000000000000000,25.00000000000000000000,20.00000000000000000000,0.10000000000000000000,5.60000000000000000000,0.40000000000000000000,,0.21000000000000000000,0.55000000000000000000,0.17500000000000000000,13.00000000000000000000,14.00000000000000000000,60.00000000000000000000,450.00000000000000000000,4500.00000000000000000000,680.00000000000000000000,5750.00000000000000000000,3231.19726027397000000000,250.00000000000000000000,22.00000000000000000000
Spare,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
