No,Ref .No.,Refiney Name,Province,Province category,Technology,Ownership,Owner,Bauxite,ref cell,ref cell row,column 1,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
26,14,Chalco Guizhou,Guizhou,Guizhou,Guizhou,Zhijin,,,0,,,,,,,28.855861885724046,29.899385494469936,31.977579101708628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,15,Chalco Zunyi,Guizhou,Guizhou,Guizhou,Kaiyang,,,1,,,,,,,46.21244399423331,127.86668263466355,158.1195314347211,161.69250437144473,164.7334404676535,209.84717329149086,238.14138398093684,243.5453441650169,249.49069418562303,256.6071158232976,0,0,0,0,0,0,0,0,0,0,0,0,
28,15,Chalco Zunyi,Guizhou,Guizhou,Guizhou,Jinsha,,,1,,,,,,,16.10467331155874,44.560533338617276,55.10341323325576,56.3485662033985,57.40830851862598,73.13008962770361,82.99039954376869,84.87363717050272,86.94554489770883,89.4255618740098,0,0,0,0,0,0,0,0,0,0,0,0,
29,15,Chalco Zunyi,Guizhou,Guizhou,Guizhou,Weng'an,,,0,,,,,,,57.9663975256305,160.38907089201896,198.3366129013912,202.81835746405233,206.6327437065301,263.2209771931202,298.7117091852008,305.4901454064522,312.94767184167983,321.8741273578806,0,0,0,0,0,0,0,0,0,0,0,0,
30,15,Chalco Zunyi,Guizhou,Guizhou,Guizhou,Xifeng,,,0,,,,,,,1.04168993005827,2.8822850335962964,3.564224468665515,3.6447640291574928,3.713310771886934,4.730234291357034,5.36802341927723,5.489835866740395,5.623851960931605,5.784265566386868,0,0,0,0,0,0,0,0,0,0,0,0,
31,15,Chalco Zunyi,Guizhou,Guizhou,Guizhou,Zunyi,,,1,,,,,,,421.53788819851917,1166.3666041011038,1442.3252181219664,1474.9169474519467,1502.6555751753033,1914.1713059963286,2172.2637328708165,2221.557251391288,2275.7891871140573,2340.703333378425,0,0,0,0,0,0,0,0,0,0,0,0,
32,16,Xian,Guizhou,Guizhou,Guizhou,Kaiyang,,,0.6,,,,,,,214.16891778132552,219.5523741841439,178.90153370647525,181.6885104935851,184.5214077786065,187.54085739658856,190.93920309730066,195.08184835040862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,16,Xian,Guizhou,Guizhou,Guizhou,Xifeng,,,0.3,,,,,,,3.317260018674491,3.4006443158561233,2.77100389352476,2.8141713464148808,2.858050061393531,2.9048182834114478,2.957455222699328,3.0216206095913605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,17,Huafei,Guizhou,Guizhou,Guizhou,Xiuwen,,,0.6,,,,,,,71.90932325780017,49.88400081913921,73.22067761977426,55.2200844694469,223.11877820718053,302.047320125917,306.4077167563155,310.2789821280557,294.15594384784345,78.9593514696402,198.33249222206337,199.82275948893871,201.47701028144738,203.17662500216878,204.98168090400063,206.88851830084838,208.8438629575325,211.0262790018664,213.7374265756406,217.34612165788494,221.7075052444901,0,
35,17,Huafei,Guizhou,Guizhou,Guizhou,Zhijin,,,0,,,,,,,22.580951502199834,15.664564095456056,22.992742740225747,17.340200030553095,70.06371471281948,94.848839874083,96.2180907636845,97.43374475194433,92.37079145215657,24.794799970359794,62.28033007793663,62.74830351106134,63.267771018552615,63.80148369783127,64.36830699599939,64.96709169915162,65.58110864246754,66.2664304981336,67.11778452435944,68.25098624211509,69.62054705550989,0,
36,18,Qingzhen Guanglv,Guizhou,Guizhou,Guizhou,Longli,,,0,,,,,,,0.0,0.0,0.4098617954737898,1.007774646720855,1.0272192247328533,1.040295474711376,1.0509420346239542,1.1785899367458,1.3083931729633582,1.1995500612674845,1.2087244148781524,1.2187624297151285,1.2297658900015938,1.9911600977264672,2.0226760041216756,2.058798845770879,2.6353788682570403,0,0,0,0,0,
37,18,Qingzhen Guanglv,Guizhou,Guizhou,Guizhou,Qingzhen,,,0.6,,,,,,,0.0,0.0,369.3512211820311,908.1666077521513,925.6892915285176,937.4730902416076,947.0673484733431,1062.0985835157007,1179.072120302446,1080.9870177969747,1089.2545820029502,1098.3004435085209,1108.2163262253669,1794.3546380409914,1822.755524979655,1855.3079995528838,2374.899085538953,0,0,0,0,0,
38,18,Qingzhen Guanglv,Guizhou,Guizhou,Guizhou,Zhijin,,,0,,,,,,,0.0,0.0,55.1720190224951,135.65783050112782,138.27528994674958,140.03550063368118,141.46864764203283,158.65149454755377,176.1244737245908,161.4729636417578,162.7079350821716,164.05916506176393,165.54035488463182,268.0326002612824,272.2749966162236,277.1375384013455,354.75171059278966,0,0,0,0,0,
39,19.1,Qizheng Chemical,Guizhou,Guizhou,Guizhou,Fuquan,,,0.2,,,,,,,0.0,6.5758340851642885,28.097160343095233,64.62595105165362,109.86760360431296,74.25853599172373,89.97331075080706,151.74644194228978,153.7180864881885,139.90096189710638,157.10182097865606,159.0461928311251,161.26583930761078,163.69818499034886,166.59746853494883,153.13837169716922,0,0,0,0,0,0,
40,19.1,Qizheng Chemical,Guizhou,Guizhou,Guizhou,Huangping,,,0.5,,,,,,,0.0,18.758422190636495,80.15080509146107,184.35393268716268,313.4116321658544,211.83213434992368,256.6605737150082,432.8764666222968,438.5008391844445,399.0856937924865,448.15338201492915,453.6999556711124,460.0317860033,466.9703684917652,475.2409519760218,436.8471273268674,0,0,0,0,0,0,
41,19.1,Qizheng Chemical,Guizhou,Guizhou,Guizhou,Kaili,,,0.7,,,,,,,0.0,77.64634857419924,331.76656796544376,763.0924164611839,1297.298279729833,876.8323676583526,1062.3897985341846,1791.7965954354133,1815.0774443273672,1651.9271491104075,1855.0320150064147,1877.9908324977625,1904.2000466890895,1932.9207775178863,1967.1550324890293,1808.2322690759638,0,0,0,0,0,0,
42,20,SPIC - Wuchuan,Guizhou,Guizhou,Guizhou,Daozhen,,,1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,921.4427349212558,1138.4610999695365,1152.640686839155,1162.496311243167,1170.6903066117216,1177.7882160490692,1183.9061187684863,1189.6893446113947,1195.6639498067698,1201.9634713307858,1207.5776142670436,1211.5149351533905,
43,20,SPIC - Wuchuan,Guizhou,Guizhou,Guizhou,Wuchuan,,,1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.56705264198365,541.858446801752,548.6073193962287,553.2981721025376,557.1981609590953,560.5764601239623,563.4883183027938,566.2408847038994,569.0845394335222,572.0828403404998,574.7549305609255,576.628925711127,
44,20,SPIC - Wuchuan,Guizhou,Guizhou,Guizhou,Zheng'an,,,1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.038748436760486,60.588363628711775,61.3429945646167,61.867506254295236,62.303586829182905,62.68133422696853,63.00692612871998,63.314706684706024,63.63267235970808,63.96792992871435,64.2667119720311,64.47625433548234,
45,21,Kaisheng,Guizhou,Guizhou,Guizhou,Kaili,,,0.7,,,,,,,162.4987319517204,130.32260778425405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
46,21,Kaisheng,Guizhou,Guizhou,Guizhou,Kaiyang,,,0,,,,,,,25.880555959779617,20.755986850327474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
47,22,Huajin,Guizhou,Guizhou,Guizhou,Guiyang,,,1,,,,,,,0.0,0.0,0.0,0.0,0.0,168.74105111219924,170.78100457153417,193.23960284634452,195.98929215567762,198.37049805552493,200.55257530251689,202.88506455643036,205.4178602737561,208.01950358599572,210.84468324027566,213.9831933342045,217.50028149567262,222.0947321331965,0,0,0,0,
48,22,Huajin,Guizhou,Guizhou,Guizhou,Jinsha,,,1,,,,,,,0.0,0.0,0.0,0.0,0.0,16.4567259468452,16.655675489966587,18.845984217586718,19.11415182176133,19.34638252471424,19.55919290495014,19.786672443406335,20.033687172333543,20.287416366970962,20.562946281088742,20.869034219718753,21.212043556348338,21.66012429615459,0,0,0,0,
49,22,Huajin,Guizhou,Guizhou,Guizhou,Longli,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,1.9720309938131053,1.9958713777696435,2.258338937285288,2.29047381202751,2.3183023208947877,2.343803667091222,2.3710628377028535,2.4006629357385254,2.43106763698204,2.4640847469538505,2.5007636649695235,2.541866922396649,2.5955610234883677,0,0,0,0,
50,22,Huajin,Guizhou,Guizhou,Guizhou,Qingzhen,,,1,,,,,,,0.0,0.0,0.0,0.0,0.0,2606.437161896562,2637.947043279336,2984.850922102809,3027.3236479290217,3064.1046416859144,3097.8098200595346,3133.838318347614,3172.9608249197736,3213.146777101096,3256.7855549291016,3305.2641514999164,3359.5904059904246,3430.558002797552,0,0,0,0,
51,22,Huajin,Guizhou,Guizhou,Guizhou,Xiuwen,,,0.5,,,,,,,0.0,0.0,0.0,0.0,0.0,541.4679852615644,548.0139293716257,620.0806367881547,628.9040305065561,636.5450091100731,643.5470098847882,651.0316631368356,659.1590736578685,667.5074071153324,676.5730394870768,686.6441082998032,697.9299846661369,712.6729764496218,0,0,0,0,
52,22,Huajin,Guizhou,Guizhou,Guizhou,Zhijin,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,69.40068158901582,70.2396840697671,79.47657110782023,80.60747737495531,81.58683190287813,82.48428778111864,83.44360587801147,84.48530704052982,85.55532419362243,86.71727851550277,88.00810098138771,89.45462696902216,91.34425609998704,0,0,0,0,
53,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Baofeng,,,0.5,,,,,,,102.8349066782552,104.89494147481366,120.30740170172281,121.31643138026799,122.31757172497095,123.32060660991992,62.040698049337344,105.06818660003084,105.80698619372191,79.85234579765023,87.02249069135988,94.3439570175154,94.99199706599389,81.96303058031435,68.80661929691276,69.56021995495887,70.38064076620248,71.02619907156449,57.24092370173083,57.59442339290422,57.97672156066907,58.3954434045942,
54,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Dengfeng,,,0.3,,,,,,,356.00515729676107,363.1368116685607,416.49335668472,419.98652628083283,423.4523837158693,426.92479987809355,214.77929218100348,363.7365706419103,366.29422809557707,276.44160766490967,301.26400156965786,326.6102566038649,328.8537127107976,283.748607713125,238.20230033850405,240.81119773990926,243.65142047546482,245.88628501191732,198.16290697870195,199.38669097603938,200.71017269781711,202.15974989611766,
55,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Gongyi,,,0.85,,,,,,,611.5828701127499,623.8343714181696,715.4958214602578,721.496753310805,727.4507654762928,733.4160449088846,368.970317593874,624.8647000715018,629.2585113807434,474.9002882937347,517.5427910670318,561.0852372443165,564.9392806387108,487.4530167298465,409.2088092618397,413.6906459090854,418.56987739427035,422.40916129087265,340.42495429046704,342.52729835529135,344.80091359191516,347.29114881805157,
