No,Ref .No.,Refiney Name,Province,Province category,Technology,Ownership,Owner,Bauxite,ref cell,ref cell row,column 1,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
49,22,Huajin,Guizhou,Guizhou,Guizhou,Longli,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04425097438037008,0.0,0.5745649030229486,0.5706245719252092,0.6931689473754921,0.8172399972847567,0.8285164876360358,0.6714419196628165,1.1212777146280124,1.5117974300978063,0,0,0,0,
50,22,Huajin,Guizhou,Guizhou,Guizhou,Qingzhen,,,1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.48659804890478,0.0,759.4035387166115,754.1955955171658,916.162732523174,1080.1476781014073,1095.051837112879,887.4460781574255,1481.9949145737805,1998.1455745010896,0,0,0,0,
51,22,Huajin,Guizhou,Guizhou,Guizhou,Xiuwen,,,0.5,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.150156878249804,0.0,157.76045174639225,156.67854018037215,190.32601138562944,224.39266735321996,227.48889582553323,184.36033946758474,307.8734497394321,415.09992042054597,0,0,0,0,
52,22,Huajin,Guizhou,Guizhou,Guizhou,Zhijin,,,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5573019859275157,0.0,20.220369767017214,20.081699703145265,24.394341445507205,28.7607106639333,29.15755844105545,23.629713233834163,39.46055507742847,53.20391636971086,0,0,0,0,
53,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Baofeng,,,0.5,,,,,,,0.9590237889063898,0.9034513822908792,0.0,0.0,9.445970067272409,9.281216180396068,21.033534280392807,30.122249377594432,32.630983721163496,8.129079028414417,3.5377704929351492,0.0,5.723203916446652,53.05321212626236,97.4412919395635,36.14114848548992,18.295452919851414,0.0,0.0,0.0,0.0,0.0,
54,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Dengfeng,,,0.3,,,,,,,3.3200537234809295,3.1276670719287103,0.0,0.0,32.70109506824582,32.13073199497367,72.81619560784249,104.28050624244236,112.96551791257929,28.14213725348205,12.247441860940938,0.0,19.813214951328035,183.66542780266101,337.33295030527944,125.11739123484892,63.33720528308161,0.0,0.0,0.0,0.0,0.0,
55,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Gongyi,,,0.85,,,,,,,5.703535309861822,5.373033410897455,0.0,0.0,56.177359141447546,55.19752983783064,125.09127181945148,179.14395338773275,194.06397422259218,48.345504888976734,21.039935774327738,0.0,34.03721159014875,315.5196692344642,579.5058012581814,214.93973237203124,108.80727146224376,0.0,0.0,0.0,0.0,0.0,
56,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Jiaxian,,,0.8,,,,,,,0.09922064783994498,0.0934711239488812,0.0,0.0,0.9772805225408029,0.960235077392189,2.1761304795620395,3.1164493855251294,3.3760031627167173,0.8410349116168988,0.3660179072495667,0.0,0.5921229555290791,5.4888879066915335,10.081280802877362,3.73916497994189,1.8928484488407833,0.0,0.0,0.0,0.0,0.0,
57,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Lushan,,,0.8,,,,,,,0.7162865992865649,0.6747800479275147,0.0,0.0,7.055113600638399,6.93206034302894,15.709765404109854,22.49804834783406,24.371800398883448,6.071539037873705,2.642330278720773,0.0,4.274611660060989,39.62498671538013,72.77806081647896,26.99351219692135,13.66471604350055,0.0,0.0,0.0,0.0,0.0,
58,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Mianchi,,,0.8,,,,,,,0.33248387852767103,0.3132174854471494,0.0,0.0,3.2748225860011213,3.2177040745055723,7.292114270350332,10.443080160150128,11.312833063460882,2.8182697400105847,1.2265093613299753,0.0,1.9841770952468831,18.393013750165434,33.78191349117357,12.529771797009165,6.342849068581718,0.0,0.0,0.0,0.0,0.0,
59,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Pingdingshan,,,1,,,,,,,0.19900084707866364,0.18746937505616304,0.0,0.0,1.9600723846594732,1.92588536716611,4.364533171413169,6.250473879163751,6.771045178062271,1.6868128104190039,0.7340999597797415,0.0,1.1875851679086755,11.008730206170902,20.219414638842956,7.49941685097269,3.7963715507933253,0.0,0.0,0.0,0.0,0.0,
60,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Ruzhou,,,0.5,,,,,,,0.1779831000452414,0.16766954023492403,0.0,0.0,1.75305665506469,1.7224803462494596,3.9035670224626533,5.590321519212505,6.055911967357237,1.5086577650381752,0.6565669870391933,0.0,1.06215673377803,9.846028086912929,18.083913467458046,6.70735566839078,3.3954125696091197,0.0,0.0,0.0,0.0,0.0,
61,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Sanmenxia,,,0.8,,,,,,,0.2038035153706337,0.19199374385416004,0.0,0.0,2.0073765928071357,1.9723645089518818,4.469866416870721,6.401322245640206,6.934456964783569,1.7275221969267203,0.7518166612497459,0.0,1.2162462400280034,11.274413896829417,20.707388147467167,7.680407093211182,3.8879928355224562,0.0,0.0,0.0,0.0,0.0,
62,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Shaan,,,0.8,,,,,,,0.6334655685376697,0.596758234935607,0.0,0.0,6.239362222576311,6.130537065342282,13.893315166331242,19.89669917298982,21.553797615846143,5.369514007879139,2.336809391577778,0.0,3.7803573432971183,35.04332590189043,64.36305763377229,23.872372549874157,12.084725759247144,0.0,0.0,0.0,0.0,0.0,
63,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Xin'an,,,0.85,,,,,,,1.8176160797714367,1.7122909553851762,0.0,0.0,17.902733260550946,17.59047894793085,39.86438143110277,57.09001743328497,61.84476484986973,15.406859482211502,6.70505633841739,0.0,10.847058839079217,100.55055209233399,184.6782750457312,68.49750067570602,34.67495780448169,0.0,0.0,0.0,0.0,0.0,
64,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Xingyang,,,1,,,,,,,1.8128614292640557,1.7078118218924585,0.0,0.0,17.855902006840044,17.544464511446897,39.76010132293951,56.94067727098309,61.682986878248066,15.366557114142958,6.687516771136776,0.0,10.818684324578165,100.28752474632624,184.19518036808128,68.31832000055319,34.584252562844945,0.0,0.0,0.0,0.0,0.0,
65,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Xinmi,,,0.8,,,,,,,4.211774814034002,3.967715735160298,0.0,0.0,41.48416262835828,40.76060782264145,92.37363134995846,132.28882613566455,143.30651333547357,35.70073100294052,15.536937490328858,0.0,25.13477391249952,232.9954535244651,427.9359740450057,158.72221388275443,80.3487136716861,0.0,0.0,0.0,0.0,0.0,
66,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Yanshi,,,0.8,,,,,,,9.695748775541633,9.13391068598739,0.0,0.0,95.49893732875803,93.83327239382602,212.64943227006611,304.53651504559156,329.89986705123533,82.18514383872456,35.76692707918994,0.0,57.86170062406986,536.3689852765149,985.1333177955569,365.3876996882933,184.9673775537009,0.0,0.0,0.0,0.0,0.0,
