No,Ref .No.,Refiney Name,Province,Province category,Technology,Ownership,Owner,Bauxite,ref cell,ref cell row,column 1,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
23,14,Chalco Guizhou,Guizhou,Guizhou,Guizhou,Guiyang,,,1,,,,,,279.24086538666626,220.0146889105248,158.64669758742565,93.0132484581675,93.0132484581675,93.0132484581675,93.0132484581675,93.0132484581675,93.0132484581675,93.0132484581675,93.0132484581675,93.0132484581675,93.0132484581675,93.0132484581675,93.0132484581675,93.0132484581675,93.0132484581675,93.0132484581675,93.0132484581675,93.0132484581675,93.0132484581675,93.0132484581675,93.0132484581675,
24,14,Chalco Guizhou,Guizhou,Guizhou,Guizhou,Qingzhen,,,1,,,,,,8709.464225177735,6862.212160195244,4948.157337812964,2901.0637780119846,2901.0637780119846,2901.0637780119846,2901.0637780119846,2901.0637780119846,2901.0637780119846,2901.0637780119846,2901.0637780119846,2901.0637780119846,2901.0637780119846,2901.0637780119846,2901.0637780119846,2901.0637780119846,2901.0637780119846,2901.0637780119846,2901.0637780119846,2901.0637780119846,2901.0637780119846,2901.0637780119846,2901.0637780119846,
25,14,Chalco Guizhou,Guizhou,Guizhou,Guizhou,Xiuwen,,,0.5,,,,,,541.5671410226834,426.70232342704065,307.68361330689,180.39236117883615,180.39236117883615,180.39236117883615,180.39236117883615,180.39236117883615,180.39236117883615,180.39236117883615,180.39236117883615,180.39236117883615,180.39236117883615,180.39236117883615,180.39236117883615,180.39236117883615,180.39236117883615,180.39236117883615,180.39236117883615,180.39236117883615,180.39236117883615,180.39236117883615,180.39236117883615,
26,14,Chalco Guizhou,Guizhou,Guizhou,Guizhou,Zhijin,,,0,,,,,,136.0502454129157,107.19438352719166,77.29499803272172,45.317418931013094,45.317418931013094,45.317418931013094,45.317418931013094,45.317418931013094,45.317418931013094,45.317418931013094,45.317418931013094,45.317418931013094,45.317418931013094,45.317418931013094,45.317418931013094,45.317418931013094,45.317418931013094,45.317418931013094,45.317418931013094,45.317418931013094,45.317418931013094,45.317418931013094,45.317418931013094,
27,15,Chalco Zunyi,Guizhou,Guizhou,Guizhou,Kaiyang,,,1,,,,,,2284.1362638893675,2237.9238198951343,2110.057137260471,1951.9376058257499,1702.233362839417,1460.893895711999,1251.046722420508,1012.9053384395713,769.3599942745544,515.8047922061326,259.19767638283497,259.19767638283497,259.19767638283497,259.19767638283497,259.19767638283497,259.19767638283497,259.19767638283497,259.19767638283497,259.19767638283497,259.19767638283497,259.19767638283497,259.19767638283497,259.19767638283497,
28,15,Chalco Zunyi,Guizhou,Guizhou,Guizhou,Jinsha,,,1,,,,,,796.0035252325736,779.8988519210149,735.3383185823976,680.2349053491419,593.2149403737601,509.11003400356805,435.9799443758644,352.9895448320957,268.115907661593,179.75391373052642,90.32835185651662,90.32835185651662,90.32835185651662,90.32835185651662,90.32835185651662,90.32835185651662,90.32835185651662,90.32835185651662,90.32835185651662,90.32835185651662,90.32835185651662,90.32835185651662,90.32835185651662,
29,15,Chalco Zunyi,Guizhou,Guizhou,Guizhou,Weng'an,,,0,,,,,,2865.0973467631716,2807.1309492375412,2646.7418783455223,2448.405265444131,2135.189729503452,1832.4665172907964,1569.2455400976762,1270.5338309124754,965.0436855060232,646.9977141736309,325.12358681575034,325.12358681575034,325.12358681575034,325.12358681575034,325.12358681575034,325.12358681575034,325.12358681575034,325.12358681575034,325.12358681575034,325.12358681575034,325.12358681575034,325.12358681575034,325.12358681575034,
30,15,Chalco Zunyi,Guizhou,Guizhou,Guizhou,Xifeng,,,0,,,,,,51.487468294717026,50.44577836465876,47.56349333106246,43.999268862396946,38.37060322757042,32.93049076211346,28.200256470756422,22.832233051479193,17.342397184738797,11.626925812103229,5.8426602457163614,5.8426602457163614,5.8426602457163614,5.8426602457163614,5.8426602457163614,5.8426602457163614,5.8426602457163614,5.8426602457163614,5.8426602457163614,5.8426602457163614,5.8426602457163614,5.8426602457163614,5.8426602457163614,
31,15,Chalco Zunyi,Guizhou,Guizhou,Guizhou,Zunyi,,,1,,,,,,20835.29659582017,20413.75870762165,19247.39210352055,17805.066885398584,15527.3297616965,13325.893946604298,11411.722640607968,9239.458907737151,7017.901656345863,4705.0370860364255,2364.3337526580003,2364.3337526580003,2364.3337526580003,2364.3337526580003,2364.3337526580003,2364.3337526580003,2364.3337526580003,2364.3337526580003,2364.3337526580003,2364.3337526580003,2364.3337526580003,2364.3337526580003,2364.3337526580003,
32,16,Xian,Guizhou,Guizhou,Guizhou,Kaiyang,,,0.6,,,,,,1858.8393999209495,1644.670482139624,1425.1181079554801,1246.216574249005,951.4041943809161,668.4189874598053,480.87813006321676,289.9389269659161,94.85707861550748,94.85707861550748,94.85707861550748,94.85707861550748,94.85707861550748,94.85707861550748,94.85707861550748,94.85707861550748,94.85707861550748,94.85707861550748,94.85707861550748,94.85707861550748,94.85707861550748,94.85707861550748,94.85707861550748,
33,16,Xian,Guizhou,Guizhou,Guizhou,Xifeng,,,0.3,,,,,,28.791543079050456,25.474283060375964,22.07363874451984,19.30263485099508,14.736289132494363,10.353134366058026,7.448316082646578,4.49086085994725,1.4692402503558895,1.4692402503558895,1.4692402503558895,1.4692402503558895,1.4692402503558895,1.4692402503558895,1.4692402503558895,1.4692402503558895,1.4692402503558895,1.4692402503558895,1.4692402503558895,1.4692402503558895,1.4692402503558895,1.4692402503558895,1.4692402503558895,
34,17,Huafei,Guizhou,Guizhou,Guizhou,Xiuwen,,,0.6,,,,,,5562.716354001957,5490.807030744158,5440.923029925018,5367.702352305244,5279.698502845171,4942.438860503101,4640.391540377183,4333.983823620868,4023.704841492812,3724.0984935967654,3645.139142127125,3399.6271106633817,3152.9483663383194,2894.5528227775953,2624.269755458976,2351.255680068043,2089.2327109321855,1788.3168023975834,1453.1515343911599,1080.877956877277,783.7235278783346,562.0160226338445,562.0160226338445,
35,17,Huafei,Guizhou,Guizhou,Guizhou,Zhijin,,,0,,,,,,1746.8030919980426,1724.2221404958427,1708.5575764003868,1685.564833660161,1657.9298822152628,1552.0236758660121,1457.174835991929,1360.9567452282445,1263.5230004763002,1169.440674220254,1144.6458742498944,1067.5502345674838,990.0882239425462,908.94690633327,824.0726708588661,738.3408447684035,656.0604436956899,561.5668894662919,456.3183581327154,339.41708276882053,246.10470760109632,176.48416054558643,176.48416054558643,
36,18,Qingzhen Guanglv,Guizhou,Guizhou,Guizhou,Longli,,,0,,,,,,27.253188983100532,27.253188983100532,27.253188983100532,26.84332718762674,25.21229309146594,23.642584526661466,22.60228905195009,21.551347017326137,20.372757080580335,19.039034856891156,17.839484795623672,16.33178014199007,14.816087861780556,13.225625005615836,10.55405130594977,7.841573175779736,5.223748564543503,1.4214349355071092,1.4214349355071092,1.4214349355071092,1.4214349355071092,1.4214349355071092,1.4214349355071092,
